step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,3,1.0,0.3333333333333333,0,0,0,0.3333333333333333,0.020833333333333332,0.0
20,5,17.0,3.4,1,1.0,1.0,2.4,0.08027777777777778,0.6499999999999995
25,3,4.0,1.3333333333333333,2,0.0,0.0,1.3333333333333333,0.041666666666666664,0.0
30,7,17.0,2.4285714285714284,3,4.0,1.3333333333333333,1.0952380952380951,0.04667312661498708,1.7999999999999972
35,2,7.0,3.5,3,0.0,0.0,3.5,0.02759009009009009,0.0
40,11,32.0,2.909090909090909,4,8.0,2.0,0.9090909090909092,0.17204301075268819,3.5
45,9,64.0,7.111111111111111,4,18.0,4.5,2.6111111111111107,0.15861214374225527,8.299999999999997
50,12,99.0,8.25,4,28.0,7.0,1.25,0.15914848012470773,13.100000000000001
55,13,109.0,8.384615384615385,1,18.0,18.0,9.615384615384615,0.1423351543032394,0.0
60,14,124.0,8.857142857142858,3,23.0,7.666666666666667,1.1904761904761907,0.13654447286160842,0.0
65,8,76.0,9.5,1,28.0,28.0,18.5,0.08163726820443239,0.0
70,8,91.0,11.375,1,33.0,33.0,21.625,0.06914662658650635,0.0
75,5,24.0,4.8,4,2.0,0.5,4.3,0.03550295857988166,0.0
80,7,48.0,6.857142857142857,5,9.0,1.8,5.057142857142857,0.0736196319018405,1.1999999999999957
85,10,51.0,5.1,5,23.0,4.6,0.5,0.10562865497076024,5.199999999999989
90,22,141.0,6.409090909090909,5,43.0,8.6,2.1909090909090905,0.16403465346534654,9.799999999999997
95,14,99.0,7.071428571428571,4,13.0,3.25,3.821428571428571,0.11542538157150933,0.7999999999999972
100,19,169.0,8.894736842105264,4,24.0,6.0,2.8947368421052637,0.12342269930166633,3.3999999999999915
105,12,123.0,10.25,6,41.0,6.833333333333333,3.416666666666667,0.08921242570053779,7.799999999999983
110,17,176.0,10.352941176470589,10,71.0,7.1,3.252941176470589,0.10230395265271612,12.199999999999974
115,14,122.0,8.714285714285714,9,70.0,7.777777777777778,0.9365079365079358,0.07736610113107119,12.400000000000006
120,18,188.0,10.444444444444445,10,104.0,10.4,0.04444444444444429,0.09812544420753376,17.0
125,16,128.0,8.0,12,124.0,10.333333333333334,2.333333333333334,0.14879395524556815,21.699999999999996
130,25,191.0,7.64,13,163.0,12.538461538461538,4.898461538461539,0.15191301885535347,26.39999999999999
135,13,81.0,6.230769230769231,8,73.0,9.125,2.894230769230769,0.07408536585365853,6.099999999999987
140,15,134.0,8.933333333333334,8,104.0,13.0,4.066666666666666,0.08532922749391728,10.949999999999996
145,19,112.0,5.894736842105263,13,105.0,8.076923076923077,2.182186234817814,0.14050179211469535,12.249999999999993
150,25,197.0,7.88,7,134.0,19.142857142857142,11.262857142857143,0.16476886760410298,16.749999999999986
155,15,96.0,6.4,10,147.0,14.7,8.299999999999999,0.13733905579399142,21.5
160,24,191.0,7.958333333333333,8,187.0,23.375,15.416666666666668,0.17467727725427104,25.999999999999993
165,20,173.0,8.65,11,198.0,18.0,9.35,0.13157223746219315,30.74999999999997
170,21,221.0,10.523809523809524,9,229.0,25.444444444444443,14.92063492063492,0.12204879852864739,35.25
175,24,212.0,8.833333333333334,9,176.0,19.555555555555557,10.722222222222223,0.1661933498994202,10.0
180,31,324.0,10.451612903225806,9,213.0,23.666666666666668,13.215053763440862,0.206984667802385,15.799999999999955
185,27,299.0,11.074074074074074,16,246.0,15.375,4.300925925925926,0.1713293011989084,22.399999999999977
190,36,455.0,12.63888888888889,13,301.0,23.153846153846153,10.514957264957264,0.21161968663624617,26.59999999999991
195,25,370.0,14.8,12,273.0,22.75,7.949999999999999,0.13735712451037052,29.25
200,31,490.0,15.806451612903226,12,315.0,26.25,10.443548387096774,0.14980782669461915,32.549999999999976
205,25,295.0,11.8,12,46.0,3.8333333333333335,7.966666666666667,0.12904981374712315,3.8999999999999915
210,25,369.0,14.76,12,73.0,6.083333333333333,8.676666666666666,0.13700495049504952,9.199999999999974
215,19,132.0,6.947368421052632,13,67.0,5.153846153846154,1.7935222672064777,0.15264928511354078,6.799999999999983
220,25,241.0,9.64,10,107.0,10.7,1.0599999999999987,0.1908249224622825,11.599999999999994
225,19,196.0,10.31578947368421,4,28.0,7.0,3.3157894736842106,0.12568048576214405,0.04999999999999716
230,30,321.0,10.7,6,42.0,7.0,3.6999999999999993,0.17678394960059293,1.8999999999999915
235,17,143.0,8.411764705882353,11,32.0,2.909090909090909,5.502673796791444,0.17171335483004166,0.0
240,21,216.0,10.285714285714286,11,59.0,5.363636363636363,4.922077922077923,0.16981132075471697,4.799999999999997
245,13,157.0,12.076923076923077,14,50.0,3.5714285714285716,8.505494505494505,0.12329431772709083,6.799999999999983
250,21,237.0,11.285714285714286,14,95.0,6.785714285714286,4.500000000000001,0.14920151727655234,11.799999999999983
255,24,240.0,10.0,9,76.0,8.444444444444445,1.5555555555555554,0.12471419663271668,8.25
260,29,347.0,11.96551724137931,10,113.0,11.3,0.6655172413793089,0.15337944563334352,13.399999999999991
265,21,187.0,8.904761904761905,12,78.0,6.5,2.404761904761905,0.15092621365927766,13.599999999999966
270,27,260.0,9.62962962962963,11,108.0,9.818181818181818,0.18855218855218858,0.14332722708460546,18.599999999999966
275,13,121.0,9.307692307692308,9,23.0,2.5555555555555554,6.752136752136753,0.1607911614830434,1.0
280,24,181.0,7.541666666666667,9,40.0,4.444444444444445,3.0972222222222223,0.20891363126211612,3.5999999999999943
285,24,172.0,7.166666666666667,10,53.0,5.3,1.8666666666666671,0.16365728447512834,5.75
290,30,305.0,10.166666666666666,10,81.0,8.1,2.0666666666666664,0.18586562130366677,10.699999999999996
295,23,206.0,8.956521739130435,10,44.0,4.4,4.556521739130435,0.17321381922675025,2.799999999999983
300,24,232.0,9.666666666666666,13,74.0,5.6923076923076925,3.9743589743589736,0.16293713067906615,7.799999999999983
305,24,157.0,6.541666666666667,13,79.0,6.076923076923077,0.4647435897435903,0.13017004647232785,8.199999999999989
310,30,272.0,9.066666666666666,10,115.0,11.5,2.4333333333333336,0.16710031801098582,13.399999999999977
315,24,234.0,9.75,9,127.0,14.11111111111111,4.361111111111111,0.1819958519463944,17.64999999999995
320,30,339.0,11.3,10,167.0,16.7,5.399999999999999,0.1818324219640009,22.64999999999995
325,26,304.0,11.692307692307692,12,167.0,13.916666666666666,2.2243589743589745,0.14051476670072496,18.59999999999998
330,28,395.0,14.107142857142858,13,204.0,15.692307692307692,1.585164835164834,0.1487584473632023,22.89999999999997
335,23,247.0,10.73913043478261,12,108.0,9.0,1.7391304347826093,0.18005678330263966,6.249999999999993
340,28,319.0,11.392857142857142,12,147.0,12.25,0.8571428571428577,0.1669965209400026,10.999999999999972
345,24,268.0,11.166666666666666,12,161.0,13.416666666666666,2.25,0.16578033828200014,16.5
350,28,356.0,12.714285714285714,13,192.0,14.76923076923077,2.0549450549450565,0.18680722607424177,21.5
355,28,228.0,8.142857142857142,9,25.0,2.7777777777777777,5.365079365079365,0.15796382730455075,0.0
360,31,336.0,10.838709677419354,7,36.0,5.142857142857143,5.695852534562211,0.18678526048284624,0.0
365,28,298.0,10.642857142857142,9,13.0,1.4444444444444444,9.198412698412698,0.11437211506758985,0.0
370,28,349.0,12.464285714285714,9,28.0,3.111111111111111,9.353174603174603,0.10899535386509743,0.0
375,23,240.0,10.434782608695652,7,15.0,2.142857142857143,8.29192546583851,0.12958963282937366,0.5999999999999943
380,29,338.0,11.655172413793103,8,33.0,4.125,7.530172413793103,0.13861871481265772,2.6499999999999986
385,23,148.0,6.434782608695652,14,40.0,2.857142857142857,3.577639751552795,0.19173669467787116,6.199999999999989
390,26,203.0,7.8076923076923075,11,76.0,6.909090909090909,0.8986013986013983,0.1716012059431008,11.0
395,27,193.0,7.148148148148148,10,49.0,4.9,2.2481481481481476,0.159642220393609,0.8999999999999986
400,29,278.0,9.586206896551724,9,76.0,8.444444444444445,1.1417624521072796,0.1933337335894973,4.699999999999989
405,28,258.0,9.214285714285714,12,71.0,5.916666666666667,3.2976190476190466,0.18396789599363225,7.3999999999999915
