step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
10,1,0.0,0.0,1,2.0,2.0,2.0,1.0,1.6999999999999993
15,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,8,12.0,1.5,2,0.0,0.0,1.5,0.05555555555555555,0.0
30,11,50.0,4.545454545454546,2,0.0,0.0,4.545454545454546,0.09073751451800233,0.0
35,8,56.0,7.0,1,0.0,0.0,7.0,0.06572769953051644,0.0
40,8,85.0,10.625,1,0.0,0.0,10.625,0.06869960444241595,0.0
45,7,36.0,5.142857142857143,2,0.0,0.0,5.142857142857143,0.045454545454545456,0.0
50,9,72.0,8.0,1,0.0,0.0,8.0,0.07736389684813753,0.0
55,9,64.0,7.111111111111111,0,0,0,7.111111111111111,0.1085665818490246,0.0
60,19,138.0,7.2631578947368425,2,0.0,0.0,7.2631578947368425,0.1707185886402754,0.0
65,17,139.0,8.176470588235293,2,2.0,1.0,7.1764705882352935,0.11650385914134105,0.0
70,22,240.0,10.909090909090908,4,10.0,2.5,8.409090909090908,0.1488095238095238,1.9499999999999957
75,16,163.0,10.1875,5,11.0,2.2,7.9875,0.17057652799178222,1.5499999999999972
80,16,220.0,13.75,5,29.0,5.8,7.95,0.17833981841763943,5.349999999999998
85,8,65.0,8.125,4,9.0,2.25,5.875,0.0789424514200299,0.0
90,13,117.0,9.0,3,14.0,4.666666666666667,4.333333333333333,0.10145410885805763,0.0
95,11,92.0,8.363636363636363,7,20.0,2.857142857142857,5.506493506493506,0.06379643029425952,0.19999999999999574
100,16,118.0,7.375,7,34.0,4.857142857142857,2.5178571428571432,0.059467678010113434,4.200000000000003
105,13,83.0,6.384615384615385,6,9.0,1.5,4.884615384615385,0.087673080838933,0.0
110,19,124.0,6.526315789473684,8,23.0,2.875,3.651315789473684,0.1604876419505678,2.8999999999999915
115,17,71.0,4.176470588235294,6,12.0,2.0,2.1764705882352944,0.13873293703214443,0.0
120,20,156.0,7.8,6,23.0,3.8333333333333335,3.9666666666666663,0.18004261363636365,0.7999999999999972
125,17,129.0,7.588235294117647,7,43.0,6.142857142857143,1.4453781512605035,0.16675685425685427,5.799999999999997
130,17,199.0,11.705882352941176,11,64.0,5.818181818181818,5.887700534759357,0.1499220122357502,10.75
135,19,182.0,9.578947368421053,2,6.0,3.0,6.578947368421053,0.13404882154882156,0.0
140,19,252.0,13.263157894736842,3,16.0,5.333333333333333,7.929824561403509,0.14436927106067218,0.0
145,15,129.0,8.6,7,27.0,3.857142857142857,4.742857142857142,0.11355633802816902,0.6499999999999986
150,21,210.0,10.0,6,39.0,6.5,3.5,0.1377023381294964,1.9499999999999957
155,19,161.0,8.473684210526315,2,8.0,4.0,4.473684210526315,0.09283493782591255,0.0
160,25,268.0,10.72,5,13.0,2.6,8.120000000000001,0.12661476843233485,0.0
165,17,257.0,15.117647058823529,7,5.0,0.7142857142857143,14.403361344537815,0.09158208541320022,0.5
170,21,313.0,14.904761904761905,7,21.0,3.0,11.904761904761905,0.0966163708086785,3.4499999999999957
175,20,241.0,12.05,10,28.0,2.8,9.25,0.09116407996182727,2.5999999999999943
180,22,318.0,14.454545454545455,9,48.0,5.333333333333333,9.121212121212121,0.1091580310880829,7.399999999999977
185,16,268.0,16.75,10,43.0,4.3,12.45,0.07294916796671867,0.3499999999999943
190,24,361.0,15.041666666666666,14,67.0,4.785714285714286,10.25595238095238,0.10054515547655199,4.599999999999994
195,18,140.0,7.777777777777778,11,74.0,6.7272727272727275,1.0505050505050502,0.15045443380004914,5.199999999999996
200,26,250.0,9.615384615384615,6,99.0,16.5,6.884615384615385,0.18375435130303885,10.149999999999999
205,25,245.0,9.8,11,110.0,10.0,0.1999999999999993,0.19153328738448971,10.299999999999983
210,29,348.0,12.0,11,149.0,13.545454545454545,1.545454545454545,0.21950582912824082,15.0
215,21,185.0,8.80952380952381,9,28.0,3.111111111111111,5.6984126984126995,0.1457822190417774,0.0
220,30,307.0,10.233333333333333,9,43.0,4.777777777777778,5.455555555555555,0.1972792960246492,1.1499999999999915
225,23,250.0,10.869565217391305,7,10.0,1.4285714285714286,9.440993788819876,0.17662551998553083,0.0
230,29,372.0,12.827586206896552,3,20.0,6.666666666666667,6.160919540229885,0.20220227240847244,0.0
235,25,295.0,11.8,5,30.0,6.0,5.800000000000001,0.18754741215820145,0.0
240,25,370.0,14.8,8,44.0,5.5,9.3,0.17723610075399784,1.5
245,23,281.0,12.217391304347826,9,37.0,4.111111111111111,8.106280193236715,0.16784214195830358,0.0
250,26,328.0,12.615384615384615,5,55.0,11.0,1.615384615384615,0.1650952661559615,4.0
255,26,342.0,13.153846153846153,5,36.0,7.2,5.953846153846153,0.1811710037174721,2.25
260,30,438.0,14.6,7,54.0,7.714285714285714,6.885714285714285,0.19278169014084506,6.8499999999999375
265,24,324.0,13.5,11,70.0,6.363636363636363,7.136363636363637,0.17296741537488136,9.249999999999915
270,25,348.0,13.92,10,50.0,5.0,8.92,0.13579117330462864,2.5999999999999943
275,23,260.0,11.304347826086957,5,12.0,2.4,8.904347826086957,0.08481891913595117,0.0
280,27,364.0,13.481481481481481,6,14.0,2.3333333333333335,11.148148148148147,0.10217402033362945,0.0
285,26,251.0,9.653846153846153,9,19.0,2.111111111111111,7.542735042735043,0.16177996220058344,0.0
290,18,177.0,9.833333333333334,14,44.0,3.142857142857143,6.690476190476192,0.17063725490196077,5.0
295,14,136.0,9.714285714285714,8,23.0,2.875,6.8392857142857135,0.11195041642455937,0.29999999999998295
300,28,247.0,8.821428571428571,9,38.0,4.222222222222222,4.599206349206349,0.17739299837171435,0.7999999999999545
305,36,348.0,9.666666666666666,8,45.0,5.625,4.041666666666666,0.18091208948802523,1.0
310,37,402.0,10.864864864864865,11,64.0,5.818181818181818,5.046683046683047,0.17440685868213843,2.9499999999999957
315,28,375.0,13.392857142857142,7,41.0,5.857142857142857,7.535714285714286,0.12633953598689032,0.8999999999999986
320,34,503.0,14.794117647058824,7,60.0,8.571428571428571,6.222689075630253,0.13637475960087278,3.799999999999997
325,40,524.0,13.1,9,61.0,6.777777777777778,6.322222222222222,0.17368026880414542,2.549999999999983
330,26,297.0,11.423076923076923,9,84.0,9.333333333333334,2.0897435897435894,0.2178129074315515,7.699999999999974
335,25,315.0,12.6,14,75.0,5.357142857142857,7.242857142857143,0.20853298698678502,4.0
340,24,318.0,13.25,7,19.0,2.7142857142857144,10.535714285714285,0.183291282408213,0.09999999999999432
345,25,353.0,14.12,4,6.0,1.5,12.62,0.18444197750148017,0.0
350,27,331.0,12.25925925925926,5,5.0,1.0,11.25925925925926,0.19604232872398294,0.0
355,24,323.0,13.458333333333334,9,0.0,0.0,13.458333333333334,0.18550147933202468,0.0
360,24,315.0,13.125,6,6.0,1.0,12.125,0.14828114912846999,0.0
365,24,301.0,12.541666666666666,7,13.0,1.8571428571428572,10.684523809523808,0.13338427201846748,0.0
370,19,287.0,15.105263157894736,6,28.0,4.666666666666667,10.438596491228068,0.12948168968032395,0.4999999999999716
375,18,184.0,10.222222222222221,6,45.0,7.5,2.7222222222222214,0.0998772774473709,4.0
380,19,206.0,10.842105263157896,5,46.0,9.2,1.6421052631578963,0.10359542223263808,1.3499999999999943
385,22,256.0,11.636363636363637,5,53.0,10.6,1.036363636363637,0.11915983010414849,0.0
390,16,268.0,16.75,6,5.0,0.8333333333333334,15.916666666666666,0.10057355379307255,0.0
395,15,221.0,14.733333333333333,4,0.0,0.0,14.733333333333333,0.09693444158648502,0.0
400,12,192.0,16.0,6,3.0,0.5,15.5,0.07133568642021178,0.0
405,18,215.0,11.944444444444445,9,6.0,0.6666666666666666,11.277777777777779,0.08324149307056214,0.0
410,21,274.0,13.047619047619047,3,12.0,4.0,9.047619047619047,0.11278362657436784,0.14999999999999858
415,27,364.0,13.481481481481481,10,22.0,2.2,11.281481481481482,0.1439472952301488,0.04999999999999716
420,23,246.0,10.695652173913043,12,42.0,3.5,7.195652173913043,0.14484719669117646,2.0
425,24,255.0,10.625,12,81.0,6.75,3.875,0.10697998104714522,6.899999999999999
