step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,1,3.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
25,3,13.0,4.333333333333333,1,2.0,2.0,2.333333333333333,0.043467078189300415,1.5
30,4,28.0,7.0,1,7.0,7.0,0.0,0.05710955710955711,4.899999999999995
35,3,43.0,14.333333333333334,1,12.0,12.0,2.333333333333334,0.060094903796151844,8.399999999999991
40,4,63.0,15.75,1,17.0,17.0,1.25,0.07061272416737831,11.04999999999999
45,7,89.0,12.714285714285714,2,23.0,11.5,1.2142857142857135,0.08519402856651179,13.599999999999993
50,8,123.0,15.375,3,34.0,11.333333333333334,4.041666666666666,0.09473624887285843,17.549999999999976
55,9,165.0,18.333333333333332,4,51.0,12.75,5.583333333333332,0.09703806672369547,21.5
60,9,126.0,14.0,3,31.0,10.333333333333334,3.666666666666666,0.0836071789686552,13.249999999999996
65,4,99.0,24.75,1,9.0,9.0,15.75,0.05493341404358353,3.599999999999987
70,6,125.0,20.833333333333332,3,14.0,4.666666666666667,16.166666666666664,0.0668283377814275,4.899999999999995
75,9,161.0,17.88888888888889,3,22.0,7.333333333333333,10.555555555555557,0.0829907535474617,7.099999999999982
80,9,202.0,22.444444444444443,4,37.0,9.25,13.194444444444443,0.09706363705564436,11.25
85,14,262.0,18.714285714285715,5,52.0,10.4,8.314285714285715,0.12220845439526007,15.399999999999988
90,13,151.0,11.615384615384615,7,78.0,11.142857142857142,0.4725274725274726,0.09157910802647645,19.549999999999976
95,11,203.0,18.454545454545453,9,109.0,12.11111111111111,6.3434343434343425,0.10767851916886158,23.699999999999964
100,14,265.0,18.928571428571427,9,149.0,16.555555555555557,2.37301587301587,0.12604642313546424,27.850000000000012
105,14,267.0,19.071428571428573,2,3.0,1.5,17.571428571428573,0.10169034577199589,0.0
110,14,326.0,23.285714285714285,1,8.0,8.0,15.285714285714285,0.11394006449842185,0.0
115,16,399.0,24.9375,8,13.0,1.625,23.3125,0.12985738616342352,0.8999999999999986
120,20,488.0,24.4,2,21.0,10.5,13.899999999999999,0.14789642083507223,2.5499999999999936
125,18,574.0,31.88888888888889,2,31.0,15.5,16.38888888888889,0.1578313022150686,6.799999999999983
130,21,676.0,32.19047619047619,2,41.0,20.5,11.69047619047619,0.16485425685425686,10.399999999999963
135,19,445.0,23.42105263157895,4,51.0,12.75,10.671052631578949,0.13864034792933874,14.399999999999949
140,13,324.0,24.923076923076923,5,71.0,14.2,10.723076923076924,0.08743103861837372,18.25
145,15,394.0,26.266666666666666,5,96.0,19.2,7.066666666666666,0.09667254538570376,25.14999999999996
150,14,258.0,18.428571428571427,2,27.0,13.5,4.928571428571427,0.09741149199213262,11.699999999999982
155,11,134.0,12.181818181818182,2,37.0,18.5,6.318181818181818,0.10842995169082126,16.199999999999974
160,14,199.0,14.214285714285714,5,47.0,9.4,4.814285714285713,0.13629949336417205,19.54999999999995
165,18,269.0,14.944444444444445,4,57.0,14.25,0.6944444444444446,0.14974876659713254,23.79999999999994
170,18,353.0,19.61111111111111,3,67.0,22.333333333333332,2.7222222222222214,0.16521484333566686,26.399999999999906
175,22,458.0,20.818181818181817,3,77.0,25.666666666666668,4.848484848484851,0.18426730196210717,28.5
180,20,369.0,18.45,5,88.0,17.6,0.8499999999999979,0.1428701838327877,30.39999999999997
185,16,382.0,23.875,7,107.0,15.285714285714286,8.589285714285714,0.11821758179084357,32.94999999999994
190,17,467.0,27.470588235294116,7,139.0,19.857142857142858,7.613445378151258,0.1254388568325925,35.79999999999991
195,18,346.0,19.22222222222222,1,0.0,0.0,19.22222222222222,0.11900388077742788,0.0
200,13,210.0,16.153846153846153,1,0.0,0.0,16.153846153846153,0.09788514809290433,0.0
205,14,277.0,19.785714285714285,8,0.0,0.0,19.785714285714285,0.10900244345948404,0.0
210,19,359.0,18.894736842105264,2,1.0,0.5,18.394736842105264,0.12467014130720776,0.0
215,20,454.0,22.7,3,6.0,2.0,20.7,0.1393639923839197,0.0
220,22,561.0,25.5,2,11.0,5.5,20.0,0.1543076769198183,0.0
225,21,479.0,22.80952380952381,5,20.0,4.0,18.80952380952381,0.16043030150472673,2.0
230,16,430.0,26.875,8,37.0,4.625,22.25,0.15614443994054858,5.199999999999996
235,18,517.0,28.72222222222222,8,65.0,8.125,20.59722222222222,0.1616078252121001,10.199999999999996
240,16,350.0,21.875,4,40.0,10.0,11.875,0.1306616492593351,10.5
245,10,258.0,25.8,5,60.0,12.0,13.8,0.10338079618309229,15.5
250,14,321.0,22.928571428571427,10,80.0,8.0,14.928571428571427,0.10939649900626816,20.149999999999995
255,14,380.0,27.142857142857142,4,100.0,25.0,2.1428571428571423,0.11049487009965964,24.79999999999999
260,15,454.0,30.266666666666666,6,122.0,20.333333333333332,9.933333333333334,0.11819011706851627,29.449999999999985
265,17,537.0,31.58823529411765,8,147.0,18.375,13.213235294117649,0.12673644073159926,34.09999999999998
270,14,256.0,18.285714285714285,9,182.0,20.22222222222222,1.9365079365079367,0.11385368023126528,38.75
275,7,86.0,12.285714285714286,15,225.0,15.0,2.7142857142857135,0.1055365296803653,43.75
280,9,126.0,14.0,17,292.0,17.176470588235293,3.1764705882352935,0.13042192429022081,48.39999999999997
285,13,165.0,12.692307692307692,8,59.0,7.375,5.317307692307692,0.13763346275175928,11.399999999999977
290,17,240.0,14.117647058823529,7,89.0,12.714285714285714,1.4033613445378155,0.15965939329430548,17.599999999999994
295,19,332.0,17.473684210526315,17,119.0,7.0,10.473684210526315,0.1695211378512722,22.599999999999994
300,23,438.0,19.043478260869566,10,156.0,15.6,3.4434782608695667,0.18073392421090712,27.19999999999999
305,22,548.0,24.90909090909091,11,203.0,18.454545454545453,6.454545454545457,0.18656686745790343,31.799999999999983
310,24,666.0,27.75,13,254.0,19.53846153846154,8.21153846153846,0.19020933679140423,36.39999999999998
315,21,556.0,26.476190476190474,17,316.0,18.58823529411765,7.887955182072826,0.12291650762144693,41.0
320,19,629.0,33.10526315789474,18,386.0,21.444444444444443,11.660818713450297,0.11912362281348306,45.599999999999966
325,22,734.0,33.36363636363637,17,469.0,27.58823529411765,5.775401069518718,0.12482021455631918,50.19999999999999
330,17,483.0,28.41176470588235,2,32.0,16.0,12.411764705882351,0.09847805604522522,1.799999999999983
335,8,112.0,14.0,3,42.0,14.0,0.0,0.07787048073102901,4.25
340,11,160.0,14.545454545454545,13,54.0,4.153846153846154,10.39160839160839,0.09811135638950208,5.999999999999915
345,12,204.0,17.0,7,68.0,9.714285714285714,7.2857142857142865,0.10591253359394087,7.449999999999967
350,16,274.0,17.125,8,90.0,11.25,5.875,0.13075433316613722,11.300000000000033
355,20,363.0,18.15,9,123.0,13.666666666666666,4.4833333333333325,0.15714623046539583,15.149999999999935
360,19,306.0,16.105263157894736,9,153.0,17.0,0.8947368421052637,0.1705499213149152,19.0
365,15,340.0,22.666666666666668,13,196.0,15.076923076923077,7.589743589743591,0.1489383632240775,23.89999999999999
370,17,421.0,24.764705882352942,18,261.0,14.5,10.264705882352942,0.1595385972492259,28.799999999999997
375,15,313.0,20.866666666666667,5,27.0,5.4,15.466666666666667,0.1067647033181636,6.199999999999989
380,14,338.0,24.142857142857142,4,47.0,11.75,12.392857142857142,0.09930254227859368,11.400000000000006
385,15,403.0,26.866666666666667,11,67.0,6.090909090909091,20.775757575757577,0.10681317149140807,16.799999999999983
390,19,485.0,25.526315789473685,10,91.0,9.1,16.426315789473684,0.11973223956933551,22.0
