step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,0,0.0,0,0,0,0,0,1.0,0.0
20,2,7.0,3.5,0,0,0,3.5,0.035201149425287355,0.0
25,2,1.0,0.5,1,1.0,1.0,0.5,0.020833333333333332,0.7999999999999998
30,3,9.0,3.0,1,6.0,6.0,3.0,0.041158536585365856,4.5
35,0,0.0,0,1,2.0,2.0,2.0,1.0,1.3999999999999986
40,3,5.0,1.6666666666666667,2,4.0,2.0,0.33333333333333326,0.030637254901960783,2.599999999999998
45,2,4.0,2.0,1,0.0,0.0,2.0,0.041666666666666664,0.0
50,4,20.0,5.0,0,0,0,5.0,0.0429553264604811,0.0
55,2,6.0,3.0,2,1.0,0.5,2.5,0.020833333333333332,0.5499999999999989
60,1,11.0,11.0,2,11.0,5.5,5.5,0.020833333333333332,5.5
65,0,0.0,0,2,21.0,10.5,10.5,1.0,10.45
70,2,4.0,2.0,2,31.0,15.5,13.5,0.020833333333333332,15.399999999999999
75,1,1.0,1.0,4,41.0,10.25,9.25,0.020833333333333332,20.35
80,2,7.0,3.5,3,26.0,8.666666666666666,5.166666666666666,0.035201149425287355,8.199999999999974
85,2,7.0,3.5,3,36.0,12.0,8.5,0.020833333333333332,13.199999999999974
90,2,6.0,3.0,2,46.0,23.0,20.0,0.028846153846153848,17.0
95,2,7.0,3.5,3,56.0,18.666666666666668,15.166666666666668,0.02759009009009009,20.799999999999983
100,1,0.0,0.0,4,49.0,12.25,12.25,1.0,9.29999999999994
105,2,10.0,5.0,4,63.0,15.75,10.75,0.041666666666666664,12.599999999999937
110,2,6.0,3.0,4,72.0,18.0,15.0,0.028846153846153848,14.499999999999904
115,0,0.0,0,3,75.0,25.0,25.0,1.0,17.250000000000032
120,2,6.0,3.0,6,86.0,14.333333333333334,11.333333333333334,0.0375,20.0
125,3,10.0,3.3333333333333335,2,70.0,35.0,31.666666666666668,0.030637254901960783,0.0
130,5,27.0,5.4,3,76.0,25.333333333333332,19.93333333333333,0.040285145888594165,0.8999999999999986
135,1,7.0,7.0,6,89.0,14.833333333333334,7.833333333333334,0.020833333333333332,5.3999999999999915
140,3,22.0,7.333333333333333,8,110.0,13.75,6.416666666666667,0.05197594501718213,10.199999999999989
145,3,15.0,5.0,5,118.0,23.6,18.6,0.0375,11.75
150,5,36.0,7.2,6,143.0,23.833333333333332,16.633333333333333,0.07377049180327869,16.7
155,4,30.0,7.5,9,71.0,7.888888888888889,0.3888888888888893,0.057515337423312884,18.54999999999999
160,4,36.0,9.0,6,59.0,9.833333333333334,0.8333333333333339,0.0509433962264151,14.599999999999977
165,3,22.0,7.333333333333333,6,84.0,14.0,6.666666666666667,0.04384057971014493,19.599999999999977
170,3,30.0,10.0,10,115.0,11.5,1.5,0.043202764976958526,25.149999999999984
175,2,13.0,6.5,10,153.0,15.3,8.8,0.020833333333333332,29.599999999999977
180,2,5.0,2.5,8,155.0,19.375,16.875,0.030637254901960783,31.799999999999955
185,3,9.0,3.0,11,195.0,17.727272727272727,14.727272727272727,0.041158536585365856,36.0
190,6,28.0,4.666666666666667,9,235.0,26.11111111111111,21.444444444444443,0.07163742690058479,41.799999999999955
195,6,34.0,5.666666666666667,5,94.0,18.8,13.133333333333333,0.0676498127340824,28.0
200,4,45.0,11.25,5,109.0,21.8,10.55,0.06581513260530421,32.09999999999999
205,4,21.0,5.25,7,124.0,17.714285714285715,12.464285714285715,0.03660358565737052,37.09999999999999
210,5,39.0,7.8,4,141.0,35.25,27.45,0.0585720887245841,43.89999999999995
215,2,10.0,5.0,4,59.0,14.75,9.75,0.04006410256410257,1.0999999999999943
220,6,22.0,3.6666666666666665,4,70.0,17.5,13.833333333333334,0.0554029304029304,3.549999999999997
225,3,25.0,8.333333333333334,7,84.0,12.0,3.666666666666666,0.061130672926447575,8.549999999999997
230,3,29.0,9.666666666666666,5,104.0,20.8,11.133333333333335,0.0532548125633232,13.549999999999997
235,7,38.0,5.428571428571429,4,114.0,28.5,23.07142857142857,0.05830103359173126,18.599999999999998
240,1,8.0,8.0,6,130.0,21.666666666666668,13.666666666666668,0.020833333333333332,23.599999999999998
245,3,17.0,5.666666666666667,6,155.0,25.833333333333332,20.166666666666664,0.02936991869918699,28.599999999999998
250,1,0.0,0.0,3,52.0,17.333333333333332,17.333333333333332,1.0,9.649999999999991
255,2,7.0,3.5,5,67.0,13.4,9.9,0.035201149425287355,14.649999999999991
260,1,1.0,1.0,7,51.0,7.285714285714286,6.285714285714286,0.020833333333333332,3.5
265,3,7.0,2.3333333333333335,5,71.0,14.2,11.866666666666665,0.04083333333333333,8.5
270,4,15.0,3.75,8,96.0,12.0,8.25,0.05040322580645161,13.5
275,3,19.0,6.333333333333333,7,123.0,17.571428571428573,11.23809523809524,0.038968048359240066,18.349999999999998
280,2,12.0,6.0,9,153.0,17.0,11.0,0.020833333333333332,23.199999999999996
285,2,5.0,2.5,13,189.0,14.538461538461538,12.038461538461538,0.030637254901960783,28.049999999999994
290,3,11.0,3.6666666666666665,11,162.0,14.727272727272727,11.06060606060606,0.04756289308176101,31.349999999999998
295,2,11.0,5.5,9,163.0,18.11111111111111,12.61111111111111,0.020833333333333332,31.799999999999983
300,2,4.0,2.0,9,197.0,21.88888888888889,19.88888888888889,0.020833333333333332,36.5
305,2,14.0,7.0,7,139.0,19.857142857142858,12.857142857142858,0.020833333333333332,26.5
310,3,7.0,2.3333333333333335,10,174.0,17.4,15.066666666666665,0.020833333333333332,32.39999999999995
315,3,18.0,6.0,9,215.0,23.88888888888889,17.88888888888889,0.02327586206896552,36.5
320,3,14.0,4.666666666666667,7,70.0,10.0,5.333333333333333,0.035201149425287355,14.199999999999996
325,3,14.0,4.666666666666667,10,106.0,10.6,5.933333333333333,0.03852201257861635,19.299999999999997
330,2,13.0,6.5,12,117.0,9.75,3.25,0.03230122324159022,24.25
335,7,34.0,4.857142857142857,10,157.0,15.7,10.842857142857142,0.07768817204301075,29.199999999999996
340,4,37.0,9.25,6,59.0,9.833333333333334,0.5833333333333339,0.05195051608986035,12.5
345,4,49.0,12.25,8,89.0,11.125,1.125,0.056140104751215864,17.799999999999983
350,5,56.0,11.2,10,68.0,6.8,4.3999999999999995,0.04972095383054287,12.599999999999966
355,7,48.0,6.857142857142857,7,57.0,8.142857142857142,1.2857142857142856,0.061696658097686374,11.75
360,5,48.0,9.6,8,76.0,9.5,0.09999999999999964,0.09448818897637795,16.599999999999987
365,3,27.0,9.0,8,100.0,12.5,3.5,0.05645910780669145,21.599999999999987
370,6,41.0,6.833333333333333,8,130.0,16.25,9.416666666666668,0.06264907573047108,26.89999999999999
375,3,26.0,8.666666666666666,4,90.0,22.5,13.833333333333334,0.02850877192982456,17.5
380,4,19.0,4.75,4,91.0,22.75,18.0,0.07028816199376947,10.399999999999864
385,6,37.0,6.166666666666667,5,97.0,19.4,13.23333333333333,0.0772922312556459,8.199999999999825
390,2,33.0,16.5,7,116.0,16.571428571428573,0.07142857142857295,0.041325136612021855,16.59999999999988
395,3,11.0,3.6666666666666665,8,141.0,17.625,13.958333333333334,0.05862403100775194,19.5
400,2,8.0,4.0,4,56.0,14.0,10.0,0.020833333333333332,0.0
405,3,21.0,7.0,4,68.0,17.0,10.0,0.04525862068965517,3.1999999999999957
410,3,20.0,6.666666666666667,12,87.0,7.25,0.583333333333333,0.0496031746031746,8.049999999999994
415,4,16.0,4.0,8,109.0,13.625,9.625,0.0365296803652968,8.74999999999999
420,3,18.0,6.0,7,138.0,19.714285714285715,13.714285714285715,0.041158536585365856,13.999999999999993
425,3,19.0,6.333333333333333,11,167.0,15.181818181818182,8.848484848484848,0.031206777316735823,19.5
430,6,39.0,6.5,11,159.0,14.454545454545455,7.954545454545455,0.04163929040735874,20.9
435,3,33.0,11.0,9,85.0,9.444444444444445,1.5555555555555554,0.03361111111111111,17.5
440,2,34.0,17.0,8,97.0,12.125,4.875,0.02629184861717613,15.349999999999998
445,3,14.0,4.666666666666667,11,132.0,12.0,7.333333333333333,0.03852201257861635,20.199999999999996
450,3,13.0,4.333333333333333,8,68.0,8.5,4.166666666666667,0.03230122324159022,17.599999999999994
455,5,22.0,4.4,9,100.0,11.11111111111111,6.71111111111111,0.033388520971302425,22.599999999999994
460,4,19.0,4.75,10,135.0,13.5,8.75,0.05830103359173126,27.599999999999994
465,4,26.0,6.5,9,171.0,19.0,12.5,0.04485138004246284,32.39999999999999
470,4,41.0,10.25,10,211.0,21.1,10.850000000000001,0.04328903996703749,37.8
475,3,27.0,9.0,7,229.0,32.714285714285715,23.714285714285715,0.02786697247706422,42.599999999999994
480,3,42.0,14.0,8,264.0,33.0,19.0,0.0375,47.599999999999994
485,0,0.0,0,7,212.0,30.285714285714285,30.285714285714285,1.0,45.99999999999998
490,2,3.0,1.5,7,215.0,30.714285714285715,29.214285714285715,0.020833333333333332,50.99999999999998
495,0,0.0,0,10,244.0,24.4,24.4,1.0,57.5
500,2,4.0,2.0,9,279.0,31.0,29.0,0.03333333333333333,63.99999999999997
