step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
10,1,0.0,0.0,2,4.0,2.0,2.0,1.0,3.8
15,0,0.0,0,2,14.0,7.0,7.0,1.0,8.6
20,2,4.0,2.0,2,24.0,12.0,10.0,0.03333333333333333,13.399999999999999
25,1,0.0,0.0,2,19.0,9.5,9.5,1.0,15.199999999999996
30,0,0.0,0,1,24.0,24.0,24.0,1.0,18.0
35,1,1.0,1.0,2,2.0,1.0,0.0,0.020833333333333332,1.3999999999999986
40,4,15.0,3.75,1,7.0,7.0,3.25,0.060876623376623376,4.549999999999996
45,3,21.0,7.0,1,0.0,0.0,7.0,0.04966216216216216,0.0
50,5,42.0,8.4,0,0,0,8.4,0.07409274193548387,0.0
55,4,18.0,4.5,1,1.0,1.0,3.5,0.039705882352941174,0.5
60,4,37.0,9.25,3,4.0,1.3333333333333333,7.916666666666667,0.06467309145880575,1.7999999999999972
65,3,25.0,8.333333333333334,0,0,0,8.333333333333334,0.04241313789359392,0.0
70,5,44.0,8.8,1,1.0,1.0,7.800000000000001,0.062242798353909466,0.34999999999999964
75,1,19.0,19.0,1,6.0,6.0,13.0,0.020833333333333332,1.7999999999999936
80,2,26.0,13.0,2,12.0,6.0,7.0,0.024281609195402298,3.5
85,5,12.0,2.4,1,16.0,16.0,13.6,0.05,4.0
90,7,41.0,5.857142857142857,1,21.0,21.0,15.142857142857142,0.09490740740740741,6.299999999999978
95,2,12.0,6.0,2,26.0,13.0,7.0,0.028846153846153848,6.5
100,5,28.0,5.6,3,31.0,10.333333333333334,4.733333333333334,0.05444444444444444,6.199999999999978
105,2,6.0,3.0,3,42.0,14.0,11.0,0.041666666666666664,9.649999999999956
110,6,30.0,5.0,6,57.0,9.5,4.5,0.09566326530612244,13.099999999999934
115,5,44.0,8.8,1,3.0,3.0,5.800000000000001,0.08066666666666666,0.15000000000000213
120,3,46.0,15.333333333333334,1,8.0,8.0,7.333333333333334,0.061568901303538176,0.0
125,3,8.0,2.6666666666666665,1,0.0,0.0,2.6666666666666665,0.044444444444444446,0.0
130,7,32.0,4.571428571428571,1,1.0,1.0,3.571428571428571,0.08602150537634409,0.0
135,5,32.0,6.4,4,6.0,1.5,4.9,0.06708595387840671,0.0
140,6,62.0,10.333333333333334,3,15.0,5.0,5.333333333333334,0.10162859560067682,3.3999999999999915
145,5,55.0,11.0,4,9.0,2.25,8.75,0.06424142031940197,0.0
150,7,83.0,11.857142857142858,3,19.0,6.333333333333333,5.523809523809525,0.08661486622409978,4.249999999999989
155,6,53.0,8.833333333333334,4,11.0,2.75,6.083333333333334,0.06796844754161828,0.8499999999999979
160,8,84.0,10.5,5,22.0,4.4,6.1,0.07937365010799136,5.249999999999989
165,6,64.0,10.666666666666666,3,0.0,0.0,10.666666666666666,0.04296743873783149,0.0
170,8,100.0,12.5,0,0,0,12.5,0.05279608041898969,0.0
175,1,0.0,0.0,6,1.0,0.16666666666666666,0.16666666666666666,1.0,0.0
180,2,6.0,3.0,5,13.0,2.6,0.3999999999999999,0.028846153846153848,3.5
185,5,22.0,4.4,2,1.0,0.5,3.9000000000000004,0.059313725490196076,0.0
190,9,54.0,6.0,5,12.0,2.4,3.6,0.08728448275862069,3.5999999999999943
195,2,28.0,14.0,4,11.0,2.75,11.25,0.04083333333333333,0.0
200,3,42.0,14.0,4,19.0,4.75,9.25,0.04020787746170678,1.7999999999999936
205,5,58.0,11.6,1,4.0,4.0,7.6,0.039372659176029966,0.0
210,7,88.0,12.571428571428571,2,9.0,4.5,8.071428571428571,0.04795877923107412,0.0
215,4,26.0,6.5,4,14.0,3.5,3.0,0.07571684587813621,0.0
220,5,39.0,7.8,4,26.0,6.5,1.2999999999999998,0.06964285714285715,3.349999999999998
225,1,18.0,18.0,3,3.0,1.0,17.0,0.020833333333333332,0.4499999999999993
230,4,33.0,8.25,7,13.0,1.8571428571428572,6.392857142857142,0.03864991482112436,3.0
235,3,12.0,4.0,7,11.0,1.5714285714285714,2.428571428571429,0.0375,0.0
240,5,20.0,4.0,6,34.0,5.666666666666667,1.666666666666667,0.06944444444444445,5.0
245,4,31.0,7.75,3,21.0,7.0,0.75,0.080404953145917,5.84999999999998
250,7,48.0,6.857142857142857,6,14.0,2.3333333333333335,4.523809523809524,0.0712166172106825,0.0
255,3,36.0,12.0,2,4.0,2.0,10.0,0.03333333333333333,0.0
260,2,15.0,7.5,1,9.0,9.0,1.5,0.02379441624365482,0.0
265,4,23.0,5.75,2,0.0,0.0,5.75,0.02970575022461815,0.0
270,2,14.0,7.0,2,4.0,2.0,5.0,0.04083333333333333,0.0
275,2,16.0,8.0,4,0.0,0.0,8.0,0.0365296803652968,0.0
280,5,32.0,6.4,3,4.0,1.3333333333333333,5.066666666666667,0.055846422338568937,0.0
285,3,27.0,9.0,4,9.0,2.25,6.75,0.04616261398176292,0.0
290,4,42.0,10.5,1,14.0,14.0,3.5,0.054525222551928786,0.0
295,5,62.0,12.4,2,0.0,0.0,12.4,0.06094622019279553,0.0
300,6,88.0,14.666666666666666,6,5.0,0.8333333333333334,13.833333333333332,0.07076023391812865,0.5999999999999979
305,4,22.0,5.5,5,15.0,3.0,2.5,0.062242798353909466,3.3999999999999915
310,6,33.0,5.5,6,39.0,6.5,1.0,0.05923629242819843,7.999999999999989
315,2,9.0,4.5,3,16.0,5.333333333333333,0.833333333333333,0.0375,3.299999999999983
320,6,23.0,3.8333333333333335,4,26.0,6.5,2.6666666666666665,0.08163580246913581,5.5
325,6,38.0,6.333333333333333,4,0.0,0.0,6.333333333333333,0.08130630630630631,0.0
330,4,50.0,12.5,2,0.0,0.0,12.5,0.07377242681775259,0.0
335,3,21.0,7.0,1,0.0,0.0,7.0,0.03365384615384615,0.0
340,6,39.0,6.5,1,0.0,0.0,6.5,0.05628330373001776,0.0
345,3,13.0,4.333333333333333,1,0.0,0.0,4.333333333333333,0.05771857923497268,0.0
350,5,27.0,5.4,2,0.0,0.0,5.4,0.07336956521739131,0.0
355,7,45.0,6.428571428571429,4,0.0,0.0,6.428571428571429,0.07362565445026178,0.0
360,6,53.0,8.833333333333334,3,0.0,0.0,8.833333333333334,0.06480712440014766,0.0
365,4,46.0,11.5,1,0.0,0.0,11.5,0.04182479443390259,0.0
370,7,50.0,7.142857142857143,1,0.0,0.0,7.142857142857143,0.036118816458622284,0.0
375,2,17.0,8.5,4,0.0,0.0,8.5,0.03834925690021231,0.0
380,3,18.0,6.0,3,6.0,2.0,4.0,0.039705882352941174,2.0
385,2,4.0,2.0,4,7.0,1.75,0.25,0.020833333333333332,0.0
390,3,12.0,4.0,3,15.0,5.0,1.0,0.03488372093023256,1.5
395,4,26.0,6.5,3,13.0,4.333333333333333,2.166666666666667,0.05458656330749354,3.0
400,7,36.0,5.142857142857143,5,23.0,4.6,0.5428571428571436,0.08823529411764706,6.049999999999969
405,8,71.0,8.875,5,37.0,7.4,1.4749999999999996,0.10951077511296489,10.599999999999966
410,4,57.0,14.25,1,0.0,0.0,14.25,0.07301779935275081,0.0
415,3,32.0,10.666666666666666,1,1.0,1.0,9.666666666666666,0.0392156862745098,0.0
420,2,4.0,2.0,6,0.0,0.0,2.0,0.03333333333333333,0.0
425,3,16.0,5.333333333333333,3,7.0,2.3333333333333335,2.9999999999999996,0.05442176870748299,2.0
430,5,26.0,5.2,2,8.0,4.0,1.2000000000000002,0.05416666666666667,0.0
435,3,18.0,6.0,5,13.0,2.6,3.4,0.055327868852459015,0.0
440,4,34.0,8.5,6,25.0,4.166666666666667,4.333333333333333,0.06371252204585538,3.549999999999997
445,6,45.0,7.5,5,29.0,5.8,1.7000000000000002,0.06643700787401575,3.0
450,5,43.0,8.6,3,44.0,14.666666666666666,6.066666666666666,0.06474089635854342,8.199999999999996
455,5,37.0,7.4,3,14.0,4.666666666666667,2.7333333333333334,0.06004385964912281,0.0
460,6,53.0,8.833333333333334,6,22.0,3.6666666666666665,5.166666666666668,0.0702531012404962,1.9499999999999957
465,6,66.0,11.0,5,6.0,1.2,9.8,0.06472895863052781,1.5999999999999979
470,3,28.0,9.333333333333334,3,0.0,0.0,9.333333333333334,0.05408388520971302,0.0
475,5,18.0,3.6,3,5.0,1.6666666666666667,1.9333333333333333,0.051923076923076926,0.0
480,3,26.0,8.666666666666666,2,10.0,5.0,3.666666666666666,0.048563218390804595,0.0
485,5,28.0,5.6,1,0.0,0.0,5.6,0.05875299760191847,0.0
490,8,55.0,6.875,4,0.0,0.0,6.875,0.06359317188025564,0.0
495,5,31.0,6.2,2,5.0,2.5,3.7,0.06786723163841808,0.0
500,6,50.0,8.333333333333334,2,10.0,5.0,3.333333333333334,0.06461952026468155,0.0
505,8,72.0,9.0,2,0.0,0.0,9.0,0.06585365853658537,0.0
510,7,65.0,9.285714285714286,2,5.0,2.5,6.7857142857142865,0.08023776967487085,0.0
515,6,54.0,9.0,3,4.0,1.3333333333333333,7.666666666666667,0.07788461538461539,0.0
520,7,82.0,11.714285714285714,4,9.0,2.25,9.464285714285714,0.09002784918594688,0.0
525,7,76.0,10.857142857142858,4,21.0,5.25,5.607142857142858,0.07937554969217238,3.6499999999999986
