step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
10,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
15,3,5.0,1.6666666666666667,1,5.0,5.0,3.333333333333333,0.020833333333333332,3.75
20,6,24.0,4.0,2,10.0,5.0,1.0,0.041379310344827586,6.999999999999993
25,7,56.0,8.0,1,15.0,15.0,7.0,0.05681159420289855,8.999999999999995
30,11,105.0,9.545454545454545,3,22.0,7.333333333333333,2.212121212121212,0.07944915254237288,11.0
35,12,160.0,13.333333333333334,3,32.0,10.666666666666666,2.666666666666668,0.09107468123861566,15.099999999999987
40,15,226.0,15.066666666666666,3,42.0,14.0,1.0666666666666664,0.09652425012094823,18.299999999999994
45,18,261.0,14.5,2,52.0,26.0,11.5,0.08212415369480933,21.5
50,20,325.0,16.25,3,62.0,20.666666666666668,4.416666666666668,0.07934665681077897,25.599999999999987
55,23,429.0,18.652173913043477,3,72.0,24.0,5.347826086956523,0.08792596372142088,28.79999999999996
60,22,374.0,17.0,0,0,0,17.0,0.0795632428693642,0.0
65,16,225.0,14.0625,1,0.0,0.0,14.0625,0.11026529012023001,0.0
70,17,273.0,16.058823529411764,5,1.0,0.2,15.858823529411765,0.12778269278248705,0.0
75,23,363.0,15.782608695652174,1,6.0,6.0,9.782608695652174,0.16325825156110615,0.0
80,28,485.0,17.321428571428573,5,14.0,2.8,14.521428571428572,0.20215836117871924,2.099999999999998
85,31,629.0,20.29032258064516,6,33.0,5.5,14.79032258064516,0.2402857135916198,5.999999999999989
90,26,464.0,17.846153846153847,7,65.0,9.285714285714286,8.56043956043956,0.23034784990413584,10.5
95,25,476.0,19.04,7,97.0,13.857142857142858,5.1828571428571415,0.23012545501820073,15.249999999999996
100,30,611.0,20.366666666666667,10,134.0,13.4,6.966666666666667,0.24804722798065168,19.74999999999999
105,33,534.0,16.181818181818183,4,3.0,0.75,15.431818181818183,0.2090341308937368,0.0
110,26,547.0,21.03846153846154,3,8.0,2.6666666666666665,18.371794871794872,0.17185015943906853,0.0
115,26,677.0,26.03846153846154,11,17.0,1.5454545454545454,24.493006993006993,0.1879519090079982,0.5999999999999943
120,29,813.0,28.03448275862069,7,37.0,5.285714285714286,22.748768472906406,0.2008692179773314,5.400000000000006
125,34,964.0,28.352941176470587,11,62.0,5.636363636363637,22.71657754010695,0.2129381140929755,10.599999999999994
130,37,1132.0,30.594594594594593,12,98.0,8.166666666666666,22.427927927927925,0.22565112531133424,15.199999999999989
135,38,953.0,25.07894736842105,13,145.0,11.153846153846153,13.925101214574898,0.24157064581338442,19.89999999999999
140,28,620.0,22.142857142857142,15,203.0,13.533333333333333,8.60952380952381,0.15196655154528318,24.799999999999997
145,29,760.0,26.20689655172414,13,263.0,20.23076923076923,5.976127320954909,0.16691634762988034,29.700000000000003
150,28,578.0,20.642857142857142,4,38.0,9.5,11.142857142857142,0.1536713621242898,1.7999999999999972
155,26,390.0,15.0,4,25.0,6.25,8.75,0.1299946668854611,0.0
160,29,521.0,17.96551724137931,10,37.0,3.7,14.26551724137931,0.14933902430436352,1.8500000000000014
165,31,656.0,21.161290322580644,10,57.0,5.7,15.461290322580645,0.16301791645453004,6.199999999999989
170,34,802.0,23.58823529411765,7,84.0,12.0,11.588235294117649,0.17467585229988442,11.599999999999994
175,37,979.0,26.45945945945946,9,115.0,12.777777777777779,13.681681681681681,0.19019765898605806,16.19999999999999
180,39,915.0,23.46153846153846,14,159.0,11.357142857142858,12.104395604395602,0.1841233334388954,20.799999999999983
185,35,804.0,22.97142857142857,16,213.0,13.3125,9.658928571428572,0.14441823056300268,25.799999999999983
190,35,949.0,27.114285714285714,19,281.0,14.789473684210526,12.324812030075188,0.1525991300198721,30.399999999999977
195,36,842.0,23.38888888888889,6,73.0,12.166666666666666,11.222222222222223,0.14421092885504133,11.649999999999991
200,24,546.0,22.75,6,96.0,16.0,6.75,0.12835840945728103,16.64999999999999
205,25,667.0,26.68,15,122.0,8.133333333333333,18.546666666666667,0.1435488846211429,21.5
210,35,817.0,23.34285714285714,9,155.0,17.22222222222222,6.12063492063492,0.16396869239506814,26.199999999999996
