step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
10,1,0.0,0.0,1,5.0,5.0,5.0,1.0,4.249999999999998
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,2,7.0,3.5,0,0,0,3.5,0.04083333333333333,0.0
25,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
30,2,5.0,2.5,0,0,0,2.5,0.020833333333333332,0.0
35,3,8.0,2.6666666666666665,1,0.0,0.0,2.6666666666666665,0.05128205128205128,0.0
40,8,28.0,3.5,1,0.0,0.0,3.5,0.10337552742616034,0.0
45,7,43.0,6.142857142857143,2,2.0,1.0,5.142857142857143,0.07813556457065585,0.5999999999999979
50,6,28.0,4.666666666666667,2,1.0,0.5,4.166666666666667,0.05337690631808279,0.1999999999999993
55,9,55.0,6.111111111111111,2,7.0,3.5,2.6111111111111107,0.07405503329416373,1.4999999999999893
60,6,21.0,3.5,5,17.0,3.4,0.10000000000000009,0.06805555555555555,6.2500000000000036
65,8,51.0,6.375,4,29.0,7.25,0.875,0.11603319057815846,11.0
70,8,52.0,6.5,4,18.0,4.5,2.0,0.09115426105717368,1.7999999999999972
75,8,74.0,9.25,3,28.0,9.333333333333334,0.08333333333333393,0.098517559009787,5.949999999999985
80,8,76.0,9.5,6,42.0,7.0,2.5,0.08287419651056015,9.75
85,13,130.0,10.0,7,60.0,8.571428571428571,1.4285714285714288,0.11967482438250623,13.149999999999984
90,8,108.0,13.5,6,55.0,9.166666666666666,4.333333333333334,0.07147058823529412,9.799999999999994
95,13,148.0,11.384615384615385,10,41.0,4.1,7.284615384615385,0.08678838595156586,9.0
100,10,48.0,4.8,9,40.0,4.444444444444445,0.3555555555555552,0.1348314606741573,8.199999999999996
105,15,90.0,6.0,5,65.0,13.0,7.0,0.20282451923076922,13.199999999999996
110,9,79.0,8.777777777777779,5,49.0,9.8,1.0222222222222221,0.10736650151390036,13.74999999999999
115,13,106.0,8.153846153846153,5,65.0,13.0,4.846153846153847,0.10601600241545894,18.25
120,12,132.0,11.0,8,87.0,10.875,0.125,0.08529135338345864,22.99999999999998
125,10,98.0,9.8,7,115.0,16.428571428571427,6.628571428571426,0.09808006535947712,27.500000000000007
130,10,97.0,9.7,7,142.0,20.285714285714285,10.585714285714285,0.08246564296732577,32.249999999999986
135,14,105.0,7.5,7,175.0,25.0,17.5,0.09786429484448232,37.0
140,16,136.0,8.5,9,195.0,21.666666666666668,13.166666666666668,0.1590971648775117,42.0
145,13,126.0,9.692307692307692,8,185.0,23.125,13.432692307692308,0.11143867924528301,45.999999999999915
150,16,185.0,11.5625,9,222.0,24.666666666666668,13.104166666666668,0.10981377380769033,49.99999999999997
155,8,106.0,13.25,9,157.0,17.444444444444443,4.194444444444443,0.06039301685586515,11.799999999999997
160,9,97.0,10.777777777777779,7,31.0,4.428571428571429,6.34920634920635,0.04093147490777476,4.3999999999999915
165,10,124.0,12.4,5,6.0,1.2,11.200000000000001,0.043476293883460006,0.0
170,10,170.0,17.0,7,16.0,2.2857142857142856,14.714285714285715,0.05530804090881254,0.6499999999999986
175,10,39.0,3.9,11,37.0,3.3636363636363638,0.5363636363636362,0.0601280834914611,5.099999999999994
180,12,67.0,5.583333333333333,11,68.0,6.181818181818182,0.5984848484848486,0.10836713016608729,10.099999999999994
185,9,72.0,8.0,9,97.0,10.777777777777779,2.7777777777777786,0.05850487540628386,15.0
190,10,77.0,7.7,6,100.0,16.666666666666668,8.966666666666669,0.09764492753623188,17.5
195,7,56.0,8.0,11,125.0,11.363636363636363,3.3636363636363633,0.05741066198008202,23.19999999999996
200,12,73.0,6.083333333333333,13,117.0,9.0,2.916666666666667,0.10916502785971813,22.19999999999999
205,7,59.0,8.428571428571429,6,46.0,7.666666666666667,0.7619047619047619,0.06659397000306091,1.5999999999999943
210,14,94.0,6.714285714285714,9,66.0,7.333333333333333,0.6190476190476186,0.08538188002473716,6.549999999999997
215,9,69.0,7.666666666666667,7,21.0,3.0,4.666666666666667,0.08070585842148088,2.749999999999986
220,10,66.0,6.6,3,5.0,1.6666666666666667,4.933333333333333,0.0797451669595782,0.0
225,7,29.0,4.142857142857143,9,18.0,2.0,2.1428571428571432,0.034153671215074725,1.5999999999999943
230,11,73.0,6.636363636363637,11,43.0,3.909090909090909,2.7272727272727275,0.07270519537218947,5.799999999999983
235,11,47.0,4.2727272727272725,7,37.0,5.285714285714286,1.012987012987013,0.1267791551882461,8.0
240,14,84.0,6.0,10,62.0,6.2,0.20000000000000018,0.14969450101832993,13.0
245,6,31.0,5.166666666666667,8,26.0,3.25,1.916666666666667,0.0669593088071349,0.6999999999999957
250,7,50.0,7.142857142857143,5,46.0,9.2,2.057142857142856,0.07915400202634246,5.850000000000001
255,10,66.0,6.6,9,66.0,7.333333333333333,0.7333333333333334,0.09056886227544911,10.850000000000001
260,13,105.0,8.076923076923077,6,49.0,8.166666666666666,0.08974358974358942,0.1243570655116405,11.999999999999957
265,15,116.0,7.733333333333333,5,26.0,5.2,2.533333333333333,0.1513678905687545,0.7999999999999972
270,17,154.0,9.058823529411764,7,24.0,3.4285714285714284,5.630252100840336,0.14246924259900037,4.850000000000001
275,12,109.0,9.083333333333334,10,49.0,4.9,4.183333333333334,0.1386671335200747,9.899999999999999
280,13,117.0,9.0,8,68.0,8.5,0.5,0.11760309278350516,14.850000000000001
285,10,78.0,7.8,4,71.0,17.75,9.95,0.11377917414721724,19.0
290,11,107.0,9.727272727272727,4,67.0,16.75,7.022727272727273,0.09811634443987385,14.249999999999936
295,5,37.0,7.4,10,82.0,8.2,0.7999999999999989,0.04127472262421611,17.00000000000003
300,11,54.0,4.909090909090909,11,113.0,10.272727272727273,5.363636363636364,0.060029644268774704,20.79999999999994
305,12,66.0,5.5,8,78.0,9.75,4.25,0.10196629213483147,8.0
310,17,103.0,6.0588235294117645,11,111.0,10.090909090909092,4.032085561497327,0.21029575007928958,13.0
315,15,125.0,8.333333333333334,8,46.0,5.75,2.583333333333334,0.15687751004016065,6.59999999999998
320,18,193.0,10.722222222222221,9,69.0,7.666666666666667,3.0555555555555545,0.1628585169639734,11.25
325,16,181.0,11.3125,15,106.0,7.066666666666666,4.245833333333334,0.12665073916001732,16.59999999999998
330,12,143.0,11.916666666666666,10,78.0,7.8,4.116666666666666,0.10815456545654566,10.799999999999997
335,9,117.0,13.0,8,84.0,10.5,2.5,0.0690359477124183,13.799999999999983
340,11,106.0,9.636363636363637,11,108.0,9.818181818181818,0.18181818181818166,0.055104362837413684,18.799999999999983
345,15,163.0,10.866666666666667,10,107.0,10.7,0.16666666666666785,0.08375258485903062,17.59999999999998
350,17,147.0,8.647058823529411,6,42.0,7.0,1.6470588235294112,0.10731525625744935,5.599999999999966
355,16,176.0,11.0,8,61.0,7.625,3.375,0.07651569045925223,9.149999999999984
360,12,133.0,11.083333333333334,10,74.0,7.4,3.6833333333333336,0.08350800664702772,7.0
365,6,88.0,14.666666666666666,9,92.0,10.222222222222221,4.444444444444445,0.047035957240038874,10.599999999999994
370,8,79.0,9.875,8,92.0,11.5,1.625,0.030343251653053287,13.0
375,13,130.0,10.0,9,120.0,13.333333333333334,3.333333333333334,0.05084970152127864,18.0
380,12,85.0,7.083333333333333,6,100.0,16.666666666666668,9.583333333333336,0.13355885832593908,11.84999999999998
385,13,117.0,9.0,7,120.0,17.142857142857142,8.142857142857142,0.12898575305291723,16.84999999999998
390,17,139.0,8.176470588235293,8,144.0,18.0,9.823529411764707,0.11018911397025276,21.84999999999998
395,14,155.0,11.071428571428571,12,183.0,15.25,4.178571428571429,0.12943388500991293,26.84999999999998
400,13,115.0,8.846153846153847,11,191.0,17.363636363636363,8.517482517482517,0.08433450668299153,22.899999999999906
405,13,131.0,10.076923076923077,12,208.0,17.333333333333332,7.2564102564102555,0.12156437719596509,29.199999999999932
410,8,63.0,7.875,9,140.0,15.555555555555555,7.680555555555555,0.09648483080513419,17.599999999999966
415,13,86.0,6.615384615384615,9,138.0,15.333333333333334,8.717948717948719,0.1058264652014652,14.5
420,10,66.0,6.6,15,146.0,9.733333333333333,3.133333333333333,0.0819043321299639,11.75
425,8,70.0,8.75,10,178.0,17.8,9.05,0.07375963391136801,16.65
430,6,28.0,4.666666666666667,11,212.0,19.272727272727273,14.606060606060606,0.0674931129476584,21.549999999999997
435,9,52.0,5.777777777777778,11,253.0,23.0,17.22222222222222,0.07653985507246377,26.599999999999994
440,7,35.0,5.0,10,257.0,25.7,20.7,0.049363313990973566,27.949999999999974
445,11,54.0,4.909090909090909,8,246.0,30.75,25.84090909090909,0.11045454545454546,27.099999999999923
450,10,48.0,4.8,8,49.0,6.125,1.3250000000000002,0.0967741935483871,6.5
455,7,56.0,8.0,9,55.0,6.111111111111111,1.8888888888888893,0.08085808580858085,4.949999999999974
460,7,71.0,10.142857142857142,10,78.0,7.8,2.3428571428571425,0.07750615006150062,11.299999999999962
465,8,74.0,9.25,11,108.0,9.818181818181818,0.5681818181818183,0.0674251379038613,16.75
470,7,32.0,4.571428571428571,8,73.0,9.125,4.553571428571429,0.09876543209876543,12.099999999999987
