step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,2,3.0,1.5,0,0,0,1.5,0.020833333333333332,0.0
20,4,19.0,4.75,1,0.0,0.0,4.75,0.06899847094801223,0.0
25,4,32.0,8.0,1,2.0,2.0,6.0,0.06095238095238095,1.1999999999999993
30,7,60.0,8.571428571428571,1,7.0,7.0,1.5714285714285712,0.09351620947630923,3.8499999999999925
35,4,45.0,11.25,1,0.0,0.0,11.25,0.05967114568599717,0.0
40,8,76.0,9.5,0,0,0,9.5,0.08757884522076662,0.0
45,8,40.0,5.0,2,0.0,0.0,5.0,0.04748338081671415,0.0
50,11,91.0,8.272727272727273,0,0,0,8.272727272727273,0.08035437043937277,0.0
55,4,27.0,6.75,1,0.0,0.0,6.75,0.022433530280649927,0.0
60,8,52.0,6.5,2,0.0,0.0,6.5,0.04117933723196881,0.0
65,7,47.0,6.714285714285714,1,0.0,0.0,6.714285714285714,0.09488831615120275,0.0
70,13,96.0,7.384615384615385,0,0,0,7.384615384615385,0.12403100775193798,0.0
75,7,50.0,7.142857142857143,4,0.0,0.0,7.142857142857143,0.04276135741652983,0.0
80,11,94.0,8.545454545454545,4,6.0,1.5,7.045454545454545,0.0795520023048113,1.6999999999999957
85,5,24.0,4.8,2,11.0,5.5,0.7000000000000002,0.0392156862745098,1.5999999999999943
90,8,55.0,6.875,6,21.0,3.5,3.375,0.05465813819022839,5.25
95,8,66.0,8.25,4,31.0,7.75,0.5,0.03632906325060048,7.799999999999983
100,15,128.0,8.533333333333333,4,48.0,12.0,3.466666666666667,0.05471839264721599,12.199999999999974
105,8,73.0,9.125,6,17.0,2.8333333333333335,6.291666666666666,0.07958482676224611,4.199999999999985
110,6,77.0,12.833333333333334,3,27.0,9.0,3.833333333333334,0.06783131978766245,6.0
115,8,34.0,4.25,5,19.0,3.8,0.4500000000000002,0.05789262820512821,1.0
120,16,97.0,6.0625,3,29.0,9.666666666666666,3.604166666666666,0.12289707419017763,3.149999999999995
125,12,104.0,8.666666666666666,6,28.0,4.666666666666667,3.999999999999999,0.09250136836343732,0.34999999999999787
130,18,183.0,10.166666666666666,6,49.0,8.166666666666666,2.0,0.1102017848681093,5.299999999999997
135,10,94.0,9.4,7,60.0,8.571428571428571,0.8285714285714292,0.11349157418824496,10.349999999999998
140,10,117.0,11.7,8,91.0,11.375,0.3249999999999993,0.09823889080261798,15.349999999999998
145,12,117.0,9.75,1,10.0,10.0,0.25,0.07684923201293452,0.0
150,23,204.0,8.869565217391305,3,16.0,5.333333333333333,3.5362318840579716,0.12200956937799043,0.29999999999999716
155,12,121.0,10.083333333333334,7,21.0,3.0,7.083333333333334,0.1372113510271405,0.25
160,16,193.0,12.0625,4,36.0,9.0,3.0625,0.15291050903119868,4.3999999999999915
165,13,146.0,11.23076923076923,1,0.0,0.0,11.23076923076923,0.09653985507246376,0.0
170,15,211.0,14.066666666666666,2,5.0,2.5,11.566666666666666,0.11592561346498355,0.0
175,8,78.0,9.75,9,6.0,0.6666666666666666,9.083333333333334,0.10723350253807107,0.9499999999999957
180,10,120.0,12.0,9,23.0,2.5555555555555554,9.444444444444445,0.13357079252003562,2.0
185,6,90.0,15.0,9,29.0,3.2222222222222223,11.777777777777779,0.09698275862068965,6.899999999999999
190,12,106.0,8.833333333333334,7,56.0,8.0,0.8333333333333339,0.12531227694503927,11.899999999999999
195,14,141.0,10.071428571428571,7,68.0,9.714285714285714,0.35714285714285765,0.14356585788561524,15.400000000000006
200,16,195.0,12.1875,10,55.0,5.5,6.6875,0.15955438066465258,8.5
205,16,202.0,12.625,3,22.0,7.333333333333333,5.291666666666667,0.12695390282755875,0.0
210,19,281.0,14.789473684210526,11,36.0,3.272727272727273,11.516746411483252,0.1464975361415383,2.0
215,15,258.0,17.2,7,21.0,3.0,14.2,0.09732944974733296,4.550000000000004
220,17,284.0,16.705882352941178,7,43.0,6.142857142857143,10.563025210084035,0.08777336676417329,9.25
225,11,132.0,12.0,9,68.0,7.555555555555555,4.444444444444445,0.07524875621890548,14.399999999999991
230,13,162.0,12.461538461538462,5,52.0,10.4,2.0615384615384613,0.07775170648464164,9.799999999999969
235,13,138.0,10.615384615384615,3,39.0,13.0,2.384615384615385,0.07410347403810236,0.0
240,15,153.0,10.2,6,53.0,8.833333333333334,1.3666666666666654,0.08503705318221447,3.4000000000000057
245,12,156.0,13.0,7,9.0,1.2857142857142858,11.714285714285714,0.06989247311827956,0.0
250,10,191.0,19.1,3,19.0,6.333333333333333,12.76666666666667,0.0763149747297252,0.0
255,13,158.0,12.153846153846153,7,10.0,1.4285714285714286,10.725274725274724,0.05025930936734957,0.0
260,16,132.0,8.25,7,19.0,2.7142857142857144,5.535714285714286,0.06119352663519892,0.0
265,15,105.0,7.0,9,32.0,3.5555555555555554,3.4444444444444446,0.10445088676671214,2.6999999999999957
270,13,130.0,10.0,6,49.0,8.166666666666666,1.833333333333334,0.0939389896833867,7.1000000000000085
275,12,123.0,10.25,5,22.0,4.4,5.85,0.1149061246810062,0.0
280,11,149.0,13.545454545454545,6,39.0,6.5,7.045454545454545,0.10814141532226638,4.099999999999987
285,13,85.0,6.538461538461538,6,25.0,4.166666666666667,2.3717948717948714,0.09437042842215256,3.75
290,12,101.0,8.416666666666666,10,46.0,4.6,3.8166666666666664,0.0987091655054962,8.499999999999979
295,13,88.0,6.769230769230769,9,26.0,2.888888888888889,3.8803418803418803,0.11458333333333333,3.3999999999999915
300,15,147.0,9.8,7,36.0,5.142857142857143,4.6571428571428575,0.12276724843196073,3.799999999999997
305,15,129.0,8.6,6,28.0,4.666666666666667,3.9333333333333327,0.07806518802071606,3.75
310,16,137.0,8.5625,7,48.0,6.857142857142857,1.7053571428571432,0.1512653127014829,8.249999999999993
315,11,75.0,6.818181818181818,8,33.0,4.125,2.6931818181818183,0.09049227799227799,4.0
320,14,107.0,7.642857142857143,4,26.0,6.5,1.1428571428571432,0.12200554134697357,3.3999999999999915
325,15,126.0,8.4,5,9.0,1.8,6.6000000000000005,0.1268213190184049,0.0
330,20,176.0,8.8,5,5.0,1.0,7.800000000000001,0.14208131513283428,0.0
335,17,140.0,8.235294117647058,5,10.0,2.0,6.235294117647058,0.12218232595252344,0.0
340,20,199.0,9.95,4,18.0,4.5,5.449999999999999,0.11794436502263522,0.0
345,19,205.0,10.789473684210526,5,0.0,0.0,10.789473684210526,0.1409175653200279,0.0
350,19,251.0,13.210526315789474,5,6.0,1.2,12.010526315789475,0.12580473817054857,0.0
355,15,146.0,9.733333333333333,7,8.0,1.1428571428571428,8.59047619047619,0.13256218905472636,0.0
360,16,178.0,11.125,4,24.0,6.0,5.125,0.11687027856468367,3.0
365,13,122.0,9.384615384615385,4,18.0,4.5,4.884615384615385,0.07690558862433862,0.0
370,16,176.0,11.0,3,0.0,0.0,11.0,0.08426917384869853,0.0
375,15,141.0,9.4,4,3.0,0.75,8.65,0.12787511577647423,0.0
380,14,127.0,9.071428571428571,4,8.0,2.0,7.071428571428571,0.13845110561736026,0.0
385,12,92.0,7.666666666666667,2,0.0,0.0,7.666666666666667,0.15688018979833926,0.0
390,13,125.0,9.615384615384615,5,0.0,0.0,9.615384615384615,0.1777830875659931,0.0
395,16,154.0,9.625,4,5.0,1.25,8.375,0.15488505747126438,0.0
400,20,182.0,9.1,7,13.0,1.8571428571428572,7.242857142857142,0.1850089365504915,0.0
405,18,164.0,9.11111111111111,7,23.0,3.2857142857142856,5.825396825396825,0.13385889472845994,0.0
410,20,225.0,11.25,5,40.0,8.0,3.25,0.15069117016716674,3.549999999999997
415,16,136.0,8.5,6,27.0,4.5,4.0,0.1293933288560555,0.6499999999999986
420,21,231.0,11.0,4,42.0,10.5,0.5,0.1617,3.8999999999999915
425,15,180.0,12.0,5,31.0,6.2,5.8,0.09043408360128617,1.1999999999999886
430,15,211.0,14.066666666666666,9,45.0,5.0,9.066666666666666,0.07736432007117636,3.0
435,9,64.0,7.111111111111111,5,29.0,5.8,1.311111111111111,0.08654496281271129,2.0999999999999943
440,13,84.0,6.461538461538462,6,36.0,6.0,0.4615384615384617,0.1378986866791745,2.799999999999983
445,11,99.0,9.0,6,21.0,3.5,5.5,0.12737835308796008,0.6499999999999986
450,15,138.0,9.2,10,39.0,3.9,5.299999999999999,0.14683567727609179,4.799999999999983
455,8,97.0,12.125,7,29.0,4.142857142857143,7.982142857142857,0.07316940400647008,1.6999999999999957
460,9,55.0,6.111111111111111,5,25.0,5.0,1.1111111111111107,0.07602030558906313,4.199999999999974
465,11,59.0,5.363636363636363,8,42.0,5.25,0.11363636363636331,0.09333440583440583,8.5
470,15,101.0,6.733333333333333,7,61.0,8.714285714285714,1.9809523809523801,0.1206819042210865,12.999999999999957
475,17,149.0,8.764705882352942,0,0,0,8.764705882352942,0.16715606553427298,0.0
480,19,196.0,10.31578947368421,6,1.0,0.16666666666666666,10.149122807017545,0.17960801915020946,0.0
485,14,153.0,10.928571428571429,11,11.0,1.0,9.928571428571429,0.13043260230008025,1.0
