step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
15,3,6.0,2.0,1,0.0,0.0,2.0,0.028846153846153848,0.0
20,5,21.0,4.2,1,0.0,0.0,4.2,0.06166107382550336,0.0
25,6,48.0,8.0,0,0,0,8.0,0.08135593220338982,0.0
30,11,92.0,8.363636363636363,0,0,0,8.363636363636363,0.08485723452037215,0.0
35,14,150.0,10.714285714285714,0,0,0,10.714285714285714,0.09101941747572816,0.0
40,17,224.0,13.176470588235293,0,0,0,13.176470588235293,0.10133126534832622,0.0
45,15,159.0,10.6,0,0,0,10.6,0.08741701244813278,0.0
50,4,13.0,3.25,0,0,0,3.25,0.03230122324159022,0.0
55,6,37.0,6.166666666666667,0,0,0,6.166666666666667,0.048753561253561256,0.0
60,13,81.0,6.230769230769231,0,0,0,6.230769230769231,0.08299180327868852,0.0
65,19,151.0,7.947368421052632,1,0.0,0.0,7.947368421052632,0.11560497282388253,0.0
70,22,246.0,11.181818181818182,0,0,0,11.181818181818182,0.13075606720597385,0.0
75,27,363.0,13.444444444444445,0,0,0,13.444444444444445,0.1401964914968592,0.0
80,30,444.0,14.8,2,0.0,0.0,14.8,0.13115539375359264,0.0
85,32,599.0,18.71875,2,2.0,1.0,17.71875,0.13836737747502606,0.3999999999999986
90,29,501.0,17.275862068965516,0,0,0,17.275862068965516,0.13206686450309382,0.0
95,9,27.0,3.0,0,0,0,3.0,0.07631909547738694,0.0
100,20,86.0,4.3,1,0.0,0.0,4.3,0.14844251766217084,0.0
105,27,174.0,6.444444444444445,4,6.0,1.5,4.944444444444445,0.14975071225071226,2.1000000000000014
110,25,225.0,9.0,3,16.0,5.333333333333333,3.666666666666667,0.15758068130883013,7.0
115,23,296.0,12.869565217391305,4,26.0,6.5,6.369565217391305,0.1546368462668022,11.399999999999991
120,21,297.0,14.142857142857142,2,36.0,18.0,3.8571428571428577,0.14229094076655052,17.0
125,24,377.0,15.708333333333334,4,47.0,11.75,3.958333333333334,0.13414673281082468,22.0
130,25,491.0,19.64,6,58.0,9.666666666666666,9.973333333333334,0.13735118640668728,25.749999999999982
135,21,343.0,16.333333333333332,3,12.0,4.0,12.333333333333332,0.13103559654281385,3.9499999999999993
140,18,55.0,3.0555555555555554,1,10.0,10.0,6.944444444444445,0.10884427173287277,0.0
145,29,175.0,6.0344827586206895,5,18.0,3.6,2.4344827586206894,0.1417509072058061,1.8499999999999979
150,31,296.0,9.548387096774194,3,27.0,9.0,0.548387096774194,0.1437270341207349,5.59999999999998
155,28,363.0,12.964285714285714,5,42.0,8.4,4.564285714285713,0.11716049250992275,10.25
160,30,506.0,16.866666666666667,4,60.0,15.0,1.8666666666666671,0.12438399713957031,14.899999999999995
165,33,662.0,20.060606060606062,5,76.0,15.2,4.860606060606063,0.12986946791461598,19.54999999999999
170,40,844.0,21.1,5,101.0,20.2,0.9000000000000021,0.13446228375374505,24.199999999999985
175,41,1040.0,25.365853658536587,6,128.0,21.333333333333332,4.032520325203254,0.1374050766704067,29.54999999999999
180,36,917.0,25.47222222222222,4,7.0,1.75,23.72222222222222,0.12636981319444945,0.0
185,15,129.0,8.6,2,12.0,6.0,2.5999999999999996,0.051475501113585745,0.0
190,20,96.0,4.8,8,23.0,2.875,1.9249999999999998,0.11650485436893204,3.5999999999999943
195,19,174.0,9.157894736842104,4,41.0,10.25,1.0921052631578956,0.10059808612440191,8.399999999999991
200,23,248.0,10.782608695652174,6,61.0,10.166666666666666,0.6159420289855078,0.12461907540685989,13.199999999999989
205,33,328.0,9.93939393939394,5,86.0,17.2,7.26060606060606,0.1312717191831635,18.0
210,29,447.0,15.413793103448276,5,111.0,22.2,6.7862068965517235,0.13120331263592525,22.799999999999997
215,31,547.0,17.64516129032258,5,136.0,27.2,9.55483870967742,0.1193223872692585,27.599999999999994
220,43,733.0,17.046511627906977,7,162.0,23.142857142857142,6.0963455149501655,0.1282822104052779,32.8
225,40,650.0,16.25,3,6.0,2.0,14.25,0.11896314817317656,0.0
230,20,103.0,5.15,0,0,0,5.15,0.08407030556612147,0.0
235,30,144.0,4.8,5,2.0,0.4,4.3999999999999995,0.14090019569471623,0.0
240,29,217.0,7.482758620689655,3,8.0,2.6666666666666665,4.816091954022989,0.11529214165393505,0.5999999999999979
245,31,334.0,10.774193548387096,5,21.0,4.2,6.574193548387096,0.12081947043737437,4.3999999999999915
250,40,466.0,11.65,6,41.0,6.833333333333333,4.816666666666667,0.12041103303878775,9.199999999999989
255,48,683.0,14.229166666666666,5,61.0,12.2,2.029166666666667,0.14178721143418488,14.199999999999989
260,51,830.0,16.274509803921568,7,83.0,11.857142857142858,4.41736694677871,0.1407674225482888,19.0
265,52,994.0,19.115384615384617,8,112.0,14.0,5.115384615384617,0.13787985352892582,23.799999999999997
270,46,907.0,19.717391304347824,0,0,0,19.717391304347824,0.13271785986241788,0.0
275,39,237.0,6.076923076923077,1,0.0,0.0,6.076923076923077,0.11464558636230038,0.0
280,53,414.0,7.811320754716981,3,4.0,1.3333333333333333,6.477987421383648,0.12053571428571429,0.3999999999999986
285,59,675.0,11.440677966101696,3,16.0,5.333333333333333,6.1073446327683625,0.13384547864465093,3.5999999999999943
290,67,982.0,14.656716417910447,3,31.0,10.333333333333334,4.323383084577113,0.14333678177321157,8.799999999999997
295,80,1345.0,16.8125,7,49.0,7.0,9.8125,0.154705743309347,13.599999999999994
300,91,1769.0,19.439560439560438,8,68.0,8.5,10.939560439560438,0.1677953071206065,18.599999999999994
305,93,2229.0,23.967741935483872,7,97.0,13.857142857142858,10.110599078341014,0.17904849361796346,23.599999999999994
310,96,2701.0,28.135416666666668,8,124.0,15.5,12.635416666666668,0.18682909122720323,28.39999999999999
315,98,2932.0,29.918367346938776,1,20.0,20.0,9.918367346938776,0.18642158301637893,0.0
320,76,2419.0,31.82894736842105,3,0.0,0.0,31.82894736842105,0.1548486233210419,0.0
325,73,2268.0,31.068493150684933,3,3.0,1.0,30.068493150684933,0.12330880880765699,0.0
330,73,1864.0,25.534246575342465,3,13.0,4.333333333333333,21.200913242009133,0.1142798803501925,1.7499999999999893
335,74,1817.0,24.554054054054053,3,23.0,7.666666666666667,16.887387387387385,0.10313899089837156,3.999999999999986
340,80,2032.0,25.4,4,33.0,8.25,17.15,0.10278494040350211,5.249999999999968
345,81,2363.0,29.17283950617284,4,48.0,12.0,17.17283950617284,0.11002444992592747,9.599999999999966
350,84,2683.0,31.94047619047619,5,68.0,13.6,18.34047619047619,0.11609258766120581,15.399999999999977
355,86,3033.0,35.26744186046512,7,91.0,13.0,22.26744186046512,0.1221757474549334,22.0
360,84,3030.0,36.07142857142857,5,16.0,3.2,32.87142857142857,0.12190176796002651,3.5
365,72,2017.0,28.01388888888889,6,39.0,6.5,21.51388888888889,0.10382682894759945,8.5
370,78,1612.0,20.666666666666668,7,64.0,9.142857142857142,11.523809523809526,0.0768554062699936,13.5
375,79,1868.0,23.645569620253166,8,91.0,11.375,12.270569620253166,0.08321142873712943,18.349999999999998
380,82,2232.0,27.21951219512195,10,129.0,12.9,14.31951219512195,0.09589294227649187,23.199999999999996
385,87,2652.0,30.482758620689655,10,172.0,17.2,13.282758620689656,0.10951437066402378,28.049999999999994
390,99,3118.0,31.494949494949495,11,220.0,20.0,11.494949494949495,0.12332724227474753,32.89999999999999
395,106,3575.0,33.72641509433962,11,270.0,24.545454545454547,9.180960548885075,0.13518366605927956,37.75
400,112,3986.0,35.589285714285715,14,325.0,23.214285714285715,12.375,0.14253777994045927,42.89999999999999
405,112,4248.0,37.92857142857143,1,0.0,0.0,37.92857142857143,0.14121385589686958,0.0
410,101,3782.0,37.445544554455445,4,1.0,0.25,37.195544554455445,0.12125563301344654,0.0
415,99,3574.0,36.101010101010104,4,11.0,2.75,33.351010101010104,0.10163224872778638,1.7499999999999893
420,100,3435.0,34.35,3,23.0,7.666666666666667,26.683333333333334,0.10068289501654516,4.799999999999983
425,102,3340.0,32.745098039215684,4,38.0,9.5,23.245098039215684,0.09774189550795925,9.799999999999983
430,105,3615.0,34.42857142857143,6,56.0,9.333333333333334,25.095238095238095,0.10122486013735113,14.399999999999977
435,112,4069.0,36.330357142857146,5,76.0,15.2,21.130357142857147,0.11154031769447732,19.0
440,119,4575.0,38.445378151260506,5,96.0,19.2,19.245378151260507,0.12225131985429245,23.599999999999966
445,117,5076.0,43.38461538461539,6,116.0,19.333333333333332,24.051282051282055,0.13112424665244002,29.799999999999983
450,114,5276.0,46.280701754385966,1,1.0,1.0,45.280701754385966,0.14357420472070817,0.0
455,100,4310.0,43.1,1,6.0,6.0,37.1,0.1685029543735352,0.0
460,93,3817.0,41.043010752688176,1,11.0,11.0,30.043010752688176,0.14870202563553617,0.0
