step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,3,5.0,1.6666666666666667,0,0,0,1.6666666666666667,0.030637254901960783,0.0
20,5,20.0,4.0,1,0.0,0.0,4.0,0.05868544600938967,0.0
25,5,40.0,8.0,2,3.0,1.5,6.5,0.05868544600938967,2.25
30,9,71.0,7.888888888888889,1,8.0,8.0,0.11111111111111072,0.06941231548799295,5.599999999999994
35,11,97.0,8.818181818181818,2,14.0,7.0,1.8181818181818183,0.08177756918370185,8.799999999999994
40,12,100.0,8.333333333333334,1,6.0,6.0,2.333333333333334,0.0970798384591488,3.899999999999997
45,16,126.0,7.875,1,11.0,11.0,3.125,0.10851377952755906,6.599999999999996
50,17,178.0,10.470588235294118,1,16.0,16.0,5.529411764705882,0.10467544137858124,8.799999999999983
55,13,189.0,14.538461538461538,1,21.0,21.0,6.461538461538462,0.07084126606377915,11.549999999999978
60,18,265.0,14.722222222222221,1,26.0,26.0,11.277777777777779,0.07566696836479614,13.0
65,22,362.0,16.454545454545453,1,31.0,31.0,14.545454545454547,0.0817732981888616,13.949999999999978
70,18,333.0,18.5,1,36.0,36.0,17.5,0.09555310832609505,14.399999999999949
75,16,325.0,20.3125,3,43.0,14.333333333333334,5.979166666666666,0.08049017276906008,15.649999999999986
80,16,332.0,20.75,4,60.0,15.0,5.75,0.07720843700266738,18.69999999999996
85,10,252.0,25.2,4,76.0,19.0,6.199999999999999,0.04748062015503876,23.69999999999996
90,13,211.0,16.23076923076923,3,33.0,11.0,5.23076923076923,0.040001761044263305,15.7
95,12,66.0,5.5,2,26.0,13.0,7.5,0.06959355828220859,10.199999999999985
100,18,134.0,7.444444444444445,4,39.0,9.75,2.3055555555555554,0.09880700827610495,14.5
105,23,224.0,9.73913043478261,5,56.0,11.2,1.46086956521739,0.11803673592291479,18.79999999999999
110,26,341.0,13.115384615384615,5,78.0,15.6,2.4846153846153847,0.1224670559290902,23.09999999999998
115,35,503.0,14.371428571428572,6,103.0,17.166666666666668,2.795238095238096,0.13419437443247875,27.39999999999997
120,34,537.0,15.794117647058824,7,124.0,17.714285714285715,1.920168067226891,0.1412476782733407,31.70000000000001
125,37,588.0,15.891891891891891,8,159.0,19.875,3.983108108108109,0.11525168805401773,36.0
130,35,730.0,20.857142857142858,8,194.0,24.25,3.3928571428571423,0.11333513682734778,40.55
135,43,724.0,16.837209302325583,5,163.0,32.6,15.762790697674419,0.10176056556771096,36.8
140,47,851.0,18.106382978723403,8,190.0,23.75,5.643617021276597,0.09636339782034332,42.0
145,39,783.0,20.076923076923077,1,27.0,27.0,6.923076923076923,0.0858696930989277,0.0
150,31,441.0,14.225806451612904,4,3.0,0.75,13.475806451612904,0.11969888327572455,0.9499999999999993
155,20,348.0,17.4,3,13.0,4.333333333333333,13.066666666666666,0.09517881394296061,3.9499999999999993
160,22,387.0,17.59090909090909,3,28.0,9.333333333333334,8.257575757575756,0.0782609922496175,8.95
165,33,511.0,15.484848484848484,5,44.0,8.8,6.684848484848484,0.08761367723717339,13.899999999999999
170,43,700.0,16.27906976744186,5,69.0,13.8,2.4790697674418603,0.1050737317386143,18.9
175,52,933.0,17.942307692307693,5,94.0,18.8,0.8576923076923073,0.12013160683885242,23.9
180,50,931.0,18.62,2,57.0,28.5,9.879999999999999,0.11444093589117957,23.79999999999994
185,48,1027.0,21.395833333333332,5,67.0,13.4,7.995833333333332,0.10030227747524037,28.04999999999993
190,51,1152.0,22.58823529411765,3,77.0,25.666666666666668,3.0784313725490193,0.10374484052532833,32.29999999999992
195,54,1327.0,24.574074074074073,5,95.0,19.0,5.574074074074073,0.10519862252949504,37.29999999999992
200,49,1169.0,23.857142857142858,4,61.0,15.25,8.607142857142858,0.08660530227672103,8.59999999999998
205,29,460.0,15.862068965517242,6,70.0,11.666666666666666,4.195402298850576,0.054870965065139825,11.5
210,34,324.0,9.529411764705882,7,96.0,13.714285714285714,4.184873949579831,0.0986913357400722,15.79999999999999
215,44,425.0,9.659090909090908,7,126.0,18.0,8.340909090909092,0.1003552506422736,20.79999999999999
220,52,637.0,12.25,8,159.0,19.875,7.625,0.10905658044679524,27.19999999999996
225,54,809.0,14.981481481481481,11,198.0,18.0,3.018518518518519,0.11045779630214704,31.5
230,59,998.0,16.915254237288135,10,243.0,24.3,7.384745762711866,0.11178676737312028,35.79999999999999
235,53,1160.0,21.88679245283019,7,123.0,17.571428571428573,4.315363881401616,0.10443209306253011,28.0
240,59,1445.0,24.491525423728813,12,164.0,13.666666666666666,10.824858757062147,0.1147774026668496,33.0
245,67,1689.0,25.208955223880597,11,209.0,19.0,6.208955223880597,0.11754057338710155,38.0
250,66,1569.0,23.772727272727273,11,255.0,23.181818181818183,0.5909090909090899,0.12091268568922796,43.0
255,58,1252.0,21.586206896551722,7,192.0,27.428571428571427,5.842364532019705,0.09014661741999716,39.749999999999986
260,53,1005.0,18.962264150943398,10,227.0,22.7,3.7377358490566017,0.10240155094969511,44.749999999999986
265,50,958.0,19.16,9,262.0,29.11111111111111,9.95111111111111,0.09226236432537462,48.99999999999998
270,52,1145.0,22.01923076923077,7,297.0,42.42857142857143,20.40934065934066,0.090649680996649,53.24999999999997
275,60,1418.0,23.633333333333333,11,333.0,30.272727272727273,6.6393939393939405,0.09959696082067669,58.24999999999997
280,70,1741.0,24.87142857142857,12,378.0,31.5,6.62857142857143,0.11106317189408103,63.24999999999997
285,66,1508.0,22.848484848484848,10,319.0,31.9,9.05151515151515,0.11154669014869334,61.899999999999935
290,63,1533.0,24.333333333333332,13,366.0,28.153846153846153,3.820512820512821,0.09871503099954634,65.75
295,66,1781.0,26.984848484848484,12,418.0,34.833333333333336,7.848484848484851,0.10167871311376615,69.59999999999991
300,70,2024.0,28.914285714285715,8,134.0,16.75,12.164285714285715,0.10576311402139088,20.99999999999998
305,65,2063.0,31.73846153846154,9,174.0,19.333333333333332,12.405128205128207,0.09345611395404807,26.25
310,69,2138.0,30.985507246376812,7,111.0,15.857142857142858,15.128364389233955,0.09962264499651989,27.0
315,62,1532.0,24.70967741935484,7,66.0,9.428571428571429,15.281105990783411,0.11408756546721856,12.599999999999966
320,55,1063.0,19.327272727272728,11,90.0,8.181818181818182,11.145454545454546,0.10439523382956613,17.0
325,53,983.0,18.547169811320753,11,134.0,12.181818181818182,6.365351629502571,0.07740884189991322,21.39999999999995
330,61,1180.0,19.34426229508197,11,189.0,17.181818181818183,2.162444113263785,0.08485938840783212,26.39999999999995
335,63,1345.0,21.349206349206348,11,244.0,22.181818181818183,0.8326118326118355,0.08656688977550535,31.39999999999995
340,67,1575.0,23.507462686567163,12,299.0,24.916666666666668,1.4092039800995053,0.09146280761368765,36.39999999999995
345,69,1858.0,26.92753623188406,13,357.0,27.46153846153846,0.5340022296544014,0.0992940676741487,40.79999999999998
350,78,2174.0,27.871794871794872,14,420.0,30.0,2.1282051282051277,0.10716036094471919,45.79999999999998
355,85,2516.0,29.6,14,490.0,35.0,5.399999999999999,0.11490556415224978,50.79999999999998
360,88,2329.0,26.46590909090909,12,454.0,37.833333333333336,11.367424242424246,0.14295692738911947,50.599999999999994
365,78,1689.0,21.653846153846153,5,74.0,14.8,6.853846153846153,0.13046969843322262,15.300000000000004
370,67,1361.0,20.313432835820894,8,94.0,11.75,8.563432835820894,0.10962669229072032,20.14999999999999
375,67,1474.0,22.0,8,121.0,15.125,6.875,0.10897607204708548,25.14999999999999
380,68,1703.0,25.044117647058822,8,149.0,18.625,6.4191176470588225,0.10745927809168447,30.0
385,61,1601.0,26.24590163934426,7,92.0,13.142857142857142,13.103044496487119,0.12741442080942325,17.149999999999928
390,59,1427.0,24.1864406779661,9,120.0,13.333333333333334,10.853107344632766,0.11409232813837679,21.299999999999976
395,66,1522.0,23.060606060606062,7,150.0,21.428571428571427,1.6320346320346353,0.09921892132675439,25.450000000000024
400,75,1796.0,23.946666666666665,8,181.0,22.625,1.3216666666666654,0.10419851786613245,31.299999999999976
405,85,2150.0,25.294117647058822,9,220.0,24.444444444444443,0.8496732026143796,0.11508127613571091,38.0
410,107,2529.0,23.635514018691588,9,219.0,24.333333333333332,0.6978193146417446,0.12631682041520162,26.0
415,109,2905.0,26.65137614678899,10,250.0,25.0,1.6513761467889907,0.1328680681773811,32.6999999999999
420,112,3190.0,28.482142857142858,12,292.0,24.333333333333332,4.1488095238095255,0.1613221002510614,41.09999999999995
425,103,2776.0,26.95145631067961,11,287.0,26.09090909090909,0.8605472197705204,0.21098734345786613,46.99999999999985
430,94,2410.0,25.638297872340427,10,332.0,33.2,7.561702127659576,0.19077618292335555,55.4999999999999
435,92,2278.0,24.76086956521739,8,172.0,21.5,3.2608695652173907,0.16050216209849746,39.599999999999966
