step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,3,5.0,1.6666666666666667,0,0,0,1.6666666666666667,0.030637254901960783,0.0
30,5,10.0,2.0,0,0,0,2.0,0.05787037037037037,0.0
35,4,22.0,5.5,0,0,0,5.5,0.056018518518518516,0.0
40,6,17.0,2.8333333333333335,0,0,0,2.8333333333333335,0.08480046948356808,0.0
45,5,20.0,4.0,0,0,0,4.0,0.05411255411255411,0.0
50,4,10.0,2.5,0,0,0,2.5,0.04734848484848485,0.0
55,7,29.0,4.142857142857143,0,0,0,4.142857142857143,0.07210219478737998,0.0
60,2,5.0,2.5,0,0,0,2.5,0.020833333333333332,0.0
65,9,21.0,2.3333333333333335,1,1.0,1.0,1.3333333333333335,0.08277027027027027,0.3999999999999986
70,3,10.0,3.3333333333333335,2,7.0,3.5,0.16666666666666652,0.030637254901960783,2.7499999999999982
75,12,41.0,3.4166666666666665,3,18.0,6.0,2.5833333333333335,0.08777151211361738,7.499999999999995
80,11,54.0,4.909090909090909,4,32.0,8.0,3.090909090909091,0.08629261363636363,12.25
85,6,16.0,2.6666666666666665,5,52.0,10.4,7.733333333333334,0.06201550387596899,17.25
90,8,15.0,1.875,6,77.0,12.833333333333334,10.958333333333334,0.04222972972972973,21.999999999999996
95,10,37.0,3.7,7,108.0,15.428571428571429,11.728571428571428,0.08829979360165119,26.749999999999993
100,10,33.0,3.3,9,140.0,15.555555555555555,12.255555555555556,0.0538895486935867,31.49999999999999
105,7,29.0,4.142857142857143,10,162.0,16.2,12.057142857142857,0.04991690408357075,36.25
110,12,40.0,3.3333333333333335,13,210.0,16.153846153846153,12.82051282051282,0.06587615283267458,41.0
115,12,40.0,3.3333333333333335,12,259.0,21.583333333333332,18.25,0.0998003992015968,45.599999999999994
120,12,37.0,3.0833333333333335,13,310.0,23.846153846153847,20.762820512820515,0.06872489959839358,50.19999999999999
125,14,44.0,3.142857142857143,13,367.0,28.23076923076923,25.087912087912088,0.09742351046698873,54.79999999999998
130,13,65.0,5.0,14,431.0,30.785714285714285,25.785714285714285,0.11596947738252086,59.39999999999998
135,12,45.0,3.75,14,501.0,35.785714285714285,32.035714285714285,0.07740825688073394,64.39999999999998
140,10,34.0,3.4,14,571.0,40.785714285714285,37.385714285714286,0.0716765873015873,69.0
145,11,46.0,4.181818181818182,14,641.0,45.785714285714285,41.603896103896105,0.08887768817204302,73.6
150,11,43.0,3.909090909090909,14,711.0,50.785714285714285,46.87662337662338,0.07094076120319215,78.19999999999999
155,12,44.0,3.6666666666666665,15,781.0,52.06666666666667,48.400000000000006,0.1055846422338569,83.19999999999999
160,6,16.0,2.6666666666666665,17,855.0,50.294117647058826,47.62745098039216,0.06504065040650407,88.19999999999999
165,12,40.0,3.3333333333333335,17,937.0,55.11764705882353,51.78431372549019,0.08169934640522876,92.79999999999998
170,12,38.0,3.1666666666666665,17,1017.0,59.8235294117647,56.65686274509804,0.0544987922705314,97.39999999999998
175,13,62.0,4.769230769230769,17,1102.0,64.82352941176471,60.054298642533944,0.1516729797979798,102.0
180,10,36.0,3.6,13,857.0,65.92307692307692,62.32307692307692,0.07297297297297298,102.45
185,10,46.0,4.6,18,922.0,51.22222222222222,46.62222222222222,0.08677821522309712,107.4
190,8,31.0,3.875,18,993.0,55.166666666666664,51.291666666666664,0.05576833797585887,112.35
195,10,28.0,2.8,18,1079.0,59.94444444444444,57.144444444444446,0.06481481481481481,117.3
200,9,31.0,3.4444444444444446,20,1169.0,58.45,55.00555555555556,0.06880011454753723,122.25
205,12,50.0,4.166666666666667,21,1262.0,60.095238095238095,55.92857142857143,0.08979885057471264,127.19999999999999
210,4,18.0,4.5,22,1367.0,62.13636363636363,57.63636363636363,0.048214285714285716,132.15
215,10,54.0,5.4,25,1475.0,59.0,53.6,0.07555970149253731,137.1
220,14,72.0,5.142857142857143,25,1588.0,63.52,58.37714285714286,0.11946902654867257,142.05
225,12,91.0,7.583333333333333,25,1704.0,68.16,60.57666666666666,0.10551732925586137,147.05
230,13,44.0,3.3846153846153846,25,1829.0,73.16,69.77538461538461,0.054066130473637175,152.0
235,18,76.0,4.222222222222222,26,1955.0,75.1923076923077,70.97008547008546,0.11121380160197165,156.24999999999994
240,14,50.0,3.5714285714285716,28,2083.0,74.39285714285714,70.82142857142857,0.0721375807940905,160.49999999999997
245,15,72.0,4.8,28,2218.0,79.21428571428571,74.41428571428571,0.1062992125984252,164.75000000000003
250,6,26.0,4.333333333333333,29,2354.0,81.17241379310344,76.83908045977012,0.052160493827160495,169.75000000000003
255,13,55.0,4.230769230769231,33,2497.0,75.66666666666667,71.43589743589745,0.10663423575860125,173.99999999999994
260,10,32.0,3.2,32,2654.0,82.9375,79.7375,0.09968847352024922,178.99999999999994
265,17,66.0,3.8823529411764706,33,2814.0,85.27272727272727,81.3903743315508,0.10752369668246446,183.25
270,10,30.0,3.0,34,2977.0,87.55882352941177,84.55882352941177,0.09282178217821782,187.49999999999994
275,12,59.0,4.916666666666667,34,3139.0,92.32352941176471,87.40686274509804,0.08582347140039448,191.74999999999997
280,6,17.0,2.8333333333333335,35,3310.0,94.57142857142857,91.73809523809524,0.0676498127340824,196.74999999999997
285,14,51.0,3.642857142857143,36,3481.0,96.69444444444444,93.0515873015873,0.10521844660194175,200.99999999999991
290,9,32.0,3.5555555555555554,39,3659.0,93.82051282051282,90.26495726495726,0.0570409982174688,205.24999999999994
295,15,57.0,3.8,40,3851.0,96.275,92.47500000000001,0.10333969465648855,209.5
300,9,36.0,4.0,41,4050.0,98.78048780487805,94.78048780487805,0.07584269662921349,214.5
305,13,49.0,3.769230769230769,41,4252.0,103.70731707317073,99.93808630393995,0.06880444750114627,218.74999999999994
310,13,51.0,3.923076923076923,41,4457.0,108.70731707317073,104.78424015009381,0.09294596912521441,222.99999999999997
315,8,24.0,3.0,41,4662.0,113.70731707317073,110.70731707317073,0.03333333333333333,227.24999999999991
320,11,46.0,4.181818181818182,42,4869.0,115.92857142857143,111.74675324675324,0.045446735395189,231.49999999999994
325,11,26.0,2.3636363636363638,46,5074.0,110.30434782608695,107.9407114624506,0.06971947194719472,236.49999999999994
330,13,49.0,3.769230769230769,39,4388.0,112.51282051282051,108.74358974358974,0.08729639325189063,228.5
335,8,20.0,2.5,44,4579.0,104.06818181818181,101.56818181818181,0.05868544600938967,233.25
340,18,71.0,3.9444444444444446,44,4781.0,108.6590909090909,104.71464646464646,0.09954581358609794,238.25
345,10,40.0,4.0,44,4997.0,113.56818181818181,109.56818181818181,0.07122507122507123,242.99999999999997
350,11,42.0,3.8181818181818183,47,5218.0,111.02127659574468,107.20309477756287,0.09423076923076923,247.99999999999997
355,12,41.0,3.4166666666666665,47,5445.0,115.85106382978724,112.43439716312056,0.09865023474178404,252.75
360,13,42.0,3.230769230769231,48,5680.0,118.33333333333333,115.1025641025641,0.07122093023255814,257.5
365,9,36.0,4.0,48,5920.0,123.33333333333333,119.33333333333333,0.08490566037735849,262.5
370,14,54.0,3.857142857142857,47,5838.0,124.2127659574468,120.35562310030394,0.11773255813953488,263.4
375,17,72.0,4.235294117647059,48,6068.0,126.41666666666667,122.18137254901961,0.09660107334525939,268.4
380,10,39.0,3.9,48,6007.0,125.14583333333333,121.24583333333332,0.12828947368421054,257.79999999999995
385,14,46.0,3.2857142857142856,50,6246.0,124.92,121.63428571428571,0.09070644718792867,262.0
390,13,56.0,4.3076923076923075,51,6498.0,127.41176470588235,123.10407239819004,0.06721536351165981,266.7
395,17,87.0,5.117647058823529,52,6752.0,129.84615384615384,124.7285067873303,0.07068018825638726,271.4
400,16,55.0,3.4375,51,6707.0,131.50980392156862,128.07230392156862,0.10247289972899729,268.29999999999995
405,19,72.0,3.789473684210526,52,6962.0,133.8846153846154,130.09514170040487,0.12300683371298406,273.29999999999995
410,16,50.0,3.125,53,6919.0,130.54716981132074,127.42216981132074,0.06944444444444445,252.19999999999993
415,21,87.0,4.142857142857143,55,7180.0,130.54545454545453,126.4025974025974,0.07138411045722046,256.59999999999997
420,20,74.0,3.7,56,7448.0,133.0,129.3,0.10204233750745378,261.0
425,17,75.0,4.411764705882353,56,7425.0,132.58928571428572,128.17752100840337,0.11994626407369499,251.5999999999999
430,19,60.0,3.1578947368421053,57,7701.0,135.10526315789474,131.94736842105263,0.07381889763779527,255.7
435,18,80.0,4.444444444444445,57,7680.0,134.73684210526315,130.2923976608187,0.1182033096926714,247.79999999999998
440,25,108.0,4.32,59,7963.0,134.96610169491527,130.64610169491527,0.11660268714011517,252.64999999999998
445,20,162.0,8.1,59,8258.0,139.96610169491527,131.86610169491527,0.08234186746987952,257.5
450,19,158.0,8.31578947368421,59,8547.0,144.864406779661,136.5486173059768,0.07052933731127385,262.35
455,18,67.0,3.7222222222222223,59,8842.0,149.864406779661,146.14218455743878,0.09494500846023689,267.2
460,18,59.0,3.2777777777777777,58,8833.0,152.29310344827587,149.0153256704981,0.09430537494581707,271.0
465,16,54.0,3.375,45,7205.0,160.11111111111111,156.73611111111111,0.10809608540925267,273.9
470,22,109.0,4.954545454545454,46,7052.0,153.30434782608697,148.3498023715415,0.09315801028729143,278.9
475,31,189.0,6.096774193548387,54,7258.0,134.40740740740742,128.31063321385903,0.08711079246166452,283.75
480,29,244.0,8.413793103448276,53,7504.0,141.58490566037736,133.17111255692907,0.06288447238558778,288.6
485,29,313.0,10.793103448275861,52,7763.0,149.28846153846155,138.49535809018568,0.05431280325004213,293.45
490,22,178.0,8.090909090909092,53,7720.0,145.66037735849056,137.56946826758147,0.06893100807574491,298.0
495,20,95.0,4.75,51,7054.0,138.31372549019608,133.56372549019608,0.055676882834863294,272.9
500,32,148.0,4.625,52,7304.0,140.46153846153845,135.83653846153845,0.11599728859515336,277.9
505,26,129.0,4.961538461538462,54,7558.0,139.96296296296296,135.0014245014245,0.101400263234864,282.0
510,27,115.0,4.2592592592592595,53,7513.0,141.75471698113208,137.4954577218728,0.09957384652451512,285.0
515,22,97.0,4.409090909090909,54,7775.0,143.9814814814815,139.5723905723906,0.12062820512820513,290.29999999999995
520,26,88.0,3.3846153846153846,56,8042.0,143.60714285714286,140.22252747252747,0.17846607669616518,295.5
525,26,97.0,3.730769230769231,56,7963.0,142.19642857142858,138.46565934065936,0.1270387772737092,291.0
530,21,76.0,3.619047619047619,57,7933.0,139.17543859649123,135.5563909774436,0.10061315496098104,291.5
