step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.249892899085535,0,0.0,1.0,0,0.0,1.0,1,0.0,0.23400728502831405,0,0.0,1.0,1,0.0
10.0,1,0.0,0.0,7.660648866211675,0,0.0,0.44672379938777035,0,0.0,1.0,1,0.0,0.6147810682456795,0,0.0,0.16912987045017835,1,0.0
15.0,3,2.0,0.16666666666666666,5.6485696868777,0,0.0,0.9267564612472359,1,0.0,0.0,0,0.0,0.4093359993581423,1,0.0,0.4717256171999994,2,0.0
20.0,1,5.0,0.3125,6.430015692925751,0,4.0,0.5857627924717997,0,0.0,0.8999105006642614,1,7.0,0.19262803915246612,0,0.0,0.49286699159065633,1,11.0
25.0,5,16.0,0.7619047619047619,6.411203992761043,0,6.0,0.6911454708115546,1,0.0,0.15280000062241292,2,13.0,0.26867292803036147,1,1.0,0.49216496249632213,4,20.0
30.0,10,46.0,1.84,5.166511980676855,2,10.0,0.28580689969889034,2,4.0,0.5010882422421133,3,23.0,0.22102041939296577,2,9.0,0.48686938674325764,9,46.0
35.0,9,50.0,1.7241379310344827,4.315582660875498,4,28.0,0.08137848694490964,3,18.0,0.40416620841519724,0,11.0,0.39348567962978803,2,19.0,0.004490835278986608,9,76.0
40.0,7,29.0,0.90625,5.5160585909833415,1,26.0,0.2680115065768044,4,31.0,0.301687006901501,1,4.0,0.5649112617392241,0,13.0,0.4636142449416698,6,74.0
45.0,9,56.0,1.6,6.323690777209132,0,16.0,0.5196577796629215,5,42.0,0.340190380188979,4,16.0,0.18517708586899714,0,2.0,0.5023375320321858,9,76.0
50.0,2,6.0,0.16216216216216217,5.974214882560603,1,6.0,0.2823206740190184,1,31.0,0.33565384175375934,0,12.0,0.3705828878086129,0,2.0,0.46568118191013114,2,51.0
