step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.2601259913237297,0,0.0,0.3557611472157995,0,0.0,0.24277103148873275,0,0.0,1.0,1,0.0,0.0,1,0.0
10.0,0,0.0,0.0,8.756745623614817,0,0.0,0.933727118403476,0,0.0,0.496170277287027,0,0.0,0.34986390581116705,0,0.0,0.5777640153660928,0,0.0
15.0,1,0.0,0.0,7.257400220498403,0,0.0,0.5202346918535546,0,0.0,0.5707346760581141,0,0.0,0.526689011424894,1,0.0,0.44057974657076726,1,0.0
20.0,3,5.0,0.3125,8.08154797793456,1,3.0,0.4785838208083137,0,0.0,0.3585293649704974,1,0.0,0.5777873578266296,1,2.0,0.5381803490611968,3,5.0
25.0,5,23.0,1.2105263157894737,5.005360731796064,1,8.0,0.0,2,6.0,0.3142665515215574,1,2.0,0.3938692102299319,1,7.0,0.24277881230738235,5,23.0
30.0,3,17.0,0.7391304347826086,5.679720620530384,2,15.0,0.30054334881918154,0,5.0,0.45232382798127624,0,2.0,0.4331435945883304,1,6.0,0.3931750871496923,3,28.0
35.0,4,19.0,0.7307692307692307,7.1575572772558615,0,2.0,0.752714784733032,1,4.0,0.3905576644083953,2,6.0,0.35358171946646244,1,11.0,0.48704933989055843,4,23.0
40.0,7,31.0,1.0333333333333334,6.466012943686275,1,3.0,0.48482460064740573,1,11.0,0.5778891194036911,2,15.0,0.22181773784221656,3,17.0,0.2811771179874922,7,46.0
45.0,5,16.0,0.5,6.408849812889437,0,0.0,0.4331604830814003,1,0.0,0.2621898139850929,2,21.0,0.31702572986176164,0,0.0,0.5374206009752891,3,21.0
50.0,2,10.0,0.3125,7.488792700712715,1,8.0,0.6034153885092479,0,0.0,0.6174383305274792,0,16.0,0.2246246405965442,1,7.0,0.4311364496111178,2,31.0
55.0,6,13.0,0.4482758620689655,6.144462579758645,2,4.0,0.41791272439575194,0,0.0,0.5611732551323866,3,19.0,0.17238502443916245,1,5.0,0.6194748369556305,6,28.0
60.0,11,31.0,0.96875,4.340793494466305,4,14.0,0.2738451549028684,2,7.0,0.5536035169933008,2,19.0,0.05371028829201564,2,10.0,0.26370424851573065,10,50.0
65.0,5,18.0,0.5142857142857142,5.49880719948369,1,13.0,0.3395781447358542,0,8.0,0.31380516447681506,2,13.0,0.2244174318409322,1,7.0,0.5594129786608631,4,41.0
70.0,7,23.0,0.6388888888888888,5.964376378334595,3,20.0,0.23421841748379574,3,16.0,0.4550725599182484,0,12.0,0.5581558904393424,1,5.0,0.5270885318734616,7,53.0
75.0,4,4.0,0.11428571428571428,5.909931516343473,3,16.0,0.34251635801011965,0,10.0,0.5021303609608203,0,4.0,0.5192363729930203,1,1.0,0.3754268673374852,4,31.0
80.0,9,34.0,0.9444444444444444,6.535614196534898,4,14.0,0.32282578574320964,1,6.0,0.5569420256228034,1,9.0,0.5845236919601089,3,16.0,0.36295430707179227,9,45.0
85.0,8,20.0,0.5555555555555556,4.791697437880814,5,32.0,0.26424610564473056,0,3.0,0.4595828709004701,1,3.0,0.39109971866595683,1,13.0,0.17138394924805136,7,51.0
90.0,13,55.0,1.4864864864864864,3.849384407049771,6,51.0,0.10753872493635615,2,14.0,0.3341909207292866,2,13.0,0.33310676787862725,2,14.0,0.3875451636455152,12,92.0
95.0,8,37.0,0.9487179487179487,4.4672438885427335,5,71.0,0.09552748842913601,0,12.0,0.5697537691871222,1,2.0,0.3349658673963091,2,24.0,0.30656044804151056,8,109.0
100.0,10,33.0,0.7857142857142857,5.020126132507833,6,84.0,0.21913326474774517,1,12.0,0.4984335152434691,1,6.0,0.5468893613720239,2,10.0,0.2015339467029159,10,112.0
105.0,5,15.0,0.36585365853658536,4.274173026853461,5,84.0,0.11237678424570875,0,6.0,0.40993215127111754,0,0.0,0.48685019107286226,0,2.0,0.36199816089415043,5,92.0
110.0,10,35.0,0.7954545454545454,5.251320877677429,4,87.0,0.27254402786984305,2,11.0,0.2812789167732414,2,7.0,0.21205006758854794,1,0.0,0.45925594682953097,9,105.0
115.0,8,12.0,0.26666666666666666,5.1913247175201995,3,79.0,0.07788008861992206,1,16.0,0.38785621787982955,1,5.0,0.45061357282188813,2,3.0,0.35523156156819513,7,103.0
120.0,13,56.0,1.302325581395349,5.189285310865396,7,104.0,0.02326310367118437,2,17.0,0.34300957065167287,1,4.0,0.4506550158901702,3,11.0,0.36000118906089634,13,136.0
125.0,14,82.0,1.9069767441860466,5.667600669087305,4,97.0,0.25937915154102903,3,30.0,0.4519711933018019,3,12.0,0.4002978481099641,4,27.0,0.24776489452230266,14,166.0
130.0,4,3.0,0.07317073170731707,6.3727663130768075,0,53.0,0.3571685830295751,1,14.0,0.5495020937227205,0,9.0,0.44365311787785855,2,16.0,0.45452204731680773,3,92.0
135.0,8,30.0,0.6976744186046512,5.5570849570376675,2,29.0,0.26145161915014764,1,8.0,0.2974466414291141,3,15.0,0.3699035970409671,1,7.0,0.3003155913566574,7,59.0
140.0,7,38.0,0.9047619047619048,6.164216702902694,3,25.0,0.42403736078265286,0,1.0,0.5357623433775173,3,22.0,0.2968761998937717,1,12.0,0.27246021066151616,7,60.0
145.0,11,48.0,1.1428571428571428,5.072849542996038,1,12.0,0.34694237052238963,1,1.0,0.44836084520395786,4,32.0,0.2566064612252625,2,21.0,0.26713080082796553,8,66.0
150.0,15,66.0,1.6097560975609757,4.197210882481571,4,24.0,0.3014467296907379,5,20.0,0.19060387927450148,3,34.0,0.1850718876880373,0,7.0,0.4932060475562269,12,85.0
155.0,12,27.0,0.6136363636363636,4.771577485315767,4,26.0,0.31501747440695993,3,26.0,0.22410501193819882,4,30.0,0.160935571878942,0,18.0,0.5717240418441673,11,100.0
160.0,13,55.0,1.2222222222222223,4.906240921671195,4,41.0,0.2080388681562996,5,44.0,0.24975254395000898,1,33.0,0.242930035775853,2,17.0,0.5787721650917189,12,135.0
165.0,20,75.0,1.6304347826086956,3.5670766399049647,4,31.0,0.2280151379006218,6,50.0,0.09723544495894654,4,50.0,0.3766264755822898,4,16.0,0.31804659246294964,18,147.0
170.0,17,90.0,1.836734693877551,3.6443792829966046,4,46.0,0.12243286905828266,3,54.0,0.1335290063691027,5,74.0,0.31800287031357966,2,12.0,0.5022035374996667,14,186.0
175.0,21,140.0,2.6923076923076925,3.658586356451954,8,78.0,0.13829125955869787,5,71.0,0.1532706934191186,4,83.0,0.23156031727826046,2,18.0,0.2660224265249603,19,250.0
