step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,2,0.0,0.0,0,0,0,0.0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,2,3.0,1.5,0,0,0,1.5,0.020833333333333332,0.0
20,2,0.0,0.0,0,0,0,0.0,1.0,0.0
25,2,7.0,3.5,1,3.0,3.0,0.5,0.035201149425287355,2.25
30,3,12.0,4.0,1,8.0,8.0,4.0,0.028846153846153848,5.599999999999994
35,5,31.0,6.2,1,13.0,13.0,6.8,0.05396451033243486,8.449999999999992
40,7,39.0,5.571428571428571,1,18.0,18.0,12.428571428571429,0.05549474605954466,11.69999999999999
45,9,54.0,6.0,1,23.0,23.0,17.0,0.07689873417721518,13.799999999999992
50,14,82.0,5.857142857142857,2,28.0,14.0,8.142857142857142,0.07923265460030166,15.39999999999997
55,10,65.0,6.5,3,37.0,12.333333333333334,5.833333333333334,0.06392217380779472,18.5
60,12,95.0,7.916666666666667,4,47.0,11.75,3.833333333333333,0.06717428843634632,22.04999999999998
65,9,56.0,6.222222222222222,3,62.0,20.666666666666668,14.444444444444446,0.06105919003115265,25.59999999999996
70,18,116.0,6.444444444444445,4,79.0,19.75,13.305555555555555,0.10390412651346677,29.14999999999999
75,20,179.0,8.95,4,99.0,24.75,15.8,0.10296480538845185,32.69999999999997
80,18,102.0,5.666666666666667,2,49.0,24.5,18.833333333333332,0.07484461325966851,22.25
85,13,68.0,5.230769230769231,5,59.0,11.8,6.56923076923077,0.11805555555555555,26.799999999999994
90,14,91.0,6.5,4,74.0,18.5,12.0,0.11151960784313726,31.349999999999987
95,12,49.0,4.083333333333333,5,90.0,18.0,13.916666666666668,0.07345203132648066,35.89999999999998
100,17,87.0,5.117647058823529,6,111.0,18.5,13.382352941176471,0.07462730714623758,40.45
105,16,56.0,3.5,8,135.0,16.875,13.375,0.09227871939736347,45.0
110,20,122.0,6.1,7,160.0,22.857142857142858,16.75714285714286,0.09913150042625746,48.64999999999998
115,17,131.0,7.705882352941177,8,193.0,24.125,16.419117647058822,0.0884295902382719,53.64999999999998
120,20,119.0,5.95,9,225.0,25.0,19.05,0.1129050261512948,57.29999999999996
125,22,133.0,6.045454545454546,9,267.0,29.666666666666668,23.62121212121212,0.06264165108504731,60.949999999999946
130,24,170.0,7.083333333333333,10,312.0,31.2,24.116666666666667,0.08511214777118085,64.59999999999992
135,20,144.0,7.2,11,363.0,33.0,25.8,0.08320493066255778,68.25
140,21,123.0,5.857142857142857,9,374.0,41.55555555555556,35.6984126984127,0.10864788004136505,71.89999999999998
145,26,201.0,7.730769230769231,10,419.0,41.9,34.169230769230765,0.09576601433610195,76.89999999999998
150,26,285.0,10.961538461538462,10,466.0,46.6,35.63846153846154,0.09478449000168039,83.25
155,27,296.0,10.962962962962964,11,518.0,47.09090909090909,36.12794612794613,0.14816017316017316,88.25
160,19,227.0,11.947368421052632,12,570.0,47.5,35.55263157894737,0.10583859147523744,91.89999999999998
165,23,293.0,12.73913043478261,13,631.0,48.53846153846154,35.79933110367893,0.09908153749561428,95.54999999999995
170,26,363.0,13.961538461538462,14,696.0,49.714285714285715,35.752747252747255,0.14946303152392879,99.19999999999995
175,25,211.0,8.44,14,729.0,52.07142857142857,43.63142857142857,0.0895376805998005,102.84999999999992
180,23,118.0,5.130434782608695,13,729.0,56.07692307692308,50.946488294314385,0.1052552007740687,107.84999999999992
185,24,180.0,7.5,13,791.0,60.84615384615385,53.34615384615385,0.11138613861386139,112.84999999999992
190,29,239.0,8.241379310344827,13,856.0,65.84615384615384,57.604774535809014,0.1131951710580551,116.5
195,13,62.0,4.769230769230769,12,909.0,75.75,70.98076923076923,0.09121108580106302,120.14999999999998
200,18,61.0,3.388888888888889,13,969.0,74.53846153846153,71.14957264957265,0.08528144481114779,123.79999999999995
205,33,190.0,5.757575757575758,14,1032.0,73.71428571428571,67.95670995670994,0.12674137737332883,128.79999999999995
210,26,153.0,5.884615384615385,15,1089.0,72.6,66.71538461538461,0.08208845312236997,132.44999999999993
