step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,0,0.0,0,0,0,0,0,1.0,0.0
20,2,1.0,0.5,0,0,0,0.5,0.020833333333333332,0.0
25,5,17.0,3.4,0,0,0,3.4,0.07433127572016461,0.0
30,6,45.0,7.5,1,0.0,0.0,7.5,0.08698453608247422,0.0
35,7,75.0,10.714285714285714,0,0,0,10.714285714285714,0.0911964980544747,0.0
40,8,109.0,13.625,0,0,0,13.625,0.09896874583499933,0.0
45,2,26.0,13.0,1,1.0,1.0,12.0,0.030221745350500717,0.75
50,2,7.0,3.5,1,0.0,0.0,3.5,0.035201149425287355,0.0
55,2,17.0,8.5,1,0.0,0.0,8.5,0.0404082774049217,0.0
60,7,38.0,5.428571428571429,2,5.0,2.5,2.928571428571429,0.0740968801313629,3.2499999999999973
65,9,78.0,8.666666666666666,1,10.0,10.0,1.333333333333334,0.108704974271012,5.9999999999999964
70,13,129.0,9.923076923076923,2,15.0,7.5,2.4230769230769234,0.11392951035162668,8.249999999999984
75,15,199.0,13.266666666666667,1,20.0,20.0,6.7333333333333325,0.11634760024444131,11.999999999999993
80,18,281.0,15.61111111111111,3,25.0,8.333333333333334,7.277777777777777,0.11935143534305545,13.749999999999973
85,19,376.0,19.789473684210527,3,31.0,10.333333333333334,9.456140350877194,0.1250778551610894,15.5
90,15,239.0,15.933333333333334,0,0,0,15.933333333333334,0.10498639905896191,0.0
95,5,13.0,2.6,0,0,0,2.6,0.0749113475177305,0.0
100,7,38.0,5.428571428571429,2,0.0,0.0,5.428571428571429,0.10095078299776286,0.0
105,9,66.0,7.333333333333333,3,4.0,1.3333333333333333,6.0,0.1219758064516129,1.3999999999999986
110,13,123.0,9.461538461538462,3,14.0,4.666666666666667,4.794871794871795,0.15488329238329238,5.749999999999998
115,15,194.0,12.933333333333334,4,29.0,7.25,5.683333333333334,0.16883792707436118,10.499999999999995
120,13,185.0,14.23076923076923,3,44.0,14.666666666666666,0.4358974358974361,0.15206245112675054,15.25
125,16,257.0,16.0625,3,59.0,19.666666666666668,3.604166666666668,0.15182840486961638,20.25
130,19,342.0,18.0,3,74.0,24.666666666666668,6.666666666666668,0.15078898514851485,24.999999999999996
135,14,158.0,11.285714285714286,2,0.0,0.0,11.285714285714286,0.08043354985050005,0.0
140,7,22.0,3.142857142857143,2,0.0,0.0,3.142857142857143,0.05795019157088123,0.0
145,9,60.0,6.666666666666667,2,6.0,3.0,3.666666666666667,0.07239382239382239,2.299999999999997
150,17,122.0,7.176470588235294,3,16.0,5.333333333333333,1.8431372549019613,0.09529297275148535,7.199999999999996
155,19,197.0,10.368421052631579,2,26.0,13.0,2.6315789473684212,0.0981095538567326,12.100000000000001
160,24,305.0,12.708333333333334,5,36.0,7.2,5.508333333333334,0.10751849283402681,17.1
165,27,432.0,16.0,3,51.0,17.0,1.0,0.10893807789296722,22.0
170,29,569.0,19.620689655172413,5,66.0,13.2,6.4206896551724135,0.10899634525367764,26.149999999999988
175,28,709.0,25.321428571428573,6,81.0,13.5,11.821428571428573,0.10900586880115468,30.299999999999976
180,24,584.0,24.333333333333332,2,5.0,2.5,21.833333333333332,0.09153526400769521,0.0
185,7,86.0,12.285714285714286,3,13.0,4.333333333333333,7.952380952380953,0.030094401041666666,2.849999999999998
190,12,58.0,4.833333333333333,5,26.0,5.2,0.36666666666666714,0.09394548704200179,7.7499999999999964
195,11,94.0,8.545454545454545,4,41.0,10.25,1.704545454545455,0.08807814992025519,12.749999999999996
200,12,126.0,10.5,5,56.0,11.2,0.6999999999999993,0.07867507136060894,18.0
205,14,190.0,13.571428571428571,6,76.0,12.666666666666666,0.9047619047619051,0.08794239164328033,22.749999999999996
210,18,265.0,14.722222222222221,7,101.0,14.428571428571429,0.2936507936507926,0.09855310429998877,27.499999999999993
215,20,361.0,18.05,7,129.0,18.428571428571427,0.37857142857142634,0.10975546078074679,32.49999999999999
220,23,466.0,20.26086956521739,9,164.0,18.22222222222222,2.0386473429951693,0.11662413212346188,37.249999999999986
225,18,328.0,18.22222222222222,3,2.0,0.6666666666666666,17.555555555555554,0.09268601990461224,0.0
230,8,18.0,2.25,2,2.0,1.0,1.25,0.11637931034482758,0.0
235,8,42.0,5.25,5,7.0,1.4,3.85,0.12088815789473684,1.9499999999999993
240,10,83.0,8.3,4,25.0,6.25,2.0500000000000007,0.1345087472664792,6.799999999999997
245,12,134.0,11.166666666666666,4,45.0,11.25,0.08333333333333393,0.1407386506144971,11.799999999999997
250,15,198.0,13.2,4,65.0,16.25,3.0500000000000007,0.14790836653386455,16.799999999999997
255,18,283.0,15.722222222222221,6,86.0,14.333333333333334,1.3888888888888875,0.15297706365942362,21.699999999999996
260,22,384.0,17.454545454545453,7,115.0,16.428571428571427,1.0259740259740262,0.1614123581336696,26.599999999999994
265,22,436.0,19.818181818181817,7,147.0,21.0,1.1818181818181834,0.14591162527939477,31.699999999999996
270,15,260.0,17.333333333333332,3,8.0,2.6666666666666665,14.666666666666666,0.12080402584777263,0.9499999999999993
275,9,21.0,2.3333333333333335,4,18.0,4.5,2.1666666666666665,0.06166107382550336,6.0
280,7,48.0,6.857142857142857,3,28.0,9.333333333333334,2.476190476190477,0.05128205128205128,10.449999999999992
285,12,91.0,7.583333333333333,2,38.0,19.0,11.416666666666668,0.06810929069614423,15.199999999999989
290,17,158.0,9.294117647058824,3,48.0,16.0,6.705882352941176,0.09201757489974051,18.89999999999997
295,16,207.0,12.9375,3,58.0,19.333333333333332,6.395833333333332,0.090766395526182,22.099999999999945
300,19,284.0,14.947368421052632,4,68.0,17.0,2.052631578947368,0.09919323101141284,27.899999999999956
305,22,385.0,17.5,6,85.0,14.166666666666666,3.333333333333334,0.11226309060723937,31.199999999999932
310,25,502.0,20.08,5,105.0,21.0,0.9200000000000017,0.12160289371689752,37.799999999999955
315,20,395.0,19.75,2,4.0,2.0,17.75,0.11566454945498109,0.0
320,5,14.0,2.8,0,0,0,2.8,0.05235042735042735,0.0
325,4,21.0,5.25,3,0.0,0.0,5.25,0.05568181818181818,0.0
330,5,33.0,6.6,4,12.0,3.0,3.5999999999999996,0.05832262210796915,4.3999999999999915
335,6,54.0,9.0,3,27.0,9.0,0.0,0.06161257606490872,9.549999999999994
340,11,94.0,8.545454545454545,8,44.0,5.5,3.045454545454545,0.06602702056432329,14.399999999999991
345,14,158.0,11.285714285714286,6,69.0,11.5,0.21428571428571352,0.07776365629984051,19.549999999999994
350,19,243.0,12.789473684210526,5,94.0,18.8,6.010526315789475,0.08742715514178097,24.549999999999994
355,19,334.0,17.57894736842105,8,121.0,15.125,2.4539473684210513,0.09262248259737499,29.549999999999994
360,16,252.0,15.75,1,0.0,0.0,15.75,0.07391061452513967,0.0
365,6,22.0,3.6666666666666665,3,0.0,0.0,3.6666666666666665,0.03383668903803132,0.0
370,12,47.0,3.9166666666666665,3,2.0,0.6666666666666666,3.25,0.06621702637889688,0.0
375,13,85.0,6.538461538461538,2,7.0,3.5,3.0384615384615383,0.08880285152409047,0.0
380,12,100.0,8.333333333333334,3,14.0,4.666666666666667,3.666666666666667,0.10232481990831696,1.7999999999999972
385,11,142.0,12.909090909090908,2,24.0,12.0,0.9090909090909083,0.09560385373994841,5.949999999999985
390,12,192.0,16.0,4,37.0,9.25,6.75,0.09432571849668386,10.64999999999998
395,15,255.0,17.0,4,56.0,14.0,3.0,0.09485942861144178,16.549999999999994
400,21,342.0,16.285714285714285,6,77.0,12.833333333333334,3.4523809523809508,0.09753242074927954,21.549999999999994
