step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,3,6.0,2.0,0,0,0,2.0,0.0375,0.0
25,3,17.0,5.666666666666667,0,0,0,5.666666666666667,0.04596055979643766,0.0
30,2,12.0,6.0,1,0.0,0.0,6.0,0.020833333333333332,0.0
35,2,7.0,3.5,0,0,0,3.5,0.04083333333333333,0.0
40,6,25.0,4.166666666666667,0,0,0,4.166666666666667,0.0744047619047619,0.0
45,8,39.0,4.875,1,0.0,0.0,4.875,0.07352088167053364,0.0
50,2,6.0,3.0,2,5.0,2.5,0.5,0.0375,3.4999999999999964
55,3,21.0,7.0,1,10.0,10.0,3.0,0.059274193548387095,6.999999999999993
60,9,46.0,5.111111111111111,1,15.0,15.0,9.88888888888889,0.08746693121693122,9.749999999999993
65,9,60.0,6.666666666666667,1,0.0,0.0,6.666666666666667,0.09973404255319149,0.0
70,9,67.0,7.444444444444445,2,3.0,1.5,5.944444444444445,0.08619431643625192,1.6499999999999968
75,10,109.0,10.9,2,10.0,5.0,5.9,0.08080993579279573,5.299999999999994
80,9,84.0,9.333333333333334,0,0,0,9.333333333333334,0.06597845601436265,0.0
85,0,0.0,0,2,0.0,0.0,0.0,1.0,0.0
90,3,7.0,2.3333333333333335,2,7.0,3.5,1.1666666666666665,0.04083333333333333,3.349999999999998
95,4,22.0,5.5,5,20.0,4.0,1.5,0.04033333333333333,8.199999999999996
100,10,60.0,6.0,4,38.0,9.5,3.5,0.07575757575757576,13.199999999999996
105,5,52.0,10.4,3,38.0,12.666666666666666,2.2666666666666657,0.04733893557422969,13.749999999999998
110,4,20.0,5.0,1,14.0,14.0,9.0,0.03333333333333333,5.59999999999998
115,7,47.0,6.714285714285714,4,19.0,4.75,1.9642857142857144,0.04739529694473052,6.649999999999993
120,10,83.0,8.3,1,24.0,24.0,15.7,0.06063406562455992,7.199999999999974
125,6,80.0,13.333333333333334,0,0,0,13.333333333333334,0.034065746891500596,0.0
130,9,113.0,12.555555555555555,1,0.0,0.0,12.555555555555555,0.03764268194896467,0.0
135,14,168.0,12.0,1,5.0,5.0,7.0,0.04520990312163617,1.25
140,7,56.0,8.0,1,10.0,10.0,2.0,0.04868355688027819,1.999999999999993
145,5,23.0,4.6,1,15.0,15.0,10.4,0.05594331641285956,3.75
150,6,35.0,5.833333333333333,3,20.0,6.666666666666667,0.8333333333333339,0.07852564102564102,6.999999999999993
155,7,54.0,7.714285714285714,5,35.0,7.0,0.7142857142857144,0.0759375,10.999999999999979
160,8,82.0,10.25,2,34.0,17.0,6.75,0.07228242174062607,11.799999999999972
165,5,48.0,9.6,6,45.0,7.5,2.0999999999999996,0.050314465408805034,16.799999999999972
170,8,80.0,10.0,6,65.0,10.833333333333334,0.8333333333333339,0.07238508867173363,20.5
175,8,118.0,14.75,6,95.0,15.833333333333334,1.083333333333334,0.078613369467028,24.19999999999998
180,5,83.0,16.6,5,62.0,12.4,4.200000000000001,0.0526295685124068,17.599999999999994
185,3,11.0,3.6666666666666665,2,0.0,0.0,3.6666666666666665,0.056018518518518516,0.0
190,8,32.0,4.0,4,3.0,0.75,3.25,0.0881542699724518,1.0999999999999979
195,8,69.0,8.625,3,6.0,2.0,6.625,0.10816521264994547,0.5999999999999872
200,8,58.0,7.25,2,2.0,1.0,6.25,0.061368943374197314,0.10000000000000142
205,8,56.0,7.0,5,7.0,1.4,5.6,0.0941402497598463,0.0
210,10,88.0,8.8,2,16.0,8.0,0.8000000000000007,0.1278394083465399,3.799999999999997
215,11,81.0,7.363636363636363,4,28.0,7.0,0.3636363636363633,0.12437443130118289,8.649999999999995
220,6,57.0,9.5,4,26.0,6.5,3.0,0.06681885488647582,2.0
225,6,28.0,4.666666666666667,4,11.0,2.75,1.916666666666667,0.04145516074450085,2.0
230,7,32.0,4.571428571428571,3,14.0,4.666666666666667,0.09523809523809579,0.06837606837606838,4.849999999999998
235,9,71.0,7.888888888888889,4,17.0,4.25,3.6388888888888893,0.08185567679916861,6.29999999999999
240,9,63.0,7.0,2,2.0,1.0,6.0,0.09322153325817362,0.0
245,6,27.0,4.5,2,12.0,6.0,1.5,0.06574675324675325,4.249999999999989
250,8,58.0,7.25,2,22.0,11.0,3.75,0.09394548704200179,8.499999999999979
255,9,101.0,11.222222222222221,6,34.0,5.666666666666667,5.5555555555555545,0.11760975834716841,12.19999999999996
260,9,117.0,13.0,7,55.0,7.857142857142857,5.142857142857143,0.09108511657617374,16.5
265,12,141.0,11.75,6,69.0,11.5,0.25,0.09738713849047731,20.5
270,7,42.0,6.0,4,24.0,6.0,0.0,0.06186868686868687,10.799999999999983
275,10,86.0,8.6,8,35.0,4.375,4.225,0.07917951353203152,14.599999999999966
280,11,136.0,12.363636363636363,7,58.0,8.285714285714286,4.077922077922077,0.08785529715762273,19.449999999999964
285,3,31.0,10.333333333333334,2,9.0,4.5,5.833333333333334,0.028560389919163102,2.6999999999999957
290,10,57.0,5.7,7,19.0,2.7142857142857144,2.9857142857142858,0.04703787352328006,6.799999999999983
295,9,48.0,5.333333333333333,3,18.0,6.0,0.666666666666667,0.07894736842105263,3.999999999999986
300,10,84.0,8.4,3,28.0,9.333333333333334,0.9333333333333336,0.08781362007168458,7.999999999999972
305,7,71.0,10.142857142857142,3,17.0,5.666666666666667,4.476190476190475,0.049608329396945365,1.0
310,12,113.0,9.416666666666666,7,30.0,4.285714285714286,5.1309523809523805,0.0652491619654975,5.3999999999999915
315,12,146.0,12.166666666666666,5,41.0,8.2,3.966666666666667,0.06515307120500782,7.0
320,8,53.0,6.625,2,19.0,9.5,2.875,0.05014638674664382,5.59999999999998
325,8,43.0,5.375,1,0.0,0.0,5.375,0.0736536010197578,0.0
330,12,94.0,7.833333333333333,3,0.0,0.0,7.833333333333333,0.0899723036819811,0.0
335,6,28.0,4.666666666666667,2,9.0,4.5,0.16666666666666696,0.0674931129476584,3.5999999999999943
340,10,48.0,4.8,2,9.0,4.5,0.2999999999999998,0.061696658097686374,0.0
345,8,53.0,6.625,2,14.0,7.0,0.375,0.03696830911770899,0.0
350,11,99.0,9.0,3,19.0,6.333333333333333,2.666666666666667,0.06089695794810617,0.0
355,11,96.0,8.727272727272727,4,28.0,7.0,1.7272727272727266,0.11650485436893204,2.799999999999997
360,5,50.0,10.0,2,1.0,0.5,9.5,0.04443970420932878,0.0
365,7,78.0,11.142857142857142,6,6.0,1.0,10.142857142857142,0.05995742667928099,0.0
370,11,124.0,11.272727272727273,4,18.0,4.5,6.772727272727273,0.07886098801903824,4.549999999999994
375,12,106.0,8.833333333333334,4,17.0,4.25,4.583333333333334,0.08312618371212122,3.6999999999999957
380,12,117.0,9.75,6,31.0,5.166666666666667,4.583333333333333,0.09353476549688422,8.599999999999994
385,12,173.0,14.416666666666666,7,59.0,8.428571428571429,5.988095238095237,0.10193245599694839,13.599999999999994
390,18,234.0,13.0,7,84.0,12.0,1.0,0.09718435849378088,18.599999999999994
395,6,37.0,6.166666666666667,3,16.0,5.333333333333333,0.8333333333333339,0.0632390983000739,0.8999999999999986
400,5,25.0,5.0,7,25.0,3.5714285714285716,1.4285714285714284,0.05271592442645074,3.6999999999999957
405,6,46.0,7.666666666666667,3,40.0,13.333333333333334,5.666666666666667,0.07226775956284152,8.699999999999996
410,9,82.0,9.11111111111111,3,55.0,18.333333333333332,9.222222222222221,0.09977445394112061,13.549999999999994
