step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,2,3.0,1.5,0,0,0,1.5,0.020833333333333332,0.0
20,1,8.0,8.0,0,0,0,8.0,0.020833333333333332,0.0
25,2,1.0,0.5,0,0,0,0.5,0.020833333333333332,0.0
30,3,11.0,3.6666666666666665,0,0,0,3.6666666666666665,0.041325136612021855,0.0
35,2,3.0,1.5,0,0,0,1.5,0.020833333333333332,0.0
40,2,3.0,1.5,0,0,0,1.5,0.0375,0.0
45,1,0.0,0.0,0,0,0,0.0,1.0,0.0
50,2,4.0,2.0,0,0,0,2.0,0.041666666666666664,0.0
55,1,0.0,0.0,0,0,0,0.0,1.0,0.0
60,3,9.0,3.0,1,0.0,0.0,3.0,0.05818965517241379,0.0
65,3,9.0,3.0,0,0,0,3.0,0.025961538461538463,0.0
70,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
75,5,10.0,2.0,0,0,0,2.0,0.0496031746031746,0.0
80,2,3.0,1.5,1,0.0,0.0,1.5,0.0375,0.0
85,4,12.0,3.0,0,0,0,3.0,0.03333333333333333,0.0
90,3,8.0,2.6666666666666665,2,1.0,0.5,2.1666666666666665,0.044444444444444446,0.3999999999999986
95,5,18.0,3.6,2,6.0,3.0,0.6000000000000001,0.07180851063829788,2.099999999999998
100,1,2.0,2.0,3,1.0,0.3333333333333333,1.6666666666666667,0.020833333333333332,0.34999999999999964
105,4,14.0,3.5,3,6.0,2.0,1.5,0.05235042735042735,2.099999999999998
110,0,0.0,0,3,0.0,0.0,0.0,1.0,0.0
115,7,18.0,2.5714285714285716,2,5.0,2.5,0.07142857142857162,0.09121621621621621,1.25
120,2,4.0,2.0,2,10.0,5.0,3.0,0.03333333333333333,1.999999999999993
125,5,21.0,4.2,2,15.0,7.5,3.3,0.035201149425287355,2.9999999999999893
130,4,10.0,2.5,3,1.0,0.3333333333333333,2.1666666666666665,0.038580246913580245,0.14999999999999858
135,3,17.0,5.666666666666667,4,5.0,1.25,4.416666666666667,0.05961221122112211,0.7499999999999929
140,3,7.0,2.3333333333333335,1,0.0,0.0,2.3333333333333335,0.035201149425287355,0.0
145,3,10.0,3.3333333333333335,2,0.0,0.0,3.3333333333333335,0.035919540229885055,0.0
150,2,5.0,2.5,1,0.0,0.0,2.5,0.04006410256410257,0.0
155,4,9.0,2.25,0,0,0,2.25,0.05818965517241379,0.0
160,2,4.0,2.0,1,0.0,0.0,2.0,0.03333333333333333,0.0
165,4,13.0,3.25,1,0.0,0.0,3.25,0.05771857923497268,0.0
170,3,18.0,6.0,2,1.0,0.5,5.5,0.05921052631578947,0.05000000000000071
175,4,7.0,1.75,1,0.0,0.0,1.75,0.04861111111111111,0.0
180,5,13.0,2.6,3,0.0,0.0,2.6,0.03869047619047619,0.0
185,4,11.0,2.75,3,0.0,0.0,2.75,0.05144557823129252,0.0
190,4,15.0,3.75,2,0.0,0.0,3.75,0.034215328467153285,0.0
