step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.073657243396156,1,0.0,0.0,0,0.0,0.32466798752165843,0,0.0,0.5779005783987391,0,0.0,1.0,1,0.0
10.0,0,0.0,0.0,8.42498813284371,0,0.0,0.4450513395970699,0,0.0,0.7300029328033957,0,0.0,0.7773032648459531,0,0.0,1.0,0,0.0
15.0,1,0.0,0.0,6.508699309994871,0,0.0,0.6540898167770306,0,0.0,0.904643769735916,1,0.0,0.0,0,0.0,0.3909335327049705,1,0.0
20.0,0,0.0,0.0,7.650228706119894,0,0.0,0.43105534711931187,0,0.0,0.47933298089138854,0,0.0,0.37038212391681735,0,0.0,0.9373926011646061,0,0.0
25.0,4,7.0,0.5833333333333334,6.503321934466036,3,7.0,0.0011882502405820942,0,0.0,0.9959826260005229,1,0.0,0.4750112416852709,0,0.0,0.9097017506840747,4,7.0
30.0,3,5.0,0.35714285714285715,8.099588306264287,0,0.0,0.6296189551498026,0,0.0,0.9046939635754688,1,3.0,0.5001720857413213,1,1.0,0.46005151337728756,2,4.0
35.0,2,1.0,0.0625,6.626504108455347,0,0.0,0.599541727055981,1,8.0,0.47309891002616294,1,1.0,0.34173946229623775,0,0.0,0.43985049462741355,2,9.0
40.0,3,10.0,0.5882352941176471,7.053215902215272,0,0.0,0.27520429193775126,0,6.0,0.75424493045361,3,10.0,0.22081103690479864,0,0.0,0.6642655206188147,3,16.0
45.0,1,0.0,0.0,7.320133364732547,1,0.0,0.0,0,0.0,0.6036672734875497,0,13.0,0.549895273949795,0,0.0,0.5657837818568546,1,13.0
50.0,5,11.0,0.5789473684210527,7.016913359059823,0,0.0,0.7859510274461415,1,2.0,0.49445106996427524,2,4.0,0.37518948385237966,1,5.0,0.4989509239739503,4,11.0
55.0,2,3.0,0.15,6.149903339062124,1,0.0,0.33332550449503917,0,0.0,0.2830970055388609,1,5.0,0.4936700290296274,0,2.0,0.3524482713461825,2,7.0
60.0,5,23.0,1.15,7.314219641787825,0,0.0,0.3895568473337414,0,2.0,0.6024016741343954,2,14.0,0.46906449353337787,1,9.0,0.616466042472231,3,25.0
65.0,6,18.0,0.8181818181818182,6.170302462131063,1,0.0,0.2781602818143092,1,3.0,0.7174981082011207,1,4.0,0.2832193205661519,1,10.0,0.3730225381054934,4,17.0
70.0,4,20.0,0.9090909090909091,6.564143023952522,0,0.0,0.7182466560063694,1,8.0,0.3559457379624713,1,9.0,0.6742022223291158,2,29.0,0.4329583411767982,4,46.0
75.0,4,11.0,0.4583333333333333,6.7782145560460085,0,0.0,0.6361535795057685,2,14.0,0.17026082915791588,0,0.0,0.5709818041733788,1,21.0,0.31139844841409237,3,35.0
80.0,6,15.0,0.625,6.289158470306724,1,4.0,0.6522858366114866,0,0.0,0.8293855839290356,1,5.0,0.3570418626546238,4,29.0,0.159759810732794,6,38.0
85.0,2,3.0,0.13636363636363635,6.044866265910199,0,2.0,0.5130687645460935,0,2.0,0.21939024108967686,0,0.0,0.007749238384297262,2,28.0,0.4769265251631083,2,32.0
90.0,8,31.0,1.4761904761904763,4.13890366814384,0,2.0,0.9421434784630045,1,2.0,0.5964795640655631,1,10.0,0.20365862491352657,4,51.0,0.19075784699293322,6,65.0
95.0,6,45.0,1.875,5.96426266787288,0,2.0,0.37377280960389986,1,0.0,0.475087536606853,0,6.0,0.8723382527757718,5,67.0,0.20567110724273663,6,75.0
100.0,3,5.0,0.2,6.18534029924248,0,2.0,0.9564482557970367,1,8.0,0.5390077932362208,0,1.0,0.28770301738476406,1,48.0,0.2502160088592015,2,59.0
105.0,11,38.0,1.52,4.540915533204035,0,0.0,0.4557407793669914,3,17.0,0.3783700982254507,2,5.0,0.26023948396689583,4,62.0,0.029711004752768787,9,84.0
110.0,4,22.0,0.9565217391304348,4.993631622186386,0,0.0,0.68906808311155,0,19.0,0.2640790467378046,0,0.0,0.6365193283142822,4,91.0,0.02953781696355575,4,110.0
115.0,7,30.0,1.1538461538461537,6.644410463828492,1,4.0,0.6883832069138079,1,21.0,0.5605553226409806,0,0.0,0.30690024663288723,5,86.0,0.12049648162889656,7,111.0
120.0,7,17.0,0.6538461538461539,5.304390525215003,1,7.0,0.1564950442026797,1,12.0,0.42576702535575867,1,0.0,0.48636620186613055,1,47.0,0.34885031210119716,4,66.0
125.0,8,25.0,0.9615384615384616,4.936982014686657,2,5.0,0.07625013069227642,3,13.0,0.16640950691207282,1,3.0,0.5000948865472409,2,33.0,0.2955656815821845,8,54.0
130.0,5,18.0,0.72,6.564808074682146,1,7.0,0.2547142387601716,0,9.0,0.4166401753120604,1,8.0,0.5469966803832671,2,33.0,0.3722023035156733,4,57.0
135.0,4,14.0,0.56,5.606837419134646,0,0.0,0.6428693507307338,0,7.0,0.38188516836356406,2,2.0,0.12125167330282491,2,37.0,0.2597209640919382,4,46.0
140.0,4,9.0,0.375,7.23030536151751,0,2.0,0.670881167098902,1,4.0,0.4061849917247645,0,0.0,0.605368171301443,2,28.0,0.38875420008892037,3,34.0
145.0,5,19.0,0.8260869565217391,6.244106888919504,1,0.0,0.18013556105945364,1,5.0,0.5149425927029218,0,0.0,0.712390091802492,3,30.0,0.15404068377961472,5,35.0
150.0,2,11.0,0.4583333333333333,8.882539356522694,1,3.0,0.5052912082139495,1,8.0,0.6705184031297894,0,1.0,0.5789218650231056,0,23.0,0.5212267735897306,2,35.0
155.0,2,5.0,0.21739130434782608,7.1887940775208925,0,0.0,0.2672160029742318,1,0.0,0.3705637037789002,1,5.0,0.4974789192162059,0,0.0,0.6602622828344233,2,5.0
160.0,4,10.0,0.5,7.160921129294375,2,10.0,0.45520053991793663,1,0.0,0.22510276759221715,1,2.0,0.41863484687600483,0,0.0,0.8563965024216325,4,12.0
165.0,4,17.0,0.85,5.789621154254217,0,2.0,0.2794070203609847,0,0.0,0.6216154780811509,2,11.0,0.1874398554017218,0,0.0,0.3436924365551308,2,13.0
170.0,4,13.0,0.6842105263157895,6.211971885170913,1,7.0,0.24548255046599549,1,4.0,0.05665747437799262,1,18.0,0.3282805902929206,0,2.0,0.6469781099882972,3,31.0
175.0,4,12.0,0.6,6.490194376084423,1,9.0,0.22229247371036184,0,5.0,0.8664833533556647,2,15.0,0.30546180116977645,1,3.0,0.6428391211622725,4,32.0
180.0,4,14.0,0.6666666666666666,7.084883772331267,1,15.0,0.4310745812584301,0,0.0,0.40433689264511946,0,1.0,0.7389653537830508,2,11.0,0.39993254094955677,3,27.0
185.0,4,6.0,0.2857142857142857,5.6364377654895454,0,5.0,0.7349819038518062,0,0.0,0.9569243573887768,1,6.0,0.25807105755404175,2,3.0,0.23365430853418542,3,14.0
190.0,3,12.0,0.5454545454545454,6.589013112000003,1,7.0,0.21081185612902978,0,0.0,1.0,0,4.0,0.9484175702721926,2,12.0,0.4016978286806288,3,23.0
195.0,3,6.0,0.25,6.676474704588839,3,12.0,0.4362555321631128,0,3.0,0.6906236777697301,0,4.0,0.3964757462284189,0,4.0,0.373186276813885,3,23.0
200.0,4,20.0,0.8695652173913043,7.064865762503777,2,22.0,0.24033226646879013,0,2.0,0.783822256934417,1,8.0,0.4522661898499423,1,0.0,0.3485135962213099,4,32.0
205.0,2,3.0,0.13043478260869565,6.692397008354248,1,21.0,0.16631382920250828,0,2.0,0.6250389009309817,1,2.0,0.27099618252364954,0,1.0,0.6710876945556005,2,26.0
210.0,4,10.0,0.43478260869565216,6.967618302287782,1,11.0,0.07570178786180878,0,0.0,0.6929135473122532,1,7.0,0.5570943126708098,1,3.0,0.5902450854409698,3,21.0
215.0,3,6.0,0.2608695652173913,6.652453151513874,2,12.0,0.4031627420154468,1,2.0,0.397594981353152,0,4.0,0.40335667663224034,0,1.0,0.013370427402474457,3,19.0
220.0,6,24.0,1.0909090909090908,7.339432481037881,3,24.0,0.42436296685081715,0,0.0,0.5971265155024355,1,8.0,0.6295154832977441,1,5.0,0.26009594803826597,5,37.0
225.0,2,6.0,0.2857142857142857,5.488850550313085,1,18.0,0.2572623359097014,0,2.0,0.4519574055091942,0,4.0,0.2802276607816021,0,0.0,0.5620571575735761,1,24.0
230.0,4,6.0,0.2727272727272727,6.7920548338174145,2,14.0,0.4956427587217229,1,3.0,0.4098759357746672,0,3.0,0.8411326717658413,1,1.0,0.4629071241952962,4,21.0
235.0,5,13.0,0.5416666666666666,6.902291586775419,0,14.0,0.41051775369245824,2,9.0,0.42648124506084334,2,3.0,0.38967217835496193,0,0.0,0.7888737161375958,4,26.0
240.0,4,10.0,0.4166666666666667,6.134373351455266,1,13.0,0.260569003231145,1,3.0,0.266384433479913,2,8.0,0.303938788804314,0,0.0,0.4567041990607664,4,24.0
245.0,3,12.0,0.5217391304347826,8.053611941699845,0,10.0,0.9109922922855075,2,12.0,0.19330697474385958,0,0.0,0.7124084689448398,0,0.0,0.5162311290176996,2,22.0
250.0,2,4.0,0.2,7.091952630904669,0,10.0,0.1885656136056272,0,2.0,0.6962421406146563,1,5.0,0.33424053036360274,1,2.0,0.4936513878796925,2,19.0
255.0,1,7.0,0.35,8.127205291913349,0,4.0,0.4952931803475682,0,2.0,0.46131606749090553,0,4.0,0.9071202826518567,1,7.0,0.39868378161095086,1,17.0
260.0,3,6.0,0.3,6.498425690335881,0,0.0,0.5164456733992138,1,6.0,0.4705968191804355,1,5.0,0.2401678844735327,1,4.0,0.11731941936675909,3,15.0
265.0,3,11.0,0.6111111111111112,5.893490438499059,0,1.0,0.5277509561866425,1,2.0,0.25475892472365125,0,4.0,0.6417909822817376,2,9.0,0.17491423089370897,3,16.0
270.0,2,10.0,0.5,8.026273220293282,0,0.0,0.28682131849169906,1,9.0,0.6274535288276073,1,5.0,0.20105519951333267,0,6.0,0.5698059868797722,2,20.0
275.0,6,10.0,0.5,6.3001606022417445,2,8.0,0.13457631892468416,2,3.0,0.40191533137817875,1,2.0,0.6455975991455671,1,1.0,0.46833182832605436,6,14.0
280.0,5,11.0,0.55,5.676216484932808,0,2.0,0.8232730715206248,3,11.0,0.21539556134563612,0,2.0,0.3721300968709508,1,1.0,0.395438765585915,4,16.0
285.0,4,9.0,0.391304347826087,5.342610063325492,0,4.0,0.3603094792157627,0,14.0,0.3591118748454379,1,6.0,0.48761798790250477,3,9.0,0.00014182709095921273,4,33.0
290.0,1,2.0,0.08333333333333333,7.450292941680826,1,7.0,0.5065288601202437,0,7.0,0.16106438788927363,0,4.0,0.7082330789750093,0,6.0,0.466200035543196,1,24.0
295.0,3,8.0,0.3333333333333333,6.85589299831517,2,11.0,0.3595700416378049,0,2.0,0.7054403917708743,1,6.0,0.11909794913247478,0,2.0,0.7993444373120792,3,21.0
300.0,1,5.0,0.20833333333333334,6.475387991325377,0,8.0,0.5883250937143835,0,0.0,0.7235745350820981,1,6.0,0.2387128061840221,0,2.0,0.4574775373974685,1,16.0
