step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
25,1,0.0,0.0,0,0,0,0.0,1.0,0.0
30,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
35,1,1.0,1.0,1,3.0,3.0,2.0,0.020833333333333332,2.3999999999999995
40,2,6.0,3.0,1,8.0,8.0,5.0,0.0375,6.0
45,3,4.0,1.3333333333333333,1,0.0,0.0,1.3333333333333333,0.020833333333333332,0.0
50,0,0.0,0,2,1.0,0.5,0.5,1.0,0.6999999999999993
55,4,10.0,2.5,2,7.0,3.5,1.0,0.05482456140350877,4.4999999999999964
60,1,1.0,1.0,1,6.0,6.0,5.0,0.020833333333333332,3.899999999999997
65,3,10.0,3.3333333333333335,2,11.0,5.5,2.1666666666666665,0.04006410256410257,6.599999999999996
70,0,0.0,0,2,21.0,10.5,10.5,1.0,11.599999999999996
75,8,26.0,3.25,2,31.0,15.5,12.25,0.1005952380952381,16.04999999999999
80,4,25.0,6.25,4,42.0,10.5,4.25,0.04241313789359392,20.5
85,5,24.0,4.8,3,57.0,19.0,14.2,0.049586776859504134,25.5
90,1,2.0,2.0,4,73.0,18.25,16.25,0.020833333333333332,30.5
95,5,15.0,3.0,6,94.0,15.666666666666666,12.666666666666666,0.0357824427480916,34.94999999999999
100,2,7.0,3.5,7,119.0,17.0,13.5,0.04083333333333333,39.399999999999984
105,1,0.0,0.0,6,146.0,24.333333333333332,24.333333333333332,1.0,44.399999999999984
110,2,5.0,2.5,7,172.0,24.571428571428573,22.071428571428573,0.04006410256410257,48.849999999999994
115,2,5.0,2.5,8,207.0,25.875,23.375,0.030637254901960783,53.29999999999999
120,1,5.0,5.0,7,242.0,34.57142857142857,29.57142857142857,0.020833333333333332,57.75
125,1,0.0,0.0,7,277.0,39.57142857142857,39.57142857142857,1.0,62.75
130,2,6.0,3.0,8,312.0,39.0,36.0,0.028846153846153848,67.19999999999999
135,2,1.0,0.5,9,352.0,39.111111111111114,38.611111111111114,0.020833333333333332,71.64999999999998
140,2,3.0,1.5,9,392.0,43.55555555555556,42.05555555555556,0.0375,76.64999999999998
145,3,9.0,3.0,10,437.0,43.7,40.7,0.020833333333333332,81.64999999999998
150,2,7.0,3.5,11,482.0,43.81818181818182,40.31818181818182,0.04083333333333333,86.09999999999998
155,3,6.0,2.0,11,523.0,47.54545454545455,45.54545454545455,0.028846153846153848,90.55000000000001
160,3,12.0,4.0,11,578.0,52.54545454545455,48.54545454545455,0.04838709677419355,95.55000000000001
165,4,16.0,4.0,13,634.0,48.76923076923077,44.76923076923077,0.042328042328042326,100.0
170,1,6.0,6.0,14,697.0,49.785714285714285,43.785714285714285,0.020833333333333332,105.0
175,2,2.0,1.0,14,763.0,54.5,53.5,0.020833333333333332,110.0
180,1,1.0,1.0,16,833.0,52.0625,51.0625,0.020833333333333332,114.29999999999998
185,2,5.0,2.5,18,909.0,50.5,48.0,0.020833333333333332,118.59999999999998
190,1,5.0,5.0,17,993.0,58.411764705882355,53.411764705882355,0.020833333333333332,122.89999999999998
195,4,12.0,3.0,17,1050.0,61.76470588235294,58.76470588235294,0.04838709677419355,127.89999999999998
200,5,16.0,3.2,19,1135.0,59.73684210526316,56.536842105263155,0.05442176870748299,132.19999999999996
205,4,17.0,4.25,18,1220.0,67.77777777777777,63.52777777777777,0.032545045045045046,136.5
210,3,3.0,1.0,18,1310.0,72.77777777777777,71.77777777777777,0.0625,141.5
215,4,14.0,3.5,19,1401.0,73.73684210526316,70.23684210526316,0.0537280701754386,145.79999999999998
220,1,1.0,1.0,16,1263.0,78.9375,77.9375,0.020833333333333332,150.09999999999997
225,4,7.0,1.75,19,1338.0,70.42105263157895,68.67105263157895,0.02759009009009009,154.39999999999998
230,3,7.0,2.3333333333333335,20,1422.0,71.1,68.76666666666667,0.03780864197530864,159.39999999999998
235,3,11.0,3.6666666666666665,21,1514.0,72.0952380952381,68.42857142857143,0.041325136612021855,163.69999999999996
240,2,6.0,3.0,21,1619.0,77.0952380952381,74.0952380952381,0.028846153846153848,168.69999999999996
245,3,8.0,2.6666666666666665,22,1726.0,78.45454545454545,75.78787878787878,0.020833333333333332,173.69999999999996
250,0,0.0,0,23,1836.0,79.82608695652173,79.82608695652173,1.0,178.0
255,2,5.0,2.5,25,1950.0,78.0,75.5,0.030637254901960783,182.29999999999998
260,2,3.0,1.5,25,2072.0,82.88,81.38,0.020833333333333332,186.59999999999997
265,3,6.0,2.0,17,1366.0,80.3529411764706,78.3529411764706,0.028846153846153848,180.0
270,2,3.0,1.5,25,1446.0,57.84,56.34,0.0375,185.0
275,2,8.0,4.0,21,1541.0,73.38095238095238,69.38095238095238,0.020833333333333332,190.0
280,1,1.0,1.0,22,1632.0,74.18181818181819,73.18181818181819,0.020833333333333332,195.0
285,1,0.0,0.0,23,1743.0,75.78260869565217,75.78260869565217,1.0,199.49999999999997
290,4,8.0,2.0,23,1858.0,80.78260869565217,78.78260869565217,0.02666666666666667,203.99999999999997
295,2,2.0,1.0,23,1973.0,85.78260869565217,84.78260869565217,0.020833333333333332,208.5
300,5,18.0,3.6,23,2073.0,90.1304347826087,86.53043478260871,0.05921052631578947,213.5
305,3,8.0,2.6666666666666665,24,2188.0,91.16666666666667,88.5,0.020833333333333332,217.99999999999994
310,1,3.0,3.0,25,2303.0,92.12,89.12,0.020833333333333332,223.99999999999997
315,3,6.0,2.0,24,2364.0,98.5,96.5,0.028846153846153848,228.99999999999997
320,3,12.0,4.0,26,2484.0,95.53846153846153,91.53846153846153,0.04838709677419355,233.5
325,3,8.0,2.6666666666666665,19,2349.0,123.63157894736842,120.96491228070175,0.03508771929824561,237.99999999999994
330,5,24.0,4.8,27,2446.0,90.5925925925926,85.7925925925926,0.08,242.5
335,5,20.0,4.0,22,2543.0,115.5909090909091,111.5909090909091,0.03333333333333333,247.99999999999994
340,1,1.0,1.0,22,2653.0,120.5909090909091,119.5909090909091,0.020833333333333332,252.5
345,2,1.0,0.5,22,2763.0,125.5909090909091,125.0909090909091,0.020833333333333332,257.0
350,3,10.0,3.3333333333333335,14,1500.0,107.14285714285714,103.80952380952381,0.041666666666666664,224.10000000000005
355,3,15.0,5.0,25,1567.0,62.68,57.68,0.020833333333333332,227.0499999999999
360,2,7.0,3.5,16,1335.0,83.4375,79.9375,0.035201149425287355,209.0
365,3,1.0,0.3333333333333333,18,1410.0,78.33333333333333,78.0,0.020833333333333332,210.09999999999968
370,2,11.0,5.5,16,1490.0,93.125,87.625,0.041325136612021855,219.0
375,2,5.0,2.5,19,1570.0,82.63157894736842,80.13157894736842,0.020833333333333332,224.0
380,4,10.0,2.5,19,1660.0,87.36842105263158,84.86842105263158,0.061274509803921566,225.09999999999968
385,2,7.0,3.5,18,1685.0,93.61111111111111,90.11111111111111,0.020833333333333332,230.09999999999968
390,2,5.0,2.5,19,1775.0,93.42105263157895,90.92105263157895,0.04006410256410257,235.09999999999968
395,4,19.0,4.75,19,1559.0,82.05263157894737,77.30263157894737,0.038968048359240066,166.0
400,1,2.0,2.0,21,1647.0,78.42857142857143,76.42857142857143,0.020833333333333332,170.7
405,3,9.0,3.0,23,1745.0,75.8695652173913,72.8695652173913,0.031839622641509434,175.7
410,3,6.0,2.0,23,1859.0,80.82608695652173,78.82608695652173,0.028846153846153848,180.7
415,5,19.0,3.8,21,1593.0,75.85714285714286,72.05714285714286,0.031206777316735823,185.39999999999998
420,2,7.0,3.5,26,1686.0,64.84615384615384,61.34615384615384,0.035201149425287355,190.39999999999998
425,3,12.0,4.0,23,1790.0,77.82608695652173,73.82608695652173,0.020833333333333332,195.10000000000002
430,1,1.0,1.0,24,1897.0,79.04166666666667,78.04166666666667,0.020833333333333332,200.10000000000002
435,3,6.0,2.0,25,1710.0,68.4,66.4,0.028846153846153848,197.00000000000003
440,2,2.0,1.0,27,1833.0,67.88888888888889,66.88888888888889,0.020833333333333332,202.00000000000003
445,2,9.0,4.5,29,1965.0,67.75862068965517,63.258620689655174,0.031839622641509434,205.99999999999994
450,1,5.0,5.0,17,1546.0,90.94117647058823,85.94117647058823,0.020833333333333332,210.99999999999994
455,5,6.0,1.2,27,1629.0,60.333333333333336,59.13333333333333,0.075,215.99999999999994
460,2,7.0,3.5,20,1410.0,70.5,67.0,0.02759009009009009,189.39999999999978
465,4,15.0,3.75,12,778.0,64.83333333333333,61.08333333333333,0.060876623376623376,82.75
470,2,6.0,3.0,16,833.0,52.0625,49.0625,0.020833333333333332,86.29999999999987
475,3,2.0,0.6666666666666666,16,896.0,56.0,55.333333333333336,0.041666666666666664,91.29999999999987
480,5,20.0,4.0,16,968.0,60.5,56.5,0.05868544600938967,94.84999999999997
485,4,12.0,3.0,20,1048.0,52.4,49.4,0.0625,99.84999999999997
490,3,15.0,5.0,17,805.0,47.35294117647059,42.35294117647059,0.04380841121495327,65.59999999999997
495,2,1.0,0.5,19,880.0,46.31578947368421,45.81578947368421,0.020833333333333332,71.79999999999998
500,1,4.0,4.0,17,955.0,56.1764705882353,52.1764705882353,0.020833333333333332,86.34999999999953
505,5,12.0,2.4,16,1030.0,64.375,61.975,0.06,99.70000000000024
510,4,24.0,6.0,14,1061.0,75.78571428571429,69.78571428571429,0.04878048780487805,113.04999999999976
515,3,5.0,1.6666666666666667,16,1127.0,70.4375,68.77083333333333,0.030637254901960783,118.04999999999976
520,2,3.0,1.5,17,1205.0,70.88235294117646,69.38235294117646,0.020833333333333332,114.70000000000024
525,3,7.0,2.3333333333333335,18,1286.0,71.44444444444444,69.11111111111111,0.0537280701754386,128.04999999999976
530,1,6.0,6.0,22,1316.0,59.81818181818182,53.81818181818182,0.020833333333333332,141.3999999999993
535,4,9.0,2.25,24,1106.0,46.083333333333336,43.833333333333336,0.05818965517241379,103.39999999999995
540,2,11.0,5.5,19,1078.0,56.73684210526316,51.23684210526316,0.020833333333333332,107.79999999999998
545,2,1.0,0.5,24,1169.0,48.708333333333336,48.208333333333336,0.020833333333333332,113.39999999999995
550,1,3.0,3.0,20,1258.0,62.9,59.9,0.020833333333333332,117.79999999999998
555,2,3.0,1.5,21,1353.0,64.42857142857143,62.92857142857143,0.020833333333333332,122.20000000000002
560,1,1.0,1.0,20,1147.0,57.35,56.35,0.020833333333333332,122.4
565,3,7.0,2.3333333333333335,19,1149.0,60.473684210526315,58.14035087719298,0.020833333333333332,127.4
570,3,9.0,3.0,23,1233.0,53.608695652173914,50.608695652173914,0.048214285714285716,132.2
