step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.649940937850625,0,0.0,1.0,1,0.0,0.2486379807171408,0,0.0,1.0,0,0.0,0.23525893990531047,1,0.0
10.0,0,0.0,0.0,7.965464721220963,0,0.0,0.10372829875098799,0,0.0,0.6756930525041976,0,0.0,0.32217133460781894,0,0.0,0.8997188876656025,0,0.0
15.0,2,1.0,0.125,5.82990673199761,0,0.0,0.8132212327468199,2,1.0,0.18369678174068338,0,0.0,0.6510125559956501,0,0.0,0.2250836410306746,2,1.0
20.0,1,6.0,0.6,6.764428278171596,0,0.0,0.30280315751590403,1,6.0,0.4908559943480329,0,0.0,0.6706881575939034,0,0.0,0.42832826025425286,1,6.0
25.0,4,15.0,1.1538461538461537,6.947459441675305,1,3.0,0.5115876112950041,2,11.0,0.009327224306356333,1,1.0,0.48401561312252916,0,0.0,0.6967810822058446,4,15.0
30.0,1,6.0,0.42857142857142855,7.192948340735549,0,0.0,0.5642168330756627,0,0.0,0.46824109016154214,1,6.0,0.4053853634642352,0,0.0,0.6313069884530309,1,6.0
35.0,4,19.0,1.1875,6.913697104703248,2,5.0,0.34983270583014403,0,0.0,0.6819863511269597,1,11.0,0.4798475800604947,1,5.0,0.3237816121778511,4,21.0
40.0,2,15.0,0.9375,5.302578000040809,2,15.0,0.4032476836913396,0,0.0,0.36785434197459527,0,0.0,0.41939743116183653,0,2.0,0.23098454862068535,2,17.0
45.0,4,12.0,0.631578947368421,6.395026765715621,1,5.0,0.3618271753469938,1,7.0,0.4308328864154081,0,0.0,0.9502538943643388,1,0.0,0.31724931664961076,3,12.0
50.0,4,28.0,1.4736842105263157,6.940315170386836,2,11.0,0.0026007812712753324,1,14.0,0.715107319286635,0,0.0,0.14839382994838418,0,0.0,0.7349345783522048,3,25.0
