step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,2,5.0,2.5,1,0.0,0.0,2.5,0.030637254901960783,0.0
20,2,4.0,2.0,1,3.0,3.0,1.0,0.020833333333333332,2.6999999999999997
25,1,2.0,2.0,2,10.0,5.0,3.0,0.020833333333333332,7.099999999999998
30,2,9.0,4.5,2,20.0,10.0,5.5,0.031839622641509434,11.799999999999999
35,4,25.0,6.25,2,30.0,15.0,8.75,0.0594558599695586,16.5
40,3,20.0,6.666666666666667,0,0,0,6.666666666666667,0.05482456140350877,0.0
45,5,20.0,4.0,2,1.0,0.5,3.5,0.050200803212851405,0.75
50,3,14.0,4.666666666666667,2,2.0,1.0,3.666666666666667,0.024019607843137256,1.3999999999999986
55,2,13.0,6.5,3,9.0,3.0,3.5,0.028166666666666666,5.4999999999999964
60,3,9.0,3.0,2,19.0,9.5,6.5,0.031839622641509434,10.249999999999996
65,3,10.0,3.3333333333333335,3,29.0,9.666666666666666,6.333333333333332,0.035919540229885055,15.249999999999996
70,5,30.0,6.0,2,39.0,19.5,13.5,0.059713375796178345,20.0
75,4,37.0,9.25,3,49.0,16.333333333333332,7.083333333333332,0.040226845322049835,25.0
80,3,7.0,2.3333333333333335,3,61.0,20.333333333333332,18.0,0.035201149425287355,29.749999999999993
85,5,27.0,5.4,4,76.0,19.0,13.6,0.04979508196721311,34.5
90,6,27.0,4.5,3,91.0,30.333333333333332,25.833333333333332,0.04278169014084507,39.5
95,4,29.0,7.25,3,106.0,35.333333333333336,28.083333333333336,0.06817444876783398,44.25
100,6,28.0,4.666666666666667,5,121.0,24.2,19.53333333333333,0.06533333333333333,49.25
105,5,38.0,7.6,4,137.0,34.25,26.65,0.054696969696969695,53.99999999999999
110,8,35.0,4.375,6,160.0,26.666666666666668,22.291666666666668,0.055844274252370533,59.25
115,6,29.0,4.833333333333333,7,185.0,26.428571428571427,21.595238095238095,0.04774069028156221,63.99999999999999
120,2,12.0,6.0,6,206.0,34.333333333333336,28.333333333333336,0.020833333333333332,68.75
125,4,6.0,1.5,7,231.0,33.0,31.5,0.05357142857142857,73.75
130,6,26.0,4.333333333333333,8,264.0,33.0,28.666666666666668,0.07571684587813621,78.5
135,8,40.0,5.0,8,299.0,37.375,32.375,0.08912655971479501,83.25
140,11,54.0,4.909090909090909,8,334.0,41.75,36.84090909090909,0.0703125,88.0
145,11,97.0,8.818181818181818,9,369.0,41.0,32.18181818181818,0.07473154149193036,93.0
150,12,96.0,8.0,9,409.0,45.44444444444444,37.44444444444444,0.12834224598930483,97.75
155,6,39.0,6.5,7,372.0,53.142857142857146,46.642857142857146,0.07218109339407745,102.49999999999999
160,11,68.0,6.181818181818182,8,407.0,50.875,44.69318181818182,0.08936301793444651,107.49999999999999
165,10,111.0,11.1,10,446.0,44.6,33.5,0.07920009256402345,112.25
170,11,108.0,9.818181818181818,10,491.0,49.1,39.28181818181818,0.0811623246492986,117.25
175,6,36.0,6.0,8,523.0,65.375,59.375,0.06108597285067873,122.75
180,7,23.0,3.2857142857142856,8,547.0,68.375,65.08928571428571,0.07110215053763441,127.75
185,12,70.0,5.833333333333333,8,583.0,72.875,67.04166666666667,0.07962818512740509,132.75
190,9,90.0,10.0,8,617.0,77.125,67.125,0.04433788754598003,137.5
195,6,29.0,4.833333333333333,9,654.0,72.66666666666667,67.83333333333334,0.036577940153096726,142.5
200,6,33.0,5.5,8,694.0,86.75,81.25,0.06653225806451613,147.25
205,9,51.0,5.666666666666667,9,734.0,81.55555555555556,75.88888888888889,0.11857221006564551,152.5
210,8,51.0,6.375,6,376.0,62.666666666666664,56.291666666666664,0.05512461851475076,99.35000000000001
215,5,28.0,5.6,7,384.0,54.857142857142854,49.25714285714285,0.057919621749408984,104.35000000000001
220,10,65.0,6.5,6,409.0,68.16666666666667,61.66666666666667,0.0867200328407225,109.35000000000001
225,9,85.0,9.444444444444445,8,441.0,55.125,45.68055555555556,0.06375300014118311,114.0
230,7,51.0,7.285714285714286,8,476.0,59.5,52.214285714285715,0.045193911592994164,119.0
235,3,21.0,7.0,9,516.0,57.333333333333336,50.333333333333336,0.04083333333333333,123.29999999999998
240,6,26.0,4.333333333333333,9,560.0,62.22222222222222,57.888888888888886,0.05416666666666667,128.29999999999998
245,8,43.0,5.375,9,583.0,64.77777777777777,59.40277777777777,0.05075208607817303,132.59999999999997
250,6,23.0,3.8333333333333335,10,626.0,62.6,58.766666666666666,0.04426037483266399,138.29999999999998
255,9,39.0,4.333333333333333,9,671.0,74.55555555555556,70.22222222222223,0.0715293453724605,142.59999999999997
260,5,48.0,9.6,12,716.0,59.666666666666664,50.06666666666666,0.0392156862745098,147.59999999999997
265,4,58.0,14.5,10,761.0,76.1,61.599999999999994,0.03194317836523853,152.59999999999997
270,3,3.0,1.0,12,808.0,67.33333333333333,66.33333333333333,0.0375,156.89999999999998
275,6,22.0,3.6666666666666665,12,863.0,71.91666666666667,68.25,0.08545197740112995,161.19999999999996
280,8,55.0,6.875,12,923.0,76.91666666666667,70.04166666666667,0.0953416540595058,165.5
285,6,45.0,7.5,11,966.0,87.81818181818181,80.31818181818181,0.059502820874471084,170.5
290,7,45.0,6.428571428571429,9,558.0,62.0,55.57142857142857,0.08844339622641509,162.64999999999978
295,9,69.0,7.666666666666667,8,598.0,74.75,67.08333333333333,0.07816193853427895,162.1999999999997
300,8,85.0,10.625,10,638.0,63.8,53.175,0.05760460517923204,167.1999999999997
305,8,75.0,9.375,9,679.0,75.44444444444444,66.06944444444444,0.06276780931976433,166.75
310,8,76.0,9.5,8,319.0,39.875,30.375,0.06618995232856618,75.75
315,2,17.0,8.5,9,354.0,39.333333333333336,30.833333333333336,0.020833333333333332,79.89999999999999
320,2,8.0,4.0,8,390.0,48.75,44.75,0.020833333333333332,84.89999999999999
325,8,31.0,3.875,10,432.0,43.2,39.325,0.04439209164818921,89.04999999999998
330,8,53.0,6.625,10,477.0,47.7,41.075,0.042314413111593153,93.19999999999996
335,4,16.0,4.0,11,522.0,47.45454545454545,43.45454545454545,0.07207207207207207,98.19999999999996
340,7,35.0,5.0,11,571.0,51.90909090909091,46.90909090909091,0.06805555555555555,104.89999999999999
345,8,73.0,9.125,13,624.0,48.0,38.875,0.08205530918945553,109.04999999999998
350,6,32.0,5.333333333333333,13,684.0,52.61538461538461,47.28205128205128,0.0730593607305936,113.19999999999996
355,4,39.0,9.75,12,734.0,61.166666666666664,51.416666666666664,0.06225442043222004,119.89999999999999
360,9,74.0,8.222222222222221,15,794.0,52.93333333333333,44.71111111111111,0.08926708398539385,124.04999999999998
365,6,44.0,7.333333333333333,7,447.0,63.857142857142854,56.52380952380952,0.08845029239766082,85.99999999999997
370,9,68.0,7.555555555555555,13,482.0,37.07692307692308,29.521367521367523,0.09053884711779449,90.99999999999997
375,11,112.0,10.181818181818182,14,528.0,37.714285714285715,27.532467532467535,0.10623306233062331,95.24999999999996
380,13,144.0,11.076923076923077,15,592.0,39.46666666666667,28.389743589743592,0.09314359637774904,99.5
385,8,117.0,14.625,8,144.0,18.0,3.375,0.05584247111807323,18.0
390,8,40.0,5.0,13,154.0,11.846153846153847,6.846153846153847,0.0697350069735007,23.0
395,8,72.0,9.0,10,187.0,18.7,9.7,0.06809583858764187,28.0
400,14,103.0,7.357142857142857,10,230.0,23.0,15.642857142857142,0.060803530490600645,33.0
405,9,83.0,9.222222222222221,8,242.0,30.25,21.02777777777778,0.06330870460226437,38.0
