step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
20,2,10.0,5.0,0,0,0,5.0,0.035919540229885055,0.0
25,1,0.0,0.0,0,0,0,0.0,1.0,0.0
30,3,9.0,3.0,1,3.0,3.0,0.0,0.041158536585365856,2.3999999999999995
35,4,16.0,4.0,0,0,0,4.0,0.042328042328042326,0.0
40,2,20.0,10.0,1,0.0,0.0,10.0,0.03333333333333333,0.0
45,5,32.0,6.4,0,0,0,6.4,0.04249667994687915,0.0
50,4,52.0,13.0,1,0.0,0.0,13.0,0.06109906001446132,0.0
55,2,25.0,12.5,0,0,0,12.5,0.030637254901960783,0.0
60,4,20.0,5.0,1,0.0,0.0,5.0,0.06218905472636816,0.0
65,5,6.0,1.2,2,0.0,0.0,1.2,0.041666666666666664,0.0
70,9,35.0,3.888888888888889,2,5.0,2.5,1.3888888888888888,0.07188967136150234,2.5
75,6,23.0,3.8333333333333335,0,0,0,3.8333333333333335,0.02970575022461815,0.0
80,5,20.0,4.0,3,0.0,0.0,4.0,0.061274509803921566,0.0
85,8,24.0,3.0,0,0,0,3.0,0.04316546762589928,0.0
90,7,31.0,4.428571428571429,1,0.0,0.0,4.428571428571429,0.05338888888888889,0.0
95,8,58.0,7.25,0,0,0,7.25,0.05527076761303891,0.0
100,9,64.0,7.111111111111111,3,2.0,0.6666666666666666,6.444444444444444,0.0883367839889579,0.5
105,5,8.0,1.6,4,4.0,1.0,0.6000000000000001,0.06666666666666667,1.5
110,10,35.0,3.5,4,18.0,4.5,1.0,0.10249330655957162,6.399999999999999
115,3,19.0,6.333333333333333,4,33.0,8.25,1.916666666666667,0.046713250517598344,11.299999999999997
120,6,25.0,4.166666666666667,3,34.0,11.333333333333334,7.166666666666667,0.06290257648953301,16.299999999999997
