step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.143138319059895,0,0.0,0.5225118033895215,0,0.0,1.0,0,0.0,0.24391993115338062,0,0.0,0.1002019138274974,0,0.0
10.0,2,0.0,0.0,6.503677793180001,0,0.0,0.5767677299799181,1,0.0,0.0,0,0.0,0.9233326625830741,1,0.0,0.40026224206866795,2,0.0
15.0,2,2.0,0.2,5.5912531400304335,2,2.0,0.2785803401269559,0,0.0,0.824980401637277,0,0.0,0.24230501435847343,0,0.0,0.7819671342817094,2,2.0
20.0,3,14.0,1.0769230769230769,6.215263953976102,2,9.0,0.35669386873258374,0,0.0,0.9556427043989391,1,5.0,0.4219743663274946,0,0.0,0.6138581349425369,3,14.0
25.0,2,10.0,0.625,7.62980319347267,1,0.0,0.5399718538354903,0,0.0,0.6986677291894001,1,12.0,0.5446335782580903,0,0.0,0.5085372504588541,2,12.0
30.0,3,4.0,0.21052631578947367,6.489519039511484,1,2.0,0.6220713404659493,0,2.0,0.5676513489688331,0,2.0,0.44034481844217266,2,4.0,0.24979466541084885,3,10.0
35.0,5,19.0,0.9047619047619048,7.076317847067871,2,9.0,0.2614330348002116,2,8.0,0.2948746674235309,1,4.0,0.5486237491989243,0,2.0,0.7458102356591423,5,23.0
40.0,5,12.0,0.5217391304347826,5.4887387197504145,1,3.0,0.31788573303998935,0,2.0,0.6812648485773484,3,10.0,0.2296626291553902,1,2.0,0.26469744079015906,5,17.0
45.0,5,13.0,0.5416666666666666,6.507179065966253,1,6.0,0.5869713932747364,0,4.0,0.633202208423977,0,0.0,0.4135768603918042,1,1.0,0.44887729073521954,2,11.0
50.0,4,17.0,0.68,7.085912643674732,2,13.0,0.367496956800755,0,4.0,0.4359196515729859,1,5.0,0.27224543379683525,0,0.0,0.6141240568810894,3,22.0
55.0,7,12.0,0.4444444444444444,5.7833363696549505,2,16.0,0.3731087559116967,2,8.0,0.1415260375636616,0,12.0,0.6723973831864682,2,4.0,0.29848417711425124,6,40.0
60.0,6,28.0,1.037037037037037,5.764124164417073,1,16.0,0.32887118246151836,2,17.0,0.46265160485073936,0,14.0,0.6390779851603233,3,15.0,0.33898026640974627,6,62.0
65.0,5,35.0,1.25,6.846780484231958,2,9.0,0.3082737874144348,0,11.0,0.5297002575501324,0,0.0,0.7415926105207047,3,30.0,0.29286668566903745,5,50.0
70.0,5,48.0,1.6551724137931034,5.785490920367152,1,13.0,0.3290109851926213,1,7.0,0.18985582262165834,0,0.0,0.44110105199798955,3,45.0,0.3521845724018511,5,65.0
75.0,8,71.0,2.4482758620689653,5.385573030509812,1,10.0,0.4125041521455755,2,11.0,0.1739931988646441,1,3.0,0.6301935756149518,3,60.0,0.07596374254676598,7,84.0
80.0,8,107.0,3.566666666666667,6.499683867930028,2,16.0,0.352263179795114,1,9.0,0.426727305581686,1,8.0,0.39845871779848485,3,77.0,0.4838189752553014,7,110.0
85.0,5,14.0,0.45161290322580644,5.644751852036127,1,8.0,0.19381398617362627,1,13.0,0.4702897058782696,1,0.0,0.43868299062264715,0,27.0,0.342825145432429,3,48.0
90.0,10,39.0,1.2580645161290323,5.405069853363555,2,3.0,0.49390506707053294,3,26.0,0.3235009094362284,2,11.0,0.34586318227948176,2,2.0,0.22892628893802308,9,42.0
95.0,10,48.0,1.5,5.9840823930668865,2,11.0,0.34746744703258836,1,11.0,0.29243941752990005,4,25.0,0.22782574129495428,1,12.0,0.5892780030411771,8,59.0
100.0,9,38.0,1.3103448275862069,4.974406200694665,1,13.0,0.4523089862052165,4,24.0,0.17025328179335128,1,29.0,0.04113866431500108,1,11.0,0.33023996545085443,7,77.0
105.0,8,40.0,1.3793103448275863,5.273894644903989,2,24.0,0.2545109827353894,2,24.0,0.28973293636729947,3,39.0,0.0008027126437457841,0,17.0,0.6152036228821384,7,104.0
110.0,5,9.0,0.28125,6.187574152115443,2,24.0,0.238207005631594,1,5.0,0.504179319305907,0,31.0,0.35481559552896147,0,19.0,0.4829435136035844,3,79.0
115.0,7,35.0,1.0606060606060606,6.259372776769286,4,33.0,0.26056732677645,1,16.0,0.5411447587416308,0,2.0,0.5162893830801659,2,27.0,0.3874749393092209,7,78.0
120.0,11,77.0,2.3333333333333335,6.709502437443047,4,41.0,0.29139531549972464,2,20.0,0.2924549244211688,2,6.0,0.4003657703225797,2,35.0,0.4872418024833426,10,102.0
125.0,5,37.0,1.2333333333333334,5.790162392168915,0,19.0,0.35849610245545727,2,26.0,0.03645536323617907,1,15.0,0.4635032858155772,0,14.0,0.5078204226445274,3,74.0
130.0,4,10.0,0.3333333333333333,6.404674396184061,2,15.0,0.23193638023850272,1,15.0,0.3992022587216659,0,4.0,0.6072898697886239,1,3.0,0.20455038215336277,4,37.0
135.0,8,29.0,1.0,5.908107893102281,4,23.0,0.024756443815007512,0,5.0,0.6107674574287253,2,3.0,0.2586501861580956,0,0.0,0.25874385566806773,6,31.0
140.0,9,60.0,2.2222222222222223,4.970154661300815,4,45.0,0.034746969671413025,2,18.0,0.3040212807071881,1,1.0,0.5784051769932831,2,9.0,0.32211530712918035,9,73.0
145.0,6,10.0,0.35714285714285715,4.448197483641376,2,27.0,0.08548818824891781,0,17.0,0.47796155183761124,1,6.0,0.22962104019936028,2,8.0,0.37439838114420854,5,58.0
150.0,5,18.0,0.6428571428571429,5.259551529003986,1,9.0,0.29122209580836134,2,20.0,0.17417097432539405,0,0.0,0.9774515078929467,1,6.0,0.3104060631887102,4,35.0
155.0,5,33.0,1.1379310344827587,5.772926355003741,0,0.0,0.6917275384045445,1,16.0,0.2668910965662261,0,0.0,0.5241570585105586,3,25.0,0.27671644351970603,4,41.0
160.0,4,28.0,0.9655172413793104,6.009245509403296,0,0.0,0.5266848069606672,2,11.0,0.4043247409800646,1,7.0,0.577122354082565,0,14.0,0.42997990707471506,3,32.0
165.0,13,68.0,2.125,4.846185835221365,1,0.0,0.5330451082480968,4,24.0,0.31672629237968525,3,18.0,0.14454011843027534,4,15.0,0.03091635306249526,12,57.0
170.0,12,98.0,3.161290322580645,4.77274986120056,1,2.0,0.4730338031498713,6,49.0,0.06413754016875704,3,33.0,0.29831351893603497,2,19.0,0.3305165291180052,12,103.0
175.0,8,86.0,2.8666666666666667,5.454967112609359,0,0.0,0.6467239461806569,5,61.0,0.1641682786978506,1,12.0,0.27983250451742475,2,51.0,0.4050714157886263,8,124.0
180.0,12,73.0,2.212121212121212,5.026807016675606,2,4.0,0.4142938482750985,5,70.0,0.21203770267969055,3,8.0,0.3427964667463067,1,26.0,0.11804458351872278,11,108.0
185.0,10,46.0,1.5333333333333334,5.009239950484436,4,18.0,0.18713503368841028,2,40.0,0.3877723524226067,1,2.0,0.5263512540846894,2,35.0,0.2378390307844053,9,95.0
190.0,9,68.0,2.0606060606060606,4.679840524710301,2,23.0,0.3226836439243534,4,36.0,0.0033178131003383468,1,4.0,0.21282500559739562,0,34.0,0.5941937653791627,7,97.0
195.0,6,46.0,1.4375,5.814096857040739,1,3.0,0.567951862407922,3,58.0,0.13899925686039918,2,14.0,0.21319863224287983,0,18.0,0.65116546256349,6,93.0
200.0,8,47.0,1.3428571428571427,5.398687033891399,3,11.0,0.10606264850332554,2,46.0,0.2981890236344645,2,24.0,0.29275300255887676,0,19.0,0.5768905679763773,7,100.0
205.0,11,88.0,2.5142857142857142,5.473811462616828,3,28.0,0.08474965876926958,3,49.0,0.3021305500701961,3,38.0,0.4647740046546861,1,8.0,0.41385654037785147,10,123.0
210.0,11,54.0,1.588235294117647,4.264855808892041,3,23.0,0.23609418391548798,0,20.0,0.349489516519306,1,26.0,0.30800069913936073,5,29.0,0.2800158553705436,9,98.0
215.0,17,113.0,3.054054054054054,4.68806159630259,5,41.0,0.2479892473018057,2,10.0,0.471947802650443,1,3.0,0.41459302381321417,7,58.0,0.012193596626322734,15,112.0
220.0,17,161.0,4.6,3.931549857068323,1,35.0,0.2662372036936182,3,21.0,0.10105803557930222,2,9.0,0.4231724894684056,9,103.0,0.15494638732461008,15,168.0
225.0,15,197.0,5.472222222222222,4.251575155766671,2,15.0,0.14537011321087565,1,4.0,0.3473988066079601,1,18.0,0.3093747864974711,10,151.0,0.10670340585658772,14,188.0
230.0,17,206.0,5.722222222222222,4.7242342722597614,3,27.0,0.28385497253884023,1,1.0,0.2782920631089815,4,61.0,0.3102638765672697,8,175.0,0.14424581297599323,16,264.0
235.0,13,140.0,4.0,4.140493816467323,4,45.0,0.287092421083787,1,10.0,0.4957282711116733,4,81.0,0.3079824172585915,4,167.0,0.23761178174592068,13,303.0
240.0,14,100.0,2.7027027027027026,3.167273065735561,4,65.0,0.18429657646582326,1,14.0,0.4031553005085044,2,55.0,0.22489839126811972,7,188.0,0.10053431904357236,14,322.0
245.0,11,83.0,2.128205128205128,4.672400510882006,1,51.0,0.1618192728138972,2,24.0,0.5529096470582736,2,39.0,0.3299595482630676,5,185.0,0.1818914332616563,10,299.0
250.0,13,114.0,3.0,4.396786055241613,1,19.0,0.5296618899224176,2,36.0,0.38746364506900777,0,38.0,0.3438209893933365,9,220.0,0.21572831898625283,12,313.0
255.0,20,199.0,4.738095238095238,3.3166150343455456,3,11.0,0.25610547611782425,3,50.0,0.3209979280441151,1,4.0,0.3004111951618972,11,271.0,0.05819348331729994,18,336.0
260.0,14,159.0,3.7857142857142856,4.33712046599962,3,26.0,0.38863469130842176,3,63.0,0.49789342924332836,1,9.0,0.506366974739204,5,266.0,0.060391882437134635,12,364.0
265.0,23,198.0,4.604651162790698,3.2736281056413614,4,44.0,0.15496141912290234,6,95.0,0.19415979898966154,2,17.0,0.1960784966019176,8,217.0,0.18567128417457987,20,373.0
270.0,10,27.0,0.6136363636363636,2.627921899206481,0,24.0,0.15858051212753335,4,90.0,0.17048945021126666,0,4.0,0.2657396475302311,5,196.0,0.18209366610955796,9,314.0
275.0,17,62.0,1.3191489361702127,4.038684668720406,2,17.0,0.36952641244285916,6,112.0,0.16665588956380048,0,3.0,0.6147855218166594,6,200.0,0.2094298294143872,14,332.0
280.0,5,11.0,0.22,3.5341576665127947,1,13.0,0.46025127791974685,2,115.0,0.11912443917079221,0,8.0,0.5308811149800418,2,179.0,0.11936547254496828,5,315.0
285.0,20,57.0,1.0754716981132075,3.237236748671265,1,9.0,0.4462226473153566,8,126.0,0.08044354582982538,4,16.0,0.34627901684775814,4,146.0,0.15141727230387952,17,297.0
290.0,19,92.0,1.6727272727272726,3.906026762611072,1,5.0,0.3376183437828767,5,104.0,0.11764891635299914,6,42.0,0.2047639179919954,6,151.0,0.22350931027317686,18,302.0
295.0,25,151.0,2.7962962962962963,3.7172832182331006,6,21.0,0.18833205051794266,5,87.0,0.23065181939793009,5,56.0,0.25502100504389563,8,184.0,0.1773543280216234,24,348.0
