step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
15,0,0.0,0,0,0,0,0,1.0,0.0
20,1,0.0,0.0,0,0,0,0.0,1.0,0.0
25,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
30,3,12.0,4.0,0,0,0,4.0,0.04054054054054054,0.0
35,5,34.0,6.8,0,0,0,6.8,0.0404082774049217,0.0
40,6,59.0,9.833333333333334,0,0,0,9.833333333333334,0.04026698130668147,0.0
45,3,43.0,14.333333333333334,0,0,0,14.333333333333334,0.037146415943426554,0.0
50,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
55,1,7.0,7.0,0,0,0,7.0,0.020833333333333332,0.0
60,3,15.0,5.0,0,0,0,5.0,0.030637254901960783,0.0
65,4,32.0,8.0,0,0,0,8.0,0.05306799336650083,0.0
70,7,63.0,9.0,0,0,0,9.0,0.07958373435996151,0.0
75,8,100.0,12.5,0,0,0,12.5,0.0879786036036036,0.0
80,10,144.0,14.4,1,0.0,0.0,14.4,0.0890721649484536,0.0
85,11,195.0,17.727272727272727,0,0,0,17.727272727272727,0.08870087336244542,0.0
90,6,91.0,15.166666666666666,0,0,0,15.166666666666666,0.0518547740707344,0.0
95,0,0.0,0,0,0,0,0,1.0,0.0
100,2,4.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
105,2,12.0,6.0,0,0,0,6.0,0.03333333333333333,0.0
110,5,36.0,7.2,0,0,0,7.2,0.0665024630541872,0.0
115,9,73.0,8.11111111111111,1,0.0,0.0,8.11111111111111,0.08341159529176058,0.0
120,11,120.0,10.909090909090908,0,0,0,10.909090909090908,0.09052504526252263,0.0
125,11,175.0,15.909090909090908,0,0,0,15.909090909090908,0.09566964062578098,0.0
130,13,240.0,18.46153846153846,1,0.0,0.0,18.46153846153846,0.1044932079414838,0.0
135,6,107.0,17.833333333333332,1,0.0,0.0,17.833333333333332,0.0427074007758878,0.0
140,2,3.0,1.5,0,0,0,1.5,0.020833333333333332,0.0
145,3,12.0,4.0,0,0,0,4.0,0.0375,0.0
150,4,24.0,6.0,1,0.0,0.0,6.0,0.047619047619047616,0.0
155,5,45.0,9.0,0,0,0,9.0,0.06973140495867769,0.0
160,7,73.0,10.428571428571429,2,0.0,0.0,10.428571428571429,0.08481347084288261,0.0
165,6,103.0,17.166666666666668,0,0,0,17.166666666666668,0.0917479590424796,0.5499999999999989
170,6,133.0,22.166666666666668,0,0,0,22.166666666666668,0.0942749637588471,0.0
175,7,166.0,23.714285714285715,2,1.0,0.5,23.214285714285715,0.0986736564684313,0.5499999999999989
180,2,26.0,13.0,0,0,0,13.0,0.020833333333333332,0.0
185,3,5.0,1.6666666666666667,0,0,0,1.6666666666666667,0.04734848484848485,0.0
190,2,10.0,5.0,0,0,0,5.0,0.030637254901960783,0.0
195,2,20.0,10.0,2,2.0,1.0,9.0,0.0382262996941896,0.8999999999999986
200,6,38.0,6.333333333333333,3,10.0,3.3333333333333335,2.9999999999999996,0.060897435897435896,5.0
205,8,75.0,9.375,5,25.0,5.0,4.375,0.10041773778920308,10.0
210,10,120.0,12.0,3,40.0,13.333333333333334,1.333333333333334,0.11829652996845426,14.799999999999997
215,11,174.0,15.818181818181818,3,55.0,18.333333333333332,2.515151515151514,0.12675844051446947,19.799999999999997
220,12,229.0,19.083333333333332,4,70.0,17.5,1.5833333333333321,0.1297376598187072,25.0
225,5,82.0,16.4,1,0.0,0.0,16.4,0.08192007797270955,0.0
230,2,4.0,2.0,1,3.0,3.0,1.0,0.041666666666666664,1.5
235,2,14.0,7.0,3,8.0,2.6666666666666665,4.333333333333334,0.041666666666666664,4.3999999999999915
240,7,38.0,5.428571428571429,1,13.0,13.0,7.571428571428571,0.05591697645600991,6.5
245,9,76.0,8.444444444444445,2,18.0,9.0,0.5555555555555554,0.0657559198542805,9.0
250,12,133.0,11.083333333333334,1,23.0,23.0,11.916666666666666,0.07737157953670656,11.5
255,13,196.0,15.076923076923077,2,30.0,15.0,0.07692307692307665,0.08548743146051413,13.699999999999982
260,15,265.0,17.666666666666668,2,40.0,20.0,2.333333333333332,0.09031550301458938,18.69999999999998
265,14,335.0,23.928571428571427,2,50.0,25.0,1.071428571428573,0.09296675149442656,23.69999999999998
270,7,187.0,26.714285714285715,0,0,0,26.714285714285715,0.052619778500060194,0.0
275,2,4.0,2.0,0,0,0,2.0,0.03333333333333333,0.0
280,3,13.0,4.333333333333333,1,0.0,0.0,4.333333333333333,0.020833333333333332,0.0
285,4,30.0,7.5,0,0,0,7.5,0.02379441624365482,0.0
290,7,60.0,8.571428571428571,0,0,0,8.571428571428571,0.038501026694045176,0.0
295,8,99.0,12.375,1,0.0,0.0,12.375,0.05175855513307985,0.0
300,10,140.0,14.0,0,0,0,14.0,0.05955853753403345,0.0
305,10,188.0,18.8,1,0.0,0.0,18.8,0.06552174170967551,0.0
310,10,238.0,23.8,4,5.0,1.25,22.55,0.06857759956609329,2.2499999999999964
315,6,143.0,23.833333333333332,2,4.0,2.0,21.833333333333332,0.04699623092480235,2.0
320,2,2.0,1.0,2,11.0,5.5,4.5,0.020833333333333332,5.5
325,3,6.0,2.0,3,21.0,7.0,5.0,0.020833333333333332,10.849999999999993
330,5,25.0,5.0,2,31.0,15.5,10.5,0.03152744148506861,15.5
335,5,50.0,10.0,2,41.0,20.5,10.5,0.038926258096661684,20.5
340,6,78.0,13.0,2,51.0,25.5,12.5,0.04491495393338058,25.5
345,9,120.0,13.333333333333334,2,61.0,30.5,17.166666666666664,0.05217391304347826,30.149999999999995
350,10,167.0,16.7,2,71.0,35.5,18.8,0.057350788010397134,35.14999999999999
355,10,217.0,21.7,2,81.0,40.5,18.8,0.06150215242513531,40.5
360,7,140.0,20.0,0,0,0,20.0,0.045542419510744295,0.0
365,2,5.0,2.5,1,0.0,0.0,2.5,0.030637254901960783,0.0
370,3,18.0,6.0,1,0.0,0.0,6.0,0.05357142857142857,0.0
375,5,38.0,7.6,1,1.0,1.0,6.6,0.07558626465661641,0.5999999999999996
380,8,71.0,8.875,1,6.0,6.0,2.875,0.10793508050702295,3.599999999999998
385,9,112.0,12.444444444444445,1,11.0,11.0,1.4444444444444446,0.12848246476565062,6.599999999999996
390,11,163.0,14.818181818181818,2,17.0,8.5,6.318181818181818,0.13904065142761451,9.249999999999984
395,13,223.0,17.153846153846153,2,27.0,13.5,3.6538461538461533,0.139983898572265,14.999999999999995
400,15,289.0,19.266666666666666,2,37.0,18.5,0.7666666666666657,0.13804211291815416,19.999999999999993
405,8,118.0,14.75,0,0,0,14.75,0.0799127640036731,0.0
410,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
415,1,7.0,7.0,0,0,0,7.0,0.020833333333333332,0.0
420,4,16.0,4.0,0,0,0,4.0,0.03463203463203463,0.0
425,5,36.0,7.2,0,0,0,7.2,0.0574468085106383,0.0
430,8,70.0,8.75,1,1.0,1.0,7.75,0.07178856071261135,0.5499999999999989
435,9,115.0,12.777777777777779,2,7.0,3.5,9.277777777777779,0.08039709172259508,3.7499999999999947
440,13,168.0,12.923076923076923,2,17.0,8.5,4.423076923076923,0.08789237668161436,8.749999999999995
445,12,228.0,19.0,2,27.0,13.5,5.5,0.09417391304347826,13.749999999999995
450,6,123.0,20.5,0,0,0,20.5,0.06713258785942491,0.0
455,1,3.0,3.0,2,0.0,0.0,3.0,0.020833333333333332,0.0
460,3,11.0,3.6666666666666665,2,0.0,0.0,3.6666666666666665,0.034531963470319636,0.0
