step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
15,0,0.0,0,0,0,0,0,1.0,0.0
20,1,0.0,0.0,0,0,0,0.0,1.0,0.0
25,1,1.0,1.0,1,0.0,0.0,1.0,0.020833333333333332,0.0
30,2,7.0,3.5,0,0,0,3.5,0.035201149425287355,0.0
35,3,18.0,6.0,0,0,0,6.0,0.045,0.0
40,3,18.0,6.0,0,0,0,6.0,0.0375,0.0
45,1,11.0,11.0,0,0,0,11.0,0.020833333333333332,0.0
50,1,16.0,16.0,0,0,0,16.0,0.020833333333333332,0.0
55,2,5.0,2.5,0,0,0,2.5,0.030637254901960783,0.0
60,3,16.0,5.333333333333333,0,0,0,5.333333333333333,0.04519774011299435,0.0
65,3,24.0,8.0,0,0,0,8.0,0.04838709677419355,0.0
70,3,22.0,7.333333333333333,0,0,0,7.333333333333333,0.041666666666666664,0.0
75,2,8.0,4.0,0,0,0,4.0,0.020833333333333332,0.0
80,2,5.0,2.5,0,0,0,2.5,0.020833333333333332,0.0
85,1,10.0,10.0,0,0,0,10.0,0.020833333333333332,0.0
90,1,4.0,4.0,1,0.0,0.0,4.0,0.020833333333333332,0.0
95,1,4.0,4.0,2,8.0,4.0,0.0,0.020833333333333332,4.5
100,4,18.0,4.5,2,12.0,6.0,1.5,0.03479381443298969,8.0
105,5,37.0,7.4,2,22.0,11.0,3.5999999999999996,0.04463354199269692,12.599999999999994
110,3,16.0,5.333333333333333,2,32.0,16.0,10.666666666666668,0.05128205128205128,17.599999999999994
115,4,33.0,8.25,3,42.0,14.0,5.75,0.06614431486880466,22.599999999999994
120,4,23.0,5.75,2,52.0,26.0,20.25,0.05273125996810207,27.199999999999996
125,5,22.0,4.4,1,0.0,0.0,4.4,0.05197594501718213,0.0
130,6,51.0,8.5,1,0.0,0.0,8.5,0.054790192113245706,0.0
135,3,37.0,12.333333333333334,0,0,0,12.333333333333334,0.020833333333333332,0.0
140,3,9.0,3.0,1,3.0,3.0,0.0,0.041158536585365856,1.799999999999999
145,2,15.0,7.5,1,8.0,8.0,0.5,0.0375,4.799999999999997
150,2,14.0,7.0,1,13.0,13.0,6.0,0.035201149425287355,7.149999999999986
155,2,24.0,12.0,2,20.0,10.0,2.0,0.0392156862745098,11.599999999999994
160,4,7.0,1.75,2,7.0,3.5,1.75,0.04861111111111111,4.549999999999996
165,1,3.0,3.0,2,12.0,6.0,3.0,0.020833333333333332,8.399999999999991
170,2,9.0,4.5,2,18.0,9.0,4.5,0.025961538461538463,13.0
175,1,5.0,5.0,2,23.0,11.5,6.5,0.020833333333333332,16.75
180,4,20.0,5.0,2,30.0,15.0,10.0,0.05555555555555555,19.799999999999983
185,5,26.0,5.2,2,10.0,5.0,0.20000000000000018,0.06460244648318043,6.199999999999996
190,4,36.0,9.0,2,3.0,1.5,7.5,0.07142857142857142,2.099999999999998
195,4,40.0,10.0,1,0.0,0.0,10.0,0.05889281507656066,0.0
200,2,3.0,1.5,2,2.0,1.0,0.5,0.020833333333333332,1.3999999999999986
205,2,12.0,6.0,1,4.0,4.0,2.0,0.0375,2.799999999999997
210,2,22.0,11.0,2,9.0,4.5,6.5,0.04033333333333333,5.849999999999995
215,1,1.0,1.0,2,18.0,9.0,8.0,0.020833333333333332,10.499999999999995
220,2,6.0,3.0,1,19.0,19.0,16.0,0.020833333333333332,12.34999999999999
225,1,11.0,11.0,1,24.0,24.0,13.0,0.020833333333333332,14.399999999999991
230,0,0.0,0,1,29.0,29.0,29.0,1.0,17.39999999999999
235,0,0.0,0,2,34.0,17.0,17.0,1.0,22.09999999999998
240,4,10.0,2.5,2,43.0,21.5,19.0,0.0496031746031746,26.749999999999982
245,2,4.0,2.0,2,53.0,26.5,24.5,0.03333333333333333,31.749999999999982
250,1,6.0,6.0,1,49.0,49.0,43.0,0.020833333333333332,31.849999999999973
255,2,13.0,6.5,2,54.0,27.0,20.5,0.028166666666666666,32.39999999999998
260,3,11.0,3.6666666666666665,0,0,0,3.6666666666666665,0.03878205128205128,0.0
265,4,26.0,6.5,3,0.0,0.0,6.5,0.05917366946778711,0.0
270,2,15.0,7.5,2,6.0,3.0,4.5,0.041482300884955754,3.1999999999999957
275,3,20.0,6.666666666666667,2,16.0,8.0,1.333333333333333,0.0429553264604811,8.399999999999999
280,3,12.0,4.0,2,26.0,13.0,9.0,0.020833333333333332,13.399999999999999
285,2,6.0,3.0,2,36.0,18.0,15.0,0.020833333333333332,18.199999999999996
290,4,24.0,6.0,2,46.0,23.0,17.0,0.020833333333333332,23.199999999999996
295,0,0.0,0,2,56.0,28.0,28.0,1.0,28.199999999999996
300,3,10.0,3.3333333333333335,2,66.0,33.0,29.666666666666668,0.041666666666666664,33.0
305,4,23.0,5.75,3,76.0,25.333333333333332,19.583333333333332,0.044982993197278914,38.0
310,4,43.0,10.75,3,90.0,30.0,19.25,0.051705816554809846,43.199999999999996
315,2,32.0,16.0,3,105.0,35.0,19.0,0.020833333333333332,48.0
320,3,42.0,14.0,5,122.0,24.4,10.399999999999999,0.020833333333333332,53.0
325,0,0.0,0,4,135.0,33.75,33.75,1.0,58.0
330,2,7.0,3.5,5,155.0,31.0,27.5,0.035201149425287355,62.8
335,2,17.0,8.5,1,29.0,29.0,20.5,0.0404082774049217,13.04999999999998
340,3,16.0,5.333333333333333,3,35.0,11.666666666666666,6.333333333333333,0.03333333333333333,15.849999999999977
345,1,9.0,9.0,3,41.0,13.666666666666666,4.666666666666666,0.020833333333333332,16.799999999999947
350,2,5.0,2.5,2,49.0,24.5,22.0,0.04006410256410257,20.599999999999945
355,1,3.0,3.0,3,59.0,19.666666666666668,16.666666666666668,0.020833333333333332,25.599999999999945
360,4,15.0,3.75,3,69.0,23.0,19.25,0.05040322580645161,28.649999999999984
365,3,17.0,5.666666666666667,0,0,0,5.666666666666667,0.03363594040968343,0.0
370,3,15.0,5.0,2,0.0,0.0,5.0,0.04641089108910891,0.0
375,3,30.0,10.0,0,0,0,10.0,0.057515337423312884,0.0
380,3,16.0,5.333333333333333,3,0.0,0.0,5.333333333333333,0.0365296803652968,0.0
385,1,10.0,10.0,2,3.0,1.5,8.5,0.020833333333333332,0.8999999999999968
390,2,5.0,2.5,3,5.0,1.6666666666666667,0.8333333333333333,0.04006410256410257,1.4999999999999947
395,2,15.0,7.5,4,15.0,3.75,3.75,0.041482300884955754,6.749999999999998
400,3,5.0,1.6666666666666667,3,25.0,8.333333333333334,6.666666666666667,0.04006410256410257,11.749999999999998
405,1,2.0,2.0,1,20.0,20.0,18.0,0.020833333333333332,5.999999999999979
410,2,8.0,4.0,1,25.0,25.0,21.0,0.02666666666666667,7.499999999999973
415,3,20.0,6.666666666666667,1,30.0,30.0,23.333333333333332,0.04528985507246377,10.49999999999999
420,4,35.0,8.75,2,35.0,17.5,8.75,0.055600944081336236,10.499999999999963
425,3,30.0,10.0,3,43.0,14.333333333333334,4.333333333333334,0.036196911196911194,15.299999999999986
430,1,10.0,10.0,3,52.0,17.333333333333332,7.333333333333332,0.020833333333333332,19.649999999999984
435,1,4.0,4.0,3,17.0,5.666666666666667,1.666666666666667,0.020833333333333332,7.499999999999995
440,3,13.0,4.333333333333333,5,33.0,6.6,2.2666666666666666,0.03629725085910653,12.749999999999998
445,2,23.0,11.5,4,33.0,8.25,3.25,0.039786401925391096,11.79999999999999
450,2,8.0,4.0,1,21.0,21.0,17.0,0.0392156862745098,8.39999999999997
