step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,0,0.0,0,0,0,0,0,1.0,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,2,1.0,0.5,0,0,0,0.5,0.020833333333333332,0.0
30,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
35,2,9.0,4.5,0,0,0,4.5,0.0375,0.0
40,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
45,3,7.0,2.3333333333333335,0,0,0,2.3333333333333335,0.02759009009009009,0.0
50,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
55,2,9.0,4.5,0,0,0,4.5,0.0375,0.0
60,0,0.0,0,0,0,0,0,1.0,0.0
65,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0.8499999999999996
70,1,4.0,4.0,1,6.0,6.0,2.0,0.020833333333333332,5.099999999999998
75,0,0.0,0,1,11.0,11.0,11.0,1.0,9.349999999999996
80,0,0.0,0,1,16.0,16.0,16.0,1.0,12.799999999999997
85,1,0.0,0.0,1,21.0,21.0,21.0,1.0,16.799999999999997
90,0,0.0,0,1,26.0,26.0,26.0,1.0,20.799999999999997
95,0,0.0,0,3,32.0,10.666666666666666,10.666666666666666,1.0,23.5
100,0,0.0,0,3,47.0,15.666666666666666,15.666666666666666,1.0,28.5
105,2,3.0,1.5,3,62.0,20.666666666666668,19.166666666666668,0.020833333333333332,33.5
110,0,0.0,0,5,80.0,16.0,16.0,1.0,36.99999999999998
115,1,5.0,5.0,5,105.0,21.0,16.0,0.020833333333333332,41.99999999999998
120,2,9.0,4.5,5,130.0,26.0,21.5,0.041158536585365856,46.99999999999998
125,2,10.0,5.0,6,155.0,25.833333333333332,20.833333333333332,0.020833333333333332,50.499999999999986
130,1,4.0,4.0,6,181.0,30.166666666666668,26.166666666666668,0.020833333333333332,55.499999999999986
135,1,9.0,9.0,6,211.0,35.166666666666664,26.166666666666664,0.020833333333333332,60.499999999999986
140,0,0.0,0,6,241.0,40.166666666666664,40.166666666666664,1.0,63.999999999999986
145,1,0.0,0.0,7,272.0,38.857142857142854,38.857142857142854,1.0,68.99999999999999
150,1,4.0,4.0,7,305.0,43.57142857142857,39.57142857142857,0.020833333333333332,73.99999999999999
155,1,0.0,0.0,8,341.0,42.625,42.625,1.0,77.49999999999997
160,0,0.0,0,8,381.0,47.625,47.625,1.0,82.49999999999997
165,2,5.0,2.5,8,421.0,52.625,50.125,0.020833333333333332,87.49999999999997
170,0,0.0,0,7,445.0,63.57142857142857,63.57142857142857,1.0,91.0
175,1,1.0,1.0,8,480.0,60.0,59.0,0.020833333333333332,96.0
180,0,0.0,0,8,518.0,64.75,64.75,1.0,101.0
185,2,1.0,0.5,9,558.0,62.0,61.5,0.020833333333333332,104.49999999999997
190,0,0.0,0,7,447.0,63.857142857142854,63.857142857142854,1.0,109.49999999999997
195,0,0.0,0,9,482.0,53.55555555555556,53.55555555555556,1.0,114.49999999999997
200,0,0.0,0,8,518.0,64.75,64.75,1.0,117.99999999999996
205,2,4.0,2.0,8,554.0,69.25,67.25,0.020833333333333332,122.99999999999996
210,0,0.0,0,7,448.0,64.0,64.0,1.0,107.59999999999998
215,0,0.0,0,8,485.0,60.625,60.625,1.0,111.89999999999999
220,2,4.0,2.0,8,525.0,65.625,63.625,0.03333333333333333,117.59999999999998
225,2,1.0,0.5,8,565.0,70.625,70.125,0.020833333333333332,122.59999999999998
230,1,6.0,6.0,9,606.0,67.33333333333333,61.33333333333333,0.020833333333333332,126.89999999999999
235,0,0.0,0,9,651.0,72.33333333333333,72.33333333333333,1.0,131.9
240,0,0.0,0,9,696.0,77.33333333333333,77.33333333333333,1.0,136.9
245,2,2.0,1.0,10,741.0,74.1,73.1,0.020833333333333332,141.9
250,0,0.0,0,10,788.0,78.8,78.8,1.0,146.9
255,2,3.0,1.5,10,838.0,83.8,82.3,0.020833333333333332,151.9
260,0,0.0,0,11,888.0,80.72727272727273,80.72727272727273,1.0,156.2
265,1,0.0,0.0,11,938.0,85.27272727272727,85.27272727272727,1.0,161.9
270,1,3.0,3.0,11,993.0,90.27272727272727,87.27272727272727,0.020833333333333332,166.9
275,1,1.0,1.0,9,773.0,85.88888888888889,84.88888888888889,0.020833333333333332,170.49999999999997
280,1,3.0,3.0,12,815.0,67.91666666666667,64.91666666666667,0.020833333333333332,175.49999999999997
285,1,0.0,0.0,6,744.0,124.0,124.0,1.0,180.49999999999997
290,0,0.0,0,9,775.0,86.11111111111111,86.11111111111111,1.0,184.75
295,0,0.0,0,7,810.0,115.71428571428571,115.71428571428571,1.0,189.75
300,1,3.0,3.0,7,845.0,120.71428571428571,117.71428571428571,0.020833333333333332,194.75
305,1,0.0,0.0,7,880.0,125.71428571428571,125.71428571428571,1.0,199.0
310,0,0.0,0,8,915.0,114.375,114.375,1.0,204.0
315,0,0.0,0,8,951.0,118.875,118.875,1.0,209.0
320,0,0.0,0,8,991.0,123.875,123.875,1.0,213.24999999999997
325,2,4.0,2.0,8,1031.0,128.875,126.875,0.020833333333333332,218.24999999999997
330,1,2.0,2.0,8,1071.0,133.875,131.875,0.020833333333333332,223.24999999999997
335,2,7.0,3.5,9,1111.0,123.44444444444444,119.94444444444444,0.035201149425287355,227.49999999999997
340,1,4.0,4.0,9,1156.0,128.44444444444446,124.44444444444446,0.020833333333333332,234.0
345,2,13.0,6.5,11,1201.0,109.18181818181819,102.68181818181819,0.03629725085910653,239.0
350,0,0.0,0,11,1249.0,113.54545454545455,113.54545454545455,1.0,243.24999999999997
355,1,2.0,2.0,12,1299.0,108.25,106.25,0.020833333333333332,248.24999999999997
360,1,1.0,1.0,13,1356.0,104.3076923076923,103.3076923076923,0.020833333333333332,253.24999999999997
365,1,0.0,0.0,14,1418.0,101.28571428571429,101.28571428571429,1.0,257.49999999999994
370,0,0.0,0,7,328.0,46.857142857142854,46.857142857142854,1.0,91.39999999999978
375,2,3.0,1.5,13,363.0,27.923076923076923,26.423076923076923,0.020833333333333332,96.39999999999978
380,0,0.0,0,11,409.0,37.18181818181818,37.18181818181818,1.0,96.20000000000007
385,1,0.0,0.0,12,464.0,38.666666666666664,38.666666666666664,1.0,106.39999999999978
390,1,3.0,3.0,12,522.0,43.5,40.5,0.020833333333333332,111.39999999999978
395,1,2.0,2.0,14,584.0,41.714285714285715,39.714285714285715,0.020833333333333332,111.20000000000007
400,1,4.0,4.0,14,654.0,46.714285714285715,42.714285714285715,0.020833333333333332,116.20000000000007
405,3,13.0,4.333333333333333,15,717.0,47.8,43.46666666666666,0.020833333333333332,121.20000000000007
410,0,0.0,0,16,793.0,49.5625,49.5625,1.0,121.0
415,1,2.0,2.0,17,873.0,51.35294117647059,49.35294117647059,0.020833333333333332,131.20000000000007
420,0,0.0,0,17,954.0,56.11764705882353,56.11764705882353,1.0,136.20000000000007
425,1,0.0,0.0,18,1040.0,57.77777777777778,57.77777777777778,1.0,136.0
430,0,0.0,0,18,1130.0,62.77777777777778,62.77777777777778,1.0,141.0
435,0,0.0,0,18,1220.0,67.77777777777777,67.77777777777777,1.0,146.0
440,0,0.0,0,18,1310.0,72.77777777777777,72.77777777777777,1.0,148.04999999999995
445,3,6.0,2.0,19,1400.0,73.6842105263158,71.6842105263158,0.028846153846153848,153.04999999999995
450,2,3.0,1.5,18,1490.0,82.77777777777777,81.27777777777777,0.0375,158.04999999999995
455,2,13.0,6.5,20,1580.0,79.0,72.5,0.04142156862745098,160.0999999999999
460,0,0.0,0,19,1672.0,88.0,88.0,1.0,165.0999999999999
465,1,0.0,0.0,19,1767.0,93.0,93.0,1.0,170.0999999999999
470,0,0.0,0,19,1805.0,95.0,95.0,1.0,172.14999999999986
475,0,0.0,0,20,1897.0,94.85,94.85,1.0,177.14999999999986
480,1,4.0,4.0,20,1986.0,99.3,95.3,0.020833333333333332,185.0999999999999
485,2,2.0,1.0,18,1899.0,105.5,104.5,0.020833333333333332,187.14999999999986
490,1,7.0,7.0,20,1684.0,84.2,77.2,0.020833333333333332,140.95
495,0,0.0,0,11,966.0,87.81818181818181,87.81818181818181,1.0,144.89999999999998
500,0,0.0,0,15,1016.0,67.73333333333333,67.73333333333333,1.0,149.89999999999998
505,1,0.0,0.0,11,1066.0,96.9090909090909,96.9090909090909,1.0,154.89999999999998
510,0,0.0,0,10,1116.0,111.6,111.6,1.0,159.89999999999998
515,1,1.0,1.0,10,1166.0,116.6,115.6,0.020833333333333332,164.19999999999996
520,0,0.0,0,1,62.0,62.0,62.0,1.0,0.0
525,1,0.0,0.0,10,69.0,6.9,6.9,1.0,1.0
530,0,0.0,0,5,87.0,17.4,17.4,1.0,6.0
535,1,4.0,4.0,5,112.0,22.4,18.4,0.020833333333333332,11.0
540,0,0.0,0,5,137.0,27.4,27.4,1.0,16.0
545,1,0.0,0.0,6,162.0,27.0,27.0,1.0,21.0
550,1,1.0,1.0,3,141.0,47.0,46.0,0.020833333333333332,25.699999999999996
555,0,0.0,0,4,156.0,39.0,39.0,1.0,30.849999999999998
560,1,3.0,3.0,6,175.0,29.166666666666668,26.166666666666668,0.020833333333333332,35.849999999999994
565,1,0.0,0.0,7,204.0,29.142857142857142,29.142857142857142,1.0,44.30000000000005
570,0,0.0,0,9,239.0,26.555555555555557,26.555555555555557,1.0,49.30000000000005
575,1,1.0,1.0,12,282.0,23.5,22.5,0.020833333333333332,51.0
580,1,2.0,2.0,11,330.0,30.0,28.0,0.020833333333333332,56.0
585,2,2.0,1.0,12,385.0,32.083333333333336,31.083333333333336,0.020833333333333332,61.0
590,0,0.0,0,5,197.0,39.4,39.4,1.0,61.24999999999997
595,0,0.0,0,8,36.0,4.5,4.5,1.0,1.0
600,0,0.0,0,7,48.0,6.857142857142857,6.857142857142857,1.0,9.199999999999932
605,1,0.0,0.0,3,63.0,21.0,21.0,1.0,14.199999999999932
610,1,4.0,4.0,3,78.0,26.0,22.0,0.020833333333333332,19.199999999999932
615,0,0.0,0,3,40.0,13.333333333333334,13.333333333333334,1.0,19.199999999999996
620,1,2.0,2.0,4,52.0,13.0,11.0,0.020833333333333332,24.1
625,1,0.0,0.0,3,64.0,21.333333333333332,21.333333333333332,1.0,29.1
630,1,2.0,2.0,3,79.0,26.333333333333332,24.333333333333332,0.020833333333333332,34.1
635,0,0.0,0,4,96.0,24.0,24.0,1.0,39.199999999999996
640,0,0.0,0,5,117.0,23.4,23.4,1.0,44.5
645,1,0.0,0.0,6,142.0,23.666666666666668,23.666666666666668,1.0,49.599999999999994
650,0,0.0,0,5,167.0,33.4,33.4,1.0,54.5
