step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.140492910251488,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.58581437006334,1,0.0
10.0,0,0.0,0.0,7.338079960837763,0,0.0,0.7634779416685664,0,0.0,1.0,0,0.0,0.1258370381593356,0,0.0,0.6657128724266136,0,0.0
15.0,1,1.0,0.25,5.512030665305674,0,0.0,0.35312193273326437,0,0.0,1.0,0,0.0,0.848630226669786,1,1.0,0.12832454783136615,1,1.0
20.0,2,8.0,1.6,4.415040427384147,1,2.0,0.0,0,0.0,1.0,0,0.0,0.23854978113961345,1,6.0,0.4667550868469573,2,8.0
25.0,4,21.0,3.0,3.831361444020364,1,7.0,0.0,1,0.0,0.22236131254410393,1,3.0,0.456936168379326,1,11.0,0.0,4,21.0
30.0,2,24.0,3.0,6.227484282681829,0,0.0,1.0,0,0.0,0.7956530874690888,1,8.0,0.4685558935412869,1,16.0,0.04540729051336196,2,24.0
35.0,3,35.0,3.888888888888889,6.113542726219311,0,0.0,0.4678784801319083,1,1.0,0.18169810662158156,1,13.0,0.0,1,21.0,0.34655924702996765,3,35.0
40.0,3,50.0,6.25,6.237299218054736,0,0.0,0.9867079328676532,1,6.0,0.20615481125257845,1,18.0,0.0,1,26.0,0.4230937088211061,3,50.0
45.0,2,34.0,3.7777777777777777,7.105702079418418,0,0.0,0.6232862904813478,1,11.0,0.4699265315859536,1,23.0,0.0,0,0.0,0.2400443158699446,2,34.0
50.0,2,44.0,4.888888888888889,7.029894038047666,0,0.0,0.9639450683517968,1,16.0,0.231937982828443,1,28.0,0.2716743422016469,0,0.0,0.1324651328259365,2,44.0
55.0,2,54.0,6.75,7.619098512165066,0,0.0,1.0,1,21.0,0.3770854625574226,1,33.0,0.419200263103056,0,0.0,0.8933293197315932,2,54.0
60.0,2,64.0,8.0,8.240335732055907,0,0.0,0.4823574561899956,1,26.0,0.0,1,38.0,0.42808000596729767,0,0.0,1.0,2,64.0
65.0,3,74.0,9.25,6.350324388009277,0,0.0,0.6789581737001289,1,31.0,0.0,2,43.0,0.0,0,0.0,1.0,3,74.0
70.0,2,84.0,12.0,5.911152159030354,0,0.0,0.841267862555583,1,36.0,0.0,1,48.0,0.28928957711376224,0,0.0,0.12097481754753094,2,84.0
75.0,2,94.0,13.428571428571429,6.994857192674535,0,0.0,1.0,1,41.0,0.0,1,53.0,0.0,0,0.0,0.515572250329674,2,94.0
80.0,2,104.0,14.857142857142858,7.346446963443725,0,0.0,1.0,1,46.0,0.0,1,58.0,0.0,0,0.0,0.5980177008286479,2,104.0
85.0,4,115.0,14.375,4.130965546917492,0,0.0,1.0,1,51.0,0.0,2,63.0,0.0,1,1.0,0.4980234683924077,4,115.0
90.0,2,62.0,6.888888888888889,7.32491922343617,0,0.0,1.0,1,56.0,0.0,0,1.0,0.9114245654409081,1,6.0,0.3609206632336641,2,63.0
95.0,3,73.0,8.11111111111111,6.296875476363059,0,0.0,1.0,1,61.0,0.0,1,2.0,0.00036227307150097716,1,11.0,0.4025358253486244,3,74.0
100.0,2,82.0,10.25,6.095047248853409,0,2.0,0.4541102327719649,1,66.0,0.26093333586782236,0,0.0,1.0,1,16.0,0.4636495019259269,2,84.0
105.0,4,97.0,10.777777777777779,5.885182416199267,0,2.0,0.910331243026969,1,71.0,0.47186445359526275,1,0.0,0.4726247426724507,2,26.0,0.28117813967829824,4,99.0
110.0,4,114.0,11.4,4.900391762298677,1,4.0,0.4855936292731429,1,76.0,0.4649899092710621,0,0.0,0.4443421490328246,2,36.0,0.0,4,116.0
115.0,2,88.0,8.0,6.150192820467996,1,9.0,0.48592565244925245,1,81.0,0.0,0,0.0,0.8555174248394686,0,13.0,0.3479529727486823,2,103.0
120.0,2,87.0,7.909090909090909,6.251494066502887,1,1.0,0.00010170818313953404,1,86.0,0.0,0,0.0,0.2572452531978864,0,14.0,0.7473217781779047,2,101.0
125.0,4,100.0,8.333333333333334,7.0411982676208416,1,6.0,0.0,2,91.0,0.29677673713724206,1,3.0,0.49555712202800944,0,0.0,0.28716487220692566,4,100.0
130.0,2,13.0,1.1818181818181819,7.173258704580284,0,0.0,1.0,0,0.0,0.7212227209035736,1,8.0,0.0,1,5.0,0.4964525572005162,2,13.0
135.0,0,0.0,0.0,7.591600574272672,0,0.0,0.6312438823922548,0,0.0,0.37871242391747423,0,2.0,0.9252398016332958,0,0.0,0.5179026777850052,0,2.0
140.0,0,0.0,0.0,10.990792211801148,0,0.0,0.9547064984140264,0,0.0,0.915619779148325,0,0.0,0.9861063060387799,0,2.0,0.78815479310631,0,2.0
145.0,2,1.0,0.09090909090909091,8.204597650881825,0,0.0,1.0,0,0.0,1.0,1,0.0,0.36598685667148956,1,1.0,0.4124396568367891,2,1.0
150.0,0,0.0,0.0,7.435117942973465,0,0.0,0.4275496161077778,0,0.0,1.0,0,0.0,0.37775882491516505,0,2.0,0.35993850479855566,0,2.0
155.0,0,0.0,0.0,9.520138815117473,0,0.0,0.5914019271545464,0,3.0,0.8715933156991096,0,0.0,0.6354985656232257,0,0.0,1.0,0,3.0
160.0,1,2.0,0.25,9.05862616616546,0,0.0,0.4037144230271554,0,0.0,0.95939703655957,0,0.0,0.6787943007509577,0,0.0,1.0,0,0.0
165.0,2,5.0,0.5,8.11435484539224,1,5.0,0.29060556225636935,0,0.0,1.0,1,0.0,0.48181083061215557,0,0.0,1.0,2,5.0
170.0,0,0.0,0.0,8.750727621426995,0,0.0,0.47598466373126513,0,0.0,1.0,0,0.0,0.7378385757958525,0,0.0,0.549810755094548,0,0.0
175.0,0,0.0,0.0,8.904402865827127,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5102655741930809,0,0.0,0.4347093698674334,0,0.0
180.0,2,9.0,1.8,5.8625824790218735,0,0.0,1.0,0,0.0,1.0,1,4.0,0.25407286522384237,1,5.0,0.45527794989906223,2,9.0
185.0,4,20.0,2.857142857142857,4.335684444566185,1,0.0,0.0,0,0.0,0.6922400994199149,1,9.0,0.467543745387763,2,11.0,0.002331541996910677,4,20.0
190.0,1,14.0,1.75,5.799241363411079,0,0.0,0.5319235356371514,0,0.0,0.9475160039723046,1,14.0,0.07299958848410079,0,0.0,1.0,1,14.0
195.0,0,0.0,0.0,10.010496047594,0,1.0,0.7403608725079178,0,0.0,0.2614722918154857,0,2.0,0.9584498605195937,0,0.0,0.809550310252781,0,3.0
200.0,0,0.0,0.0,7.973189724397512,0,1.0,0.9097452285541214,0,0.0,0.6541678663784474,0,2.0,0.670742651587256,0,0.0,0.014716269956836938,0,3.0
