step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
20,2,10.0,5.0,0,0,0,5.0,0.035919540229885055,0.0
25,2,8.0,4.0,1,0.0,0.0,4.0,0.020833333333333332,0.0
30,2,15.0,7.5,0,0,0,7.5,0.027095375722543353,0.0
35,1,18.0,18.0,1,2.0,2.0,16.0,0.020833333333333332,1.7999999999999998
40,2,28.0,14.0,1,4.0,4.0,10.0,0.029482551143200964,3.5999999999999996
45,1,0.0,0.0,1,9.0,9.0,9.0,1.0,8.1
50,3,12.0,4.0,1,14.0,14.0,10.0,0.06,11.899999999999995
55,3,19.0,6.333333333333333,1,19.0,19.0,12.666666666666668,0.05047539149888143,16.14999999999999
60,3,25.0,8.333333333333334,1,24.0,24.0,15.666666666666666,0.05358367626886145,20.39999999999999
65,4,40.0,10.0,1,29.0,29.0,19.0,0.05868544600938967,23.199999999999996
70,2,24.0,12.0,0,0,0,12.0,0.022641509433962263,0.0
75,2,4.0,2.0,1,0.0,0.0,2.0,0.041666666666666664,0.0
80,2,8.0,4.0,1,1.0,1.0,3.0,0.02666666666666667,0.75
85,1,0.0,0.0,1,6.0,6.0,6.0,1.0,4.5
90,1,1.0,1.0,1,11.0,11.0,10.0,0.020833333333333332,8.25
95,0,0.0,0,0,0,0,0,1.0,0.0
100,2,9.0,4.5,1,0.0,0.0,4.5,0.041158536585365856,0.0
105,1,0.0,0.0,0,0,0,0.0,1.0,0.0
110,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
115,2,11.0,5.5,0,0,0,5.5,0.041325136612021855,0.0
120,0,0.0,0,0,0,0,0,1.0,0.0
125,2,2.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
130,1,4.0,4.0,0,0,0,4.0,0.020833333333333332,0.0
