step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.05448577706702,0,0.0,0.5625896193098335,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,0.0
10.0,0,0.0,0.0,6.5446877111449,0,0.0,0.5786300287626834,0,0.0,1.0,0,0.0,0.7986621492826355,0,0.0,0.1319926796417615,0,0.0
15.0,1,2.0,0.5,5.596557980299364,1,2.0,0.1690740501292507,0,0.0,1.0,0,0.0,0.6152771769800593,0,0.0,0.8132693201371262,1,2.0
20.0,2,10.0,2.0,4.473468761618672,1,7.0,0.47510587466079224,0,0.0,1.0,1,3.0,0.00029735911881026205,0,0.0,0.449782613456504,2,10.0
25.0,3,10.0,1.4285714285714286,4.506187331651556,0,0.0,1.0,1,0.0,0.0,1,10.0,0.173183945084268,0,0.0,0.7420644375039676,2,10.0
30.0,1,1.0,0.125,7.868611704821119,0,0.0,1.0,0,0.0,0.8238697933221881,0,2.0,0.5153226101100594,1,3.0,0.43624797428241674,1,5.0
35.0,0,0.0,0.0,9.453857490591595,0,0.0,0.2984277452652662,0,0.0,1.0,0,0.0,0.7327045899229798,0,3.0,0.5961706793299896,0,3.0
40.0,0,0.0,0.0,8.33065360499444,0,0.0,0.7654611312458127,0,0.0,1.0,0,2.0,0.5404465164743403,0,2.0,0.02767601462332074,0,4.0
45.0,2,4.0,0.4444444444444444,5.691881952287721,0,0.0,0.46471188608312675,0,0.0,1.0,1,0.0,0.47254834231942744,1,6.0,0.285549556626006,2,6.0
50.0,2,6.0,0.6666666666666666,8.098032831366815,2,6.0,0.15034537749089869,0,0.0,1.0,0,0.0,0.8160184820230401,0,0.0,0.7600797524088133,2,6.0
55.0,1,1.0,0.125,6.609196417415479,0,0.0,0.5566420576638791,0,0.0,0.5457278389759447,0,0.0,0.33849952243514475,0,0.0,1.0,0,0.0
60.0,1,3.0,0.375,7.306133091367378,0,0.0,0.4885347200117973,0,2.0,0.7498844584300439,1,7.0,0.20307216145259213,0,0.0,1.0,1,9.0
65.0,2,1.0,0.1,6.858457953259274,1,0.0,0.1061317107024876,1,1.0,0.46154511866664166,0,4.0,0.9524991164441201,0,0.0,0.49102737502558125,2,5.0
70.0,0,0.0,0.0,8.367722161440849,0,2.0,0.6764951275592592,0,0.0,1.0,0,0.0,0.38476464651538234,0,0.0,0.8004719213375906,0,2.0
75.0,1,2.0,0.2,7.794055859165603,0,2.0,0.7304941892240544,0,0.0,0.28223782705938594,0,0.0,0.761177462018374,1,2.0,0.20282560249613799,1,4.0
80.0,0,0.0,0.0,8.763354746875256,0,0.0,1.0,0,0.0,0.9368656582265376,0,0.0,0.09683659171007718,0,0.0,0.6163329250950556,0,0.0
85.0,3,6.0,0.5454545454545454,9.245507637615297,0,0.0,1.0,0,1.0,0.9512365408410586,2,4.0,0.0,1,2.0,0.6368853313227796,3,7.0
90.0,3,18.0,2.25,5.148110401196464,0,0.0,1.0,0,1.0,0.10994028919170004,1,9.0,0.40162294540547216,2,9.0,0.3285253674068905,3,19.0
95.0,2,6.0,0.6666666666666666,6.764848472169727,0,0.0,0.3114852293837872,1,6.0,0.6372743806571054,0,0.0,0.21728091422493934,0,0.0,1.0,1,6.0
100.0,2,15.0,1.6666666666666667,8.176782720619105,0,0.0,0.682218734255621,1,11.0,0.0,1,5.0,8.837958547194059e-06,0,0.0,1.0,2,16.0
105.0,1,0.0,0.0,8.503976335247499,0,2.0,0.711975159454821,0,0.0,1.0,1,0.0,0.22203024069739363,0,2.0,0.42100345443561354,1,4.0
110.0,0,0.0,0.0,9.08047378153045,0,2.0,0.49354798963832547,0,0.0,1.0,0,0.0,0.8327431349708883,0,2.0,0.9552305852537356,0,4.0
115.0,3,7.0,0.7777777777777778,6.982350753047252,2,8.0,0.26960892144083526,0,0.0,0.91086399266854,0,0.0,1.0,1,3.0,0.1940065775607295,3,11.0
120.0,2,7.0,0.7777777777777778,6.780768973183759,0,0.0,0.507870437441133,0,0.0,1.0,0,0.0,1.0,1,8.0,0.49089166145952334,1,8.0
125.0,2,5.0,0.5,6.524320546937386,2,5.0,2.21781284750184e-05,0,0.0,1.0,0,2.0,0.9659987872298135,0,0.0,0.5293626478952337,2,7.0
130.0,2,15.0,1.5,8.523938374408345,1,10.0,0.26015463765559904,0,0.0,0.9369177090955296,0,0.0,1.0,1,5.0,0.22084952871637584,2,15.0
135.0,1,15.0,1.875,7.203527069920153,1,15.0,0.3242169315111876,0,0.0,0.43991767937283044,0,0.0,0.9977482586915458,0,1.0,0.16078884488073242,1,16.0
