step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,3.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
20,1,0.0,0.0,0,0,0,0.0,1.0,0.0
25,1,5.0,5.0,0,0,0,5.0,0.020833333333333332,0.0
30,2,7.0,3.5,0,0,0,3.5,0.04083333333333333,0.0
35,3,20.0,6.666666666666667,0,0,0,6.666666666666667,0.05411255411255411,0.0
40,4,22.0,5.5,0,0,0,5.5,0.04309116809116809,0.0
45,0,0.0,0,0,0,0,0,1.0,0.0
50,3,10.0,3.3333333333333335,0,0,0,3.3333333333333335,0.05482456140350877,0.0
55,5,28.0,5.6,0,0,0,5.6,0.06639566395663957,0.0
60,6,29.0,4.833333333333333,0,0,0,4.833333333333333,0.033629238643634034,0.0
65,2,17.0,8.5,1,0.0,0.0,8.5,0.03834925690021231,0.0
70,1,11.0,11.0,1,5.0,5.0,6.0,0.020833333333333332,4.249999999999998
75,2,20.0,10.0,1,10.0,10.0,0.0,0.030637254901960783,7.999999999999998
80,3,12.0,4.0,1,15.0,15.0,11.0,0.03333333333333333,11.999999999999996
85,6,36.0,6.0,1,20.0,20.0,14.0,0.06221198156682028,15.999999999999996
90,5,47.0,9.4,1,25.0,25.0,15.6,0.06602702056432329,18.75
95,2,27.0,13.5,2,30.0,15.0,1.5,0.04160958904109589,22.5
100,3,21.0,7.0,2,35.0,17.5,10.5,0.02759009009009009,26.25
105,4,35.0,8.75,2,45.0,22.5,13.75,0.04232310668877833,29.499999999999975
110,7,25.0,3.5714285714285716,2,55.0,27.5,23.928571428571427,0.07988241308793456,34.49999999999997
115,2,17.0,8.5,2,50.0,25.0,16.5,0.020833333333333332,34.999999999999964
120,4,32.0,8.0,2,56.0,28.0,20.0,0.028293545534924844,36.09999999999997
125,3,15.0,5.0,2,66.0,33.0,28.0,0.0375,41.09999999999997
130,6,33.0,5.5,3,76.0,25.333333333333332,19.833333333333332,0.041628440366972476,46.09999999999997
135,7,63.0,9.0,3,90.0,30.0,21.0,0.0485540223135643,48.39999999999998
140,9,96.0,10.666666666666666,5,107.0,21.4,10.733333333333333,0.05402363534046145,53.39999999999998
145,5,58.0,11.6,4,43.0,10.75,0.8499999999999996,0.04407756813417191,21.199999999999996
150,3,25.0,8.333333333333334,4,63.0,15.75,7.416666666666666,0.0540283540802213,25.599999999999987
155,4,27.0,6.75,3,71.0,23.666666666666668,16.916666666666668,0.04731308411214953,30.599999999999987
160,8,39.0,4.875,6,86.0,14.333333333333334,9.458333333333334,0.035405027932960895,35.59999999999999
165,2,10.0,5.0,2,80.0,40.0,35.0,0.04006410256410257,40.0
170,3,21.0,7.0,3,91.0,30.333333333333332,23.333333333333332,0.04083333333333333,45.0
175,4,20.0,5.0,4,106.0,26.5,21.5,0.03968253968253968,50.0
180,4,15.0,3.75,3,121.0,40.333333333333336,36.583333333333336,0.0375,54.39999999999999
185,5,31.0,6.2,4,136.0,34.0,27.8,0.04439209164818921,59.39999999999999
190,5,36.0,7.2,4,156.0,39.0,31.8,0.06053811659192825,64.39999999999999
195,3,28.0,9.333333333333334,4,176.0,44.0,34.666666666666664,0.03695324283559578,68.79999999999998
200,1,0.0,0.0,4,183.0,45.75,45.75,1.0,73.79999999999998
205,4,12.0,3.0,4,203.0,50.75,47.75,0.05555555555555555,79.39999999999999
210,5,34.0,6.8,5,223.0,44.6,37.800000000000004,0.06207044673539519,83.79999999999998
215,3,21.0,7.0,3,226.0,75.33333333333333,68.33333333333333,0.04195205479452055,89.39999999999999
220,5,21.0,4.2,5,241.0,48.2,44.0,0.039431330472103,94.39999999999999
225,3,14.0,4.666666666666667,4,257.0,64.25,59.583333333333336,0.024019607843137256,98.79999999999998
230,5,19.0,3.8,6,280.0,46.666666666666664,42.86666666666667,0.08848039215686275,103.79999999999998
235,1,1.0,1.0,8,310.0,38.75,37.75,0.020833333333333332,108.79999999999998
240,2,7.0,3.5,8,348.0,43.5,40.0,0.02759009009009009,114.39999999999999
245,3,19.0,6.333333333333333,8,388.0,48.5,42.166666666666664,0.0366869918699187,119.39999999999999
250,3,8.0,2.6666666666666665,5,357.0,71.4,68.73333333333333,0.02666666666666667,124.39999999999999
255,1,4.0,4.0,6,378.0,63.0,59.0,0.020833333333333332,128.79999999999998
260,2,4.0,2.0,7,405.0,57.857142857142854,55.857142857142854,0.020833333333333332,133.79999999999998
265,4,10.0,2.5,8,440.0,55.0,52.5,0.04734848484848485,139.39999999999998
270,4,26.0,6.5,6,465.0,77.5,71.0,0.04485138004246284,143.79999999999998
275,2,12.0,6.0,8,495.0,61.875,55.875,0.020833333333333332,148.79999999999998
280,3,22.0,7.333333333333333,7,527.0,75.28571428571429,67.95238095238096,0.020833333333333332,153.79999999999998
285,2,6.0,3.0,7,562.0,80.28571428571429,77.28571428571429,0.0375,158.2
290,3,20.0,6.666666666666667,7,597.0,85.28571428571429,78.61904761904762,0.05707762557077625,164.39999999999998
295,4,40.0,10.0,7,632.0,90.28571428571429,80.28571428571429,0.05688282138794084,170.0
300,3,35.0,11.666666666666666,7,667.0,95.28571428571429,83.61904761904762,0.0509397870924817,174.39999999999998
305,2,10.0,5.0,8,704.0,88.0,83.0,0.02540650406504065,179.39999999999998
310,1,2.0,2.0,8,744.0,93.0,91.0,0.020833333333333332,184.39999999999998
315,1,7.0,7.0,7,772.0,110.28571428571429,103.28571428571429,0.020833333333333332,188.79999999999998
320,3,5.0,1.6666666666666667,8,807.0,100.875,99.20833333333333,0.020833333333333332,193.79999999999998
325,1,2.0,2.0,7,842.0,120.28571428571429,118.28571428571429,0.020833333333333332,198.79999999999998
330,2,9.0,4.5,8,877.0,109.625,105.125,0.031839622641509434,203.2
335,3,22.0,7.333333333333333,8,914.0,114.25,106.91666666666667,0.04991749174917492,208.2
340,6,42.0,7.0,9,955.0,106.11111111111111,99.11111111111111,0.07040229885057471,213.2
345,4,25.0,6.25,7,900.0,128.57142857142858,122.32142857142858,0.08189203354297694,217.6
350,3,34.0,11.333333333333334,7,935.0,133.57142857142858,122.23809523809526,0.06207044673539519,222.6
355,5,39.0,7.8,8,970.0,121.25,113.45,0.04370689655172414,228.2
360,3,30.0,10.0,8,1006.0,125.75,115.75,0.020833333333333332,233.2
365,4,49.0,12.25,8,1046.0,130.75,118.5,0.030481921592524882,238.2
370,3,21.0,7.0,8,1075.0,134.375,127.375,0.04966216216216216,243.2
375,3,15.0,5.0,9,1114.0,123.77777777777777,118.77777777777777,0.034215328467153285,247.6
380,8,47.0,5.875,7,1145.0,163.57142857142858,157.69642857142858,0.04778902734510211,252.6
385,3,16.0,5.333333333333333,8,1180.0,147.5,142.16666666666666,0.0392156862745098,257.59999999999997
390,3,31.0,10.333333333333334,7,1215.0,173.57142857142858,163.23809523809524,0.04162335412335413,262.59999999999997
395,1,2.0,2.0,7,1250.0,178.57142857142858,176.57142857142858,0.020833333333333332,268.2
400,3,9.0,3.0,7,1285.0,183.57142857142858,180.57142857142858,0.020833333333333332,273.2
405,6,31.0,5.166666666666667,7,1320.0,188.57142857142858,183.40476190476193,0.0468871975019516,277.59999999999997
410,6,48.0,8.0,7,1355.0,193.57142857142858,185.57142857142858,0.04780876494023904,282.59999999999997
415,4,39.0,9.75,8,1390.0,173.75,164.0,0.05343591905564924,287.59999999999997
420,3,24.0,8.0,7,1425.0,203.57142857142858,195.57142857142858,0.041379310344827586,292.0
425,3,22.0,7.333333333333333,7,1154.0,164.85714285714286,157.52380952380952,0.0357565011820331,265.5
