step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,2,2.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
20,1,7.0,7.0,0,0,0,7.0,0.020833333333333332,0.0
25,1,12.0,12.0,0,0,0,12.0,0.020833333333333332,0.0
30,1,0.0,0.0,0,0,0,0.0,1.0,0.0
35,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
40,4,12.0,3.0,1,5.0,5.0,2.0,0.06521739130434782,3.999999999999999
45,4,13.0,3.25,1,10.0,10.0,6.75,0.03955992509363296,7.999999999999998
50,0,0.0,0,1,15.0,15.0,15.0,1.0,11.25
55,3,13.0,4.333333333333333,2,21.0,10.5,6.166666666666667,0.05967514124293785,15.25
60,6,33.0,5.5,2,31.0,15.5,10.0,0.0819043321299639,19.299999999999986
65,6,52.0,8.666666666666666,1,11.0,11.0,2.333333333333334,0.07471264367816093,7.699999999999992
70,0,0.0,0,2,16.0,8.0,8.0,1.0,10.399999999999991
75,1,0.0,0.0,4,24.0,6.0,6.0,1.0,14.69999999999999
80,2,3.0,1.5,4,41.0,10.25,8.75,0.0375,18.799999999999994
85,0,0.0,0,4,61.0,15.25,15.25,1.0,23.799999999999994
90,1,0.0,0.0,4,81.0,20.25,20.25,1.0,27.89999999999998
95,1,3.0,3.0,4,101.0,25.25,22.25,0.020833333333333332,32.89999999999998
100,3,16.0,5.333333333333333,4,121.0,30.25,24.916666666666668,0.05442176870748299,37.0
105,2,10.0,5.0,3,114.0,38.0,33.0,0.020833333333333332,42.0
110,2,3.0,1.5,2,94.0,47.0,45.5,0.0375,47.0
115,2,13.0,6.5,3,104.0,34.666666666666664,28.166666666666664,0.04142156862745098,52.0
120,3,23.0,7.666666666666667,3,114.0,38.0,30.333333333333332,0.041588050314465407,56.09999999999999
125,1,5.0,5.0,1,53.0,53.0,48.0,0.020833333333333332,23.849999999999962
130,3,19.0,6.333333333333333,3,58.0,19.333333333333332,13.0,0.05333924349881797,23.199999999999918
135,6,37.0,6.166666666666667,2,66.0,33.0,26.833333333333332,0.06939375506893755,26.999999999999915
140,2,16.0,8.0,2,76.0,38.0,30.0,0.02359882005899705,31.999999999999915
145,5,18.0,3.6,2,86.0,43.0,39.4,0.045,36.999999999999915
150,8,47.0,5.875,3,96.0,32.0,26.125,0.05745422388680815,41.999999999999915
155,8,84.0,10.5,2,23.0,11.5,1.0,0.06591928251121076,10.349999999999984
160,4,22.0,5.5,1,5.0,5.0,0.5,0.041325136612021855,2.2499999999999964
165,7,34.0,4.857142857142857,2,10.0,5.0,0.14285714285714324,0.053046989720998534,4.499999999999993
170,6,45.0,7.5,3,18.0,6.0,1.5,0.09111771058315335,8.399999999999991
175,7,61.0,8.714285714285714,4,35.0,8.75,0.035714285714286476,0.08100400557297109,13.399999999999991
180,5,47.0,9.4,1,25.0,25.0,15.6,0.05247529456480426,11.249999999999982
185,5,69.0,13.8,3,30.0,10.0,3.8000000000000007,0.057970485096434834,13.499999999999979
190,4,7.0,1.75,1,0.0,0.0,1.75,0.0537280701754386,0.0
195,4,15.0,3.75,3,3.0,1.0,2.75,0.027095375722543353,1.1999999999999957
200,5,36.0,7.2,1,8.0,8.0,0.7999999999999998,0.030337078651685393,2.799999999999997
205,4,27.0,6.75,1,13.0,13.0,6.25,0.06690528634361234,5.1999999999999815
210,2,10.0,5.0,1,18.0,18.0,13.0,0.020833333333333332,6.299999999999994
215,5,22.0,4.4,2,23.0,11.5,7.1,0.03848600508905852,8.049999999999992
220,6,48.0,8.0,2,32.0,16.0,8.0,0.06741573033707865,11.199999999999974
225,8,60.0,7.5,2,42.0,21.0,13.5,0.0744047619047619,18.599999999999966
230,8,85.0,10.625,3,14.0,4.666666666666667,5.958333333333333,0.07382090894229197,4.899999999999995
235,8,84.0,10.5,4,3.0,0.75,9.75,0.05627871362940275,1.3499999999999996
240,6,43.0,7.166666666666667,2,10.0,5.0,2.166666666666667,0.05590832123850992,4.699999999999999
245,2,30.0,15.0,3,20.0,6.666666666666667,8.333333333333332,0.020833333333333332,9.7
250,2,5.0,2.5,5,33.0,6.6,4.1,0.030637254901960783,14.7
255,3,8.0,2.6666666666666665,5,41.0,8.2,5.533333333333333,0.0392156862745098,19.7
260,6,31.0,5.166666666666667,5,66.0,13.2,8.033333333333331,0.04232734319943622,24.7
265,5,40.0,8.0,5,33.0,6.6,1.4000000000000004,0.07032348804500703,10.35
270,4,25.0,6.25,3,22.0,7.333333333333333,1.083333333333333,0.05027348777348777,9.399999999999991
275,4,29.0,7.25,1,20.0,20.0,12.75,0.034694719471947195,6.999999999999993
280,7,40.0,5.714285714285714,1,25.0,25.0,19.285714285714285,0.06038647342995169,7.499999999999973
285,6,25.0,4.166666666666667,1,30.0,30.0,25.833333333333332,0.042138619201726,8.999999999999968
290,7,43.0,6.142857142857143,1,35.0,35.0,28.857142857142858,0.03556863650353955,8.75
295,5,38.0,7.6,3,1.0,0.3333333333333333,7.266666666666667,0.05550430504305043,0.25
300,6,43.0,7.166666666666667,4,11.0,2.75,4.416666666666667,0.06183119315141787,3.599999999999998
305,6,34.0,5.666666666666667,3,10.0,3.3333333333333335,2.3333333333333335,0.08725845410628019,4.0
310,4,37.0,9.25,3,23.0,7.666666666666667,1.583333333333333,0.05715597862391449,9.399999999999999
315,8,68.0,8.5,4,39.0,9.75,1.25,0.07221389305347327,14.799999999999997
320,3,21.0,7.0,0,0,0,7.0,0.03012295081967213,0.0
325,3,14.0,4.666666666666667,4,3.0,0.75,3.916666666666667,0.04343971631205674,1.1999999999999957
330,4,29.0,7.25,2,8.0,4.0,3.25,0.056701725997842505,4.0
335,4,49.0,12.25,4,18.0,4.5,7.75,0.060338761560112586,9.0
340,4,33.0,8.25,3,31.0,10.333333333333334,2.083333333333334,0.05547066014669927,14.0
345,4,19.0,4.75,5,27.0,5.4,0.6500000000000004,0.05410671462829736,11.299999999999988
350,6,42.0,7.0,4,43.0,10.75,3.75,0.0762448132780083,16.29999999999999
355,5,41.0,8.2,3,57.0,19.0,10.8,0.060276821572002294,21.29999999999999
360,4,13.0,3.25,2,15.0,7.5,4.25,0.04823059360730594,3.75
365,5,33.0,6.6,3,23.0,7.666666666666667,1.0666666666666673,0.06772388059701492,8.099999999999982
370,7,62.0,8.857142857142858,3,33.0,11.0,2.1428571428571423,0.08171768707482993,12.25
375,4,27.0,6.75,2,16.0,8.0,1.25,0.05645910780669145,5.5
380,2,12.0,6.0,2,26.0,13.0,7.0,0.02459016393442623,9.999999999999993
385,6,34.0,5.666666666666667,3,38.0,12.666666666666666,6.999999999999999,0.0570695102685624,15.5
390,6,38.0,6.333333333333333,2,7.0,3.5,2.833333333333333,0.0611449864498645,1.75
395,1,2.0,2.0,3,0.0,0.0,2.0,0.020833333333333332,0.0
400,3,13.0,4.333333333333333,0,0,0,4.333333333333333,0.051026570048309176,0.0
405,6,32.0,5.333333333333333,0,0,0,5.333333333333333,0.06881720430107527,0.0
410,3,26.0,8.666666666666666,0,0,0,8.666666666666666,0.052160493827160495,0.0
415,1,3.0,3.0,1,2.0,2.0,1.0,0.020833333333333332,0.6999999999999993
420,2,11.0,5.5,2,7.0,3.5,2.0,0.034531963470319636,2.0999999999999925
425,3,14.0,4.666666666666667,1,12.0,12.0,7.333333333333333,0.04537037037037037,3.599999999999987
430,5,28.0,5.6,3,17.0,5.666666666666667,0.06666666666666732,0.050724637681159424,5.099999999999982
435,8,60.0,7.5,2,22.0,11.0,3.5,0.06038647342995169,8.799999999999969
