step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,0,0.0,0,0,0,0,0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,0,0.0,0,0,0,0,0,1.0,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,2,1.0,0.5,1,0.0,0.0,0.5,0.020833333333333332,0.0
30,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
35,0,0.0,0,0,0,0,0,1.0,0.0
40,2,2.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
45,0,0.0,0,0,0,0,0,1.0,0.0
50,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
55,2,2.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
60,2,12.0,6.0,0,0,0,6.0,0.04054054054054054,0.0
65,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
70,1,3.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
75,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
80,1,5.0,5.0,0,0,0,5.0,0.020833333333333332,0.0
85,1,0.0,0.0,0,0,0,0.0,1.0,0.0
90,2,6.0,3.0,1,0.0,0.0,3.0,0.0375,0.0
95,1,2.0,2.0,1,2.0,2.0,0.0,0.020833333333333332,1.0999999999999979
100,2,5.0,2.5,1,7.0,7.0,4.5,0.020833333333333332,3.8499999999999925
105,1,2.0,2.0,3,15.0,5.0,3.0,0.020833333333333332,7.94999999999999
110,1,1.0,1.0,1,8.0,8.0,7.0,0.020833333333333332,4.3999999999999915
115,3,5.0,1.6666666666666667,2,13.0,6.5,4.833333333333333,0.030637254901960783,6.5
120,1,9.0,9.0,1,18.0,18.0,9.0,0.020833333333333332,9.0
125,0,0.0,0,3,23.0,7.666666666666667,7.666666666666667,1.0,10.349999999999984
130,2,4.0,2.0,2,32.0,16.0,14.0,0.020833333333333332,14.799999999999983
135,0,0.0,0,2,42.0,21.0,21.0,1.0,18.599999999999966
140,0,0.0,0,3,52.0,17.333333333333332,17.333333333333332,1.0,23.599999999999966
145,1,0.0,0.0,3,64.0,21.333333333333332,21.333333333333332,1.0,27.39999999999999
150,1,2.0,2.0,3,79.0,26.333333333333332,24.333333333333332,0.020833333333333332,33.599999999999966
155,0,0.0,0,3,94.0,31.333333333333332,31.333333333333332,1.0,38.599999999999966
160,1,0.0,0.0,4,109.0,27.25,27.25,1.0,43.599999999999966
165,2,6.0,3.0,4,124.0,31.0,28.0,0.028846153846153848,48.599999999999966
170,0,0.0,0,4,139.0,34.75,34.75,1.0,54.79999999999998
175,3,5.0,1.6666666666666667,3,154.0,51.333333333333336,49.66666666666667,0.04006410256410257,58.599999999999966
180,1,3.0,3.0,2,132.0,66.0,63.0,0.020833333333333332,63.599999999999966
185,2,10.0,5.0,5,144.0,28.8,23.8,0.030637254901960783,67.39999999999999
190,1,0.0,0.0,5,162.0,32.4,32.4,1.0,72.39999999999999
195,0,0.0,0,5,185.0,37.0,37.0,1.0,76.19999999999997
200,0,0.0,0,6,204.0,34.0,34.0,1.0,81.19999999999997
