step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,0,0.0,0,0,0,0,0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,0,0.0,0,0,0,0,0,1.0,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,3,3.0,1.0,0,0,0,1.0,0.0375,0.0
30,3,12.0,4.0,0,0,0,4.0,0.02459016393442623,0.0
35,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
40,4,14.0,3.5,0,0,0,3.5,0.058333333333333334,0.0
45,0,0.0,0,1,2.0,2.0,2.0,1.0,1.6999999999999993
50,1,2.0,2.0,1,7.0,7.0,5.0,0.020833333333333332,5.9499999999999975
55,3,10.0,3.3333333333333335,1,12.0,12.0,8.666666666666666,0.035919540229885055,9.599999999999998
60,2,14.0,7.0,1,17.0,17.0,10.0,0.02759009009009009,13.599999999999998
65,3,24.0,8.0,1,22.0,22.0,14.0,0.03550295857988166,16.5
70,2,34.0,17.0,2,27.0,13.5,3.5,0.03834925690021231,20.25
75,5,51.0,10.2,2,35.0,17.5,7.300000000000001,0.052153512993262756,23.29999999999998
80,2,10.0,5.0,1,0.0,0.0,5.0,0.02540650406504065,0.0
85,2,14.0,7.0,2,0.0,0.0,7.0,0.020833333333333332,0.0
90,2,20.0,10.0,1,0.0,0.0,10.0,0.02302025782688766,0.0
95,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
100,4,10.0,2.5,1,0.0,0.0,2.5,0.05482456140350877,0.0
105,5,30.0,6.0,1,0.0,0.0,6.0,0.07621951219512195,0.0
110,4,28.0,7.0,0,0,0,7.0,0.062340966921119595,0.0
115,4,37.0,9.25,0,0,0,9.25,0.0547424824056302,0.0
120,3,52.0,17.333333333333332,0,0,0,17.333333333333332,0.05831608005521049,0.0
125,6,76.0,12.666666666666666,1,0.0,0.0,12.666666666666666,0.06955684007707129,0.0
130,1,0.0,0.0,0,0,0,0.0,1.0,0.0
135,3,10.0,3.3333333333333335,1,0.0,0.0,3.3333333333333335,0.061274509803921566,0.0
140,2,10.0,5.0,1,0.0,0.0,5.0,0.02540650406504065,0.0
145,3,20.0,6.666666666666667,0,0,0,6.666666666666667,0.035919540229885055,0.0
150,4,17.0,4.25,1,0.0,0.0,4.25,0.04331534772182254,0.0
155,1,6.0,6.0,1,0.0,0.0,6.0,0.020833333333333332,0.0
160,3,6.0,2.0,2,0.0,0.0,2.0,0.0375,0.0
165,2,10.0,5.0,1,0.0,0.0,5.0,0.035919540229885055,0.0
170,1,3.0,3.0,2,0.0,0.0,3.0,0.020833333333333332,0.0
175,3,13.0,4.333333333333333,3,3.0,1.0,3.333333333333333,0.03955992509363296,0.8999999999999968
180,4,30.0,7.5,1,8.0,8.0,0.5,0.05296610169491525,2.799999999999997
185,4,35.0,8.75,4,13.0,3.25,5.5,0.05441542288557214,3.899999999999986
190,2,14.0,7.0,1,0.0,0.0,7.0,0.020833333333333332,0.0
195,3,10.0,3.3333333333333335,3,1.0,0.3333333333333333,3.0,0.035919540229885055,0.25
200,5,27.0,5.4,3,6.0,2.0,3.4000000000000004,0.04480088495575221,1.7999999999999936
205,4,22.0,5.5,3,11.0,3.6666666666666665,1.8333333333333335,0.056018518518518516,3.2999999999999883
210,3,28.0,9.333333333333334,1,16.0,16.0,6.666666666666666,0.050724637681159424,4.799999999999983
215,5,18.0,3.6,1,1.0,1.0,2.6,0.045,0.25
220,7,34.0,4.857142857142857,3,6.0,2.0,2.8571428571428568,0.04816666666666667,1.7999999999999936
225,2,16.0,8.0,0,0,0,8.0,0.020833333333333332,0.0
230,0,0.0,0,3,0.0,0.0,0.0,1.0,0.0
235,2,3.0,1.5,1,2.0,2.0,0.5,0.020833333333333332,0.5
240,1,0.0,0.0,1,7.0,7.0,7.0,1.0,1.75
245,3,10.0,3.3333333333333335,2,13.0,6.5,3.1666666666666665,0.041666666666666664,3.199999999999992
250,3,15.0,5.0,2,21.0,10.5,5.5,0.0375,7.899999999999986
255,3,22.0,7.333333333333333,2,1.0,0.5,6.833333333333333,0.02725225225225225,0.25
260,1,8.0,8.0,3,2.0,0.6666666666666666,7.333333333333333,0.020833333333333332,1.0
265,3,16.0,5.333333333333333,4,14.0,3.5,1.833333333333333,0.0299625468164794,6.0
270,2,22.0,11.0,3,29.0,9.666666666666666,1.333333333333334,0.029656862745098038,11.0
275,4,39.0,9.75,0,0,0,9.75,0.04808421851289833,0.0
280,1,0.0,0.0,3,0.0,0.0,0.0,1.0,0.0
285,0,0.0,0,2,1.0,0.5,0.5,1.0,0.29999999999999893
290,1,5.0,5.0,2,6.0,3.0,2.0,0.020833333333333332,1.7999999999999936
295,2,5.0,2.5,1,0.0,0.0,2.5,0.020833333333333332,0.0
300,1,2.0,2.0,1,0.0,0.0,2.0,0.020833333333333332,0.0
305,3,7.0,2.3333333333333335,1,2.0,2.0,0.3333333333333335,0.035201149425287355,0.5
