step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,1,3.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
30,2,1.0,0.5,0,0,0,0.5,0.020833333333333332,0.0
35,1,6.0,6.0,0,0,0,6.0,0.020833333333333332,0.0
40,2,13.0,6.5,0,0,0,6.5,0.028166666666666666,0.0
45,1,5.0,5.0,1,3.0,3.0,2.0,0.020833333333333332,2.549999999999999
50,2,11.0,5.5,0,0,0,5.5,0.02495874587458746,0.0
55,3,21.0,7.0,0,0,0,7.0,0.03780864197530864,0.0
60,3,9.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
65,0,0.0,0,1,2.0,2.0,2.0,1.0,1.5
70,1,1.0,1.0,1,7.0,7.0,6.0,0.020833333333333332,4.899999999999995
75,1,0.0,0.0,3,15.0,5.0,5.0,1.0,9.299999999999994
80,3,6.0,2.0,3,30.0,10.0,8.0,0.028846153846153848,13.849999999999994
85,2,8.0,4.0,1,13.0,13.0,9.0,0.020833333333333332,8.449999999999992
90,3,18.0,6.0,3,18.0,6.0,0.0,0.020833333333333332,11.69999999999999
95,2,9.0,4.5,4,32.0,8.0,3.5,0.041158536585365856,16.34999999999999
100,4,19.0,4.75,4,52.0,13.0,8.25,0.04450197238658777,20.39999999999999
105,6,41.0,6.833333333333333,5,74.0,14.8,7.966666666666668,0.048572584373555244,25.39999999999999
110,7,56.0,8.0,5,99.0,19.8,11.8,0.03852201257861635,29.44999999999998
115,5,40.0,8.0,3,69.0,23.0,15.0,0.07342143906020558,23.549999999999997
120,4,22.0,5.5,3,27.0,9.0,3.5,0.05197594501718213,13.5
125,3,37.0,12.333333333333334,6,40.0,6.666666666666667,5.666666666666667,0.05832481254260395,17.5
130,5,35.0,7.0,4,48.0,12.0,5.0,0.049173089274245345,20.49999999999998
135,7,33.0,4.714285714285714,5,59.0,11.8,7.085714285714286,0.04837420042643923,25.49999999999998
140,4,21.0,5.25,4,71.0,17.75,12.5,0.059274193548387095,28.999999999999957
145,4,28.0,7.0,4,86.0,21.5,14.5,0.05710955710955711,33.99999999999996
150,5,31.0,6.2,5,103.0,20.6,14.400000000000002,0.06479234088457389,37.499999999999986
155,3,19.0,6.333333333333333,5,126.0,25.2,18.866666666666667,0.04852150537634409,42.499999999999986
160,6,40.0,6.666666666666667,5,151.0,30.2,23.53333333333333,0.07680491551459294,45.99999999999997
165,5,36.0,7.2,5,165.0,33.0,25.8,0.07219251336898395,50.99999999999997
170,2,23.0,11.5,5,190.0,38.0,26.5,0.041588050314465407,54.5
175,3,24.0,8.0,6,203.0,33.833333333333336,25.833333333333336,0.02666666666666667,59.5
180,6,49.0,8.166666666666666,5,223.0,44.6,36.43333333333334,0.047234025810513065,62.99999999999998
185,3,25.0,8.333333333333334,7,243.0,34.714285714285715,26.38095238095238,0.0623006379585327,69.5
190,1,2.0,2.0,5,266.0,53.2,51.2,0.020833333333333332,74.5
195,5,12.0,2.4,7,293.0,41.857142857142854,39.457142857142856,0.029411764705882353,79.5
200,7,40.0,5.714285714285714,8,325.0,40.625,34.910714285714285,0.06150061500615006,82.99999999999997
205,7,62.0,8.857142857142858,10,365.0,36.5,27.642857142857142,0.060394670688788336,87.99999999999997
210,4,14.0,3.5,10,408.0,40.8,37.3,0.03141025641025641,91.49999999999996
215,5,36.0,7.2,10,458.0,45.8,38.599999999999994,0.05056179775280899,96.49999999999996
220,9,70.0,7.777777777777778,10,508.0,50.8,43.02222222222222,0.06217011774259034,99.99999999999994
225,8,73.0,9.125,7,485.0,69.28571428571429,60.16071428571429,0.033490447461035695,106.49999999999996
230,4,53.0,13.25,8,520.0,65.0,51.75,0.027030408006158583,109.99999999999994
235,2,6.0,3.0,8,555.0,69.375,66.375,0.028846153846153848,114.99999999999994
240,6,25.0,4.166666666666667,7,391.0,55.857142857142854,51.69047619047619,0.04769536019536019,118.50000000000003
245,6,35.0,5.833333333333333,7,421.0,60.142857142857146,54.30952380952381,0.0537280701754386,123.50000000000003
250,1,3.0,3.0,7,456.0,65.14285714285714,62.14285714285714,0.020833333333333332,127.0
255,3,6.0,2.0,4,27.0,6.75,4.75,0.028846153846153848,11.0
260,3,8.0,2.6666666666666665,3,42.0,14.0,11.333333333333334,0.044444444444444446,15.549999999999994
265,3,7.0,2.3333333333333335,3,26.0,8.666666666666666,6.333333333333332,0.020833333333333332,1.8999999999999986
270,7,30.0,4.285714285714286,3,36.0,12.0,7.714285714285714,0.028846153846153848,8.100000000000016
275,8,69.0,8.625,2,46.0,23.0,14.375,0.04329441292012222,13.100000000000016
280,5,40.0,8.0,3,56.0,18.666666666666668,10.666666666666668,0.06337135614702155,17.0
285,3,3.0,1.0,3,49.0,16.333333333333332,15.333333333333332,0.0375,4.0
290,1,7.0,7.0,5,64.0,12.8,5.800000000000001,0.020833333333333332,9.0
295,2,14.0,7.0,5,83.0,16.6,9.600000000000001,0.02759009009009009,14.0
300,3,20.0,6.666666666666667,3,94.0,31.333333333333332,24.666666666666664,0.020833333333333332,22.999999999999915
305,0,0.0,0,4,109.0,27.25,27.25,1.0,27.999999999999915
310,3,10.0,3.3333333333333335,5,126.0,25.2,21.866666666666667,0.05787037037037037,32.999999999999915
315,3,19.0,6.333333333333333,8,149.0,18.625,12.291666666666668,0.046140081799591004,37.999999999999915
320,1,1.0,1.0,7,173.0,24.714285714285715,23.714285714285715,0.020833333333333332,41.00000000000003
325,2,5.0,2.5,9,209.0,23.22222222222222,20.72222222222222,0.020833333333333332,46.00000000000003
330,4,17.0,4.25,10,252.0,25.2,20.95,0.02629184861717613,52.999999999999915
335,6,41.0,6.833333333333333,11,299.0,27.181818181818183,20.34848484848485,0.045422611327280586,57.999999999999915
340,2,7.0,3.5,10,327.0,32.7,29.200000000000003,0.02759009009009009,61.00000000000003
345,2,6.0,3.0,11,373.0,33.90909090909091,30.909090909090907,0.020833333333333332,66.00000000000003
350,3,18.0,6.0,11,425.0,38.63636363636363,32.63636363636363,0.045,69.0
355,0,0.0,0,12,459.0,38.25,38.25,1.0,74.0
360,3,7.0,2.3333333333333335,11,511.0,46.45454545454545,44.12121212121212,0.04083333333333333,78.85
365,4,24.0,6.0,14,568.0,40.57142857142857,34.57142857142857,0.0375,86.00000000000003
370,4,22.0,5.5,12,615.0,51.25,45.75,0.033388520971302425,89.0
375,5,9.0,1.8,11,572.0,52.0,50.2,0.05443548387096774,94.0
380,5,34.0,6.8,13,624.0,48.0,41.2,0.07621308016877637,98.85
385,6,64.0,10.666666666666666,13,685.0,52.69230769230769,42.02564102564103,0.08743169398907104,103.85
390,2,20.0,10.0,13,750.0,57.69230769230769,47.69230769230769,0.020833333333333332,108.69999999999999
395,1,3.0,3.0,13,815.0,62.69230769230769,59.69230769230769,0.020833333333333332,113.69999999999999
400,2,13.0,6.5,13,880.0,67.6923076923077,61.19230769230769,0.03955992509363296,118.55
405,4,15.0,3.75,12,914.0,76.16666666666667,72.41666666666667,0.041482300884955754,123.69999999999999
410,2,8.0,4.0,14,974.0,69.57142857142857,65.57142857142857,0.02666666666666667,128.7
415,4,20.0,5.0,13,1038.0,79.84615384615384,74.84615384615384,0.045787545787545784,133.85
420,5,37.0,7.4,13,1103.0,84.84615384615384,77.44615384615383,0.05808723693143245,138.7
425,4,44.0,11.0,14,1171.0,83.64285714285714,72.64285714285714,0.05307017543859649,143.7
