step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,3,11.0,3.6666666666666665,1,0.0,0.0,3.6666666666666665,0.056018518518518516,0.0
25,4,31.0,7.75,1,0.0,0.0,7.75,0.058031400966183574,0.0
30,5,51.0,10.2,1,0.0,0.0,10.2,0.05734126984126984,0.0
35,5,73.0,14.6,1,0.0,0.0,14.6,0.06004371732468001,0.0
40,8,107.0,13.375,1,0.0,0.0,13.375,0.06840287735398146,0.0
45,2,34.0,17.0,2,5.0,2.5,14.5,0.020833333333333332,0.49999999999998934
50,4,11.0,2.75,3,12.0,4.0,1.25,0.0494281045751634,2.0
55,3,26.0,8.666666666666666,2,22.0,11.0,2.333333333333334,0.05967514124293785,6.29999999999999
60,7,50.0,7.142857142857143,3,32.0,10.666666666666666,3.523809523809523,0.06835083114610674,10.199999999999974
65,7,84.0,12.0,2,42.0,21.0,9.0,0.0831447963800905,13.599999999999952
70,11,123.0,11.181818181818182,3,52.0,17.333333333333332,6.1515151515151505,0.09305801594331267,15.399999999999984
75,15,186.0,12.4,6,65.0,10.833333333333334,1.5666666666666664,0.10792902066486972,18.599999999999966
80,19,271.0,14.263157894736842,4,84.0,21.0,6.7368421052631575,0.11247672082138743,22.39999999999995
85,21,367.0,17.476190476190474,8,105.0,13.125,4.3511904761904745,0.11374684151499183,25.0
90,16,253.0,15.8125,1,0.0,0.0,15.8125,0.09727338488097843,0.0
95,4,4.0,1.0,2,0.0,0.0,1.0,0.05555555555555555,0.0
100,4,17.0,4.25,4,0.0,0.0,4.25,0.04596055979643766,0.0
105,7,39.0,5.571428571428571,5,11.0,2.2,3.371428571428571,0.04099288486416559,2.299999999999997
110,10,76.0,7.6,6,30.0,5.0,2.5999999999999996,0.047189542483660134,7.200000000000003
115,9,69.0,7.666666666666667,10,56.0,5.6,2.0666666666666673,0.06051708358755339,12.0
120,12,117.0,9.75,8,89.0,11.125,1.375,0.07359677419354839,16.699999999999996
125,14,178.0,12.714285714285714,8,124.0,15.5,2.7857142857142865,0.0824074074074074,21.39999999999999
130,19,261.0,13.736842105263158,11,159.0,14.454545454545455,0.7177033492822975,0.08735074167538623,26.25
135,16,207.0,12.9375,2,5.0,2.5,10.4375,0.0734419991772933,0.0
140,3,7.0,2.3333333333333335,5,15.0,3.0,0.6666666666666665,0.02759009009009009,0.0
145,5,29.0,5.8,5,25.0,5.0,0.7999999999999998,0.05562169312169312,0.0
150,12,74.0,6.166666666666667,7,35.0,5.0,1.166666666666667,0.05079400415553577,0.0
