step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
15,0,0.0,0,2,5.0,2.5,2.5,1.0,3.4999999999999964
20,1,3.0,3.0,2,10.0,5.0,2.0,0.020833333333333332,5.9999999999999964
25,2,10.0,5.0,1,15.0,15.0,10.0,0.030637254901960783,7.5
30,6,29.0,4.833333333333333,2,20.0,10.0,5.166666666666667,0.04574630113141862,7.999999999999972
35,7,63.0,9.0,4,27.0,6.75,2.25,0.07402641002685766,8.899999999999975
40,11,108.0,9.818181818181818,2,37.0,18.5,8.681818181818182,0.09346153846153846,12.75
45,14,171.0,12.214285714285714,4,49.0,12.25,0.035714285714286476,0.11118589158605585,15.449999999999967
50,16,199.0,12.4375,6,70.0,11.666666666666666,0.7708333333333339,0.11412655046802232,18.150000000000016
55,16,230.0,14.375,8,99.0,12.375,2.0,0.10142493404503344,21.499999999999993
60,18,263.0,14.61111111111111,7,108.0,15.428571428571429,0.8174603174603181,0.11009403570428095,25.49999999999998
65,13,188.0,14.461538461538462,4,69.0,17.25,2.7884615384615383,0.07235980083857442,9.5
70,15,204.0,13.6,8,31.0,3.875,9.725,0.11606425702811245,5.4999999999999964
75,12,181.0,15.083333333333334,6,61.0,10.166666666666666,4.916666666666668,0.0901017601760176,10.249999999999993
80,15,246.0,16.4,8,93.0,11.625,4.774999999999999,0.0934581171237954,14.749999999999986
85,10,124.0,12.4,5,57.0,11.4,1.0,0.08142687680054228,12.0
90,17,177.0,10.411764705882353,8,77.0,9.625,0.7867647058823533,0.08971649484536083,14.999999999999972
95,13,128.0,9.846153846153847,4,29.0,7.25,2.5961538461538467,0.07365846640771112,6.799999999999983
100,12,181.0,15.083333333333334,7,51.0,7.285714285714286,7.797619047619048,0.08196479324286458,11.199999999999974
105,18,258.0,14.333333333333334,8,78.0,9.75,4.583333333333334,0.101548769771529,16.199999999999974
110,24,359.0,14.958333333333334,8,114.0,14.25,0.7083333333333339,0.12074564164830388,20.89999999999999
115,17,182.0,10.705882352941176,5,64.0,12.8,2.094117647058825,0.08370734271389293,10.34999999999998
120,17,229.0,13.470588235294118,11,89.0,8.090909090909092,5.379679144385026,0.06746037871771123,14.799999999999983
125,18,223.0,12.38888888888889,5,62.0,12.4,0.011111111111111072,0.04234706042645957,7.899999999999999
130,17,288.0,16.941176470588236,10,88.0,8.8,8.141176470588235,0.042812546454585994,12.850000000000001
135,14,298.0,21.285714285714285,8,94.0,11.75,9.535714285714285,0.04222199400550763,15.75
140,12,191.0,15.916666666666666,5,114.0,22.8,6.883333333333335,0.054721062231502145,20.29999999999996
145,10,139.0,13.9,6,134.0,22.333333333333332,8.433333333333332,0.04747267759562841,24.39999999999995
150,11,96.0,8.727272727272727,9,157.0,17.444444444444443,8.717171717171716,0.08297320656871218,28.5
155,10,106.0,10.6,12,161.0,13.416666666666666,2.8166666666666664,0.0776653395266534,16.899999999999906
160,21,168.0,8.0,15,216.0,14.4,6.4,0.11217092712705075,23.0
165,24,246.0,10.25,11,141.0,12.818181818181818,2.5681818181818183,0.16221693257848688,15.399999999999999
170,22,260.0,11.818181818181818,12,144.0,12.0,0.18181818181818166,0.1221239449647358,18.0
175,24,378.0,15.75,14,195.0,13.928571428571429,1.8214285714285712,0.12261100584891671,23.0
180,28,505.0,18.035714285714285,17,261.0,15.352941176470589,2.682773109243696,0.12415630671683063,27.89999999999999
185,28,541.0,19.321428571428573,14,186.0,13.285714285714286,6.0357142857142865,0.10195670651840705,25.44999999999996
190,21,393.0,18.714285714285715,17,190.0,11.176470588235293,7.537815126050422,0.07398853733127918,24.099999999999966
195,16,164.0,10.25,18,242.0,13.444444444444445,3.1944444444444446,0.06328589714629923,28.5
200,12,107.0,8.916666666666666,14,95.0,6.785714285714286,2.1309523809523805,0.10145505458670069,13.5
205,14,138.0,9.857142857142858,23,156.0,6.782608695652174,3.074534161490684,0.0842714528462192,18.599999999999994
210,12,102.0,8.5,18,194.0,10.777777777777779,2.2777777777777786,0.056740837696335075,18.5
215,15,169.0,11.266666666666667,19,274.0,14.421052631578947,3.1543859649122794,0.07069274484178845,23.199999999999974
220,20,248.0,12.4,21,355.0,16.904761904761905,4.504761904761905,0.07975434665338811,27.599999999999966
225,17,214.0,12.588235294117647,16,367.0,22.9375,10.349264705882353,0.07668247334297809,32.89999999999999
230,18,188.0,10.444444444444445,22,450.0,20.454545454545453,10.010101010101009,0.13950991537198434,37.599999999999966
235,23,285.0,12.391304347826088,22,551.0,25.045454545454547,12.654150197628459,0.15574666359871145,42.599999999999966
240,16,177.0,11.0625,10,90.0,9.0,2.0625,0.13795973367152822,10.299999999999983
245,18,164.0,9.11111111111111,12,111.0,9.25,0.13888888888888928,0.0784780578898226,15.149999999999991
250,21,259.0,12.333333333333334,16,153.0,9.5625,2.770833333333334,0.09711075209042688,20.14999999999999
255,20,277.0,13.85,12,135.0,11.25,2.5999999999999996,0.07716731032263255,18.0
260,23,372.0,16.17391304347826,16,190.0,11.875,4.298913043478262,0.08481407389974112,23.0
265,14,210.0,15.0,10,154.0,15.4,0.40000000000000036,0.08815486470926885,17.0
270,18,174.0,9.666666666666666,16,138.0,8.625,1.041666666666666,0.053120262758969174,21.449999999999953
275,15,137.0,9.133333333333333,10,145.0,14.5,5.366666666666667,0.07486517965409407,15.899999999999999
280,14,126.0,9.0,10,185.0,18.5,9.5,0.07327204253433761,20.9
285,23,226.0,9.826086956521738,10,225.0,22.5,12.673913043478262,0.09712334185225752,27.099999999999937
290,31,363.0,11.709677419354838,13,268.0,20.615384615384617,8.905707196029779,0.12248193012983537,33.19999999999995
295,25,239.0,9.56,10,107.0,10.7,1.1399999999999988,0.16027216610549944,10.699999999999974
300,23,224.0,9.73913043478261,15,137.0,9.133333333333333,0.6057971014492765,0.11113473669289106,14.799999999999898
305,29,354.0,12.206896551724139,10,182.0,18.2,5.9931034482758605,0.12341637515363525,21.599999999999923
310,27,388.0,14.37037037037037,13,214.0,16.46153846153846,2.0911680911680897,0.09336548384536,26.599999999999923
315,25,362.0,14.48,15,232.0,15.466666666666667,0.9866666666666664,0.07711664124437415,25.0
320,27,284.0,10.518518518518519,19,302.0,15.894736842105264,5.376218323586745,0.09509526504433126,30.0
325,25,300.0,12.0,18,173.0,9.61111111111111,2.3888888888888893,0.07726223833855282,17.0
330,30,375.0,12.5,21,192.0,9.142857142857142,3.3571428571428577,0.09909980380881507,17.15
335,23,291.0,12.652173913043478,22,278.0,12.636363636363637,0.015810276679841806,0.0761048919373625,22.15
340,32,434.0,13.5625,27,380.0,14.074074074074074,0.5115740740740744,0.09200232892556816,27.15
345,32,535.0,16.71875,19,378.0,19.894736842105264,3.1759868421052637,0.0863017705092023,31.099999999999994
350,23,247.0,10.73913043478261,18,163.0,9.055555555555555,1.683574879227054,0.12379671114574202,22.0
355,24,258.0,10.75,22,222.0,10.090909090909092,0.6590909090909083,0.10298158324669539,26.799999999999983
360,32,391.0,12.21875,20,313.0,15.65,3.4312500000000004,0.12161674112540889,31.599999999999994
365,39,575.0,14.743589743589743,23,408.0,17.73913043478261,2.9955406911928666,0.14141166587968002,37.19999999999999
370,26,276.0,10.615384615384615,8,136.0,17.0,6.384615384615385,0.11193398222598391,18.099999999999994
375,28,238.0,8.5,19,176.0,9.263157894736842,0.7631578947368425,0.08995908929206688,23.0
380,33,271.0,8.212121212121213,6,72.0,12.0,3.787878787878787,0.16460686749148287,3.0
385,36,359.0,9.972222222222221,14,102.0,7.285714285714286,2.686507936507936,0.13702581440843753,8.399999999999977
