step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0.75
20,1,3.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
25,4,8.0,2.0,2,0.0,0.0,2.0,0.0392156862745098,0.0
30,2,11.0,5.5,1,0.0,0.0,5.5,0.034531963470319636,0.0
35,3,21.0,7.0,3,4.0,1.3333333333333333,5.666666666666667,0.039431330472103,1.6999999999999993
40,5,42.0,8.4,3,14.0,4.666666666666667,3.7333333333333334,0.06586021505376344,6.599999999999998
45,5,35.0,7.0,3,11.0,3.6666666666666665,3.3333333333333335,0.041497289972899726,2.199999999999992
50,7,46.0,6.571428571428571,3,16.0,5.333333333333333,1.2380952380952381,0.04898148148148148,1.599999999999966
55,6,37.0,6.166666666666667,3,1.0,0.3333333333333333,5.833333333333334,0.05979210342417889,0.0
60,6,38.0,6.333333333333333,3,6.0,2.0,4.333333333333333,0.06806184012066364,0.0
65,6,44.0,7.333333333333333,0,0,0,7.333333333333333,0.05862403100775194,0.0
70,5,16.0,3.2,2,0.0,0.0,3.2,0.06666666666666667,0.0
75,3,9.0,3.0,1,4.0,4.0,1.0,0.031839622641509434,0.0
80,7,32.0,4.571428571428571,1,9.0,9.0,4.428571428571429,0.07901234567901234,0.0
85,9,45.0,5.0,4,14.0,3.5,1.5,0.0668581616481775,0.0
90,7,34.0,4.857142857142857,3,24.0,8.0,3.1428571428571432,0.05351851851851852,1.999999999999993
95,3,4.0,1.3333333333333333,5,34.0,6.8,5.466666666666667,0.020833333333333332,3.999999999999986
100,7,27.0,3.857142857142857,2,44.0,22.0,18.142857142857142,0.05818965517241379,5.249999999999968
105,4,10.0,2.5,4,54.0,13.5,11.0,0.038580246913580245,5.0
