step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,1,0.0,0.0,0,0,0,0.0,1.0,0.0
30,3,13.0,4.333333333333333,1,0.0,0.0,4.333333333333333,0.05967514124293785,0.0
35,3,12.0,4.0,1,0.0,0.0,4.0,0.028846153846153848,0.0
40,4,29.0,7.25,2,0.0,0.0,7.25,0.05859810479375697,0.0
45,7,41.0,5.857142857142857,2,0.0,0.0,5.857142857142857,0.0852088402270884,0.0
50,2,4.0,2.0,1,0.0,0.0,2.0,0.03333333333333333,0.0
55,5,17.0,3.4,3,0.0,0.0,3.4,0.05734126984126984,0.0
60,6,41.0,6.833333333333333,3,4.0,1.3333333333333333,5.5,0.08956734867860187,1.7999999999999972
65,3,8.0,2.6666666666666665,1,0.0,0.0,2.6666666666666665,0.03333333333333333,0.0
70,3,10.0,3.3333333333333335,5,0.0,0.0,3.3333333333333335,0.035919540229885055,0.0
75,4,24.0,6.0,1,5.0,5.0,1.0,0.05357142857142857,0.0
80,4,32.0,8.0,4,10.0,2.5,5.5,0.0463768115942029,0.0
85,4,12.0,3.0,3,3.0,1.0,2.0,0.05555555555555555,0.0
90,2,16.0,8.0,3,0.0,0.0,8.0,0.041666666666666664,0.0
95,6,37.0,6.166666666666667,3,2.0,0.6666666666666666,5.5,0.04163625304136253,0.0
100,3,10.0,3.3333333333333335,3,0.0,0.0,3.3333333333333335,0.030637254901960783,0.0
105,5,15.0,3.0,5,2.0,0.4,2.6,0.0625,0.0
110,8,37.0,4.625,5,11.0,2.2,2.425,0.1052429274292743,0.4000000000000057
115,7,38.0,5.428571428571429,7,13.0,1.8571428571428572,3.5714285714285716,0.0686834094368341,0.0
120,4,17.0,4.25,6,7.0,1.1666666666666667,3.083333333333333,0.03834925690021231,0.8999999999999986
125,6,37.0,6.166666666666667,7,24.0,3.4285714285714284,2.7380952380952386,0.048258601240834746,5.199999999999989
130,6,13.0,2.1666666666666665,6,44.0,7.333333333333333,5.166666666666666,0.051026570048309176,10.0
135,6,27.0,4.5,3,12.0,4.0,0.5,0.05522727272727273,0.0
140,4,29.0,7.25,6,17.0,2.8333333333333335,4.416666666666666,0.07036479250334672,0.0
145,3,19.0,6.333333333333333,5,0.0,0.0,6.333333333333333,0.031206777316735823,0.0
150,4,17.0,4.25,2,0.0,0.0,4.25,0.05626947040498442,0.0
155,3,4.0,1.3333333333333333,5,4.0,0.8,0.5333333333333332,0.041666666666666664,0.0
160,8,36.0,4.5,6,17.0,2.8333333333333335,1.6666666666666665,0.0645933014354067,1.3499999999999872
165,7,33.0,4.714285714285714,3,11.0,3.6666666666666665,1.047619047619048,0.05862403100775194,0.0
170,3,4.0,1.3333333333333333,3,0.0,0.0,1.3333333333333333,0.03333333333333333,0.0
175,4,18.0,4.5,5,3.0,0.6,3.9,0.041666666666666664,0.0
180,5,39.0,7.8,2,8.0,4.0,3.8,0.04163929040735874,0.0
185,4,36.0,9.0,2,0.0,0.0,9.0,0.02202283849918434,0.0
190,0,0.0,0,6,0.0,0.0,0.0,1.0,0.0
195,4,10.0,2.5,4,0.0,0.0,2.5,0.05482456140350877,0.0
200,3,9.0,3.0,6,7.0,1.1666666666666667,1.8333333333333333,0.020833333333333332,0.0
205,5,14.0,2.8,7,8.0,1.1428571428571428,1.657142857142857,0.06186868686868687,0.0
210,6,34.0,5.666666666666667,6,1.0,0.16666666666666666,5.5,0.07125246548323472,0.0
215,2,8.0,4.0,11,21.0,1.9090909090909092,2.090909090909091,0.03333333333333333,4.449999999999996
220,5,7.0,1.4,4,4.0,1.0,0.3999999999999999,0.07852564102564102,0.0
225,5,17.0,3.4,5,0.0,0.0,3.4,0.02629184861717613,0.0
230,7,45.0,6.428571428571429,3,0.0,0.0,6.428571428571429,0.036525974025974024,0.0
235,4,10.0,2.5,1,0.0,0.0,2.5,0.03156565656565657,0.0
240,5,18.0,3.6,3,0.0,0.0,3.6,0.06136363636363636,0.0
245,3,3.0,1.0,2,0.0,0.0,1.0,0.020833333333333332,0.0
250,7,30.0,4.285714285714286,2,0.0,0.0,4.285714285714286,0.05013368983957219,0.0
255,4,24.0,6.0,2,0.0,0.0,6.0,0.06593406593406594,0.0
260,2,8.0,4.0,5,3.0,0.6,3.4,0.03333333333333333,0.0
265,6,25.0,4.166666666666667,7,5.0,0.7142857142857143,3.4523809523809526,0.051875830013280215,0.0
270,3,27.0,9.0,5,14.0,2.8,6.2,0.040285145888594165,0.0
275,3,26.0,8.666666666666666,6,10.0,1.6666666666666667,6.999999999999999,0.020833333333333332,0.0
280,3,8.0,2.6666666666666665,6,6.0,1.0,1.6666666666666665,0.05128205128205128,0.0
285,5,27.0,5.4,4,11.0,2.75,2.6500000000000004,0.05645910780669145,0.0
290,5,42.0,8.4,4,19.0,4.75,3.6500000000000004,0.04772727272727273,0.0
295,4,7.0,1.75,6,0.0,0.0,1.75,0.035201149425287355,0.0
300,5,21.0,4.2,8,9.0,1.125,3.075,0.03844142259414226,0.5499999999999972
305,5,27.0,5.4,11,25.0,2.272727272727273,3.1272727272727274,0.020833333333333332,3.5
310,4,46.0,11.5,5,31.0,6.2,5.3,0.024765917602996255,1.5
315,4,7.0,1.75,5,0.0,0.0,1.75,0.04861111111111111,0.0
320,5,24.0,4.8,5,0.0,0.0,4.8,0.05217391304347826,0.0
325,9,60.0,6.666666666666667,4,6.0,1.5,5.166666666666667,0.08152173913043478,0.0
330,3,43.0,14.333333333333334,7,17.0,2.4285714285714284,11.904761904761905,0.032397673114662184,2.4499999999999957
335,6,67.0,11.166666666666666,7,40.0,5.714285714285714,5.452380952380952,0.044217888100866826,7.349999999999994
340,6,85.0,14.166666666666666,9,57.0,6.333333333333333,7.833333333333333,0.044257816328530826,10.249999999999979
345,3,11.0,3.6666666666666665,5,42.0,8.4,4.733333333333334,0.020833333333333332,5.399999999999999
350,5,31.0,6.2,8,62.0,7.75,1.5499999999999998,0.04145100069013113,10.5
355,9,64.0,7.111111111111111,7,83.0,11.857142857142858,4.746031746031747,0.06870638754696726,15.449999999999996
360,8,104.0,13.0,8,109.0,13.625,0.625,0.08187984496124032,20.449999999999996
365,3,4.0,1.3333333333333333,7,16.0,2.2857142857142856,0.9523809523809523,0.03333333333333333,0.44999999999999574
370,4,12.0,3.0,8,7.0,0.875,2.125,0.04054054054054054,0.0
375,8,43.0,5.375,6,12.0,2.0,3.375,0.0669927536231884,0.3499999999999943
380,2,4.0,2.0,5,8.0,1.6,0.3999999999999999,0.03333333333333333,0.0
385,6,23.0,3.8333333333333335,5,3.0,0.6,3.2333333333333334,0.07203159041394336,0.0
390,3,11.0,3.6666666666666665,5,2.0,0.4,3.2666666666666666,0.020833333333333332,0.0
395,4,22.0,5.5,3,12.0,4.0,1.5,0.022812971342383106,0.0
400,3,12.0,4.0,3,22.0,7.333333333333333,3.333333333333333,0.04838709677419355,0.0
405,6,33.0,5.5,4,32.0,8.0,2.5,0.0819043321299639,0.0
410,4,19.0,4.75,4,21.0,5.25,0.5,0.032557720057720056,0.0
415,4,16.0,4.0,4,5.0,1.25,2.75,0.06666666666666667,0.0
420,4,24.0,6.0,4,3.0,0.75,5.25,0.08108108108108109,0.0
425,5,25.0,5.0,4,1.0,0.25,4.75,0.05229250334672021,0.0
430,5,35.0,7.0,5,1.0,0.2,6.8,0.055600944081336236,0.0
435,5,22.0,4.4,4,7.0,1.75,2.6500000000000004,0.05421146953405018,0.0
440,3,12.0,4.0,5,0.0,0.0,4.0,0.028846153846153848,0.0
445,10,43.0,4.3,5,5.0,1.0,3.3,0.0694069069069069,0.0
450,7,57.0,8.142857142857142,7,15.0,2.142857142857143,6.0,0.038789398280802294,0.25
455,3,20.0,6.666666666666667,4,0.0,0.0,6.666666666666667,0.020833333333333332,0.0
460,4,14.0,3.5,7,4.0,0.5714285714285714,2.928571428571429,0.05518018018018018,0.0
465,5,8.0,1.6,4,4.0,1.0,0.6000000000000001,0.05555555555555555,1.0
470,5,28.0,5.6,6,12.0,2.0,3.5999999999999996,0.04748062015503876,0.0
475,5,36.0,7.2,6,26.0,4.333333333333333,2.866666666666667,0.04153846153846154,1.0
480,9,47.0,5.222222222222222,4,26.0,6.5,1.2777777777777777,0.0722462061747776,0.19999999999999574
485,7,24.0,3.4285714285714284,4,3.0,0.75,2.6785714285714284,0.0379746835443038,0.0
490,4,10.0,2.5,7,0.0,0.0,2.5,0.0496031746031746,0.0
495,3,7.0,2.3333333333333335,5,2.0,0.4,1.9333333333333336,0.02759009009009009,0.0
500,4,16.0,4.0,8,11.0,1.375,2.625,0.03864734299516908,0.29999999999999716
505,5,31.0,6.2,7,22.0,3.142857142857143,3.0571428571428574,0.055153810835629015,0.5999999999999943
510,4,42.0,10.5,8,41.0,5.125,5.375,0.054525222551928786,4.8999999999999915
515,2,19.0,9.5,5,18.0,3.6,5.9,0.020833333333333332,0.0
520,3,7.0,2.3333333333333335,5,0.0,0.0,2.3333333333333335,0.0537280701754386,0.0
525,3,7.0,2.3333333333333335,2,0.0,0.0,2.3333333333333335,0.020833333333333332,0.0
530,3,10.0,3.3333333333333335,3,0.0,0.0,3.3333333333333335,0.05482456140350877,0.0
535,6,23.0,3.8333333333333335,3,2.0,0.6666666666666666,3.166666666666667,0.0589349376114082,0.0
540,1,2.0,2.0,6,9.0,1.5,0.5,0.020833333333333332,0.0
545,3,15.0,5.0,3,4.0,1.3333333333333333,3.666666666666667,0.034215328467153285,0.0
550,3,5.0,1.6666666666666667,5,1.0,0.2,1.4666666666666668,0.05787037037037037,0.0
555,6,22.0,3.6666666666666665,4,9.0,2.25,1.4166666666666665,0.05307017543859649,0.0
560,3,11.0,3.6666666666666665,8,11.0,1.375,2.2916666666666665,0.0494281045751634,0.0
565,6,30.0,5.0,3,3.0,1.0,4.0,0.0589622641509434,0.0
570,3,23.0,7.666666666666667,5,8.0,1.6,6.066666666666666,0.020833333333333332,0.0
575,4,34.0,8.5,6,18.0,3.0,5.5,0.02209480122324159,0.5
580,2,7.0,3.5,5,33.0,6.6,3.0999999999999996,0.02759009009009009,1.75
585,5,25.0,5.0,7,3.0,0.42857142857142855,4.571428571428571,0.0594558599695586,0.0
590,1,3.0,3.0,6,0.0,0.0,3.0,0.020833333333333332,0.0
595,4,12.0,3.0,8,4.0,0.5,2.5,0.04054054054054054,0.3999999999999986
600,0,0.0,0,7,12.0,1.7142857142857142,1.7142857142857142,1.0,1.3499999999999943
605,4,8.0,2.0,6,26.0,4.333333333333333,2.333333333333333,0.044444444444444446,2.44999999999996
610,2,5.0,2.5,6,16.0,2.6666666666666665,0.16666666666666652,0.04006410256410257,0.0
