step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.130880100737947,0,0.0,0.4905265139691782,0,0.0,1.0,0,0.0,0.18900409355028647,1,0.0,0.0,1,0.0
10.0,0,0.0,0.0,7.513379443645958,0,0.0,0.5171817183439421,0,0.0,1.0,0,0.0,0.9081571476247524,0,0.0,0.37405133390553386,0,0.0
15.0,2,2.0,0.25,5.3124410563082165,1,2.0,0.4936364910604999,0,0.0,0.21434915064745763,1,0.0,0.0060303491141759724,0,0.0,0.6120655906599347,2,2.0
20.0,1,5.0,0.5,6.265075728933277,0,0.0,0.2523312645139658,0,0.0,0.9133824863556411,1,7.0,0.3063193052400484,0,0.0,0.8059609201404105,1,7.0
25.0,1,0.0,0.0,9.489827097007645,1,0.0,0.6508184410199752,0,0.0,0.872718882351515,0,2.0,0.5879245400975395,0,2.0,0.47642262997185525,1,4.0
30.0,1,3.0,0.21428571428571427,8.448589407242078,0,0.0,0.5594615829064203,0,0.0,0.24564707653996165,1,3.0,0.5776970836479602,0,2.0,0.8742144872263438,1,5.0
35.0,5,16.0,0.9411764705882353,6.82792460104558,2,5.0,0.45234038379852687,0,0.0,0.8154558179948284,3,11.0,7.756611409142498e-05,0,0.0,0.626005362074658,5,16.0
40.0,2,15.0,0.9375,7.17334457589984,2,15.0,0.475855300604369,0,0.0,0.6555592490935298,0,0.0,0.910528725037325,0,0.0,0.36081245286652974,2,15.0
45.0,4,6.0,0.3157894736842105,6.265858324717904,1,3.0,0.24782141946023237,1,0.0,0.46864964801409015,1,1.0,0.31141501196039517,1,2.0,0.5484705808848942,4,6.0
50.0,6,28.0,1.6470588235294117,5.7541018827374595,2,10.0,0.29807313554695464,0,2.0,0.8726460312776713,1,3.0,0.4976021572753191,1,7.0,0.44616061882578045,4,22.0
55.0,7,48.0,2.4,4.9135479154700885,4,22.0,0.3188513425388222,0,2.0,0.2991385421866039,1,8.0,0.12171493494551942,0,4.0,0.5621372685432934,5,36.0
60.0,8,70.0,3.3333333333333335,5.985244612486402,3,37.0,0.48803908322597145,2,8.0,0.3031263958659635,1,13.0,0.5135538343951366,1,3.0,0.19085847653134866,7,61.0
65.0,9,108.0,4.909090909090909,5.494330445777535,5,68.0,0.22099244645383384,2,18.0,0.3209429574303965,1,18.0,0.43109787621215173,0,0.0,0.8204548466287148,8,104.0
70.0,3,27.0,1.125,6.021646347487196,2,56.0,0.34322291704270214,0,10.0,0.3140636856782917,1,44.0,0.5487295673730733,0,2.0,0.5426132485699213,3,112.0
75.0,9,50.0,2.0,5.2391152166923645,6,74.0,0.12370955793306834,1,0.0,0.4198639661183192,1,51.0,0.6340215474229068,1,5.0,0.45824623789199653,9,130.0
80.0,7,52.0,2.08,6.511527995873139,5,71.0,0.06985880014153356,0,0.0,0.5734763910196258,2,37.0,0.2713795085000195,0,0.0,0.9900431172877804,7,108.0
85.0,7,73.0,3.1739130434782608,6.343584595463277,3,55.0,0.30001346398710776,2,8.0,0.2986468806725578,2,47.0,0.3762040854691366,0,0.0,0.46907521149817494,7,110.0
90.0,5,51.0,2.125,6.166742706908573,3,46.0,0.25149136424787527,2,18.0,0.07135809262315831,0,1.0,0.46069644124898085,0,0.0,0.9801999109247459,5,65.0
95.0,8,59.0,2.8095238095238093,5.067754632018047,6,66.0,0.22303270067503736,0,9.0,0.17682642315595046,1,3.0,0.6147815212264903,0,0.0,0.010686689856955457,7,78.0
100.0,3,13.0,0.5909090909090909,4.900745943558101,1,37.0,0.278652427656374,0,0.0,0.10157860033438179,0,0.0,0.1853316950806966,1,7.0,0.622223918817381,2,44.0
105.0,7,27.0,1.125,5.0575907773230755,2,30.0,0.17694922961649184,0,0.0,0.5157297042596445,3,7.0,0.34728106024199323,0,7.0,0.43108132354020423,5,44.0
110.0,7,41.0,1.7083333333333333,5.081305603285433,4,59.0,0.14836267188954302,0,0.0,0.5247603622940957,0,5.0,0.5047381524363461,2,15.0,0.41913129261401155,6,79.0
115.0,8,51.0,2.04,5.4249780862894355,4,79.0,0.4042976774172605,1,4.0,0.5651483949490123,2,3.0,0.2961242893634093,1,13.0,0.38646253194751473,8,99.0
120.0,9,63.0,2.423076923076923,5.7186710978023445,3,45.0,0.23290886207663183,1,9.0,0.3542702272016664,2,14.0,0.4673366319253609,2,12.0,0.3373879453107768,8,80.0
125.0,3,1.0,0.038461538461538464,6.278631235085188,2,19.0,0.3698133628733729,0,0.0,0.7880553158160161,0,10.0,0.5751221066369655,1,8.0,0.21487941872751085,3,37.0
130.0,4,10.0,0.4,6.3175130761269065,1,11.0,0.35345775684958297,1,4.0,0.4953501408854524,1,2.0,0.0027568270738273573,0,0.0,0.41020015498817763,3,17.0
135.0,6,31.0,1.2916666666666667,7.546972652644196,3,18.0,0.24819247834836874,2,9.0,0.4403335425763211,0,0.0,1.0,0,0.0,0.7580581666286226,5,27.0
140.0,2,15.0,0.6521739130434783,6.491789765047129,0,8.0,0.5433428187525016,0,4.0,0.44738668361676576,0,0.0,1.0,1,4.0,0.34145749445660406,1,16.0
145.0,5,20.0,0.9090909090909091,6.698307849386694,0,0.0,0.5952883405831808,1,7.0,0.49056382146226163,1,0.0,0.1398253583521737,3,15.0,0.3327424563320481,5,22.0
150.0,3,17.0,0.8095238095238095,7.2323054131747755,0,0.0,0.9616690986788308,1,10.0,0.3232990604720954,0,0.0,0.7094622554847119,2,15.0,0.20165853640676681,3,25.0
155.0,3,17.0,0.7727272727272727,7.194148824992874,0,0.0,0.1906072043619143,1,15.0,0.43564090719976634,0,0.0,0.7223892686572989,2,7.0,0.31066848270652386,3,22.0
160.0,2,7.0,0.3333333333333333,7.026153406817637,1,4.0,0.4555702093617951,0,0.0,0.49902214333573913,0,0.0,0.3432412782212206,0,0.0,0.4964136156515225,1,4.0
165.0,3,13.0,0.65,7.360960461108439,1,9.0,0.5491126808473972,1,0.0,0.4555676697331179,0,1.0,0.4233846406113559,1,12.0,0.3173995522587413,3,22.0
170.0,2,16.0,0.8888888888888888,7.829168302891527,1,14.0,0.6121469188838141,0,0.0,0.5844340861474795,1,3.0,0.10600979506020618,0,7.0,0.48274810546408525,2,24.0
175.0,5,31.0,1.7222222222222223,6.929761776784774,2,22.0,0.00043233809265705585,1,4.0,0.47696468370588363,2,8.0,0.260008220712515,0,0.0,0.7300354515984055,5,34.0
180.0,4,26.0,1.625,6.105885981844498,0,6.0,0.28018067537460095,3,14.0,0.10956764294652241,1,13.0,0.6301441954897455,0,0.0,0.6082759643152784,4,33.0
185.0,5,25.0,1.3888888888888888,4.379003248853531,0,0.0,1.0,1,14.0,0.24330238127270584,1,18.0,0.2647483816718076,1,0.0,0.5463584187280384,3,32.0
190.0,5,36.0,1.8,5.861998761502045,0,0.0,1.0,0,11.0,0.5521637891618572,3,31.0,0.1602469719277368,1,1.0,0.44526046882098425,4,43.0
195.0,8,54.0,2.7,4.87650605375299,0,0.0,0.30244361266415454,2,11.0,0.303987771592968,3,44.0,0.3166046884442218,3,12.0,0.3869537911691736,8,67.0
200.0,2,11.0,0.5,4.715051413653035,0,0.0,0.6440175648853448,0,8.0,0.23738443314045624,1,24.0,0.31943516622314905,0,16.0,0.35717791093883455,1,48.0
205.0,6,26.0,1.04,4.733432385977479,0,0.0,0.881739312634963,2,13.0,0.43291781621428554,2,16.0,0.005816587089227606,2,22.0,0.14282103596963774,6,51.0
210.0,5,39.0,1.56,5.9896814591736485,0,0.0,0.3364993070855821,1,6.0,0.3947829148897433,2,21.0,0.00012651083605902546,2,27.0,0.25339882068275243,5,54.0
215.0,5,20.0,0.8,6.856113074581609,0,0.0,0.9422886031835196,3,19.0,0.28499129092829695,1,0.0,0.4650413474128345,0,21.0,0.11356833420061328,4,40.0
220.0,6,42.0,1.826086956521739,6.0124934473491995,0,0.0,0.2817015230747776,3,32.0,0.37709662049150194,0,0.0,0.8190730216365443,3,25.0,0.00029770133534297885,6,57.0
225.0,5,11.0,0.4583333333333333,5.192590755449832,4,10.0,0.33013301406334267,0,16.0,0.13433770321423388,0,0.0,0.40164363391973973,0,26.0,0.3732697104524054,4,52.0
230.0,6,20.0,0.8695652173913043,4.278238950972542,0,4.0,0.45130358695418493,4,29.0,0.18453705645953164,1,0.0,0.20213658472908905,0,10.0,0.2556621215391006,5,43.0
235.0,8,47.0,1.9583333333333333,5.296242433015935,3,13.0,0.0744337742333453,4,49.0,0.25724985059739,0,0.0,0.5797518487588094,0,2.0,0.5308879478304148,7,64.0
240.0,4,25.0,1.0416666666666667,5.296590828341388,2,19.0,0.1080832780152309,1,23.0,0.3305446424616473,0,0.0,0.4408285621023756,0,12.0,0.6791690634791254,3,54.0
245.0,7,31.0,1.1923076923076923,5.787157442166175,3,27.0,0.3371179476742682,0,9.0,0.15571064408024862,2,14.0,0.43158068506323577,1,0.0,0.334428497746409,6,50.0
250.0,7,35.0,1.4,5.618368729867507,2,23.0,0.2375275475236905,1,24.0,0.20849026489847194,3,23.0,0.25170072524153075,0,0.0,0.8076408501672329,6,70.0
255.0,4,15.0,0.6,5.153603049122366,0,15.0,0.38054220502360425,2,29.0,0.3273922003876192,2,25.0,0.10825780234353015,0,0.0,0.3931994820380586,4,69.0
260.0,6,12.0,0.48,5.873346257432519,2,9.0,0.14004257088901506,0,10.0,0.43713977090612216,0,15.0,0.08836300267272405,2,1.0,0.39117494946291653,4,35.0
265.0,7,23.0,1.0,5.650543626049255,1,14.0,0.3134451518952522,2,14.0,0.14205184876208166,0,7.0,0.4059645373109804,3,9.0,0.40695442219274885,6,44.0
270.0,5,33.0,1.5714285714285714,4.982172119041262,2,21.0,0.057273197624922084,1,19.0,0.426329125097501,0,2.0,0.6958267040185522,1,3.0,0.5542625381530579,4,45.0
275.0,6,25.0,1.0416666666666667,5.845908711195697,2,14.0,0.23683505447094555,1,29.0,0.497816912152727,1,4.0,0.3764625336961566,1,4.0,0.46762596917329696,5,51.0
280.0,4,21.0,0.875,5.212438428450019,2,24.0,0.16039155024629673,0,12.0,0.7343520616006675,0,2.0,0.29768675204717254,2,7.0,0.08902599726052923,4,45.0
285.0,8,27.0,1.08,5.183211769393312,0,15.0,0.5127491807753114,3,17.0,0.3501275584746935,1,7.0,0.3648718739668457,3,11.0,0.1091379314861419,7,50.0
290.0,6,35.0,1.4,5.235031411546706,1,16.0,0.3779396643096981,0,17.0,0.22377409843559437,1,12.0,0.47535388975445436,3,23.0,0.1536728947215091,5,68.0
295.0,7,22.0,0.9166666666666666,6.33342608037134,1,18.0,0.15934538159964862,1,9.0,0.4717115596468386,2,2.0,0.4638168636415522,2,27.0,0.3793534110347865,6,56.0
300.0,6,47.0,2.1363636363636362,5.480105218552011,1,29.0,0.24560440851925072,1,18.0,0.576597757604218,2,9.0,0.23134657705879244,2,23.0,0.3133807089237529,6,79.0
305.0,3,19.0,0.7916666666666666,6.61772411404678,0,6.0,0.7054570373527809,1,4.0,0.40153217716257084,2,19.0,0.25631681028182135,0,17.0,0.42131454422454606,3,46.0
310.0,7,20.0,0.8,5.737142717011932,0,0.0,0.37584874538619295,3,11.0,0.39211666881377033,0,0.0,0.5977768794145044,3,23.0,0.28184160758144355,6,34.0
315.0,6,17.0,0.68,4.855059465206108,0,2.0,0.6268157474636845,1,20.0,0.2262403202610523,2,5.0,0.33008996089223347,3,25.0,0.3142787499508063,6,52.0
320.0,6,23.0,0.92,5.006542743460095,1,6.0,0.012614409424251814,2,17.0,0.41356102559607477,0,6.0,0.334648556685464,3,20.0,0.3430598125544864,6,49.0
325.0,6,37.0,1.3214285714285714,4.776069374589488,3,21.0,0.18337861330938565,3,21.0,0.2141700575016037,0,2.0,0.34593546922690016,0,12.0,0.24641090162367804,6,56.0
330.0,8,30.0,1.0714285714285714,4.046902394785736,0,8.0,0.6999571322209356,2,26.0,0.14247668213911505,1,9.0,0.12136539611001197,4,25.0,0.0905910629271183,7,68.0
335.0,10,45.0,1.6071428571428572,4.737115706483736,1,1.0,0.3219288922438363,5,40.0,0.176315301026723,0,8.0,0.8550762594988464,2,26.0,0.3963240154775394,8,75.0
340.0,3,24.0,0.8888888888888888,5.887345780353354,1,5.0,0.29604647859661953,2,31.0,0.4860646148063696,0,18.0,0.5664807069160674,0,1.0,0.2522528731209952,3,55.0
345.0,10,53.0,1.8928571428571428,5.303373932040901,2,12.0,0.4558143624814598,2,33.0,0.39206370856175055,1,25.0,0.5863071175492908,3,9.0,0.15668760851036728,8,79.0
350.0,12,73.0,2.607142857142857,3.419334604306645,2,21.0,0.30686595321368515,2,50.0,0.2546068664405911,3,34.0,0.3127676877891632,0,1.0,0.400692882484793,7,106.0
