step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,2.917608530525684,1,0.0,0.0,0,0.0,0.3108928957336907,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,0,0.0,0.0,7.99795128227702,0,0.0,0.7799216692188995,0,0.0,0.6180700732972043,0,0.0,1.0,0,0.0,0.34874678184853136,0,0.0
15.0,2,2.0,0.25,5.598190483756345,1,0.0,0.40973473939942234,1,2.0,0.30655723307363764,0,0.0,1.0,0,0.0,0.9652056410722701,2,2.0
20.0,0,0.0,0.0,6.777855686569993,0,0.0,0.4775986316729642,0,3.0,0.5848214540162394,0,0.0,0.6066745563391218,0,0.0,1.0,0,3.0
25.0,2,3.0,0.25,7.805014625280477,1,0.0,0.44173647023752755,1,3.0,0.4682049186933163,0,0.0,0.9277734935059677,0,2.0,0.9001058972460845,2,5.0
30.0,2,2.0,0.14285714285714285,6.958558197140389,0,0.0,0.6123187590859215,1,2.0,0.25972320425853673,0,0.0,1.0,1,0.0,0.44940557842684214,2,2.0
35.0,4,10.0,0.625,6.932639409505143,1,1.0,0.35604277736879986,2,7.0,0.5294486534565723,0,0.0,0.6014821087630954,0,0.0,0.5973818646095773,3,8.0
40.0,1,12.0,0.75,6.974828704513045,0,0.0,0.257156074157204,1,12.0,0.4346783549292208,0,0.0,0.7384740846319611,0,4.0,0.556160144636302,1,16.0
45.0,3,19.0,1.1176470588235294,6.455877770231175,0,0.0,1.0,1,19.0,0.5392066012117638,1,0.0,0.41893848373152404,0,4.0,0.6769106541293703,2,23.0
50.0,1,5.0,0.2631578947368421,7.740872319763325,0,0.0,0.5308990893699301,0,2.0,0.460033954668655,1,5.0,0.6477597351694439,0,4.0,0.9573218155617189,1,11.0
55.0,5,21.0,1.0,5.2908133614172685,0,0.0,0.7001488575457179,2,7.0,0.24855904378794963,2,13.0,0.07691574667002944,0,0.0,0.7067988413776196,4,20.0
60.0,5,28.0,1.2727272727272727,6.188062391742026,1,3.0,0.12093876917915748,2,17.0,0.2753025643595139,1,11.0,0.43202668674043165,0,0.0,0.6981855334308386,4,31.0
65.0,7,49.0,2.227272727272727,6.031307355005941,1,2.0,0.667497765064218,2,27.0,0.15723754523875771,1,7.0,0.5478004844732627,1,3.0,0.1189785211127826,5,39.0
70.0,6,67.0,3.1904761904761907,5.6351925732387755,0,0.0,0.5615090345973313,2,37.0,0.26356796313541747,1,4.0,0.5412850896763456,2,12.0,0.2790196154874887,5,53.0
75.0,7,97.0,4.409090909090909,5.745936712822222,0,0.0,0.6959178615198197,2,47.0,0.38296147084376786,1,9.0,0.004431979217343694,3,22.0,0.2155570631636162,6,78.0
80.0,2,33.0,1.5,7.047549803919988,1,31.0,0.45056527380133715,1,32.0,0.48948248722236604,0,5.0,0.23548644749985267,0,12.0,0.518112101799986,2,80.0
85.0,1,0.0,0.0,7.283473144241763,1,26.0,0.5685374536766924,0,4.0,0.4151187558736624,0,0.0,1.0,0,4.0,0.5681406679543499,1,34.0
90.0,3,6.0,0.2857142857142857,5.375190422149854,2,31.0,0.26927358671159324,0,2.0,0.4642849100698568,0,2.0,0.2606690390624732,1,5.0,0.44333246005503096,3,40.0
95.0,5,15.0,0.6818181818181818,5.297773779083706,0,31.0,0.2217338409143521,2,7.0,0.23262331515057197,1,2.0,0.5853935479637222,2,8.0,0.30908281002990273,5,48.0
100.0,4,16.0,0.7272727272727273,6.414020092317774,2,35.0,0.3536309097149597,1,9.0,0.1836347766393663,0,0.0,0.5671179535864503,0,5.0,0.39110767187184436,3,49.0
105.0,5,12.0,0.5714285714285714,6.17474305381324,1,5.0,0.21669748869530792,1,5.0,0.5523827498892521,0,0.0,0.6459148991502061,2,7.0,0.4263718285433059,4,17.0
110.0,5,32.0,1.4545454545454546,5.720023437226718,2,11.0,0.2530906250659244,1,10.0,0.38834045676113393,1,12.0,0.27798011440946707,1,12.0,0.4040368702692125,5,45.0
115.0,2,20.0,0.9090909090909091,6.656376768751127,0,10.0,0.2542530984556381,2,20.0,0.3110923639509567,0,9.0,0.4700775849483285,0,3.0,0.4928512231110133,2,42.0
120.0,4,10.0,0.47619047619047616,7.344224116053335,1,4.0,0.4692169773454653,0,0.0,0.30368941412472605,0,0.0,0.7675792817444326,1,5.0,0.4704828491585663,2,9.0
125.0,2,8.0,0.42105263157894735,7.234340749114494,0,0.0,0.7969203605390183,1,0.0,0.42595786760227855,0,5.0,0.6019962941646243,1,10.0,0.20209157815806572,2,15.0
130.0,4,21.0,1.1666666666666667,7.40842786901404,1,2.0,0.34710067164985037,1,3.0,0.5274128929665725,0,5.0,0.6102741333347796,2,18.0,8.431339792310239e-05,4,28.0
135.0,6,35.0,1.8421052631578947,4.49808543296024,2,9.0,0.24150865606086544,2,0.0,0.40748652706741445,0,5.0,0.38044274158446983,2,28.0,0.20053252212868147,6,42.0
140.0,5,47.0,2.35,5.47625445847296,1,6.0,0.2674452738374865,1,5.0,0.37844933354487803,0,0.0,0.3052824364685444,2,40.0,0.462834479086858,4,51.0
145.0,3,7.0,0.3181818181818182,6.247515786987443,2,6.0,0.3731847816869158,0,7.0,0.37954211849880015,0,0.0,0.6316632383859084,1,3.0,0.33772231243220546,3,16.0
150.0,4,13.0,0.5909090909090909,6.655197175593474,0,11.0,0.480167715644846,1,5.0,0.4736636774498657,0,0.0,0.9470553863385343,3,12.0,0.1181772844892643,4,28.0
155.0,5,15.0,0.6521739130434783,4.773462698532479,3,20.0,0.338653470983825,1,5.0,0.14799843747969116,0,0.0,0.9137296369246478,0,7.0,0.4674680018117137,4,32.0
160.0,8,38.0,1.52,4.521790782661711,4,36.0,0.2874888442159051,2,14.0,0.12968366230619652,0,0.0,1.0,2,2.0,0.32012205999525906,8,52.0
165.0,8,26.0,0.9629629629629629,5.331027656992632,6,45.0,0.08766265479480803,0,9.0,0.6967490313408738,0,0.0,0.5604394894403082,2,12.0,0.33946677999032515,8,66.0
170.0,9,63.0,2.423076923076923,5.876646330681141,5,42.0,0.17928729816376313,0,0.0,0.7038845286307247,0,2.0,0.6614086165474464,4,27.0,0.059847424336308984,9,71.0
175.0,10,65.0,2.5,4.413661414408591,7,60.0,0.04962548535111765,0,0.0,0.9603012151379272,1,5.0,0.40392757990546374,2,15.0,0.28757952511558915,10,80.0
180.0,8,50.0,1.9230769230769231,5.766002792010062,3,51.0,0.14418103261481888,1,1.0,0.003916115346523771,2,17.0,0.648290042412412,2,17.0,0.32255639245262296,8,86.0
185.0,3,16.0,0.5714285714285714,5.153680094466544,1,43.0,0.34574313393806433,0,0.0,1.0,1,5.0,0.21278479383151092,0,11.0,0.21925086226124516,2,59.0
190.0,5,36.0,1.3846153846153846,6.159365006305128,1,26.0,0.39332099797342657,0,0.0,0.16081656034500674,3,16.0,0.3452975458855807,1,13.0,0.5738134690957798,5,55.0
195.0,6,10.0,0.38461538461538464,5.674391578694364,2,8.0,0.3182470789655298,0,0.0,0.8620970363059189,3,18.0,0.297978837125737,1,11.0,0.44586070876296163,6,37.0
200.0,5,32.0,1.28,6.619854937382161,2,18.0,0.3901609956035107,0,0.0,0.3797317718457577,2,19.0,0.306952869130958,1,8.0,0.47948291327493925,5,45.0
205.0,5,17.0,0.7083333333333334,6.349677969113741,0,8.0,0.4035531100116904,1,0.0,0.49264781874191105,3,20.0,0.16397786252342422,1,11.0,0.6398799458239941,5,39.0
210.0,9,41.0,1.7083333333333333,5.543388188462437,2,9.0,0.2432469233930819,1,2.0,0.6938107820042354,4,30.0,0.025796650145191436,1,1.0,0.4200684875356757,8,42.0
215.0,4,18.0,0.75,5.476543812601602,0,2.0,0.14459140427081457,1,10.0,0.4984841497829119,1,24.0,0.2516367065347584,1,6.0,0.6478447777717613,3,42.0
220.0,5,35.0,1.5217391304347827,4.99716288917611,1,5.0,2.0471796212824846e-05,2,17.0,0.16949261827277812,0,21.0,0.48769274557738107,1,11.0,0.10114669388053935,4,54.0
225.0,6,13.0,0.52,5.835076863617803,0,0.0,1.0,0,2.0,0.6410046055482846,3,26.0,0.16293739822867614,1,0.0,0.4033240160050892,4,28.0
230.0,4,15.0,0.625,6.288796773617484,0,0.0,1.0,0,8.0,0.503708292884322,4,34.0,0.1862237549505785,0,2.0,0.5431312554628543,4,44.0
235.0,9,34.0,1.4166666666666667,5.9856931095840045,1,0.0,0.49030028804881715,3,16.0,0.3888354660859169,3,34.0,0.1853076460040531,2,9.0,0.46554519919240894,9,59.0
240.0,6,51.0,2.125,5.138788513273813,0,0.0,0.6949579989901666,2,18.0,0.07389262442060586,3,43.0,0.29281852787186036,1,8.0,0.2921569413568752,6,69.0
245.0,8,19.0,0.76,4.950015080021968,1,2.0,0.526801789929641,0,10.0,0.3028336149693713,2,38.0,0.24653040986014987,2,10.0,0.34585200316140874,5,60.0
250.0,8,38.0,1.4615384615384615,5.669049017833922,2,7.0,0.2358422259788605,0,0.0,0.7473242079043768,2,14.0,0.3018610658664483,3,22.0,0.3490261824364502,7,43.0
255.0,7,30.0,1.1538461538461537,4.6717850071805405,0,0.0,0.6212574876890368,1,0.0,0.10918678658999185,2,17.0,0.2986129878387035,4,37.0,0.22480664173797096,7,54.0
260.0,9,45.0,1.7307692307692308,5.15213750998575,0,0.0,0.5126982710476788,0,0.0,0.6706513137332022,4,32.0,0.2105475397952017,4,39.0,0.17027864631629266,8,71.0
265.0,9,31.0,1.24,3.3348631721495985,2,4.0,8.2099972209935e-06,0,2.0,0.49368739419163693,3,42.0,0.2631922281356148,2,32.0,0.0840080585415061,7,80.0
270.0,6,30.0,1.1111111111111112,5.15288726289806,0,2.0,0.525558114929839,1,6.0,0.3426378287267464,2,42.0,0.30010113640467645,2,41.0,0.34540737199885896,5,91.0
275.0,5,13.0,0.4482758620689655,6.244634420465202,0,0.0,0.7483754714127325,0,5.0,0.18852884006721418,1,25.0,0.2949015247702538,1,17.0,0.38619691297997477,2,47.0
280.0,5,20.0,0.7692307692307693,6.445464834716334,0,11.0,0.3032332792613475,2,12.0,0.315178776670081,2,14.0,0.2014449783161278,0,0.0,0.7989138671469422,4,37.0
285.0,7,37.0,1.5416666666666667,6.01382567786153,2,15.0,0.31236859227247843,2,20.0,0.5013754257870944,1,6.0,0.1039953841980192,0,2.0,0.44287422207326255,5,43.0
290.0,7,23.0,1.0,6.610190222455196,1,9.0,0.37278855375418574,1,15.0,0.36233437379422223,2,15.0,4.4129295908146745e-05,2,2.0,0.5141107443647602,6,41.0
295.0,4,23.0,1.0,5.691517957602741,1,14.0,0.31270514808702926,2,13.0,0.2577221402164708,1,8.0,0.11644058959269987,0,0.0,0.39685138122228963,4,35.0
300.0,3,8.0,0.38095238095238093,6.898729948609481,0,2.0,0.758729353125327,0,4.0,0.4463045308701005,0,2.0,0.5731619025908566,2,7.0,0.25600957457815665,2,15.0
305.0,3,13.0,0.6190476190476191,7.977378962412099,0,4.0,0.7083594031838831,1,9.0,0.4910153668758852,0,2.0,0.7203538945082754,1,3.0,0.18518555007493584,2,18.0
310.0,4,15.0,0.7142857142857143,6.461558864068011,1,15.0,0.3126452881418019,0,0.0,0.18573908053986524,1,4.0,0.5344219163595111,1,7.0,0.401015199995046,3,26.0
315.0,5,22.0,0.9565217391304348,6.5665544677141465,2,20.0,0.4802916308544395,2,10.0,0.3353781210333636,0,4.0,0.29080460063051605,0,3.0,0.48069756344618164,4,37.0
320.0,3,21.0,1.05,6.1650557126272085,2,18.0,0.20585506326742753,0,0.0,0.527948098584797,1,7.0,0.2580906945361918,0,3.0,0.608969335946947,3,28.0
325.0,6,28.0,1.3333333333333333,7.068399774865606,0,6.0,0.6579135949318387,2,7.0,0.3333308579768085,2,15.0,0.0,2,9.0,0.22212177843285189,6,37.0
330.0,3,13.0,0.6190476190476191,5.963409862552609,1,4.0,0.3617256065807509,0,1.0,0.47877750198569335,1,10.0,0.0,0,0.0,0.45155512561330896,2,15.0
335.0,4,6.0,0.2727272727272727,7.062356629940891,1,8.0,0.12350807336780402,1,4.0,0.510707507071396,0,0.0,0.3809678457654229,1,2.0,0.5364460904463091,3,14.0
340.0,4,15.0,0.6818181818181818,6.917845178828159,1,7.0,0.0,1,8.0,0.3977513012971319,0,0.0,0.9314742961943262,1,7.0,0.4474599626518167,3,22.0
345.0,5,30.0,1.3636363636363635,6.118849298084935,1,19.0,0.5085460178738254,1,11.0,0.6219783772491301,1,0.0,0.0,1,17.0,0.29203441674130054,4,47.0
350.0,2,32.0,1.4545454545454546,4.807885161612112,1,17.0,0.4657820482558597,0,0.0,0.30137092033019,0,6.0,0.49720028796979204,1,20.0,0.22640705705505532,2,43.0
355.0,5,49.0,2.130434782608696,5.563767819108868,1,22.0,0.136385189759935,1,2.0,0.38546061468978404,1,7.0,0.5367346202672413,1,22.0,0.3114581724053078,4,53.0
360.0,8,80.0,3.4782608695652173,5.6156246834706725,1,27.0,0.6252592017813446,2,12.0,0.10440152984744941,1,2.0,0.46812565293119657,2,29.0,0.3151548457815154,6,70.0
365.0,5,67.0,2.7916666666666665,5.603887648506512,1,35.0,0.38574898823662107,1,6.0,0.3336868980172067,1,1.0,0.49027080814700763,1,32.0,0.045027868339180065,4,74.0
