step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,1,0.0,0.0,0,0,0,0.0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,3,11.0,3.6666666666666665,0,0,0,3.6666666666666665,0.056018518518518516,0.0
25,4,31.0,7.75,0,0,0,7.75,0.058031400966183574,0.0
30,5,51.0,10.2,1,0.0,0.0,10.2,0.05734126984126984,0.0
35,5,73.0,14.6,0,0,0,14.6,0.06004371732468001,0.0
40,8,107.0,13.375,0,0,0,13.375,0.06840287735398146,0.0
45,2,34.0,17.0,1,1.0,1.0,16.0,0.020833333333333332,0.6999999999999993
50,4,11.0,2.75,0,0,0,2.75,0.0494281045751634,0.0
55,3,26.0,8.666666666666666,1,1.0,1.0,7.666666666666666,0.05967514124293785,0.6499999999999995
60,7,50.0,7.142857142857143,2,6.0,3.0,4.142857142857143,0.06835083114610674,3.599999999999998
65,7,84.0,12.0,2,16.0,8.0,4.0,0.0831447963800905,8.299999999999994
70,11,123.0,11.181818181818182,2,26.0,13.0,1.8181818181818183,0.09305801594331267,13.0
75,15,186.0,12.4,4,38.0,9.5,2.9000000000000004,0.10792902066486972,18.0
80,19,271.0,14.263157894736842,4,50.0,12.5,1.7631578947368425,0.11247672082138743,23.0
85,21,367.0,17.476190476190474,5,70.0,14.0,3.4761904761904745,0.11374684151499183,27.699999999999996
90,16,253.0,15.8125,1,2.0,2.0,13.8125,0.09727338488097843,0.8999999999999986
95,3,3.0,1.0,2,7.0,3.5,2.5,0.0375,2.79999999999999
100,5,19.0,3.8,5,12.0,2.4,1.4,0.05410671462829736,4.199999999999996
105,6,38.0,6.333333333333333,1,17.0,17.0,10.666666666666668,0.038968048359240066,5.099999999999982
110,9,59.0,6.555555555555555,1,22.0,22.0,15.444444444444445,0.05228610910838741,6.5999999999999766
115,9,61.0,6.777777777777778,2,27.0,13.5,6.722222222222222,0.05103412332675006,8.099999999999971
120,13,118.0,9.076923076923077,2,32.0,16.0,6.923076923076923,0.07503448870494912,8.0
125,16,192.0,12.0,1,37.0,37.0,25.0,0.0862146385271666,9.25
130,20,280.0,14.0,3,42.0,14.0,0.0,0.08924343423305285,8.39999999999997
135,17,235.0,13.823529411764707,2,2.0,1.0,12.823529411764707,0.08238602458527271,0.5
140,4,10.0,2.5,1,7.0,7.0,4.5,0.038580246913580245,1.399999999999995
145,7,34.0,4.857142857142857,1,12.0,12.0,7.142857142857143,0.05523700305810397,3.0
150,14,84.0,6.0,1,17.0,17.0,11.0,0.05223880597014925,4.25
155,12,103.0,8.583333333333334,2,22.0,11.0,2.416666666666666,0.08116813563471661,4.399999999999984
160,9,115.0,12.777777777777779,2,27.0,13.5,0.7222222222222214,0.0750942581993277,5.399999999999981
165,12,171.0,14.25,2,32.0,16.0,1.75,0.08656920562739803,4.7999999999999545
170,15,237.0,15.8,4,38.0,9.5,6.300000000000001,0.09304186212928361,4.599999999999923
175,19,323.0,17.0,5,53.0,10.6,6.4,0.10075190438665615,7.800000000000026
180,14,241.0,17.214285714285715,1,2.0,2.0,15.214285714285715,0.09343068746300157,0.19999999999999574
185,7,17.0,2.4285714285714284,4,7.0,1.75,0.6785714285714284,0.06337719298245614,0.350000000000005
190,14,67.0,4.785714285714286,2,15.0,7.5,2.7142857142857144,0.10311006982726939,3.0
195,15,136.0,9.066666666666666,3,26.0,8.666666666666666,0.40000000000000036,0.09571121046530882,8.450000000000006
200,21,227.0,10.80952380952381,3,41.0,13.666666666666666,2.857142857142856,0.10285722270128708,13.0
205,23,294.0,12.782608695652174,6,56.0,9.333333333333334,3.44927536231884,0.09525761743546339,18.0
210,27,413.0,15.296296296296296,5,75.0,15.0,0.29629629629629584,0.10561181779455325,23.0
215,26,415.0,15.961538461538462,6,100.0,16.666666666666668,0.7051282051282062,0.12178056658633993,28.0
220,27,515.0,19.074074074074073,8,130.0,16.25,2.8240740740740726,0.11130065129083157,33.45
225,23,415.0,18.043478260869566,2,9.0,4.5,13.543478260869566,0.09587230015586728,4.099999999999998
230,12,47.0,3.9166666666666665,2,10.0,5.0,1.0833333333333335,0.07135012919896641,0.9999999999999787
235,11,77.0,7.0,3,17.0,5.666666666666667,1.333333333333333,0.08524557165861514,2.6500000000000092
240,11,108.0,9.818181818181818,3,28.0,9.333333333333334,0.4848484848484844,0.06560475161987041,7.0
245,17,177.0,10.411764705882353,3,43.0,14.333333333333334,3.9215686274509807,0.07465257920622212,12.0
250,22,271.0,12.318181818181818,3,58.0,19.333333333333332,7.015151515151514,0.08824158448199627,17.0
255,24,387.0,16.125,4,74.0,18.5,2.375,0.09782685373883054,22.0
260,29,515.0,17.75862068965517,5,94.0,18.8,1.04137931034483,0.10598486301588823,27.0
265,29,660.0,22.75862068965517,5,114.0,22.8,0.04137931034482989,0.11173356316178282,32.0
270,25,534.0,21.36,1,2.0,2.0,19.36,0.09707742336100399,0.19999999999999574
275,6,39.0,6.5,3,7.0,2.3333333333333335,4.166666666666666,0.06843952483801295,0.350000000000005
280,9,50.0,5.555555555555555,3,16.0,5.333333333333333,0.22222222222222232,0.09827044025157233,3.0
285,14,109.0,7.785714285714286,3,31.0,10.333333333333334,2.5476190476190483,0.10165126625598905,8.0
290,13,126.0,9.692307692307692,4,47.0,11.75,2.0576923076923084,0.10316593886462883,12.899999999999999
295,16,201.0,12.5625,5,67.0,13.4,0.8375000000000004,0.1077566892843426,17.799999999999997
300,18,248.0,13.777777777777779,6,87.0,14.5,0.7222222222222214,0.10429214824461447,22.799999999999997
305,23,322.0,14.0,6,107.0,17.833333333333332,3.833333333333332,0.09417872921753284,27.799999999999997
310,25,434.0,17.36,7,128.0,18.285714285714285,0.9257142857142853,0.0969915303112693,32.8
315,20,323.0,16.15,2,5.0,2.5,13.649999999999999,0.06842502229917624,0.0
320,11,59.0,5.363636363636363,2,10.0,5.0,0.3636363636363633,0.04870438773225879,0.0
325,5,36.0,7.2,2,15.0,7.5,0.2999999999999998,0.07219251336898395,0.0
330,8,60.0,7.5,3,22.0,7.333333333333333,0.16666666666666696,0.08844339622641509,1.6999999999999957
335,9,94.0,10.444444444444445,3,32.0,10.666666666666666,0.22222222222222143,0.09750176553672317,6.29999999999999
340,13,147.0,11.307692307692308,6,45.0,7.5,3.8076923076923084,0.10481664726426076,10.64999999999998
345,14,209.0,14.928571428571429,5,61.0,12.2,2.7285714285714295,0.10372971997416315,15.64999999999998
350,17,285.0,16.764705882352942,7,86.0,12.285714285714286,4.4789915966386555,0.10761128775834658,20.64999999999998
355,21,379.0,18.047619047619047,7,109.0,15.571428571428571,2.4761904761904763,0.11547446781143482,26.099999999999987
360,19,250.0,13.157894736842104,1,0.0,0.0,13.157894736842104,0.10700882095112864,0.0
365,9,22.0,2.4444444444444446,1,5.0,5.0,2.5555555555555554,0.10289115646258504,0.25000000000000355
370,10,56.0,5.6,4,10.0,2.5,3.0999999999999996,0.08974358974358974,0.5000000000000071
375,14,93.0,6.642857142857143,5,15.0,3.0,3.6428571428571432,0.10232112436115844,0.7500000000000107
380,15,125.0,8.333333333333334,3,26.0,8.666666666666666,0.33333333333333215,0.10410004263937747,3.0
385,19,204.0,10.736842105263158,5,41.0,8.2,2.5368421052631582,0.1183779355543419,8.0
390,22,308.0,14.0,6,63.0,10.5,3.5,0.1235362753677543,13.0
395,24,427.0,17.791666666666668,8,91.0,11.375,6.416666666666668,0.12233955468238376,18.0
400,28,558.0,19.928571428571427,10,127.0,12.7,7.228571428571428,0.12405335628227195,23.0
