step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
15,1,5.0,5.0,0,0,0,5.0,0.020833333333333332,0.0
20,1,10.0,10.0,1,0.0,0.0,10.0,0.020833333333333332,0.0
25,2,20.0,10.0,0,0,0,10.0,0.03333333333333333,0.0
30,2,30.0,15.0,0,0,0,15.0,0.0375,0.0
35,2,40.0,20.0,0,0,0,20.0,0.0392156862745098,0.0
40,4,53.0,13.25,0,0,0,13.25,0.04470651897122485,0.0
45,0,0.0,0,0,0,0,0,1.0,0.0
50,0,0.0,0,0,0,0,0,1.0,0.0
55,0,0.0,0,0,0,0,0,1.0,0.0
60,3,8.0,2.6666666666666665,0,0,0,2.6666666666666665,0.05555555555555555,0.0
65,4,28.0,7.0,0,0,0,7.0,0.08006535947712418,0.0
70,5,51.0,10.2,0,0,0,10.2,0.09137858347386173,0.0
75,6,78.0,13.0,0,0,0,13.0,0.1028814935064935,0.0
80,7,108.0,15.428571428571429,1,0.0,0.0,15.428571428571429,0.1123959296947271,0.0
85,7,139.0,19.857142857142858,2,0.0,0.0,19.857142857142858,0.11863272423617251,0.0
90,0,0.0,0,1,1.0,1.0,1.0,1.0,0.5499999999999989
95,0,0.0,0,1,6.0,6.0,6.0,1.0,3.2999999999999936
100,0,0.0,0,1,3.0,3.0,3.0,1.0,1.5
105,1,5.0,5.0,2,8.0,4.0,1.0,0.020833333333333332,4.3999999999999915
110,3,16.0,5.333333333333333,1,13.0,13.0,7.666666666666667,0.044444444444444446,6.5
115,4,33.0,8.25,3,18.0,6.0,2.25,0.06319637883008357,9.0
120,6,57.0,9.5,1,23.0,23.0,13.5,0.08408385093167701,10.349999999999984
125,5,82.0,16.4,1,28.0,28.0,11.600000000000001,0.09338888888888888,14.0
130,6,112.0,18.666666666666668,2,33.0,16.5,2.166666666666668,0.10580296896086369,14.849999999999977
135,0,0.0,0,0,0,0,0,1.0,0.0
140,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
145,1,5.0,5.0,0,0,0,5.0,0.020833333333333332,0.0
150,3,16.0,5.333333333333333,2,2.0,1.0,4.333333333333333,0.04519774011299435,1.0
155,4,35.0,8.75,2,9.0,4.5,4.25,0.058939568899153194,4.349999999999998
160,6,58.0,9.666666666666666,2,19.0,9.5,0.16666666666666607,0.06599183929692404,9.199999999999996
165,5,83.0,16.6,3,29.0,9.666666666666666,6.933333333333335,0.07045696285387007,14.199999999999996
170,6,113.0,18.833333333333332,3,42.0,14.0,4.833333333333332,0.0785417281763606,19.049999999999997
175,6,143.0,23.833333333333332,4,50.0,12.5,11.333333333333332,0.08293183440399715,24.349999999999998
180,1,29.0,29.0,0,0,0,29.0,0.020833333333333332,0.0
185,2,10.0,5.0,2,0.0,0.0,5.0,0.041666666666666664,0.0
190,3,22.0,7.333333333333333,2,0.0,0.0,7.333333333333333,0.0494281045751634,0.0
195,3,37.0,12.333333333333334,1,3.0,3.0,9.333333333333334,0.05715597862391449,1.049999999999999
200,4,52.0,13.0,3,8.0,2.6666666666666665,10.333333333333334,0.05967514124293785,2.799999999999997
205,5,71.0,14.2,3,22.0,7.333333333333333,6.866666666666666,0.06779911771035077,7.799999999999997
210,6,99.0,16.5,3,37.0,12.333333333333334,4.166666666666666,0.07935775359502527,12.399999999999991
215,6,129.0,21.5,3,52.0,17.333333333333332,4.166666666666668,0.08470254092352797,17.799999999999997
220,6,159.0,26.5,4,67.0,16.75,9.75,0.08759146848494928,22.799999999999997
225,1,18.0,18.0,1,0.0,0.0,18.0,0.020833333333333332,0.0
230,2,3.0,1.5,1,4.0,4.0,2.5,0.0375,1.3999999999999986
235,1,6.0,6.0,3,9.0,3.0,3.0,0.020833333333333332,3.149999999999997
240,4,15.0,3.75,3,14.0,4.666666666666667,0.916666666666667,0.0357824427480916,4.199999999999985
245,3,30.0,10.0,2,19.0,9.5,0.5,0.05266853932584269,5.69999999999998
250,4,49.0,12.25,3,27.0,9.0,3.25,0.06696229361892013,8.25
255,6,74.0,12.333333333333334,3,39.0,13.0,0.6666666666666661,0.07824645633287608,13.25
260,6,104.0,17.333333333333332,3,54.0,18.0,0.6666666666666679,0.08640081799591003,17.199999999999985
265,6,134.0,22.333333333333332,4,72.0,18.0,4.333333333333332,0.0899671316337983,22.199999999999985
270,2,21.0,10.5,1,8.0,8.0,2.5,0.02759009009009009,1.5999999999999943
275,0,0.0,0,2,13.0,6.5,6.5,1.0,3.25
280,2,3.0,1.5,2,18.0,9.0,7.5,0.020833333333333332,4.5
285,2,9.0,4.5,2,23.0,11.5,7.0,0.025961538461538463,6.8999999999999755
290,4,28.0,7.0,3,28.0,9.333333333333334,2.333333333333334,0.06639566395663957,7.0
295,6,52.0,8.666666666666666,1,33.0,33.0,24.333333333333336,0.07824074074074074,8.25
300,6,82.0,13.666666666666666,1,38.0,38.0,24.333333333333336,0.08097302504816956,7.599999999999973
305,7,117.0,16.714285714285715,1,43.0,43.0,26.285714285714285,0.0873468606431853,8.59999999999997
310,7,152.0,21.714285714285715,6,50.0,8.333333333333334,13.380952380952381,0.08996884735202493,12.75
315,2,44.0,22.0,1,4.0,4.0,18.0,0.0415807560137457,1.1999999999999957
320,2,4.0,2.0,1,9.0,9.0,7.0,0.020833333333333332,2.25
325,1,9.0,9.0,1,14.0,14.0,5.0,0.020833333333333332,3.5
330,1,14.0,14.0,1,19.0,19.0,5.0,0.020833333333333332,3.7999999999999865
335,1,19.0,19.0,1,24.0,24.0,5.0,0.020833333333333332,7.199999999999974
340,1,24.0,24.0,1,29.0,29.0,5.0,0.020833333333333332,8.699999999999969
345,2,32.0,16.0,1,34.0,34.0,18.0,0.025098039215686273,10.199999999999964
350,2,42.0,21.0,2,39.0,19.5,1.5,0.03012295081967213,9.75
355,3,57.0,19.0,3,49.0,16.333333333333332,2.666666666666668,0.03946793002915452,13.25
360,3,7.0,2.3333333333333335,2,8.0,4.0,1.6666666666666665,0.035201149425287355,1.5999999999999943
365,0,0.0,0,3,16.0,5.333333333333333,5.333333333333333,1.0,5.999999999999989
370,0,0.0,0,3,23.0,7.666666666666667,7.666666666666667,1.0,7.499999999999984
375,1,3.0,3.0,4,38.0,9.5,6.5,0.020833333333333332,12.499999999999984
380,1,8.0,8.0,3,53.0,17.666666666666668,9.666666666666668,0.020833333333333332,16.75
385,2,15.0,7.5,4,68.0,17.0,9.5,0.020833333333333332,21.75
390,3,27.0,9.0,6,88.0,14.666666666666666,5.666666666666666,0.024145468998410174,25.99999999999999
395,4,47.0,11.75,7,108.0,15.428571428571429,3.678571428571429,0.03542789325121889,30.99999999999999
400,5,67.0,13.4,7,138.0,19.714285714285715,6.314285714285715,0.0412167621566035,35.999999999999986
405,1,22.0,22.0,1,2.0,2.0,20.0,0.020833333333333332,0.5999999999999979
410,0,0.0,0,3,7.0,2.3333333333333335,2.3333333333333335,1.0,1.75
415,0,0.0,0,2,12.0,6.0,6.0,1.0,3.0
420,1,2.0,2.0,1,17.0,17.0,15.0,0.020833333333333332,3.399999999999988
425,3,12.0,4.0,2,22.0,11.0,7.0,0.045454545454545456,4.399999999999984
430,4,28.0,7.0,2,30.0,15.0,8.0,0.062340966921119595,6.599999999999966
435,4,48.0,12.0,3,40.0,13.333333333333334,1.333333333333334,0.07476635514018691,11.599999999999966
440,6,73.0,12.166666666666666,4,51.0,12.75,0.5833333333333339,0.07725875666898631,16.599999999999966
445,5,98.0,19.6,5,69.0,13.8,5.800000000000001,0.07749160857216628,21.599999999999966
