step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,4.0,4.0,0,0,0,4.0,0.020833333333333332,0.0
20,1,9.0,9.0,0,0,0,9.0,0.020833333333333332,0.0
25,2,19.0,9.5,0,0,0,9.5,0.03403092006033182,0.0
30,3,31.0,10.333333333333334,1,0.0,0.0,10.333333333333334,0.043055555555555555,0.0
35,3,46.0,15.333333333333334,1,4.0,4.0,11.333333333333334,0.05186274509803922,3.3999999999999986
40,4,61.0,15.25,1,9.0,9.0,6.25,0.055971720818291215,7.649999999999997
45,3,76.0,25.333333333333332,1,14.0,14.0,11.333333333333332,0.05813204508856683,11.899999999999995
50,4,93.0,23.25,1,19.0,19.0,4.25,0.06194138879339979,15.199999999999996
55,4,113.0,28.25,1,24.0,24.0,4.25,0.06753511889650504,19.199999999999996
60,4,133.0,33.25,1,29.0,29.0,4.25,0.0712944154252918,21.75
65,5,154.0,30.8,1,34.0,34.0,3.1999999999999993,0.07486111111111111,25.5
70,5,179.0,35.8,2,39.0,19.5,16.299999999999997,0.08076477112321033,27.299999999999972
75,5,204.0,40.8,2,46.0,23.0,17.799999999999997,0.08516699410609037,31.39999999999997
80,7,232.0,33.142857142857146,3,56.0,18.666666666666668,14.476190476190478,0.08782372598162072,36.39999999999997
85,6,262.0,43.666666666666664,3,70.0,23.333333333333332,20.333333333333332,0.0893355405630518,41.39999999999997
90,6,292.0,48.666666666666664,3,85.0,28.333333333333332,20.333333333333332,0.0904078447339848,44.299999999999976
95,7,325.0,46.42857142857143,3,100.0,33.333333333333336,13.095238095238095,0.09113019560745986,49.299999999999976
100,5,244.0,48.8,4,115.0,28.75,20.049999999999997,0.060515873015873016,52.19999999999999
105,4,256.0,64.0,4,130.0,32.5,31.5,0.05674230460200039,57.19999999999999
110,5,280.0,56.0,5,146.0,29.2,26.8,0.058316671427211274,62.19999999999999
115,5,305.0,61.0,5,166.0,33.2,27.799999999999997,0.05999507269706632,67.19999999999999
120,4,165.0,41.25,2,44.0,22.0,19.25,0.041555242142281484,23.699999999999964
125,3,175.0,58.333333333333336,3,55.0,18.333333333333332,40.0,0.04159468239998262,28.699999999999964
130,3,190.0,63.333333333333336,3,70.0,23.333333333333332,40.0,0.043817486211450325,32.0
135,4,208.0,52.0,3,85.0,28.333333333333332,23.666666666666668,0.04691023906179522,38.69999999999996
140,4,228.0,57.0,3,100.0,33.333333333333336,23.666666666666664,0.05017605633802817,42.0
145,4,248.0,62.0,4,116.0,29.0,33.0,0.05282977378301861,47.0
150,6,271.0,45.166666666666664,4,130.0,32.5,12.666666666666664,0.056190856562243686,50.299999999999976
155,6,301.0,50.166666666666664,5,152.0,30.4,19.766666666666666,0.061726048377426776,57.0
160,6,313.0,52.166666666666664,6,138.0,23.0,29.166666666666664,0.059873297349095994,60.299999999999976
165,5,338.0,67.6,5,161.0,32.2,35.39999999999999,0.06257778128341308,67.0
170,5,363.0,72.6,5,186.0,37.2,35.39999999999999,0.06485358737508563,70.29999999999998
175,5,388.0,77.6,6,213.0,35.5,42.099999999999994,0.06676743162884433,75.29999999999998
180,6,414.0,69.0,6,243.0,40.5,28.5,0.06870790840869732,78.59999999999995
185,6,444.0,74.0,6,273.0,45.5,28.5,0.07161290322580645,83.59999999999995
190,7,476.0,68.0,7,303.0,43.285714285714285,24.714285714285715,0.07460146874440265,86.89999999999999
195,7,511.0,73.0,7,333.0,47.57142857142857,25.42857142857143,0.07780461438712415,91.89999999999999
200,8,546.0,68.25,6,363.0,60.5,7.75,0.08053985009207149,95.19999999999996
205,7,581.0,83.0,6,393.0,65.5,17.5,0.08287301091614718,100.19999999999996
210,7,616.0,88.0,6,423.0,70.5,17.5,0.08486305830488582,103.5
215,7,651.0,93.0,6,453.0,75.5,17.5,0.08656151040696478,108.5
220,5,589.0,117.8,7,483.0,69.0,48.8,0.07086846921932964,111.79999999999998
225,5,614.0,122.8,9,520.0,57.77777777777778,65.02222222222221,0.07147222980556314,116.79999999999998
230,8,647.0,80.875,10,559.0,55.9,24.975,0.07367407122682819,123.5
235,9,692.0,76.88888888888889,11,606.0,55.09090909090909,21.797979797979792,0.07697312923070593,128.5
240,7,452.0,64.57142857142857,9,515.0,57.22222222222222,7.349206349206348,0.04660899401372463,136.89999999999998
245,7,483.0,69.0,10,560.0,56.0,13.0,0.04843187910434375,141.89999999999998
250,9,525.0,58.333333333333336,9,605.0,67.22222222222223,8.888888888888893,0.051150332706817146,145.19999999999996
255,9,546.0,60.666666666666664,8,629.0,78.625,17.958333333333336,0.05005682092944533,150.19999999999996
260,7,569.0,81.28571428571429,8,669.0,83.625,2.339285714285708,0.04922474609256219,153.5
265,8,608.0,76.0,8,709.0,88.625,12.625,0.05104074157531735,158.5
270,4,352.0,88.0,5,474.0,94.8,6.799999999999997,0.031064471615159975,128.75
275,5,373.0,74.6,7,502.0,71.71428571428571,2.885714285714286,0.03231313846371092,133.75
280,4,308.0,77.0,4,426.0,106.5,29.5,0.02138148404592926,138.75
285,4,326.0,81.5,5,446.0,89.2,7.700000000000003,0.022435637611549087,143.75
290,2,19.0,9.5,2,193.0,96.5,87.0,0.020833333333333332,49.39999999999989
295,3,33.0,11.0,4,206.0,51.5,40.5,0.020833333333333332,54.39999999999989
300,4,50.0,12.5,4,223.0,55.75,43.25,0.022566435586366264,59.39999999999989
305,4,70.0,17.5,4,243.0,60.75,43.25,0.02540650406504065,64.39999999999989
310,1,12.0,12.0,5,264.0,52.8,40.8,0.020833333333333332,69.39999999999989
315,1,17.0,17.0,6,286.0,47.666666666666664,30.666666666666664,0.020833333333333332,74.39999999999989
320,1,22.0,22.0,5,311.0,62.2,40.2,0.020833333333333332,71.54999999999978
325,1,27.0,27.0,7,338.0,48.285714285714285,21.285714285714285,0.020833333333333332,92.25
330,3,40.0,13.333333333333334,7,368.0,52.57142857142857,39.238095238095234,0.03156565656565657,89.39999999999989
335,4,56.0,14.0,8,403.0,50.375,36.375,0.0406807804068078,94.39999999999989
340,5,77.0,15.4,8,439.0,54.875,39.475,0.04579934495118032,91.54999999999978
345,5,102.0,20.4,8,479.0,59.875,39.475,0.05258369723435226,96.54999999999978
350,5,127.0,25.4,8,519.0,64.875,39.475,0.05698165733989034,93.69999999999966
355,5,152.0,30.4,10,559.0,55.9,25.5,0.060001662095902936,98.69999999999966
360,7,180.0,25.714285714285715,10,602.0,60.2,34.48571428571429,0.06424900057110222,95.85000000000011
365,7,212.0,30.285714285714285,10,652.0,65.2,34.91428571428572,0.06912249618583592,100.85000000000011
370,6,143.0,23.833333333333332,8,313.0,39.125,15.291666666666668,0.0749640741392457,74.0
375,6,173.0,28.833333333333332,13,354.0,27.23076923076923,1.6025641025641022,0.07970354510204951,79.0
380,6,203.0,33.833333333333336,10,401.0,40.1,6.266666666666666,0.08284481649458007,82.64999999999998
385,6,233.0,38.833333333333336,11,451.0,41.0,2.1666666666666643,0.08501998296123682,87.64999999999998
390,6,214.0,35.666666666666664,11,412.0,37.45454545454545,1.787878787878789,0.06792562532630879,66.29999999999998
395,5,237.0,47.4,9,369.0,41.0,6.399999999999999,0.06784875630544443,64.1
400,6,262.0,43.666666666666664,12,416.0,34.666666666666664,9.0,0.0687473960837099,69.55
405,6,289.0,48.166666666666664,14,473.0,33.785714285714285,14.38095238095238,0.07041482875372641,74.55
410,6,319.0,53.166666666666664,15,537.0,35.8,17.366666666666667,0.07307644801397171,79.55
415,3,119.0,39.666666666666664,12,493.0,41.083333333333336,1.4166666666666714,0.049927370677497605,79.35000000000005
