step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
15,0,0.0,0,1,1.0,1.0,1.0,1.0,0.95
20,0,0.0,0,1,6.0,6.0,6.0,1.0,5.699999999999999
25,1,0.0,0.0,2,12.0,6.0,6.0,1.0,10.0
30,1,1.0,1.0,1,16.0,16.0,15.0,0.020833333333333332,14.399999999999999
35,2,7.0,3.5,2,21.0,10.5,7.0,0.02759009009009009,17.849999999999994
40,2,17.0,8.5,2,30.0,15.0,6.5,0.03834925690021231,22.699999999999992
45,2,27.0,13.5,2,40.0,20.0,6.5,0.040285145888594165,26.599999999999994
50,2,37.0,18.5,2,50.0,25.0,6.5,0.040919416547106645,31.599999999999994
55,2,47.0,23.5,2,60.0,30.0,6.5,0.04120038794389735,35.5
60,0,0.0,0,0,0,0,0,1.0,0.0
65,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.6999999999999993
70,2,2.0,1.0,0,0,0,1.0,0.041666666666666664,0.0
75,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
80,1,3.0,3.0,1,1.0,1.0,2.0,0.020833333333333332,0.6499999999999995
85,1,8.0,8.0,1,6.0,6.0,2.0,0.020833333333333332,3.599999999999998
90,1,13.0,13.0,0,0,0,13.0,0.020833333333333332,0.0
95,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
100,0,0.0,0,0,0,0,0,1.0,0.0
105,1,0.0,0.0,0,0,0,0.0,1.0,0.0
110,0,0.0,0,0,0,0,0,1.0,0.0
115,0,0.0,0,0,0,0,0,1.0,0.0
120,2,5.0,2.5,1,0.0,0.0,2.5,0.04006410256410257,0.0
125,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
130,1,5.0,5.0,2,1.0,0.5,4.5,0.020833333333333332,0.5
135,1,10.0,10.0,1,6.0,6.0,4.0,0.020833333333333332,2.6999999999999957
140,1,5.0,5.0,3,11.0,3.6666666666666665,1.3333333333333335,0.020833333333333332,4.949999999999992
145,2,10.0,5.0,1,3.0,3.0,2.0,0.020833333333333332,1.1999999999999957
150,1,15.0,15.0,1,0.0,0.0,15.0,0.020833333333333332,0.0
155,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
160,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
165,1,7.0,7.0,1,0.0,0.0,7.0,0.020833333333333332,0.0
170,2,9.0,4.5,2,2.0,1.0,3.5,0.041158536585365856,0.6999999999999993
175,0,0.0,0,1,7.0,7.0,7.0,1.0,2.0999999999999925
180,1,5.0,5.0,1,12.0,12.0,7.0,0.020833333333333332,4.199999999999996
185,2,4.0,2.0,1,0.0,0.0,2.0,0.020833333333333332,0.0
190,1,1.0,1.0,1,0.0,0.0,1.0,0.020833333333333332,0.0
195,0,0.0,0,3,5.0,1.6666666666666667,1.6666666666666667,1.0,2.4499999999999993
200,1,3.0,3.0,1,8.0,8.0,5.0,0.020833333333333332,3.5999999999999943
205,0,0.0,0,2,0.0,0.0,0.0,1.0,0.0
210,1,4.0,4.0,2,3.0,1.5,2.5,0.020833333333333332,1.1999999999999957
215,1,9.0,9.0,1,8.0,8.0,1.0,0.020833333333333332,2.799999999999997
220,0,0.0,0,3,13.0,4.333333333333333,4.333333333333333,1.0,4.549999999999995
225,2,4.0,2.0,1,18.0,18.0,16.0,0.020833333333333332,6.299999999999994
230,1,1.0,1.0,2,0.0,0.0,1.0,0.020833333333333332,0.0
235,1,6.0,6.0,1,0.0,0.0,6.0,0.020833333333333332,0.0
240,1,11.0,11.0,2,0.0,0.0,11.0,0.020833333333333332,0.0
245,1,16.0,16.0,1,0.0,0.0,16.0,0.020833333333333332,0.0
250,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
255,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
260,1,1.0,1.0,2,8.0,4.0,3.0,0.020833333333333332,3.5
265,2,4.0,2.0,3,8.0,2.6666666666666665,0.6666666666666665,0.020833333333333332,1.5999999999999943
270,0,0.0,0,3,1.0,0.3333333333333333,0.3333333333333333,1.0,0.1999999999999993
275,1,5.0,5.0,3,6.0,2.0,3.0,0.020833333333333332,0.8999999999999915
280,1,4.0,4.0,2,11.0,5.5,1.5,0.020833333333333332,2.75
285,1,9.0,9.0,1,0.0,0.0,9.0,0.020833333333333332,0.0
290,0,0.0,0,2,5.0,2.5,2.5,1.0,1.25
295,1,4.0,4.0,2,10.0,5.0,1.0,0.020833333333333332,1.999999999999993
300,1,9.0,9.0,2,15.0,7.5,1.5,0.020833333333333332,2.9999999999999893
305,5,25.0,5.0,2,20.0,10.0,5.0,0.0498882503192848,2.9999999999999716
310,1,19.0,19.0,3,28.0,9.333333333333334,9.666666666666666,0.020833333333333332,8.5
315,1,5.0,5.0,1,0.0,0.0,5.0,0.020833333333333332,0.0
320,2,13.0,6.5,3,5.0,1.6666666666666667,4.833333333333333,0.03230122324159022,1.4999999999999947
325,1,15.0,15.0,3,10.0,3.3333333333333335,11.666666666666666,0.020833333333333332,2.9999999999999893
330,1,20.0,20.0,3,21.0,7.0,13.0,0.020833333333333332,7.849999999999996
335,1,2.0,2.0,4,37.0,9.25,7.25,0.020833333333333332,12.849999999999996
340,2,12.0,6.0,2,15.0,7.5,1.5,0.04054054054054054,6.849999999999991
345,2,3.0,1.5,3,25.0,8.333333333333334,6.833333333333334,0.020833333333333332,11.199999999999982
