step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,8.251865411712789,0,0.0,1.0,0,0.0,0.6348437515502294,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,6.307430879702825,0,0.0,1.0,0,0.0,0.7771440566042177,0,0.0,1.0,0,0.0,0.15878025861329326,0,0.0
15.0,0,0.0,0.0,10.387903507957038,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7177166278215275,0,0.0
20.0,0,0.0,0.0,8.60823755234523,0,0.0,1.0,0,0.0,0.5532441094060729,0,0.0,1.0,0,0.0,0.9612930944740223,0,0.0
25.0,1,0.0,0.0,7.591322801742811,0,0.0,1.0,0,0.0,0.927072400760162,1,0.0,0.0,0,0.0,1.0,1,0.0
30.0,0,0.0,0.0,6.607696893899845,0,0.0,1.0,0,0.0,0.043197375609537236,0,0.0,0.7724726653265723,0,0.0,1.0,0,0.0
35.0,1,4.0,1.0,4.676894771611764,0,0.0,0.32103835910533973,1,4.0,1.676932533570589e-05,0,0.0,0.2541079271555714,0,0.0,1.0,1,4.0
40.0,0,0.0,0.0,8.591340334889615,0,0.0,0.9290299235970749,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4439162925946251,0,0.0
45.0,0,0.0,0.0,9.879028255183805,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5134717222996583,0,0.0,0.9173502689753061,0,0.0
50.0,0,0.0,0.0,11.020513788169131,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.1453865073725129,0,0.0
55.0,0,0.0,0.0,12.90037553474656,0,0.0,0.9365747113218457,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8178480297585452,0,0.0
60.0,0,0.0,0.0,9.250570129058772,0,0.0,1.0,0,0.0,0.5030298712363597,0,0.0,0.9937827180047084,0,0.0,1.0,0,0.0
65.0,1,0.0,0.0,9.897402266792671,1,0.0,0.0,0,0.0,0.9439735107907155,0,0.0,0.9602785096778877,0,0.0,1.0,1,0.0
70.0,1,1.0,0.25,8.71416957621463,0,0.0,0.6930221748281418,1,1.0,0.00680741306849569,0,0.0,1.0,0,0.0,1.0,1,1.0
75.0,1,6.0,1.5,6.879611519929961,0,0.0,0.724392002021229,1,6.0,0.0,0,0.0,1.0,0,0.0,0.32407855444198114,1,6.0
80.0,0,0.0,0.0,10.43221114111908,0,0.0,1.0,0,0.0,0.9583071595044227,0,0.0,1.0,0,0.0,0.9283578453571956,0,0.0
85.0,0,0.0,0.0,8.407274913039867,0,2.0,0.7577440332947457,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4299820942433935,0,2.0
90.0,0,0.0,0.0,8.717463442625306,0,2.0,0.5374448919971457,0,0.0,1.0,0,0.0,0.8856069770502346,0,0.0,0.5562220106834398,0,2.0
95.0,1,4.0,0.8,6.3643234439772645,1,6.0,3.059557083127512e-05,0,0.0,1.0,0,0.0,0.9306788447111515,0,0.0,0.35086146749809394,1,6.0
100.0,1,9.0,1.5,7.2573123049552954,1,11.0,0.48852564706411244,0,0.0,0.6939398344751613,0,0.0,0.036081567851571156,0,0.0,1.0,1,11.0
105.0,2,14.0,2.0,7.546226150827214,2,16.0,0.0,0,0.0,0.6963990427088365,0,0.0,1.0,0,0.0,1.0,2,16.0
110.0,3,24.0,4.0,5.943214891292197,1,21.0,0.34635106937119603,2,5.0,0.0007159527432637571,0,0.0,1.0,0,0.0,1.0,3,26.0
115.0,1,1.0,0.2,4.872150048003472,0,0.0,0.5531826207703899,0,0.0,0.3104373851620711,0,0.0,1.0,0,0.0,1.0,0,0.0
120.0,1,3.0,0.6,10.109018336295966,1,3.0,0.00010100882718637084,0,0.0,0.9955935493464091,0,2.0,0.990115275600647,0,0.0,1.0,1,5.0
125.0,0,0.0,0.0,7.674855712803165,0,0.0,0.5410459885728034,0,0.0,0.04312387995068048,0,0.0,1.0,0,0.0,1.0,0,0.0
130.0,0,0.0,0.0,8.048458047198162,0,0.0,0.6640806444955252,0,0.0,0.11252927647908595,0,0.0,1.0,0,0.0,1.0,0,0.0
135.0,1,1.0,0.3333333333333333,7.930933164356214,1,1.0,0.0002062953106426839,0,0.0,0.8998370700164493,0,0.0,1.0,0,2.0,0.9789956474107676,1,3.0
140.0,0,0.0,0.0,6.068068808426765,0,0.0,0.3471275910850179,0,0.0,0.5900140178592091,0,0.0,1.0,0,0.0,1.0,0,0.0
145.0,1,0.0,0.0,8.976391673759812,0,0.0,0.9327561005999286,0,2.0,0.9433499573446245,1,0.0,0.0,0,0.0,1.0,1,2.0
150.0,0,0.0,0.0,8.393237225689644,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7483755360212844,0,0.0,1.0,0,0.0
155.0,0,0.0,0.0,9.58074047450465,0,0.0,1.0,0,0.0,0.28482691563702195,0,0.0,0.8171760557512634,0,0.0,1.0,0,0.0
160.0,0,0.0,0.0,12.241091495886769,0,0.0,1.0,0,0.0,0.9692845369908795,0,0.0,1.0,0,0.0,1.0,0,0.0
165.0,0,0.0,0.0,7.58194354140593,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5051797228386229,0,0.0
170.0,0,0.0,0.0,9.023542221297168,0,0.0,0.9958163597821758,0,0.0,0.131744703325225,0,0.0,1.0,0,0.0,0.7943157749625279,0,0.0
175.0,0,0.0,0.0,6.790824576870558,0,0.0,0.046927998347062724,0,0.0,0.6702344615856655,0,0.0,1.0,0,0.0,1.0,0,0.0
180.0,1,5.0,1.25,5.95358077913645,1,5.0,1.598750879570578e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,0.509467227835713,1,5.0
185.0,2,10.0,2.5,5.3453832234004865,1,10.0,0.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.4464839685801492,2,10.0
190.0,2,16.0,5.333333333333333,3.5015116902584396,1,15.0,0.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.40440200686667854,2,16.0
195.0,1,6.0,1.5,5.659243754819297,0,0.0,1.0,0,0.0,1.0,0,0.0,0.33173135811372206,1,6.0,9.636728712370703e-06,1,6.0
200.0,0,0.0,0.0,10.464318708493053,0,0.0,1.0,0,0.0,0.9099840278712509,0,0.0,0.9169102564744186,0,0.0,1.0,0,0.0
205.0,0,0.0,0.0,6.84224845173172,0,0.0,0.6397506965431171,0,0.0,1.0,0,2.0,0.9120365318956144,0,0.0,1.0,0,2.0
210.0,0,0.0,0.0,6.919737804308008,0,0.0,0.6082794366989268,0,0.0,1.0,0,2.0,0.09733798758954854,0,0.0,1.0,0,2.0
215.0,0,0.0,0.0,10.00655369960576,0,0.0,1.0,0,0.0,1.0,0,0.0,0.78416995166612,0,0.0,1.0,0,0.0
220.0,0,0.0,0.0,6.2317534139824415,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3160387886993636,0,0.0,1.0,0,0.0
225.0,1,0.0,0.0,6.850493644765708,1,0.0,0.0,0,0.0,1.0,0,0.0,0.837643241606295,0,1.0,0.45172373186051984,1,1.0
230.0,1,1.0,0.25,9.52161534695651,0,0.0,0.7580976962630226,0,0.0,1.0,1,1.0,0.002699976598168952,0,1.0,0.9919214417847398,1,2.0
235.0,1,6.0,1.5,7.746890322044472,0,0.0,1.0,0,0.0,1.0,1,6.0,0.1445693508498715,0,0.0,1.0,1,6.0
240.0,1,11.0,3.6666666666666665,8.862013458313372,0,0.0,1.0,0,0.0,1.0,1,11.0,0.6241723664600128,0,0.0,1.0,1,11.0
245.0,1,16.0,5.333333333333333,6.715910389887211,0,0.0,0.9804848079454042,0,0.0,0.3661218327168004,1,16.0,0.0,0,0.0,1.0,1,16.0
250.0,0,0.0,0.0,8.15786206511497,0,0.0,0.5958604795036286,0,0.0,0.9678821716481465,0,0.0,1.0,0,0.0,0.11817990438878466,0,0.0
255.0,0,0.0,0.0,12.200106156445182,0,0.0,1.0,0,0.0,0.4150754168431271,0,0.0,1.0,0,0.0,0.9022074074689084,0,0.0
260.0,0,0.0,0.0,8.238530463553086,0,0.0,0.4067196739164484,0,0.0,0.9804848079454042,0,0.0,1.0,0,0.0,0.011259231147560509,0,0.0
265.0,2,5.0,1.0,7.376281958330949,0,0.0,0.7317396979200304,0,0.0,1.0,1,0.0,0.49686801329932606,1,5.0,0.0,2,5.0
270.0,1,2.0,0.4,6.817370341855126,1,2.0,0.0007834664998998298,0,0.0,1.0,0,2.0,0.5681524362032275,0,0.0,1.0,1,4.0
275.0,1,7.0,1.4,9.17803737165531,1,7.0,0.0,0,0.0,1.0,0,2.0,0.6267161492743305,0,0.0,1.0,1,9.0
280.0,1,12.0,3.0,10.738046400335547,1,12.0,0.0,0,0.0,1.0,0,0.0,0.9482914390508912,0,0.0,0.9961362388409856,1,12.0
285.0,1,17.0,4.25,6.48670834446822,1,17.0,0.0,0,0.0,0.5509128080318103,0,0.0,1.0,0,0.0,1.0,1,17.0
290.0,0,0.0,0.0,8.747354172359591,0,0.0,0.541708637079916,0,2.0,0.561541685029422,0,0.0,1.0,0,0.0,1.0,0,2.0
295.0,1,1.0,0.25,6.976160309347035,0,0.0,0.531838211857439,1,3.0,0.49207061271446906,0,0.0,1.0,0,0.0,1.0,1,3.0
