step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,3.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,1,0.0,0.0,0,0,0,0.0,1.0,0.0
30,0,0.0,0,0,0,0,0,1.0,0.0
35,0,0.0,0,0,0,0,0,1.0,0.0
40,0,0.0,0,0,0,0,0,1.0,0.0
45,1,1.0,1.0,1,1.0,1.0,0.0,0.020833333333333332,0.8499999999999996
50,1,3.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
55,1,8.0,8.0,1,0.0,0.0,8.0,0.020833333333333332,0.0
60,1,13.0,13.0,0,0,0,13.0,0.020833333333333332,0.0
65,1,0.0,0.0,0,0,0,0.0,1.0,0.0
70,2,3.0,1.5,0,0,0,1.5,0.0375,0.0
75,0,0.0,0,0,0,0,0,1.0,0.0
80,0,0.0,0,0,0,0,0,1.0,0.0
85,2,2.0,1.0,0,0,0,1.0,0.041666666666666664,0.0
90,0,0.0,0,0,0,0,0,1.0,0.0
95,0,0.0,0,1,2.0,2.0,2.0,1.0,1.1999999999999993
100,1,1.0,1.0,4,7.0,1.75,0.75,0.020833333333333332,4.1999999999999975
105,1,0.0,0.0,4,20.0,5.0,5.0,1.0,8.849999999999993
110,1,1.0,1.0,5,40.0,8.0,7.0,0.020833333333333332,13.849999999999993
115,1,6.0,6.0,4,60.0,15.0,9.0,0.020833333333333332,18.5
120,0,0.0,0,1,27.0,27.0,27.0,1.0,13.5
125,0,0.0,0,4,32.0,8.0,8.0,1.0,14.399999999999977
130,0,0.0,0,2,5.0,2.5,2.5,1.0,2.2499999999999964
135,1,5.0,5.0,2,10.0,5.0,0.0,0.020833333333333332,3.999999999999986
140,0,0.0,0,1,15.0,15.0,15.0,1.0,5.999999999999979
145,2,5.0,2.5,2,20.0,10.0,7.5,0.020833333333333332,6.999999999999993
150,1,1.0,1.0,1,25.0,25.0,24.0,0.020833333333333332,8.749999999999991
155,1,6.0,6.0,1,0.0,0.0,6.0,0.020833333333333332,0.0
160,3,17.0,5.666666666666667,1,0.0,0.0,5.666666666666667,0.04270094562647754,0.0
165,0,0.0,0,0,0,0,0,1.0,0.0
170,1,4.0,4.0,1,0.0,0.0,4.0,0.020833333333333332,0.0
175,2,12.0,6.0,0,0,0,6.0,0.03333333333333333,0.0
180,2,18.0,9.0,0,0,0,9.0,0.020833333333333332,0.0
185,2,9.0,4.5,1,0.0,0.0,4.5,0.020833333333333332,0.0
190,1,1.0,1.0,2,0.0,0.0,1.0,0.020833333333333332,0.0
195,0,0.0,0,2,0.0,0.0,0.0,1.0,0.0
200,2,4.0,2.0,3,0.0,0.0,2.0,0.03333333333333333,0.0
205,0,0.0,0,0,0,0,0,1.0,0.0
210,0,0.0,0,2,0.0,0.0,0.0,1.0,0.0
215,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
220,0,0.0,0,0,0,0,0,1.0,0.0
225,1,0.0,0.0,0,0,0,0.0,1.0,0.0
230,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
235,2,10.0,5.0,1,0.0,0.0,5.0,0.04006410256410257,0.0
240,0,0.0,0,0,0,0,0,1.0,0.0
245,1,1.0,1.0,1,0.0,0.0,1.0,0.020833333333333332,0.0
250,1,6.0,6.0,0,0,0,6.0,0.020833333333333332,0.0
255,0,0.0,0,0,0,0,0,1.0,0.0
260,0,0.0,0,0,0,0,0,1.0,0.0
265,2,4.0,2.0,1,0.0,0.0,2.0,0.020833333333333332,0.0
270,2,7.0,3.5,1,4.0,4.0,0.5,0.035201149425287355,2.0
275,1,7.0,7.0,3,11.0,3.6666666666666665,3.3333333333333335,0.020833333333333332,5.149999999999995
280,2,17.0,8.5,2,17.0,8.5,0.0,0.020833333333333332,7.949999999999992
285,0,0.0,0,3,8.0,2.6666666666666665,2.6666666666666665,1.0,3.1999999999999886
290,0,0.0,0,1,13.0,13.0,13.0,1.0,5.1999999999999815
295,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
300,2,8.0,4.0,1,0.0,0.0,4.0,0.02666666666666667,0.0
305,2,6.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
310,1,2.0,2.0,1,0.0,0.0,2.0,0.020833333333333332,0.0
315,1,7.0,7.0,2,5.0,2.5,4.5,0.020833333333333332,1.999999999999993
320,1,12.0,12.0,1,10.0,10.0,2.0,0.020833333333333332,3.999999999999986
325,2,18.0,9.0,2,16.0,8.0,1.0,0.02327586206896552,5.899999999999995
330,0,0.0,0,1,20.0,20.0,20.0,1.0,6.999999999999993
335,0,0.0,0,2,25.0,12.5,12.5,1.0,7.499999999999973
340,2,2.0,1.0,1,30.0,30.0,29.0,0.041666666666666664,8.999999999999968
345,3,12.0,4.0,1,35.0,35.0,31.0,0.041666666666666664,10.499999999999963
350,1,11.0,11.0,1,40.0,40.0,29.0,0.020833333333333332,11.999999999999957
355,1,5.0,5.0,1,0.0,0.0,5.0,0.020833333333333332,0.0
360,1,4.0,4.0,1,0.0,0.0,4.0,0.020833333333333332,0.0
365,0,0.0,0,3,0.0,0.0,0.0,1.0,0.0
370,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
375,2,4.0,2.0,3,4.0,1.3333333333333333,0.6666666666666667,0.03333333333333333,0.7999999999999972
380,0,0.0,0,3,10.0,3.3333333333333335,3.3333333333333335,1.0,3.0
385,1,0.0,0.0,0,0,0,0.0,1.0,0.0
390,0,0.0,0,3,0.0,0.0,0.0,1.0,0.0
395,0,0.0,0,0,0,0,0,1.0,0.0
400,0,0.0,0,2,0.0,0.0,0.0,1.0,0.0
405,0,0.0,0,0,0,0,0,1.0,0.0
410,0,0.0,0,2,0.0,0.0,0.0,1.0,0.0
415,2,3.0,1.5,2,0.0,0.0,1.5,0.0375,0.0
420,1,6.0,6.0,1,0.0,0.0,6.0,0.020833333333333332,0.0
425,1,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0
430,1,1.0,1.0,2,0.0,0.0,1.0,0.020833333333333332,0.0
435,1,6.0,6.0,2,0.0,0.0,6.0,0.020833333333333332,0.0
440,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
445,0,0.0,0,2,4.0,2.0,2.0,1.0,0.5999999999999943
450,0,0.0,0,4,11.0,2.75,2.75,1.0,3.04999999999999
455,1,2.0,2.0,1,0.0,0.0,2.0,0.020833333333333332,0.0
460,0,0.0,0,5,1.0,0.2,0.2,1.0,0.14999999999999858
465,2,3.0,1.5,2,4.0,2.0,0.5,0.020833333333333332,0.3999999999999915
470,2,9.0,4.5,3,9.0,3.0,1.5,0.025961538461538463,1.3499999999999872
475,1,5.0,5.0,2,17.0,8.5,3.5,0.020833333333333332,4.0999999999999766
480,2,12.0,6.0,2,27.0,13.5,7.5,0.028846153846153848,9.099999999999977
485,1,7.0,7.0,3,37.0,12.333333333333334,5.333333333333334,0.020833333333333332,14.099999999999977
490,1,5.0,5.0,1,3.0,3.0,2.0,0.020833333333333332,0.2999999999999936
495,2,14.0,7.0,4,8.0,2.0,5.0,0.035201149425287355,0.4000000000000057
500,1,15.0,15.0,1,0.0,0.0,15.0,0.020833333333333332,0.0
505,3,25.0,8.333333333333334,2,0.0,0.0,8.333333333333334,0.030637254901960783,0.0
510,2,12.0,6.0,0,0,0,6.0,0.028846153846153848,0.0
515,1,7.0,7.0,2,2.0,1.0,6.0,0.020833333333333332,0.5
520,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
525,2,8.0,4.0,2,0.0,0.0,4.0,0.02666666666666667,0.0
530,0,0.0,0,2,0.0,0.0,0.0,1.0,0.0
535,0,0.0,0,0,0,0,0,1.0,0.0
540,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
545,4,10.0,2.5,3,3.0,1.0,1.5,0.04006410256410257,1.049999999999999
550,1,9.0,9.0,2,13.0,6.5,2.5,0.020833333333333332,6.199999999999996
555,0,0.0,0,2,15.0,7.5,7.5,1.0,5.849999999999996
560,2,5.0,2.5,3,21.0,7.0,4.5,0.030637254901960783,8.999999999999979
565,0,0.0,0,2,24.0,12.0,12.0,1.0,8.699999999999992
570,1,5.0,5.0,3,28.0,9.333333333333334,4.333333333333334,0.020833333333333332,9.79999999999999
575,1,10.0,10.0,2,33.0,16.5,6.5,0.020833333333333332,11.549999999999988
580,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
585,2,3.0,1.5,3,2.0,0.6666666666666666,0.8333333333333334,0.020833333333333332,1.0
590,1,8.0,8.0,3,12.0,4.0,4.0,0.020833333333333332,6.0
595,1,13.0,13.0,3,24.0,8.0,5.0,0.020833333333333332,11.0
600,0,0.0,0,2,16.0,8.0,8.0,1.0,4.0
605,1,1.0,1.0,4,6.0,1.5,0.5,0.020833333333333332,2.3999999999999986
610,1,6.0,6.0,0,0,0,6.0,0.020833333333333332,0.0
615,1,11.0,11.0,1,0.0,0.0,11.0,0.020833333333333332,0.0
620,0,0.0,0,1,2.0,2.0,2.0,1.0,0.5
625,1,0.0,0.0,2,7.0,3.5,3.5,1.0,1.75
630,1,1.0,1.0,1,0.0,0.0,1.0,0.020833333333333332,0.0
635,0,0.0,0,2,1.0,0.5,0.5,1.0,0.1999999999999993
640,0,0.0,0,2,4.0,2.0,2.0,1.0,0.7999999999999972
645,2,7.0,3.5,2,9.0,4.5,1.0,0.035201149425287355,1.7999999999999936
650,0,0.0,0,0,0,0,0,1.0,0.0
