step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,7.797108679916708,0,0.0,1.0,0,0.0,0.4669718968477057,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,6.155217149347415,0,0.0,1.0,0,0.0,0.3900016284755998,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,1,1.0,0.5,5.250929792647406,0,0.0,1.0,1,1.0,0.4226493266563269,0,0.0,1.0,0,0.0,1.0,1,1.0
20.0,0,0.0,0.0,5.272824927257422,0,0.0,0.3502055526376168,0,0.0,0.424305408307961,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,9.830839387010393,0,0.0,0.9136000654247445,0,0.0,1.0,0,0.0,1.0,1,2.0,0.5921181058112711,1,2.0
30.0,0,0.0,0.0,12.192584400359163,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9184439435551857,0,0.0,0.7324893037973383,0,0.0
35.0,0,0.0,0.0,7.752887609054678,0,0.0,1.0,0,0.0,0.27457531076829345,0,0.0,0.5800214231290931,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,12.199791554358448,0,0.0,1.0,0,0.0,0.9325322913585314,0,0.0,0.954347024580713,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,7.257236322623262,0,0.0,1.0,0,0.0,0.5653976036294402,0,0.0,1.0,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,8.93016538654668,0,0.0,0.6423245907131288,0,0.0,0.40601977539743866,0,0.0,1.0,0,0.0,1.0,0,0.0
55.0,0,0.0,0.0,8.113523060472069,0,0.0,0.9417238939293978,0,0.0,0.48232147454053387,0,0.0,1.0,0,0.0,1.0,0,0.0
60.0,2,6.0,1.5,4.178349740273844,1,1.0,0.17503434048274036,1,5.0,2.2531193936265137e-05,0,0.0,1.0,0,0.0,1.0,2,6.0
65.0,3,16.0,3.2,4.8585568441948555,2,6.0,0.30291111288001754,1,10.0,0.0,0,0.0,1.0,0,0.0,0.974694490206798,3,16.0
70.0,1,11.0,2.2,5.319708409220162,1,11.0,0.46116320951884443,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0
75.0,1,16.0,2.6666666666666665,8.293767248296335,1,16.0,0.25234805798239707,0,0.0,0.5952725188444818,0,0.0,1.0,0,2.0,0.9795604379342773,1,18.0
80.0,1,21.0,7.0,7.281138417080306,1,21.0,0.0,0,0.0,0.7335492307773497,0,0.0,1.0,0,0.0,1.0,1,21.0
85.0,1,26.0,6.5,4.7555684020925035,1,26.0,0.0,0,0.0,0.9030475255837467,0,0.0,1.0,0,0.0,0.20547568864427154,1,26.0
90.0,1,31.0,6.2,6.453980240822149,1,31.0,0.08707421872767628,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7698482050493459,1,31.0
95.0,1,36.0,7.2,6.978803687175633,1,36.0,0.42529939351988727,0,0.0,1.0,0,0.0,0.41818678018193833,0,0.0,0.313488974771007,1,36.0
100.0,0,0.0,0.0,10.611490558407809,0,0.0,0.45388064848635257,0,0.0,0.9841514569458275,0,0.0,0.9282351593609736,0,0.0,1.0,0,0.0
105.0,0,0.0,0.0,11.70920807871692,0,0.0,0.6944803512903457,0,0.0,0.9583227455597209,0,0.0,1.0,0,0.0,1.0,0,0.0
110.0,0,0.0,0.0,7.788875320919655,0,0.0,0.89658120728839,0,0.0,1.0,0,0.0,0.6322391425583628,0,0.0,0.5413882227592112,0,0.0
115.0,0,0.0,0.0,8.303563261154304,0,0.0,0.23586855184303762,0,0.0,1.0,0,0.0,0.9073187288502881,0,0.0,0.707281209915964,0,0.0
120.0,0,0.0,0.0,10.660657165939979,0,0.0,0.8886518156674903,0,0.0,1.0,0,0.0,0.5769137451476977,0,0.0,1.0,0,0.0
125.0,0,0.0,0.0,9.53625071893254,0,0.0,0.1314705906914218,0,0.0,0.5996375888743476,0,0.0,0.8032450065502819,0,0.0,1.0,0,0.0
130.0,2,7.0,1.75,3.796992472093295,1,5.0,0.0,0,0.0,0.9995160245274315,1,2.0,1.2631544158732888e-05,0,0.0,0.12944839805431171,2,7.0
135.0,0,0.0,0.0,8.206748874511499,0,0.0,0.9639204093997017,0,0.0,1.0,0,2.0,0.39392767570219245,0,0.0,0.6858249499434071,0,2.0
140.0,0,0.0,0.0,8.841801254877577,0,0.0,1.0,0,0.0,0.5700746012419928,0,2.0,0.9799327768044042,0,0.0,0.3731654900376666,0,2.0
145.0,3,5.0,1.0,4.666127387674293,0,0.0,1.0,0,0.0,0.9952837138754895,1,3.0,0.4353892458781566,2,4.0,3.9306895924835955e-06,3,7.0
150.0,1,2.0,0.4,5.805112069089693,0,0.0,1.0,1,2.0,3.562085050769361e-05,0,0.0,0.42788915024874974,0,0.0,0.6791227195546822,1,2.0
155.0,1,7.0,1.1666666666666667,9.826067058742616,0,0.0,1.0,1,7.0,0.42145833598705923,0,2.0,0.9474368828199958,0,0.0,1.0,1,9.0
160.0,1,1.0,0.25,7.262042079743565,0,2.0,0.38193816778772505,0,0.0,0.8044327984711848,1,3.0,0.003517945860941201,0,0.0,1.0,1,5.0
165.0,0,0.0,0.0,8.158959885410054,0,2.0,0.9510438687597457,0,0.0,1.0,0,0.0,0.7076990887552028,0,0.0,0.9466141385871997,0,2.0
170.0,0,0.0,0.0,8.323883103233793,0,2.0,0.059902997757438445,0,0.0,1.0,0,0.0,0.5319658495669205,0,1.0,0.6400851035213978,0,3.0
175.0,1,5.0,1.25,7.553545958784446,1,7.0,0.0,0,0.0,1.0,0,0.0,0.8397825589609446,0,0.0,1.0,1,7.0
180.0,0,0.0,0.0,8.198386794272176,0,0.0,1.0,0,0.0,1.0,0,0.0,0.407620775004268,0,0.0,1.0,0,0.0
185.0,1,0.0,0.0,8.702156241762525,0,0.0,0.9341900471657748,1,0.0,0.0,0,0.0,0.9479559780997675,0,0.0,1.0,1,0.0
190.0,0,0.0,0.0,5.527958419714946,0,0.0,0.061626059359858584,0,0.0,0.7657014645990832,0,0.0,1.0,0,0.0,0.4284705110277193,0,0.0
195.0,0,0.0,0.0,8.595402424244542,0,0.0,0.2555302256021748,0,1.0,0.4818584188240852,0,0.0,1.0,0,0.0,0.9119085544627138,0,1.0
200.0,1,1.0,0.25,10.221042509164608,0,0.0,0.9384815815239085,0,1.0,0.9995551450490259,0,0.0,1.0,1,1.0,0.48114100669712895,1,2.0
205.0,1,6.0,1.2,5.855325599251289,0,0.0,1.0,0,1.0,0.008313863826919577,0,0.0,0.968585002108387,1,6.0,0.27786700188131225,1,7.0
210.0,2,16.0,2.6666666666666665,4.280597860259317,0,0.0,1.0,1,6.0,0.0,0,0.0,0.37128413174906544,1,11.0,0.3779837487539772,2,17.0
215.0,3,31.0,6.2,2.2060670208309956,0,0.0,1.0,1,11.0,0.0,1,5.0,0.3463933972053619,1,16.0,0.003899052011978945,3,32.0
220.0,1,10.0,1.6666666666666667,3.9268273345971383,0,0.0,1.0,0,0.0,0.3512371692703646,1,10.0,0.0947487692036905,0,0.0,1.0,1,10.0
225.0,2,1.0,0.14285714285714285,6.846497161264269,0,0.0,1.0,0,0.0,0.7806284416870183,1,0.0,0.0,0,0.0,1.0,1,0.0
230.0,0,0.0,0.0,8.164136163702889,0,2.0,0.9765978988590561,0,0.0,0.009185008709624083,0,0.0,0.6907932445615032,0,0.0,1.0,0,2.0
235.0,1,5.0,1.25,6.8972269810924205,0,0.0,0.3007796945132108,1,5.0,1.306085970485192e-05,0,0.0,0.7817283025362518,0,0.0,1.0,1,5.0
240.0,1,3.0,1.0,6.914014873514906,0,2.0,0.6675035239748442,0,0.0,1.0,1,3.0,4.9659275863425494e-05,0,0.0,1.0,1,5.0
245.0,0,0.0,0.0,8.515062285558049,0,2.0,0.9243290986147995,0,0.0,1.0,0,0.0,0.6855308349120153,0,0.0,1.0,0,2.0
250.0,1,1.0,0.2,7.796981837783399,1,5.0,0.49985796607297195,0,0.0,0.53184237349136,0,0.0,0.8226000983632993,0,0.0,1.0,1,5.0
255.0,1,6.0,1.5,5.803952010361955,1,8.0,0.0,0,0.0,0.7325014512140257,0,0.0,1.0,0,0.0,1.0,1,8.0
260.0,1,11.0,2.2,7.153421439204564,1,13.0,0.25570708651573587,0,0.0,0.24224190409179353,0,0.0,1.0,0,0.0,0.8641856381367183,1,13.0
265.0,3,19.0,3.8,2.539834324880513,2,18.0,0.30574115863098933,1,3.0,1.796193624913646e-05,0,0.0,1.0,0,0.0,0.05033387717538812,3,21.0
270.0,2,24.0,4.8,4.483683478368633,1,25.0,0.3859924048360739,0,0.0,0.39839552772681397,0,0.0,1.0,1,3.0,0.0002281936897370207,2,28.0
275.0,0,0.0,0.0,9.328481936790604,0,2.0,0.9706468727090717,0,0.0,0.9494522760228885,0,0.0,1.0,0,0.0,0.26338030418533387,0,2.0
280.0,1,1.0,0.16666666666666666,9.877490817523181,0,0.0,1.0,1,1.0,0.3653224170901102,0,0.0,1.0,0,0.0,0.9336898915484632,1,1.0
285.0,1,2.0,0.4,5.927797517599613,0,0.0,1.0,0,0.0,0.17050122017804217,0,0.0,0.927198610285594,1,2.0,0.3297803065499312,1,2.0
290.0,1,7.0,1.4,7.601114793626583,0,0.0,1.0,0,0.0,0.16814782760068192,0,0.0,1.0,1,7.0,0.44059572603730046,1,7.0
295.0,1,1.0,0.25,8.8555995090564,0,0.0,1.0,0,0.0,0.7927150915899198,0,0.0,1.0,0,0.0,1.0,0,0.0
300.0,0,0.0,0.0,10.441726981930435,0,0.0,0.9235677008985105,0,0.0,0.9573722750720753,0,0.0,1.0,0,0.0,0.5460150990614663,0,0.0
305.0,1,0.0,0.0,7.251796561826393,0,0.0,0.6684968059543982,1,0.0,0.007890451127502815,0,0.0,1.0,0,0.0,0.9707609264500593,1,0.0
310.0,1,1.0,0.25,3.7759857448352743,1,1.0,0.005764646494604091,0,0.0,0.607448678242219,0,0.0,1.0,0,0.0,1.0,1,1.0
315.0,0,0.0,0.0,8.881163367872732,0,2.0,0.678215698914552,0,0.0,0.943017797704181,0,0.0,1.0,0,0.0,1.0,0,2.0
320.0,0,0.0,0.0,12.596498783409823,0,0.0,0.995370074608117,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9604402770079027,0,0.0
325.0,1,1.0,0.25,6.701951959285235,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6521516316656955,0,0.0
330.0,0,0.0,0.0,8.699123582777263,0,0.0,1.0,0,0.0,0.1523222432909371,0,1.0,0.734245336256887,0,0.0,0.8986279550242701,0,1.0
335.0,1,2.0,1.0,5.670131991136655,0,0.0,1.0,0,0.0,0.8022234923394377,0,0.0,1.0,1,2.0,0.000555505609338588,1,2.0
340.0,1,7.0,2.3333333333333335,4.669620749452183,0,0.0,0.47909501017768874,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0,1,7.0
345.0,2,12.0,3.0,6.808345452725105,0,0.0,0.9326940088318635,1,0.0,0.0,0,0.0,1.0,1,12.0,0.0,2,12.0
