step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,1,0.0,0.0,0,0,0,0.0,1.0,0.0
30,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
35,1,6.0,6.0,1,2.0,2.0,4.0,0.020833333333333332,1.6999999999999993
40,0,0.0,0,1,7.0,7.0,7.0,1.0,5.9499999999999975
45,0,0.0,0,1,12.0,12.0,12.0,1.0,9.599999999999998
50,2,7.0,3.5,1,17.0,17.0,13.5,0.035201149425287355,13.599999999999998
55,0,0.0,0,2,22.0,11.0,11.0,1.0,16.5
60,0,0.0,0,2,32.0,16.0,16.0,1.0,21.5
65,1,0.0,0.0,2,42.0,21.0,21.0,1.0,25.399999999999984
70,0,0.0,0,2,52.0,26.0,26.0,1.0,30.399999999999984
75,0,0.0,0,3,62.0,20.666666666666668,20.666666666666668,1.0,34.29999999999999
80,0,0.0,0,3,76.0,25.333333333333332,25.333333333333332,1.0,39.29999999999999
85,0,0.0,0,4,91.0,22.75,22.75,1.0,43.19999999999999
90,2,7.0,3.5,3,106.0,35.333333333333336,31.833333333333336,0.035201149425287355,48.19999999999999
95,1,10.0,10.0,2,59.0,29.5,19.5,0.020833333333333332,30.549999999999976
100,0,0.0,0,4,69.0,17.25,17.25,1.0,35.549999999999976
105,1,0.0,0.0,2,79.0,39.5,39.5,1.0,39.5
110,0,0.0,0,2,89.0,44.5,44.5,1.0,44.5
115,0,0.0,0,2,99.0,49.5,49.5,1.0,48.44999999999999
120,0,0.0,0,2,109.0,54.5,54.5,1.0,54.5
125,1,4.0,4.0,2,119.0,59.5,55.5,0.020833333333333332,59.5
130,0,0.0,0,3,129.0,43.0,43.0,1.0,64.5
135,0,0.0,0,2,139.0,69.5,69.5,1.0,69.5
140,0,0.0,0,3,149.0,49.666666666666664,49.666666666666664,1.0,74.5
145,1,0.0,0.0,4,162.0,40.5,40.5,1.0,79.5
150,0,0.0,0,4,182.0,45.5,45.5,1.0,84.5
155,0,0.0,0,4,202.0,50.5,50.5,1.0,88.44999999999999
160,0,0.0,0,5,222.0,44.4,44.4,1.0,93.44999999999999
165,0,0.0,0,4,242.0,60.5,60.5,1.0,97.39999999999998
170,0,0.0,0,6,263.0,43.833333333333336,43.833333333333336,1.0,102.39999999999998
175,0,0.0,0,7,291.0,41.57142857142857,41.57142857142857,1.0,107.39999999999998
180,0,0.0,0,7,326.0,46.57142857142857,46.57142857142857,1.0,113.44999999999999
185,1,0.0,0.0,7,349.0,49.857142857142854,49.857142857142854,1.0,117.39999999999998
190,1,1.0,1.0,8,384.0,48.0,47.0,0.020833333333333332,122.39999999999998
195,0,0.0,0,6,405.0,67.5,67.5,1.0,126.35
200,1,2.0,2.0,8,435.0,54.375,52.375,0.020833333333333332,132.39999999999998
205,0,0.0,0,5,315.0,63.0,63.0,1.0,85.44999999999997
210,1,5.0,5.0,7,340.0,48.57142857142857,43.57142857142857,0.020833333333333332,90.44999999999997
215,0,0.0,0,6,367.0,61.166666666666664,61.166666666666664,1.0,92.09999999999994
220,0,0.0,0,6,397.0,66.16666666666667,66.16666666666667,1.0,97.09999999999994
225,2,4.0,2.0,6,427.0,71.16666666666667,69.16666666666667,0.020833333333333332,98.75
230,2,14.0,7.0,7,458.0,65.42857142857143,58.42857142857143,0.03852201257861635,107.09999999999994
235,0,0.0,0,7,493.0,70.42857142857143,70.42857142857143,1.0,108.75
240,0,0.0,0,8,528.0,66.0,66.0,1.0,113.75
245,0,0.0,0,9,566.0,62.888888888888886,62.888888888888886,1.0,118.75
250,0,0.0,0,10,611.0,61.1,61.1,1.0,130.45
255,0,0.0,0,12,662.0,55.166666666666664,55.166666666666664,1.0,132.09999999999994
260,1,1.0,1.0,12,719.0,59.916666666666664,58.916666666666664,0.020833333333333332,137.09999999999994
265,1,0.0,0.0,12,779.0,64.91666666666667,64.91666666666667,1.0,138.75
270,2,5.0,2.5,11,712.0,64.72727272727273,62.227272727272734,0.030637254901960783,143.0
275,1,9.0,9.0,12,767.0,63.916666666666664,54.916666666666664,0.020833333333333332,144.59999999999997
280,0,0.0,0,8,609.0,76.125,76.125,1.0,126.39999999999993
285,0,0.0,0,7,574.0,82.0,82.0,1.0,126.54999999999987
290,0,0.0,0,11,610.0,55.45454545454545,55.45454545454545,1.0,131.54999999999987
295,0,0.0,0,7,296.0,42.285714285714285,42.285714285714285,1.0,69.59999999999965
300,0,0.0,0,12,331.0,27.583333333333332,27.583333333333332,1.0,74.59999999999965
305,3,3.0,1.0,10,374.0,37.4,36.4,0.0375,71.30000000000013
310,2,5.0,2.5,4,110.0,27.5,25.0,0.030637254901960783,20.500000000000036
315,0,0.0,0,3,0.0,0.0,0.0,1.0,0.0
320,1,4.0,4.0,4,0.0,0.0,4.0,0.020833333333333332,0.0
325,1,9.0,9.0,0,0,0,9.0,0.020833333333333332,0.0
330,1,14.0,14.0,1,0.0,0.0,14.0,0.020833333333333332,0.0
335,0,0.0,0,0,0,0,0,1.0,0.0
340,0,0.0,0,0,0,0,0,1.0,0.0
345,2,4.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
350,0,0.0,0,0,0,0,0,1.0,0.0
355,1,5.0,5.0,1,0.0,0.0,5.0,0.020833333333333332,0.0
360,0,0.0,0,3,4.0,1.3333333333333333,1.3333333333333333,1.0,0.7999999999999972
365,1,4.0,4.0,5,11.0,2.2,1.7999999999999998,0.020833333333333332,3.399999999999995
370,0,0.0,0,6,36.0,6.0,6.0,1.0,8.75
375,1,2.0,2.0,6,66.0,11.0,9.0,0.020833333333333332,13.399999999999995
380,1,5.0,5.0,6,96.0,16.0,11.0,0.020833333333333332,18.399999999999995
385,1,0.0,0.0,7,106.0,15.142857142857142,15.142857142857142,1.0,23.04999999999999
390,0,0.0,0,9,136.0,15.11111111111111,15.11111111111111,1.0,28.04999999999999
395,0,0.0,0,8,170.0,21.25,21.25,1.0,32.69999999999999
400,0,0.0,0,7,159.0,22.714285714285715,22.714285714285715,1.0,35.199999999999996
405,0,0.0,0,8,189.0,23.625,23.625,1.0,40.1
410,1,5.0,5.0,6,219.0,36.5,31.5,0.020833333333333332,45.1
415,1,1.0,1.0,7,250.0,35.714285714285715,34.714285714285715,0.020833333333333332,50.0
420,0,0.0,0,4,117.0,29.25,29.25,1.0,35.95000000000002
425,1,0.0,0.0,6,137.0,22.833333333333332,22.833333333333332,1.0,41.89999999999996
430,0,0.0,0,5,157.0,31.4,31.4,1.0,47.84999999999997
435,0,0.0,0,6,180.0,30.0,30.0,1.0,51.89999999999996
440,0,0.0,0,6,210.0,35.0,35.0,1.0,57.84999999999997
445,0,0.0,0,7,241.0,34.42857142857143,34.42857142857143,1.0,61.89999999999996
450,1,4.0,4.0,8,276.0,34.5,30.5,0.020833333333333332,67.84999999999997
455,0,0.0,0,5,201.0,40.2,40.2,1.0,62.79999999999998
460,1,3.0,3.0,7,226.0,32.285714285714285,29.285714285714285,0.020833333333333332,67.79999999999998
465,2,8.0,4.0,6,251.0,41.833333333333336,37.833333333333336,0.020833333333333332,73.19999999999999
470,1,13.0,13.0,5,276.0,55.2,42.2,0.020833333333333332,78.19999999999999
475,0,0.0,0,4,89.0,22.25,22.25,1.0,34.749999999999964
480,1,4.0,4.0,8,107.0,13.375,9.375,0.020833333333333332,39.749999999999964
485,2,11.0,5.5,5,132.0,26.4,20.9,0.029656862745098038,43.49999999999994
490,0,0.0,0,6,157.0,26.166666666666668,26.166666666666668,1.0,48.49999999999994
495,1,1.0,1.0,3,149.0,49.666666666666664,48.666666666666664,0.020833333333333332,52.250000000000014
500,1,5.0,5.0,5,164.0,32.8,27.799999999999997,0.020833333333333332,57.250000000000014
505,1,0.0,0.0,3,179.0,59.666666666666664,59.666666666666664,1.0,63.49999999999994
510,0,0.0,0,4,196.0,49.0,49.0,1.0,68.49999999999994
515,1,5.0,5.0,4,216.0,54.0,49.0,0.020833333333333332,72.25000000000001
520,0,0.0,0,4,236.0,59.0,59.0,1.0,77.25000000000001
525,0,0.0,0,4,256.0,64.0,64.0,1.0,83.49999999999994
530,1,1.0,1.0,5,276.0,55.2,54.2,0.020833333333333332,88.49999999999994
535,1,2.0,2.0,3,118.0,39.333333333333336,37.333333333333336,0.020833333333333332,30.200000000000045
540,0,0.0,0,5,128.0,25.6,25.6,1.0,38.399999999999864
545,2,2.0,1.0,4,140.0,35.0,34.0,0.020833333333333332,40.200000000000045
550,0,0.0,0,2,6.0,3.0,3.0,1.0,2.1999999999999957
555,0,0.0,0,7,14.0,2.0,2.0,1.0,4.2500000000000036
560,1,4.0,4.0,4,31.0,7.75,3.75,0.020833333333333332,9.250000000000004
565,1,4.0,4.0,5,51.0,10.2,6.199999999999999,0.020833333333333332,14.0
570,0,0.0,0,5,72.0,14.4,14.4,1.0,19.250000000000004
575,2,2.0,1.0,7,99.0,14.142857142857142,13.142857142857142,0.041666666666666664,24.0
580,0,0.0,0,6,122.0,20.333333333333332,20.333333333333332,1.0,29.0
585,1,0.0,0.0,8,150.0,18.75,18.75,1.0,34.499999999999986
590,1,2.0,2.0,8,185.0,23.125,21.125,0.020833333333333332,39.74999999999999
595,0,0.0,0,7,136.0,19.428571428571427,19.428571428571427,1.0,41.449999999999996
600,1,3.0,3.0,7,168.0,24.0,21.0,0.020833333333333332,46.449999999999996
605,0,0.0,0,9,205.0,22.77777777777778,22.77777777777778,1.0,51.3
