step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,6.197989805764518,0,0.0,1.0,0,0.0,0.42545725443322785,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,7.0999695032439885,0,0.0,1.0,0,0.0,0.8809924418535917,0,0.0,1.0,0,0.0,0.0845985979052039,0,0.0
15.0,1,2.0,1.0,4.983389513426731,0,0.0,1.0,1,2.0,0.0022157181590298516,0,0.0,1.0,0,0.0,0.6153547626889688,1,2.0
20.0,0,0.0,0.0,4.812018512482097,0,0.0,1.0,0,0.0,0.33332439049716167,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,9.355674939116883,0,0.0,1.0,0,0.0,0.8330194229561909,1,0.0,0.0,0,2.0,0.8705423947512284,1,2.0
30.0,1,1.0,0.25,7.504839553161059,0,0.0,1.0,1,1.0,0.005223702479486813,0,0.0,0.55287211427014,0,0.0,1.0,1,1.0
35.0,1,6.0,1.2,7.07052811136248,0,0.0,0.2186009573935425,1,6.0,0.0,0,0.0,0.5143987857244857,0,0.0,1.0,1,6.0
40.0,0,0.0,0.0,8.230023836567801,0,0.0,0.96202812718501,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5320572239043586,0,0.0
45.0,0,0.0,0.0,7.625235316484789,0,0.0,0.06180336483302025,0,0.0,1.0,0,0.0,0.4193792936556102,0,0.0,0.7259899893831717,0,0.0
50.0,2,7.0,1.75,3.901966407988902,1,5.0,0.0,0,0.0,1.0,0,0.0,0.9617762053636512,1,2.0,0.05701477532322788,2,7.0
55.0,0,0.0,0.0,9.18060884782842,0,0.0,0.9454670272579159,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9381395282689697,0,0.0
60.0,0,0.0,0.0,9.682380808687373,0,0.0,1.0,0,0.0,0.3469100176425145,0,0.0,1.0,0,0.0,1.0,0,0.0
65.0,1,0.0,0.0,9.336787874689536,1,0.0,0.0,0,0.0,0.879347195989715,0,0.0,0.9457619591160715,0,0.0,1.0,1,0.0
70.0,0,0.0,0.0,8.818290396572362,0,0.0,0.7359861425760008,0,0.0,1.0,0,0.0,0.025287977362817394,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,8.547663934172245,0,2.0,0.7138204375415466,0,0.0,1.0,0,0.0,1.0,0,0.0,0.19895978346551657,0,2.0
80.0,0,0.0,0.0,11.180006301853622,0,2.0,0.9299356426927682,0,0.0,0.996219064381026,0,0.0,0.45011051972195565,0,0.0,0.8755904372728065,0,2.0
85.0,0,0.0,0.0,7.11004254568644,0,0.0,0.5230567388082605,0,0.0,1.0,0,0.0,0.936239264366876,0,0.0,0.01526337532885366,0,0.0
90.0,2,7.0,1.1666666666666667,6.525203246644671,0,0.0,0.9008468186240257,0,0.0,1.0,1,2.0,0.0003820633382966318,1,5.0,0.38341094158297434,2,7.0
95.0,1,10.0,2.0,5.539263883647445,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9466054462141769,1,10.0,0.27340332489527525,1,10.0
100.0,0,0.0,0.0,6.612723548739685,0,0.0,1.0,0,0.0,0.40794032693281035,0,0.0,0.6142054467412286,0,0.0,0.2496833235275106,0,0.0
105.0,1,0.0,0.0,10.30763833903365,1,0.0,0.0,0,2.0,0.8978760523718238,0,0.0,1.0,0,0.0,1.0,1,2.0
110.0,0,0.0,0.0,6.875395254524494,0,0.0,0.7509545821411902,0,0.0,0.42759165190565995,0,0.0,1.0,0,0.0,1.0,0,0.0
115.0,0,0.0,0.0,6.945683113943642,0,0.0,0.7562739394539901,0,0.0,0.32738748208291574,0,0.0,1.0,0,0.0,1.0,0,0.0
120.0,0,0.0,0.0,8.969172416080458,0,0.0,0.2765874506302056,0,0.0,0.9277598151558907,0,0.0,1.0,0,0.0,1.0,0,0.0
125.0,1,4.0,1.0,5.005612145273771,1,4.0,0.28699216710329967,0,0.0,0.05074257241960575,0,0.0,1.0,0,0.0,1.0,1,4.0
130.0,0,0.0,0.0,6.33038765425485,0,0.0,0.9664413820434261,0,0.0,0.07892529763303847,0,0.0,1.0,0,0.0,1.0,0,0.0
135.0,0,0.0,0.0,11.74335134027008,0,0.0,1.0,0,0.0,0.7744743137695556,0,0.0,1.0,0,1.0,0.9415810841564772,0,1.0
140.0,0,0.0,0.0,5.440548092140937,0,0.0,0.3972917697403073,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
145.0,1,0.0,0.0,9.104472069049764,0,0.0,0.9031547224195763,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,1,0.0
150.0,0,0.0,0.0,7.908890198813388,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7220369832663994,0,0.0,1.0,0,0.0
155.0,0,0.0,0.0,7.345019515520647,0,0.0,1.0,0,0.0,0.30508050751065346,0,0.0,1.0,0,0.0,1.0,0,0.0
160.0,0,0.0,0.0,11.100368310125779,0,0.0,1.0,0,0.0,0.9010696479100941,0,0.0,1.0,0,0.0,1.0,0,0.0
165.0,0,0.0,0.0,8.856151416668153,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5093601514878556,0,0.0
170.0,0,0.0,0.0,7.797150277088399,0,0.0,0.9098609492928224,0,0.0,0.08740707670292353,0,0.0,1.0,0,0.0,0.5186183817752552,0,0.0
175.0,0,0.0,0.0,11.41849941056349,0,0.0,1.0,0,0.0,0.607453140128047,0,0.0,1.0,0,0.0,1.0,0,0.0
180.0,0,0.0,0.0,8.399330755315509,0,0.0,1.0,0,0.0,0.3642460167952329,0,0.0,1.0,0,0.0,0.44525140064757185,0,0.0
185.0,1,0.0,0.0,7.662544521506156,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0,0.4529650896768602,1,0.0
190.0,1,1.0,0.5,5.111375616704143,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.4156287970884878,1,1.0
195.0,0,0.0,0.0,5.29530669318378,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3075735351884505,0,0.0,0.45926793464627125,0,0.0
200.0,1,2.0,0.6666666666666666,8.389359576086303,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9088849454238908,1,2.0,0.00043447000180658603,1,4.0
205.0,0,0.0,0.0,4.3736991852190705,0,0.0,0.5338320793208342,0,0.0,1.0,0,2.0,0.04981317455396437,0,0.0,1.0,0,2.0
210.0,1,5.0,1.0,7.438123832418467,0,0.0,0.854018729707436,0,2.0,0.9332451715643925,1,7.0,0.05063636281327277,0,0.0,1.0,1,9.0
215.0,0,0.0,0.0,7.356544640178841,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7148671409291181,0,0.0,1.0,0,0.0
220.0,0,0.0,0.0,9.0351882250361,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5357797171320288,0,0.0,1.0,0,0.0
225.0,2,4.0,1.0,3.5183713443269964,1,0.0,0.0,0,0.0,1.0,1,4.0,0.3334738285393844,0,0.0,1.0,2,4.0
230.0,2,14.0,3.5,3.3764538388782395,0,0.0,0.551849955744805,0,0.0,1.0,2,14.0,1.1766984713350806e-05,0,0.0,1.0,2,14.0
