step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,4.0,4.0,0,0,0,4.0,0.020833333333333332,0.0
20,3,13.0,4.333333333333333,0,0,0,4.333333333333333,0.03629725085910653,0.0
25,3,28.0,9.333333333333334,0,0,0,9.333333333333334,0.05408388520971302,0.0
30,3,43.0,14.333333333333334,0,0,0,14.333333333333334,0.05863140537798072,0.0
35,3,58.0,19.333333333333332,0,0,0,19.333333333333332,0.0603126792885829,0.0
40,5,77.0,15.4,1,0.0,0.0,15.4,0.06738725222767776,0.0
45,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
50,1,1.0,1.0,0,0,0,1.0,0.020833333333333332,0.0
55,1,6.0,6.0,0,0,0,6.0,0.020833333333333332,0.0
60,3,15.0,5.0,0,0,0,5.0,0.020833333333333332,0.0
65,4,30.0,7.5,0,0,0,7.5,0.029205607476635514,0.0
70,4,50.0,12.5,0,0,0,12.5,0.03881023348236463,0.0
75,6,78.0,13.0,0,0,0,13.0,0.05268079800498753,0.0
80,8,113.0,14.125,0,0,0,14.125,0.06408596322171364,0.0
85,8,153.0,19.125,1,0.0,0.0,19.125,0.07421815553188252,0.0
90,4,68.0,17.0,1,4.0,4.0,13.0,0.0564673700664322,3.1999999999999993
95,0,0.0,0,1,9.0,9.0,9.0,1.0,7.649999999999997
100,2,5.0,2.5,2,14.0,7.0,4.5,0.020833333333333332,11.899999999999995
105,3,17.0,5.666666666666667,1,19.0,19.0,13.333333333333332,0.04816666666666667,15.199999999999996
110,3,32.0,10.666666666666666,2,26.0,13.0,2.333333333333334,0.05765765765765766,19.599999999999994
115,3,47.0,15.666666666666666,2,36.0,18.0,2.333333333333334,0.060157952069716775,24.599999999999994
120,5,64.0,12.8,2,46.0,23.0,10.2,0.06034889203206035,28.5
125,6,89.0,14.833333333333334,2,56.0,28.0,13.166666666666666,0.06388727577751968,33.5
130,7,122.0,17.428571428571427,2,66.0,33.0,15.571428571428573,0.06677074361182889,38.5
135,3,37.0,12.333333333333334,0,0,0,12.333333333333334,0.03708820979627221,0.0
140,0,0.0,0,2,2.0,1.0,1.0,1.0,1.3999999999999986
145,1,5.0,5.0,1,7.0,7.0,2.0,0.020833333333333332,5.25
150,3,14.0,4.666666666666667,1,12.0,12.0,7.333333333333333,0.03780864197530864,8.399999999999991
155,4,33.0,8.25,1,17.0,17.0,8.75,0.057436708860759494,11.899999999999988
160,7,57.0,8.142857142857142,1,22.0,22.0,13.857142857142858,0.06642541707556428,15.399999999999984
165,9,94.0,10.444444444444445,1,27.0,27.0,16.555555555555557,0.08307009626955475,17.549999999999986
170,10,140.0,14.0,1,32.0,32.0,18.0,0.09820426487093153,20.799999999999983
175,10,190.0,19.0,1,37.0,37.0,18.0,0.10670875898600075,24.04999999999998
180,6,78.0,13.0,0,0,0,13.0,0.07635542168674699,0.0
185,2,9.0,4.5,0,0,0,4.5,0.0375,0.0
190,1,11.0,11.0,1,2.0,2.0,9.0,0.020833333333333332,1.5
195,2,19.0,9.5,1,7.0,7.0,2.5,0.02838050314465409,4.899999999999995
200,5,36.0,7.2,1,12.0,12.0,4.8,0.05056179775280899,8.399999999999991
205,8,66.0,8.25,2,17.0,8.5,0.25,0.07891304347826086,11.899999999999988
210,8,106.0,13.25,1,22.0,22.0,8.75,0.08968710089399745,14.299999999999988
215,9,149.0,16.555555555555557,2,27.0,13.5,3.055555555555557,0.09252267120090685,17.549999999999986
220,11,199.0,18.09090909090909,1,32.0,32.0,13.90909090909091,0.09312798660495918,20.799999999999983
225,7,96.0,13.714285714285714,0,0,0,13.714285714285714,0.055846422338568937,0.0
230,0,0.0,0,2,3.0,1.5,1.5,1.0,1.799999999999999
235,1,2.0,2.0,1,8.0,8.0,6.0,0.020833333333333332,4.799999999999997
240,2,3.0,1.5,1,13.0,13.0,11.5,0.020833333333333332,7.149999999999986
245,1,8.0,8.0,2,18.0,9.0,1.0,0.020833333333333332,9.89999999999998
250,3,18.0,6.0,1,23.0,23.0,17.0,0.028846153846153848,12.649999999999975
255,5,40.0,8.0,1,28.0,28.0,20.0,0.030637254901960783,16.79999999999999
260,8,70.0,8.75,1,33.0,33.0,24.25,0.031920992286845945,19.79999999999999
265,12,118.0,9.833333333333334,3,38.0,12.666666666666666,2.833333333333332,0.0396072273803022,24.69999999999998
270,9,106.0,11.777777777777779,0,0,0,11.777777777777779,0.03314688945530067,0.0
275,2,11.0,5.5,0,0,0,5.5,0.034531963470319636,0.0
280,2,8.0,4.0,1,1.0,1.0,3.0,0.020833333333333332,0.6499999999999995
285,1,13.0,13.0,1,4.0,4.0,9.0,0.020833333333333332,2.3999999999999986
290,4,31.0,7.75,2,9.0,4.5,3.25,0.03813492063492063,5.849999999999995
295,6,58.0,9.666666666666666,1,14.0,14.0,4.333333333333334,0.056793625067531064,9.099999999999993
300,8,89.0,11.125,2,19.0,9.5,1.625,0.07067273376159885,11.399999999999993
305,7,124.0,17.714285714285715,1,24.0,24.0,6.285714285714285,0.08277347114556417,14.399999999999991
310,9,161.0,17.88888888888889,1,29.0,29.0,11.11111111111111,0.0908055882517796,18.849999999999984
315,5,47.0,9.4,0,0,0,9.4,0.04839204346302138,0.0
320,1,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0
325,1,1.0,1.0,2,2.0,1.0,0.0,0.020833333333333332,1.3999999999999986
330,2,8.0,4.0,2,7.0,3.5,0.5,0.03333333333333333,4.549999999999996
335,4,25.0,6.25,1,12.0,12.0,5.75,0.06543132328308207,8.399999999999991
340,6,50.0,8.333333333333334,1,17.0,17.0,8.666666666666666,0.08087474120082816,12.75
345,6,76.0,12.666666666666666,1,22.0,22.0,9.333333333333334,0.08356481481481481,15.399999999999984
350,7,107.0,15.285714285714286,2,28.0,14.0,1.2857142857142865,0.09100375174869643,19.19999999999998
355,8,144.0,18.0,2,38.0,19.0,1.0,0.09953917050691244,24.19999999999998
360,4,36.0,9.0,0,0,0,9.0,0.0391304347826087,0.0
365,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
370,1,5.0,5.0,0,0,0,5.0,0.020833333333333332,0.0
375,1,10.0,10.0,0,0,0,10.0,0.020833333333333332,0.0
380,5,25.0,5.0,0,0,0,5.0,0.04876716604244694,0.0
385,6,52.0,8.666666666666666,1,0.0,0.0,8.666666666666666,0.08720330237358101,0.0
390,9,89.0,9.88888888888889,0,0,0,9.88888888888889,0.10612272240085745,0.0
395,10,138.0,13.8,1,1.0,1.0,12.8,0.11580560420315236,0.6999999999999993
400,11,188.0,17.09090909090909,1,6.0,6.0,11.09090909090909,0.11884011190015063,4.199999999999996
405,6,64.0,10.666666666666666,0,0,0,10.666666666666666,0.05326674989596338,0.0
410,1,3.0,3.0,1,0.0,0.0,3.0,0.020833333333333332,0.0
415,2,12.0,6.0,1,0.0,0.0,6.0,0.020833333333333332,0.0
420,4,23.0,5.75,0,0,0,5.75,0.0227233676975945,0.0
425,5,44.0,8.8,0,0,0,8.8,0.036533816425120776,0.0
430,6,73.0,12.166666666666666,0,0,0,12.166666666666666,0.050810450038138825,0.0
435,8,108.0,13.5,0,0,0,13.5,0.060387673956262426,0.0
440,10,152.0,15.2,1,1.0,1.0,14.2,0.07047340165934603,0.5999999999999996
445,11,204.0,18.545454545454547,2,5.0,2.5,16.045454545454547,0.07886119701655449,2.9499999999999984
450,7,121.0,17.285714285714285,0,0,0,17.285714285714285,0.06959179405277968,0.0
455,1,3.0,3.0,0,0,0,3.0,0.020833333333333332,0.0
