step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,2.0,2.0,0,0,0,2.0,0.020833333333333332,0.0
20,2,7.0,3.5,0,0,0,3.5,0.020833333333333332,0.0
25,1,12.0,12.0,0,0,0,12.0,0.020833333333333332,0.0
30,3,22.0,7.333333333333333,0,0,0,7.333333333333333,0.033388520971302425,0.0
35,4,40.0,10.0,0,0,0,10.0,0.05500550055005501,0.0
40,5,60.0,12.0,0,0,0,12.0,0.06781193490054249,0.0
45,4,80.0,20.0,0,0,0,20.0,0.073827980804725,0.0
50,5,103.0,20.6,1,2.0,2.0,18.6,0.0814073050951504,1.6999999999999993
55,6,132.0,22.0,1,7.0,7.0,15.0,0.08849341784495368,5.9499999999999975
60,9,171.0,19.0,1,12.0,12.0,7.0,0.09981771260036047,9.599999999999998
65,12,227.0,18.916666666666668,1,17.0,17.0,1.9166666666666679,0.11186004306901462,13.599999999999998
70,10,178.0,17.8,1,22.0,22.0,4.199999999999999,0.0824074074074074,17.599999999999994
75,7,127.0,18.142857142857142,2,29.0,14.5,3.6428571428571423,0.07325503233776615,20.75
80,9,164.0,18.22222222222222,4,41.0,10.25,7.972222222222221,0.08431136523221988,25.75
85,6,111.0,18.5,3,54.0,18.0,0.5,0.06262198097096854,30.75
90,6,141.0,23.5,3,69.0,23.0,0.5,0.0670314775853698,34.499999999999986
95,3,63.0,21.0,2,37.0,18.5,2.5,0.04043398533007335,19.899999999999995
100,6,83.0,13.833333333333334,3,47.0,15.666666666666666,1.8333333333333321,0.0450897999790554,24.899999999999995
105,3,47.0,15.666666666666666,2,57.0,28.5,12.833333333333334,0.03381398481508695,29.549999999999997
110,4,67.0,16.75,3,70.0,23.333333333333332,6.583333333333332,0.04843129639219748,34.55
115,4,87.0,21.75,4,85.0,21.25,0.5,0.05838115512773047,39.55
120,5,107.0,21.4,4,103.0,25.75,4.350000000000001,0.06497434849723055,44.199999999999996
125,6,132.0,22.0,4,123.0,30.75,8.75,0.07472210786331823,49.55
130,7,165.0,23.571428571428573,4,143.0,35.75,12.178571428571427,0.08950410288780179,54.55
135,8,201.0,25.125,5,163.0,32.6,7.475000000000001,0.10225823107763334,59.199999999999996
140,6,128.0,21.333333333333332,3,123.0,41.0,19.666666666666668,0.04948294191553107,55.09999999999998
145,5,153.0,30.6,3,138.0,46.0,15.399999999999999,0.055716611447503714,60.09999999999998
150,6,181.0,30.166666666666668,3,153.0,51.0,20.833333333333332,0.060256098996498045,63.39999999999999
155,8,219.0,27.375,3,168.0,56.0,28.625,0.06481076084841408,68.39999999999999
160,3,22.0,7.333333333333333,2,87.0,43.5,36.166666666666664,0.022812971342383106,52.19999999999997
165,2,32.0,16.0,1,92.0,92.0,76.0,0.0299625468164794,50.5999999999999
170,3,45.0,15.0,2,97.0,48.5,33.5,0.03866865261228231,58.19999999999997
175,5,66.0,13.2,1,102.0,102.0,88.8,0.0529463243873979,66.29999999999995
180,10,100.0,10.0,1,107.0,107.0,97.0,0.07052584066802076,64.19999999999996
185,11,151.0,13.727272727272727,2,112.0,56.0,42.27272727272727,0.09824629438124785,67.19999999999996
190,10,174.0,17.4,1,117.0,117.0,99.6,0.09033944428530508,70.19999999999996
195,6,94.0,15.666666666666666,2,122.0,61.0,45.333333333333336,0.08498768851954447,67.09999999999987
200,5,90.0,18.0,1,127.0,127.0,109.0,0.059713375796178345,82.54999999999993
205,5,114.0,22.8,1,132.0,132.0,109.2,0.06367591721542804,85.79999999999993
210,9,151.0,16.77777777777778,2,137.0,68.5,51.72222222222222,0.06996919035694997,82.19999999999996
215,5,76.0,15.2,3,148.0,49.333333333333336,34.13333333333334,0.04192799070847851,86.79999999999995
220,5,101.0,20.2,3,163.0,54.333333333333336,34.13333333333334,0.04925164156044805,91.79999999999995
225,7,130.0,18.571428571428573,3,178.0,59.333333333333336,40.76190476190476,0.056532327124812674,89.89999999999985
230,6,69.0,11.5,1,1.0,1.0,10.5,0.06807652711050102,0.5999999999999996
235,5,74.0,14.8,2,6.0,3.0,11.8,0.05143522693116922,3.599999999999998
240,6,99.0,16.5,2,12.0,6.0,10.5,0.053550354051927616,6.499999999999989
245,2,23.0,11.5,2,6.0,3.0,8.5,0.024765917602996255,3.2999999999999936
250,5,39.0,7.8,2,11.0,5.5,2.3,0.04142156862745098,6.049999999999988
255,6,65.0,10.833333333333334,1,16.0,16.0,5.166666666666666,0.061942880600516066,8.0
260,8,99.0,12.375,2,23.0,11.5,0.875,0.07384719710669077,12.44999999999998
265,4,47.0,11.75,2,33.0,16.5,4.75,0.06546348980559506,17.44999999999998
270,4,67.0,16.75,2,43.0,21.5,4.75,0.07346491228070176,21.5
275,6,95.0,15.833333333333334,2,53.0,26.5,10.666666666666666,0.08660563488407799,26.5
280,7,75.0,10.714285714285714,2,63.0,31.5,20.785714285714285,0.06351626016260163,31.5
285,9,112.0,12.444444444444445,2,73.0,36.5,24.055555555555557,0.07479488647204732,35.54999999999998
290,10,162.0,16.2,4,86.0,21.5,5.300000000000001,0.08393460239484188,40.54999999999998
295,12,199.0,16.583333333333332,3,50.0,16.666666666666668,0.0833333333333357,0.08462620097787807,22.5
300,8,160.0,20.0,3,65.0,21.666666666666668,1.6666666666666679,0.055823040960156306,27.5
305,8,199.0,24.875,5,80.0,16.0,8.875,0.06023368864228176,32.5
310,9,240.0,26.666666666666668,4,97.0,24.25,2.416666666666668,0.06397270497920887,37.5
315,12,231.0,19.25,3,110.0,36.666666666666664,17.416666666666664,0.06660400814810377,41.04999999999998
320,14,258.0,18.428571428571427,4,125.0,31.25,12.821428571428573,0.06036696848337106,46.04999999999998
325,13,323.0,24.846153846153847,6,143.0,23.833333333333332,1.0128205128205146,0.06736048697844031,51.04999999999998
330,13,336.0,25.846153846153847,4,61.0,15.25,10.596153846153847,0.06376402971317031,21.39999999999995
335,11,302.0,27.454545454545453,5,81.0,16.2,11.254545454545454,0.04430131343747571,26.39999999999995
340,6,74.0,12.333333333333334,4,84.0,21.0,8.666666666666666,0.026494039324972907,30.799999999999947
345,4,49.0,12.25,4,81.0,20.25,8.0,0.04462161760333036,37.09999999999997
350,3,34.0,11.333333333333334,4,100.0,25.0,13.666666666666666,0.04955418381344307,42.09999999999997
355,7,64.0,9.142857142857142,4,120.0,30.0,20.857142857142858,0.0861952861952862,47.09999999999997
360,11,95.0,8.636363636363637,4,140.0,35.0,26.363636363636363,0.1007074629530441,50.199999999999946
365,10,131.0,13.1,4,160.0,40.0,26.9,0.1026473825246435,59.0
370,4,86.0,21.5,5,180.0,36.0,14.5,0.06681844463717837,64.0
375,3,62.0,20.666666666666668,2,29.0,14.5,6.166666666666668,0.060213032581453635,14.5
380,8,85.0,10.625,4,34.0,8.5,2.125,0.0733889972371201,18.699999999999964
385,9,126.0,14.0,3,39.0,13.0,1.0,0.09564777327935223,21.44999999999996
390,10,113.0,11.3,1,5.0,5.0,6.300000000000001,0.08965986967756431,2.5
395,7,129.0,18.428571428571427,1,10.0,10.0,8.428571428571427,0.07788980004493372,5.499999999999989
400,6,109.0,18.166666666666668,1,15.0,15.0,3.166666666666668,0.07110624341664273,8.249999999999984
405,6,135.0,22.5,1,20.0,20.0,2.5,0.08083617202469662,10.0
410,8,171.0,21.375,1,25.0,25.0,3.625,0.09798737333118868,12.5
415,12,223.0,18.583333333333332,1,30.0,30.0,11.416666666666668,0.12288231921875618,16.499999999999968
420,11,211.0,19.181818181818183,1,35.0,35.0,15.818181818181817,0.11090766869943003,19.249999999999964
