step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,0,0.0,0,0,0,0,0,1.0,0.0
20,1,0.0,0.0,1,2.0,2.0,2.0,1.0,1.5999999999999996
25,1,5.0,5.0,1,7.0,7.0,2.0,0.020833333333333332,5.25
30,2,13.0,6.5,1,12.0,12.0,5.5,0.03230122324159022,8.399999999999991
35,4,29.0,7.25,1,17.0,17.0,9.75,0.05293303121852971,11.04999999999999
40,6,54.0,9.0,1,22.0,22.0,13.0,0.0685665914221219,13.199999999999992
45,3,16.0,5.333333333333333,1,1.0,1.0,4.333333333333333,0.03864734299516908,0.5499999999999989
50,1,1.0,1.0,1,6.0,6.0,5.0,0.020833333333333332,3.2999999999999936
55,2,9.0,4.5,3,11.0,3.6666666666666665,0.8333333333333335,0.020833333333333332,5.5
60,3,21.0,7.0,3,23.0,7.666666666666667,0.666666666666667,0.02517123287671233,9.949999999999992
65,3,36.0,12.0,3,38.0,12.666666666666666,0.6666666666666661,0.030337078651685393,14.399999999999984
70,5,57.0,11.4,3,53.0,17.666666666666668,6.2666666666666675,0.04002808988764045,18.849999999999994
75,5,82.0,16.4,3,68.0,22.666666666666668,6.266666666666669,0.049569473932531256,23.29999999999999
80,7,112.0,16.0,4,85.0,21.25,5.25,0.05877942720047983,27.75
85,8,148.0,18.5,5,107.0,21.4,2.8999999999999986,0.06922532362459546,32.19999999999999
90,3,56.0,18.666666666666668,2,9.0,4.5,14.166666666666668,0.038935240365514504,2.749999999999993
95,1,2.0,2.0,5,14.0,2.8,0.7999999999999998,0.020833333333333332,2.9999999999999787
100,2,7.0,3.5,4,26.0,6.5,3.0,0.020833333333333332,7.500000000000007
105,3,20.0,6.666666666666667,5,48.0,9.6,2.9333333333333327,0.04681647940074907,12.500000000000007
110,4,37.0,9.25,5,70.0,14.0,4.75,0.062408825674690006,17.500000000000007
115,5,60.0,12.0,6,96.0,16.0,4.0,0.08012820512820513,22.0
120,8,92.0,11.5,7,126.0,18.0,6.5,0.09962335216572504,26.749999999999996
125,10,136.0,13.6,8,161.0,20.125,6.525,0.11320015667841755,31.749999999999996
130,12,192.0,16.0,8,196.0,24.5,8.5,0.12256623045004787,36.49999999999999
135,5,68.0,13.6,0,0,0,13.6,0.07961432506887052,0.0
140,3,5.0,1.6666666666666667,0,0,0,1.6666666666666667,0.030637254901960783,0.0
145,3,15.0,5.0,1,0.0,0.0,5.0,0.04380841121495327,0.0
150,4,32.0,8.0,1,0.0,0.0,8.0,0.06349206349206349,0.0
155,6,58.0,9.666666666666666,2,0.0,0.0,9.666666666666666,0.08111496913580248,0.0
160,9,95.0,10.555555555555555,3,9.0,3.0,7.555555555555555,0.08864725758290115,2.799999999999997
165,9,136.0,15.11111111111111,4,23.0,5.75,9.36111111111111,0.09003115264797508,7.4999999999999964
170,10,184.0,18.4,4,38.0,9.5,8.899999999999999,0.090893470790378,12.249999999999993
175,11,237.0,21.545454545454547,4,53.0,13.25,8.295454545454547,0.09339831590709553,16.99999999999999
180,8,111.0,13.875,0,0,0,13.875,0.05450998088766192,0.0
185,3,4.0,1.3333333333333333,3,5.0,1.6666666666666667,0.3333333333333335,0.05555555555555555,1.5
190,3,15.0,5.0,3,15.0,5.0,0.0,0.04006410256410257,5.25
195,2,14.0,7.0,4,25.0,6.25,0.75,0.03141025641025641,8.399999999999991
200,5,32.0,6.4,5,45.0,9.0,2.5999999999999996,0.0570409982174688,12.799999999999983
205,5,53.0,10.6,5,69.0,13.8,3.200000000000001,0.05941201353637902,17.799999999999983
210,6,79.0,13.166666666666666,7,94.0,13.428571428571429,0.26190476190476275,0.06176761678543151,22.799999999999983
215,6,109.0,18.166666666666668,8,119.0,14.875,3.291666666666668,0.06180295464003329,27.199999999999974
220,8,142.0,17.75,9,146.0,16.22222222222222,1.5277777777777786,0.06351426267513355,32.199999999999974
225,5,74.0,14.8,1,0.0,0.0,14.8,0.04797448836557331,0.0
230,0,0.0,0,0,0,0,0,1.0,0.0
235,1,3.0,3.0,3,2.0,0.6666666666666666,2.3333333333333335,0.020833333333333332,0.0
240,4,13.0,3.25,3,13.0,4.333333333333333,1.083333333333333,0.043467078189300415,3.1999999999999886
245,5,38.0,7.6,5,28.0,5.6,2.0,0.08953373015873016,8.0
250,8,72.0,9.0,3,43.0,14.333333333333334,5.333333333333334,0.10207939508506617,13.199999999999989
255,8,112.0,14.0,3,58.0,19.333333333333332,5.333333333333332,0.10337552742616034,18.0
260,9,152.0,16.88888888888889,5,76.0,15.2,1.68888888888889,0.10245494536682276,23.0
265,8,192.0,24.0,6,99.0,16.5,7.5,0.1014799154334038,28.0
270,3,69.0,23.0,2,0.0,0.0,23.0,0.06226459510357815,0.0
275,2,9.0,4.5,3,2.0,0.6666666666666666,3.8333333333333335,0.041158536585365856,0.0
280,3,19.0,6.333333333333333,2,7.0,3.5,2.833333333333333,0.041551565377532226,0.0
285,4,35.0,8.75,3,12.0,4.0,4.75,0.05709358687546607,0.0
290,5,54.0,10.8,3,24.0,8.0,2.8000000000000007,0.06919134396355353,3.599999999999998
295,7,88.0,12.571428571428571,3,39.0,13.0,0.4285714285714288,0.0850914205344585,8.549999999999997
300,7,123.0,17.571428571428573,7,54.0,7.714285714285714,9.857142857142858,0.09080596369922213,13.5
305,9,163.0,18.11111111111111,8,79.0,9.875,8.23611111111111,0.09774339278356584,18.45
310,10,210.0,21.0,11,121.0,11.0,10.0,0.10454597177969958,23.549999999999997
315,6,73.0,12.166666666666666,4,6.0,1.5,10.666666666666666,0.07013318593388082,0.5999999999999979
320,1,5.0,5.0,3,8.0,2.6666666666666665,2.3333333333333335,0.020833333333333332,1.9499999999999957
325,4,16.0,4.0,7,18.0,2.5714285714285716,1.4285714285714284,0.0365296803652968,4.799999999999983
330,6,36.0,6.0,5,38.0,7.6,1.5999999999999996,0.04909090909090909,9.399999999999977
335,8,71.0,8.875,7,62.0,8.857142857142858,0.01785714285714235,0.07773562792992844,14.399999999999977
340,11,119.0,10.818181818181818,6,78.0,13.0,2.1818181818181817,0.09950112422709387,19.399999999999977
345,12,179.0,14.916666666666666,5,103.0,20.6,5.683333333333335,0.11578852269442036,24.0
350,12,239.0,19.916666666666668,8,129.0,16.125,3.791666666666668,0.12186593275302952,28.599999999999994
355,12,299.0,24.916666666666668,11,163.0,14.818181818181818,10.09848484848485,0.12445845862568215,34.0
360,8,129.0,16.125,1,7.0,7.0,9.125,0.07377899553096404,0.0
365,2,1.0,0.5,4,12.0,3.0,2.5,0.020833333333333332,0.6999999999999993
370,1,0.0,0.0,6,21.0,3.5,3.5,1.0,2.3999999999999986
375,0,0.0,0,5,39.0,7.8,7.8,1.0,7.399999999999999
380,3,8.0,2.6666666666666665,6,64.0,10.666666666666666,8.0,0.020833333333333332,12.299999999999997
385,3,20.0,6.666666666666667,5,89.0,17.8,11.133333333333333,0.02540650406504065,17.199999999999996
390,6,43.0,7.166666666666667,5,114.0,22.8,15.633333333333333,0.031861731458505654,22.099999999999994
395,8,80.0,10.0,6,139.0,23.166666666666668,13.166666666666668,0.042544139544777704,27.0
400,10,125.0,12.5,10,172.0,17.2,4.699999999999999,0.052852871137089356,31.9
405,4,74.0,18.5,2,10.0,5.0,13.5,0.02718859231013664,1.0
410,0,0.0,0,3,20.0,6.666666666666667,6.666666666666667,1.0,4.199999999999985
415,2,6.0,3.0,4,30.0,7.5,4.5,0.041666666666666664,7.799999999999983
420,6,29.0,4.833333333333333,3,40.0,13.333333333333334,8.5,0.04748193315266486,11.049999999999976
