step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,4.0,4.0,0,0,0,4.0,0.020833333333333332,0.0
20,3,13.0,4.333333333333333,1,0.0,0.0,4.333333333333333,0.03629725085910653,0.0
25,3,28.0,9.333333333333334,2,4.0,2.0,7.333333333333334,0.05408388520971302,3.0
30,3,43.0,14.333333333333334,1,9.0,9.0,5.333333333333334,0.05863140537798072,6.299999999999994
35,3,58.0,19.333333333333332,1,14.0,14.0,5.333333333333332,0.0603126792885829,9.099999999999993
40,5,77.0,15.4,3,19.0,6.333333333333333,9.066666666666666,0.06738725222767776,12.34999999999999
45,6,99.0,16.5,2,28.0,14.0,2.5,0.07363415073927154,15.999999999999993
50,6,129.0,21.5,2,38.0,19.0,2.5,0.08038198469742638,19.99999999999998
55,7,163.0,23.285714285714285,2,48.0,24.0,0.7142857142857153,0.08410892468216583,24.99999999999998
60,9,200.0,22.22222222222222,2,58.0,29.0,6.777777777777779,0.08799718409010912,29.0
65,8,240.0,30.0,2,68.0,34.0,4.0,0.09266409266409266,32.999999999999986
70,5,183.0,36.6,0,0,0,36.6,0.07221690301211055,0.0
75,4,102.0,25.5,3,0.0,0.0,25.5,0.047017353579175705,0.0
80,5,122.0,24.4,1,5.0,5.0,19.4,0.05291524459613197,1.7499999999999982
85,6,148.0,24.666666666666668,3,11.0,3.6666666666666665,21.0,0.06136811906042675,3.6999999999999904
90,7,179.0,25.571428571428573,3,23.0,7.666666666666667,17.904761904761905,0.07088465895012566,8.69999999999999
95,5,185.0,37.0,4,38.0,9.5,27.5,0.06244161777155034,13.25
100,6,207.0,34.5,4,58.0,14.5,20.0,0.06429150162045373,17.799999999999994
105,6,237.0,39.5,5,78.0,15.6,23.9,0.06992455930684195,22.349999999999987
110,6,267.0,44.5,5,99.0,19.8,24.7,0.07431511133350012,26.89999999999998
115,6,297.0,49.5,7,124.0,17.714285714285715,31.785714285714285,0.0777528030463296,32.34999999999999
120,10,335.0,33.5,8,157.0,19.625,13.875,0.08407425054239036,36.89999999999998
125,11,384.0,34.90909090909091,9,197.0,21.88888888888889,13.020202020202017,0.0935558533317091,41.45
130,9,285.0,31.666666666666668,6,174.0,29.0,2.666666666666668,0.06838502727823803,46.0
135,10,332.0,33.2,9,204.0,22.666666666666668,10.533333333333335,0.07671321351417563,51.0
140,12,385.0,32.083333333333336,6,234.0,39.0,6.916666666666664,0.08572358863318806,56.45
145,9,332.0,36.888888888888886,6,235.0,39.166666666666664,2.2777777777777786,0.06316243077712987,61.0
150,10,382.0,38.2,9,263.0,29.22222222222222,8.977777777777781,0.07191038256536411,65.44999999999999
155,8,365.0,45.625,8,298.0,37.25,8.375,0.06222164309039687,69.89999999999998
160,10,235.0,23.5,6,215.0,35.833333333333336,12.333333333333336,0.054139609116433736,62.69999999999997
165,9,232.0,25.77777777777778,6,240.0,40.0,14.222222222222221,0.042247507095672265,66.54999999999995
170,6,215.0,35.833333333333336,7,265.0,37.857142857142854,2.0238095238095184,0.0281478044408071,71.54999999999995
175,8,251.0,31.375,6,294.0,49.0,17.625,0.029076024752073135,75.39999999999993
180,4,20.0,5.0,3,126.0,42.0,37.0,0.05707762557077625,27.399999999999935
185,3,28.0,9.333333333333334,4,141.0,35.25,25.916666666666664,0.05408388520971302,31.25
190,3,43.0,14.333333333333334,4,157.0,39.25,24.916666666666664,0.05863140537798072,37.399999999999935
195,4,63.0,15.75,6,178.0,29.666666666666668,13.916666666666668,0.05794498948843728,41.25
200,7,89.0,12.714285714285714,7,206.0,29.428571428571427,16.714285714285715,0.06002940463198739,46.25
205,9,133.0,14.777777777777779,9,240.0,26.666666666666668,11.88888888888889,0.0645961145194274,50.09999999999998
210,7,107.0,15.285714285714286,8,163.0,20.375,5.0892857142857135,0.06919664442510395,34.5
215,5,109.0,21.8,11,198.0,18.0,3.8000000000000007,0.05660206570622761,38.59999999999999
220,4,75.0,18.75,6,201.0,33.5,14.75,0.027789305193265355,43.59999999999999
225,1,16.0,16.0,6,66.0,11.0,5.0,0.020833333333333332,19.49999999999999
230,3,28.0,9.333333333333334,7,86.0,12.285714285714286,2.9523809523809526,0.03475177304964539,23.74999999999998
235,5,46.0,9.2,8,115.0,14.375,5.175000000000001,0.0503234398782344,27.999999999999968
240,4,17.0,4.25,8,83.0,10.375,6.125,0.023427367055771725,13.399999999999977
245,2,26.0,13.0,10,119.0,11.9,1.0999999999999996,0.020833333333333332,18.0
250,3,17.0,5.666666666666667,10,164.0,16.4,10.73333333333333,0.020833333333333332,22.599999999999994
255,3,12.0,4.0,10,209.0,20.9,16.9,0.06,28.0
260,5,31.0,6.2,11,257.0,23.363636363636363,17.163636363636364,0.07670817369093232,33.0
265,5,55.0,11.0,11,309.0,28.09090909090909,17.09090909090909,0.08303140096618357,37.599999999999994
270,6,85.0,14.166666666666666,11,364.0,33.09090909090909,18.92424242424243,0.09183699410209477,42.599999999999994
275,7,116.0,16.571428571428573,12,419.0,34.916666666666664,18.34523809523809,0.09451562148797482,47.19999999999999
280,9,152.0,16.88888888888889,16,476.0,29.75,12.86111111111111,0.09622817539650806,51.79999999999998
285,6,106.0,17.666666666666668,15,517.0,34.46666666666667,16.8,0.06099096751780441,56.39999999999998
290,6,136.0,22.666666666666668,18,588.0,32.666666666666664,9.999999999999996,0.06589147286821706,61.79999999999998
295,8,170.0,21.25,20,672.0,33.6,12.350000000000001,0.07195068514977693,66.79999999999998
300,10,161.0,16.1,17,518.0,30.470588235294116,14.370588235294115,0.06004901960784314,64.0
305,7,113.0,16.142857142857142,10,350.0,35.0,18.857142857142858,0.049054182801647306,62.5
310,8,153.0,19.125,17,397.0,23.352941176470587,4.227941176470587,0.059670561605285694,67.19999999999997
315,6,172.0,28.666666666666668,14,456.0,32.57142857142857,3.9047619047619015,0.05414982721255784,71.89999999999999
320,9,208.0,23.11111111111111,15,528.0,35.2,12.088888888888892,0.0581130453470879,76.60000000000001
325,5,121.0,24.2,12,533.0,44.416666666666664,20.216666666666665,0.02684806208373676,81.29999999999998
330,6,139.0,23.166666666666668,15,588.0,39.2,16.033333333333335,0.029208390779575745,86.0
335,7,173.0,24.714285714285715,13,648.0,49.84615384615385,25.13186813186813,0.036945004048902844,90.04999999999993
340,6,65.0,10.833333333333334,7,250.0,35.714285714285715,24.88095238095238,0.040882876606285805,32.49999999999999
345,5,90.0,18.0,9,278.0,30.88888888888889,12.88888888888889,0.04158452439625431,38.0
350,7,122.0,17.428571428571427,9,318.0,35.333333333333336,17.90476190476191,0.04371064749553613,45.199999999999875
355,6,84.0,14.0,11,363.0,33.0,19.0,0.027232308262319378,52.40000000000006
360,4,45.0,11.25,9,341.0,37.888888888888886,26.638888888888886,0.05602589641434263,50.44999999999986
365,5,42.0,8.4,10,382.0,38.2,29.800000000000004,0.05006811989100817,53.0
370,7,67.0,9.571428571428571,14,427.0,30.5,20.92857142857143,0.05892932157109851,57.09999999999992
375,8,103.0,12.875,13,478.0,36.76923076923077,23.894230769230766,0.07169018272245649,63.0
380,8,98.0,12.25,16,529.0,33.0625,20.8125,0.062331256490135,70.44999999999986
385,4,32.0,8.0,12,461.0,38.416666666666664,30.416666666666664,0.03936039360393604,48.20000000000012
390,5,55.0,11.0,12,511.0,42.583333333333336,31.583333333333336,0.05621840618495391,49.09999999999977
395,7,85.0,12.142857142857142,12,561.0,46.75,34.60714285714286,0.07083333333333333,50.0
400,8,75.0,9.375,9,131.0,14.555555555555555,5.180555555555555,0.05747302599313389,25.0
