step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,0,0.0,0,1,2.0,2.0,2.0,1.0,1.7999999999999998
20,0,0.0,0,1,7.0,7.0,7.0,1.0,5.9499999999999975
25,1,0.0,0.0,0,0,0,0.0,1.0,0.0
30,1,1.0,1.0,2,0.0,0.0,1.0,0.020833333333333332,0.0
35,0,0.0,0,1,2.0,2.0,2.0,1.0,1.3999999999999986
40,1,3.0,3.0,1,0.0,0.0,3.0,0.020833333333333332,0.0
45,2,13.0,6.5,2,0.0,0.0,6.5,0.03955992509363296,0.0
50,2,12.0,6.0,1,0.0,0.0,6.0,0.028846153846153848,0.0
55,1,7.0,7.0,0,0,0,7.0,0.020833333333333332,0.0
60,0,0.0,0,0,0,0,0,1.0,0.0
65,1,0.0,0.0,0,0,0,0.0,1.0,0.0
70,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
75,2,6.0,3.0,1,3.0,3.0,0.0,0.020833333333333332,1.3499999999999979
80,0,0.0,0,1,1.0,1.0,1.0,1.0,0.4499999999999993
85,1,0.0,0.0,1,6.0,6.0,6.0,1.0,3.0
90,2,7.0,3.5,2,11.0,5.5,2.0,0.04083333333333333,4.949999999999992
95,2,9.0,4.5,2,16.0,8.0,3.5,0.025961538461538463,6.399999999999977
100,2,19.0,9.5,0,0,0,9.5,0.0366869918699187,0.0
105,1,0.0,0.0,2,0.0,0.0,0.0,1.0,0.0
110,1,1.0,1.0,2,4.0,2.0,1.0,0.020833333333333332,1.0
115,3,7.0,2.3333333333333335,2,9.0,4.5,2.1666666666666665,0.02759009009009009,1.7999999999999936
120,2,12.0,6.0,3,17.0,5.666666666666667,0.33333333333333304,0.02459016393442623,4.649999999999984
125,4,24.0,6.0,3,32.0,10.666666666666666,4.666666666666666,0.04054054054054054,9.099999999999977
