step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
5,1,0.0,0.0,0,0,0,0.0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
20,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
25,1,0.0,0.0,0,0,0,0.0,1.0,0.0
30,2,9.0,4.5,0,0,0,4.5,0.041158536585365856,0.0
35,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
40,3,6.0,2.0,2,5.0,2.5,0.5,0.0375,3.2499999999999973
45,2,3.0,1.5,1,10.0,10.0,8.5,0.020833333333333332,5.9999999999999964
50,2,8.0,4.0,2,16.0,8.0,4.0,0.020833333333333332,8.699999999999985
55,0,0.0,0,2,26.0,13.0,13.0,1.0,13.0
60,1,3.0,3.0,2,36.0,18.0,15.0,0.020833333333333332,17.29999999999999
65,3,2.0,0.6666666666666666,1,0.0,0.0,0.6666666666666666,0.041666666666666664,0.0
70,3,13.0,4.333333333333333,2,0.0,0.0,4.333333333333333,0.04142156862745098,0.0
75,2,14.0,7.0,1,0.0,0.0,7.0,0.020833333333333332,0.0
80,3,25.0,8.333333333333334,0,0,0,8.333333333333334,0.022566435586366264,0.0
85,3,34.0,11.333333333333334,0,0,0,11.333333333333334,0.020833333333333332,0.0
90,2,2.0,1.0,0,0,0,1.0,0.041666666666666664,0.0
95,1,6.0,6.0,1,0.0,0.0,6.0,0.020833333333333332,0.0
100,1,11.0,11.0,2,0.0,0.0,11.0,0.020833333333333332,0.0
105,1,0.0,0.0,0,0,0,0.0,1.0,0.0
110,0,0.0,0,2,1.0,0.5,0.5,1.0,0.09999999999999787
115,0,0.0,0,2,3.0,1.5,1.5,1.0,0.2999999999999936
120,1,4.0,4.0,2,12.0,6.0,2.0,0.020833333333333332,4.3999999999999915
125,3,12.0,4.0,2,22.0,11.0,7.0,0.03333333333333333,9.200000000000003
