step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,3.4455847764154894,0,0.0,1.0,1,0.0,0.0,0,0.0,0.4647101141273913,0,0.0,1.0,1,0.0
10.0,0,0.0,0.0,7.013412209130476,0,0.0,0.09400821210753328,0,0.0,0.627082367922629,0,0.0,0.7464486564967973,0,0.0,1.0,0,0.0
15.0,1,2.0,0.5,5.7052833799531015,0,0.0,0.6980076324896124,0,0.0,0.43289213624794665,1,2.0,0.0017999253317106366,0,0.0,1.0,1,2.0
20.0,0,0.0,0.0,9.314881900538838,0,0.0,0.35015280380582314,0,0.0,0.9002948972426458,0,0.0,0.9265497891356383,0,2.0,0.4426129827711953,0,2.0
25.0,1,0.0,0.0,9.656113406673644,0,0.0,0.6544756432291539,0,0.0,1.0,0,0.0,0.9369076282819877,1,2.0,0.4669704696953943,1,2.0
30.0,1,1.0,0.14285714285714285,8.592023469381392,1,1.0,0.3491989936854691,0,0.0,1.0,0,0.0,0.09900356085717045,0,0.0,0.7023666921052909,1,1.0
35.0,1,1.0,0.16666666666666666,6.213261314579672,0,0.0,1.0,0,0.0,0.390915940872042,0,0.0,0.7350979193488683,0,0.0,0.5560590136060609,0,0.0
40.0,1,3.0,0.42857142857142855,7.199646791833208,0,0.0,1.0,0,4.0,0.6961531876080057,0,0.0,0.42343597560224455,1,3.0,0.0001682554863313104,1,7.0
45.0,3,9.0,1.0,7.629003777282431,0,0.0,1.0,1,5.0,0.520021915428472,1,0.0,0.5281041047932472,1,8.0,0.4752515638497552,3,13.0
50.0,3,21.0,2.3333333333333335,4.829722127239588,0,0.0,0.52658578044147,2,12.0,0.0011104598322179407,0,0.0,0.7489680259875809,1,13.0,0.13164266068766844,3,25.0
55.0,0,0.0,0.0,6.697050847380619,0,0.0,0.9147088008765145,0,11.0,0.2828646072294723,0,0.0,0.339772437135351,0,3.0,0.29680739633030223,0,14.0
60.0,0,0.0,0.0,10.418088931631317,0,0.0,0.3994773815976954,0,2.0,0.9431198558082334,0,0.0,0.8499089402636786,0,2.0,0.739107555266365,0,4.0
65.0,1,0.0,0.0,7.850868004621056,0,0.0,0.9442513205614254,0,0.0,0.7335808496012053,0,0.0,0.6581935501091882,1,0.0,0.3313411021700815,1,0.0
70.0,2,4.0,0.36363636363636365,6.906509416257578,0,0.0,1.0,0,0.0,0.5177214420038267,1,1.0,0.33681468616127513,1,3.0,0.5575194958823456,2,4.0
75.0,3,16.0,1.6,7.469759645192684,0,0.0,1.0,0,0.0,0.8008177925650284,1,6.0,0.1381057244555854,2,10.0,0.2714093477143984,3,16.0
80.0,3,31.0,3.4444444444444446,6.637599252484151,0,0.0,1.0,0,0.0,0.28670292133559816,1,11.0,0.5481001219078303,2,20.0,0.1269545990662362,3,31.0
85.0,2,4.0,0.4,6.370985641043001,0,0.0,1.0,1,4.0,0.32659822204790845,1,0.0,0.40684846210113584,0,10.0,0.5730783071661512,2,14.0
90.0,2,10.0,1.0,5.684139609884389,0,0.0,0.14782534276397846,1,11.0,0.45075386528721584,1,1.0,0.34530381339876653,0,2.0,0.5066393406861496,2,14.0
95.0,2,6.0,0.5454545454545454,6.480318445528929,0,0.0,0.8886718984648174,0,2.0,0.6719219067153975,0,0.0,0.31003943541579704,1,5.0,0.4257049034698029,1,7.0
100.0,4,21.0,1.75,4.963457509963792,0,0.0,1.0,1,4.0,0.018396175745799197,1,3.0,0.43215800063201243,1,12.0,0.19537597959883232,3,19.0
105.0,2,8.0,0.6666666666666666,6.883764104760942,0,0.0,1.0,1,2.0,0.14630035618125428,1,8.0,0.5158084213974496,0,9.0,0.8102970387495075,2,19.0
110.0,1,13.0,1.0833333333333333,8.342503022784024,0,0.0,0.12162005165757621,0,1.0,0.7994250875072328,1,15.0,0.5892906760643184,0,7.0,0.722883872022619,1,23.0
115.0,3,22.0,1.8333333333333333,6.64359418214709,0,0.0,0.8678666241662054,0,1.0,0.350501722275419,2,19.0,0.33167494102860795,1,3.0,0.00012257012705419774,3,23.0
120.0,3,33.0,3.0,4.931803066652097,0,0.0,0.38524178389571323,1,5.0,0.3820362313289049,2,29.0,0.3072840162029477,0,0.0,1.0,3,34.0
125.0,4,15.0,1.1538461538461537,5.0847671074893235,1,4.0,0.33792766234409627,1,12.0,0.457953472419385,1,9.0,0.013660471442098561,0,0.0,0.5717189705450363,3,25.0
130.0,4,33.0,2.5384615384615383,5.913807721027881,1,9.0,0.05306322001310557,2,20.0,1.783048670810212e-05,1,15.0,0.32373232649682815,0,0.0,0.9820231757210284,4,44.0
135.0,4,26.0,2.0,6.104664065935754,1,14.0,0.3615289535703819,0,0.0,1.0,1,10.0,0.5845228110465341,0,5.0,0.4794512940796204,2,29.0
140.0,3,38.0,2.923076923076923,7.377178877465903,1,21.0,0.6661231144450658,0,0.0,0.920902695544548,1,15.0,0.21493491038584372,1,4.0,0.1885526980949241,3,40.0
145.0,2,9.0,0.6,6.685495986804786,1,2.0,0.11168890293698103,0,0.0,0.7238524570871341,0,2.0,0.2091636054655426,1,9.0,0.49329551313654685,2,13.0
150.0,1,5.0,0.4166666666666667,7.2826133664982,1,7.0,0.3757096912115441,0,0.0,0.7218755141308462,0,0.0,1.0,0,0.0,0.31499251725418836,1,7.0
155.0,2,12.0,1.0909090909090908,8.29817481883042,1,12.0,0.4989405078044546,1,2.0,0.3640173380213394,0,0.0,1.0,0,0.0,0.6457831675797798,2,14.0
160.0,2,22.0,2.2,6.73207437572488,1,17.0,0.0,1,7.0,0.4518971206885345,0,0.0,1.0,0,0.0,0.4795503420162343,2,24.0
165.0,3,4.0,0.36363636363636365,5.711258133705969,0,0.0,1.0,1,2.0,0.22045812599717998,0,0.0,1.0,1,3.0,0.5538018585800661,2,5.0
170.0,1,6.0,0.6,8.036692432324989,0,0.0,1.0,0,4.0,0.6475086667805584,0,0.0,0.4224851718961582,0,2.0,0.6136781419474563,0,6.0
175.0,2,6.0,0.5454545454545454,6.473574668242287,0,0.0,1.0,1,6.0,0.44285674856098683,0,0.0,0.8468358393374205,1,6.0,0.007563237810177478,2,12.0
180.0,3,15.0,1.3636363636363635,5.875215058950323,0,0.0,0.884184878373208,0,2.0,0.49720852106217067,0,0.0,0.1409119323367959,2,16.0,2.6338059653243297e-05,2,18.0
185.0,4,6.0,0.5454545454545454,5.131517003805811,1,1.0,0.0006726392946828395,2,6.0,0.2928978060826088,0,0.0,1.0,0,4.0,0.4604444323711865,3,11.0
190.0,1,9.0,0.8181818181818182,8.880125974676254,0,0.0,0.954306549017371,1,11.0,0.3134854718402848,0,2.0,0.33983295223110427,0,4.0,0.802784020185792,1,17.0
195.0,2,16.0,1.6,6.159288564799995,0,0.0,0.30263306010558966,1,16.0,0.4399283065459718,0,2.0,0.9272901075282772,1,2.0,0.0007746313570111736,2,20.0
200.0,2,26.0,2.888888888888889,5.544818391609754,0,0.0,0.24176803978238795,1,21.0,0.3633599944351132,0,0.0,0.4640369887579507,1,7.0,0.2865931703235459,2,28.0
205.0,2,12.0,1.2,6.6886635162631265,1,2.0,0.1943213859541891,0,0.0,0.46413374873833096,0,0.0,0.8706178977994217,1,12.0,0.4664498170176546,2,14.0
210.0,1,17.0,1.5454545454545454,7.832907168461975,0,2.0,0.6343087290634067,0,0.0,0.74338613145744,0,0.0,0.28165237844454405,1,17.0,0.4538969750124075,1,19.0
215.0,0,0.0,0.0,8.664772853311856,0,0.0,0.5789020258425872,0,2.0,0.43114725156885514,0,0.0,0.8538629773009336,0,0.0,0.29096622575735903,0,2.0
220.0,1,5.0,0.5555555555555556,8.526289874766427,0,0.0,0.49017981605100414,0,2.0,0.7753679745239124,0,0.0,1.0,1,5.0,0.47753228265532893,1,7.0
225.0,2,3.0,0.2727272727272727,6.992060128423893,1,3.0,3.9689489287450283e-05,0,2.0,0.6524826382605423,1,2.0,0.21518362820554576,0,0.0,0.2667736230185519,2,7.0
230.0,1,5.0,0.5555555555555556,8.992251841680124,0,0.0,0.9535854356948836,1,9.0,0.44746911427471575,0,2.0,0.7825419252953909,0,0.0,0.5547394771436447,1,11.0
235.0,2,10.0,1.1111111111111112,7.222679931312533,0,0.0,0.5691058670456188,1,14.0,0.37274227794799714,0,0.0,0.4479164538971284,1,0.0,0.4195940327811758,2,14.0
240.0,3,21.0,2.3333333333333335,5.303371064450445,1,3.0,0.0009564711899142148,1,17.0,0.4102944174617366,1,3.0,0.2335071857342561,0,0.0,0.41044056679289326,3,23.0
245.0,5,40.0,4.0,4.419017996824218,1,8.0,0.0,1,22.0,0.20161875876694849,2,8.0,0.31358349409916847,1,4.0,0.48909954229537506,5,42.0
250.0,3,23.0,2.3,5.063727468614978,1,13.0,0.08274389742249876,0,3.0,0.7051300828322132,1,1.0,0.38266847238677554,1,9.0,0.0,3,26.0
255.0,2,7.0,0.6363636363636364,6.666977856107312,0,2.0,0.8363050882860401,1,1.0,0.13439656366139752,1,6.0,0.0,0,0.0,1.0,2,9.0
