step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,4.046938038698864,1,0.0,0.29606364219885695,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,0.0
10.0,0,0.0,0.0,7.683389082827341,0,0.0,0.8589294055314431,0,0.0,1.0,0,0.0,1.0,0,0.0,0.13318181493184716,0,0.0
15.0,0,0.0,0.0,8.275529615848487,0,0.0,0.5613175197363979,0,0.0,1.0,0,0.0,0.6084632720845065,0,0.0,0.8157045898682178,0,0.0
20.0,0,0.0,0.0,7.436950273459884,0,0.0,0.6782434374486052,0,0.0,1.0,0,0.0,0.7319257672371134,0,0.0,1.0,0,0.0
25.0,2,2.0,0.2857142857142857,6.151129442396224,0,0.0,0.5156558368719855,0,0.0,1.0,2,2.0,0.4320873477058005,0,0.0,0.626909586418279,2,2.0
30.0,1,5.0,0.625,6.019200241712532,1,5.0,7.056786201946513e-05,0,0.0,0.5502849521501387,0,1.0,0.4204465443669981,0,0.0,0.8156415422104926,1,6.0
35.0,2,4.0,0.4444444444444444,8.486437716786064,0,0.0,1.0,0,0.0,0.8742575128488771,1,4.0,9.809538325337736e-05,1,0.0,0.0,2,4.0
40.0,0,0.0,0.0,7.575243567673748,0,2.0,0.699579673586841,0,0.0,0.21108190336697422,0,2.0,0.5575583966742657,0,0.0,0.6980860037644896,0,4.0
45.0,3,6.0,0.6666666666666666,6.308101612688394,0,2.0,0.9718272300465821,2,6.0,0.148358749558446,0,2.0,0.4473318641556923,1,0.0,0.27401131410504576,3,10.0
50.0,1,3.0,0.3,8.27939729523732,0,0.0,0.1238346934814982,0,5.0,0.5915733268411525,1,5.0,3.4431631683511714e-05,0,0.0,0.7651042866495774,1,10.0
55.0,0,0.0,0.0,9.752783481744196,0,2.0,0.8906400336240758,0,0.0,0.015656087735853412,0,0.0,0.6221970626811981,0,0.0,1.0,0,2.0
60.0,1,5.0,0.5555555555555556,7.352069019928119,0,0.0,1.0,1,5.0,0.0,0,0.0,0.5397123250405619,0,2.0,0.5753647729827728,1,7.0
65.0,3,5.0,0.5,7.562874972662238,0,0.0,0.9591680543208069,1,0.0,0.0,2,5.0,0.0007457831356465931,0,2.0,0.8020145971268245,3,7.0
70.0,0,0.0,0.0,7.804685992737087,0,2.0,0.6039066259720101,0,0.0,0.4233065277151453,0,4.0,0.2700901824305987,0,0.0,0.6244752328952415,0,6.0
75.0,0,0.0,0.0,9.87458705962053,0,2.0,0.957732591256,0,0.0,0.7039236135367262,0,0.0,0.26850286127963974,0,0.0,1.0,0,2.0
80.0,0,0.0,0.0,11.098953504973624,0,0.0,1.0,0,0.0,0.7187456030735674,0,0.0,0.9120786946434009,0,0.0,0.852073183938926,0,0.0
85.0,2,1.0,0.14285714285714285,5.937062266845404,0,0.0,1.0,0,0.0,0.9471427306237437,1,1.0,0.005444394870243626,1,0.0,0.23562841386966035,2,1.0
90.0,1,3.0,0.42857142857142855,7.227435172307781,0,0.0,0.44185041390571933,0,0.0,1.0,0,0.0,0.10527448292907737,1,5.0,0.6253819691133579,1,5.0
95.0,2,10.0,1.25,5.813662868715024,0,2.0,0.9499791690822506,0,0.0,0.2666449587389312,0,0.0,0.8374259701388904,2,12.0,0.0058111671236830064,2,14.0
100.0,2,3.0,0.3333333333333333,6.500375491176,1,2.0,2.6419078087595667e-05,0,0.0,0.8997489303058235,0,0.0,0.34048253981085497,0,4.0,0.20115691469440702,1,6.0
105.0,3,5.0,0.45454545454545453,7.025629966903309,0,0.0,1.0,1,3.0,0.47093231118889667,2,4.0,0.3060766039784301,0,0.0,0.516618235972483,3,7.0
110.0,2,11.0,1.1,7.074557028375745,0,0.0,1.0,0,2.0,0.0077692592923014146,2,11.0,0.2395826657949268,0,2.0,0.46721070671814363,2,15.0
115.0,1,5.0,0.625,6.516082557725618,0,0.0,1.0,1,7.0,1.033401410953658e-05,0,5.0,0.3248922716673386,0,2.0,0.8690662379038583,1,14.0
120.0,1,2.0,0.2222222222222222,8.593335931088575,0,2.0,0.9582181043603893,0,0.0,1.0,1,2.0,0.6085092226627964,0,2.0,0.4752399767577558,1,6.0
125.0,2,5.0,0.5,7.04135509235531,0,0.0,1.0,0,0.0,1.0,1,0.0,0.3935473687994377,1,9.0,0.5283338935966941,2,9.0
130.0,2,12.0,1.2,7.012166112256672,0,0.0,0.12415363368907316,0,0.0,0.9286796181462114,1,2.0,0.4125226778971335,1,14.0,0.5287983665768645,2,16.0
135.0,3,27.0,2.4545454545454546,5.368987504050869,0,0.0,0.7114270786327405,0,0.0,0.017078994224924086,1,7.0,0.3977688099999645,2,22.0,0.19002823342186115,3,29.0
140.0,3,16.0,1.4545454545454546,5.614817240323131,0,0.0,0.34778874153403744,0,0.0,1.0,1,14.0,0.4199674179330855,1,3.0,0.0003754304869009541,2,17.0
145.0,4,14.0,1.1666666666666667,6.421249859063862,2,7.0,0.3703020263398488,0,0.0,0.5152515132251089,1,8.0,0.4921606145118949,1,8.0,0.0,4,23.0
150.0,2,8.0,0.7272727272727273,7.528237390042016,1,4.0,0.6115161188566746,0,0.0,0.9494875160371152,1,9.0,0.3412793011647981,0,0.0,1.0,2,13.0
155.0,1,7.0,0.5833333333333334,8.677070512469523,1,9.0,0.4802501789242967,0,0.0,1.0,0,0.0,0.854954708913386,0,2.0,0.4097787285553411,1,11.0
160.0,1,1.0,0.1111111111111111,6.759499765063039,0,0.0,0.2747982364155083,0,0.0,0.9675424812720939,0,0.0,1.0,0,2.0,0.6623396271863854,0,2.0
165.0,2,5.0,0.45454545454545453,6.631296759736034,1,5.0,0.3263024279042567,0,0.0,1.0,1,2.0,0.5519204261740943,0,0.0,0.9006411194872709,2,7.0
170.0,1,10.0,0.8333333333333334,6.419355331702339,1,10.0,0.05615946279979017,0,0.0,0.6063590422851155,0,0.0,0.8892532423673434,0,0.0,0.9492495215536383,1,10.0
175.0,1,2.0,0.18181818181818182,7.047627791235573,1,2.0,0.45089892547778176,0,0.0,0.6040664373084721,0,0.0,0.5582556686830078,0,0.0,0.492486908698474,1,2.0
180.0,2,11.0,1.1,7.304010834708952,1,7.0,2.207344004104292e-05,0,0.0,0.341253736094883,0,0.0,0.9206805793273674,1,5.0,0.6585747573911127,2,12.0
185.0,2,9.0,0.8181818181818182,8.066518086213266,1,0.0,0.0,0,0.0,0.9427804489598028,0,0.0,0.5532491128483167,1,9.0,0.4995245427797303,2,9.0
190.0,0,0.0,0.0,7.382936989847565,0,0.0,0.6029997286633154,0,0.0,1.0,0,2.0,0.49593208235245334,0,0.0,0.013681307033289193,0,2.0
195.0,1,5.0,0.625,8.709366763540846,0,0.0,0.694162552525156,0,0.0,1.0,0,2.0,0.9447599124082793,1,5.0,0.13351934753797512,1,7.0
200.0,0,0.0,0.0,8.251765427616233,0,0.0,0.44150770625816865,0,0.0,0.3523199996861246,0,0.0,0.9929105756399507,0,0.0,0.8858258424355117,0,0.0
205.0,5,10.0,1.25,4.046123228894365,1,4.0,0.0,0,0.0,0.7352713032649464,2,1.0,0.0018425159797961167,1,1.0,0.0027526939551123218,4,6.0
210.0,1,1.0,0.1111111111111111,6.883444609393452,0,0.0,1.0,1,1.0,0.23252752139754085,0,0.0,0.8179843476759548,0,0.0,0.13450049680585857,1,1.0
215.0,0,0.0,0.0,9.733777222576887,0,0.0,1.0,0,4.0,0.7613177282165976,0,0.0,0.39228495798483265,0,2.0,0.8289873328058378,0,6.0
220.0,1,3.0,0.3333333333333333,5.098143744740553,0,2.0,0.7480107245154904,0,2.0,0.5124557020471023,1,3.0,0.0007736600692004916,0,2.0,0.2089570984261165,1,9.0
225.0,4,16.0,1.4545454545454546,5.477456496744728,0,0.0,0.9578586153518864,1,6.0,0.0001185755103900098,2,9.0,0.3534564484688556,1,8.0,0.34991499151579414,4,23.0
230.0,1,9.0,0.75,8.002645956304754,0,0.0,0.8474876934675507,0,0.0,0.5458021343510017,0,1.0,0.917056694108257,1,13.0,0.5956694700171757,1,14.0
235.0,1,2.0,0.15384615384615385,7.739672859952469,0,0.0,0.24159708422820653,0,0.0,0.6607046535807043,0,3.0,0.7165614211580781,1,4.0,0.0003201722090529172,1,7.0
240.0,2,9.0,0.75,7.65944447826062,0,1.0,0.8193289995662841,0,0.0,1.0,0,3.0,0.6435210732031557,1,9.0,0.20217126090555415,1,13.0
245.0,5,20.0,1.6666666666666667,5.625040123723337,1,2.0,0.5564730390551893,0,0.0,1.0,2,10.0,0.0020762453281098314,2,14.0,0.34387550900133157,5,26.0
250.0,2,23.0,2.090909090909091,6.633248970275216,1,11.0,0.4612559389721439,0,0.0,1.0,0,5.0,0.5058413070081936,1,19.0,0.4247346486509118,2,35.0
255.0,1,22.0,2.0,8.844038889702547,0,0.0,0.3224879889710848,0,0.0,0.6551176488594725,0,0.0,0.7006730254054823,1,24.0,0.4955439288077099,1,24.0
260.0,2,29.0,2.6363636363636362,9.236024084929435,0,0.0,0.9234498366018118,0,0.0,0.8207558523587375,1,4.0,0.6264626734542776,1,29.0,0.19673484562956864,2,33.0
265.0,2,33.0,3.3,6.84639864647112,0,2.0,0.43022122639241633,0,0.0,0.7402051240951038,1,3.0,0.4606783507699602,1,34.0,0.4658881015082175,2,39.0
270.0,2,7.0,0.6363636363636364,6.599659539772955,0,2.0,0.6261914334784108,0,0.0,1.0,1,8.0,0.270864004584934,1,1.0,0.0017599857355071918,2,11.0
275.0,3,19.0,1.7272727272727273,8.238386385760432,1,4.0,0.38983400876618385,0,0.0,0.552005155352288,1,13.0,0.4695890448008498,1,6.0,0.0,3,23.0
280.0,1,7.0,0.875,7.952981752978838,1,9.0,0.4020814182860863,0,0.0,0.9336989130113472,0,0.0,1.0,0,0.0,0.9979014065604602,1,9.0
285.0,1,12.0,1.3333333333333333,9.869795225555265,1,14.0,0.4745471192956199,0,0.0,0.7524406018321004,0,0.0,1.0,0,0.0,0.6285532870069732,1,14.0
290.0,1,17.0,2.125,7.114961471823709,1,19.0,0.041220978860558685,0,0.0,0.9069514728879693,0,0.0,0.48991909584466053,0,0.0,0.999217078454756,1,19.0
295.0,2,23.0,2.5555555555555554,8.580747978763368,1,24.0,0.3561661755456667,1,1.0,0.004219640266642914,0,3.0,0.7613664905027511,0,0.0,1.0,2,28.0
300.0,2,29.0,2.9,6.050657902825921,1,29.0,0.0,0,0.0,0.4136821504157151,1,2.0,0.3834271236594247,0,0.0,1.0,2,31.0
305.0,2,32.0,3.2,5.875560579876004,2,34.0,0.0,0,0.0,0.9292518544804702,0,0.0,0.026735953185063853,0,0.0,0.4736793637198888,2,34.0
310.0,1,4.0,0.5,7.250412373734623,0,1.0,0.7663468765067915,0,0.0,1.0,1,4.0,0.10201935631664417,0,0.0,0.924914402018486,1,5.0
