step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,0,0,0,0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,2,6.0,3.0,0,0,0,3.0,0.0375,0.0
25,3,20.0,6.666666666666667,0,0,0,6.666666666666667,0.05707762557077625,0.0
30,5,37.0,7.4,0,0,0,7.4,0.06029774489076815,0.0
35,4,57.0,14.25,0,0,0,14.25,0.05974183583406884,0.0
40,4,77.0,19.25,0,0,0,19.25,0.059016164994425864,0.0
45,3,21.0,7.0,1,2.0,2.0,5.0,0.03012295081967213,1.5999999999999996
50,3,14.0,4.666666666666667,1,7.0,7.0,2.333333333333333,0.03852201257861635,5.25
55,4,32.0,8.0,1,12.0,12.0,4.0,0.04961240310077519,9.0
60,9,66.0,7.333333333333333,1,17.0,17.0,9.666666666666668,0.06948698315467075,11.899999999999988
65,10,111.0,11.1,1,22.0,22.0,10.9,0.08940700104493209,15.399999999999984
70,10,161.0,16.1,2,27.0,13.5,2.6000000000000014,0.10167968995167263,17.549999999999986
75,12,216.0,18.0,3,35.0,11.666666666666666,6.333333333333334,0.11203319502074689,21.849999999999984
80,12,272.0,22.666666666666668,3,47.0,15.666666666666666,7.000000000000002,0.11863711001642036,25.39999999999999
85,14,337.0,24.071428571428573,5,62.0,12.4,11.671428571428573,0.12826046692325763,30.39999999999999
90,7,148.0,21.142857142857142,0,0,0,21.142857142857142,0.09178063824081523,0.0
95,3,5.0,1.6666666666666667,0,0,0,1.6666666666666667,0.04734848484848485,0.0
100,4,17.0,4.25,1,1.0,1.0,3.25,0.06081649831649832,0.5
105,6,38.0,6.333333333333333,1,6.0,6.0,0.33333333333333304,0.08130630630630631,3.0
110,6,55.0,9.166666666666666,3,11.0,3.6666666666666665,5.5,0.07967235566793089,4.949999999999992
115,6,78.0,13.0,1,16.0,16.0,3.0,0.07455882352941176,7.199999999999989
120,11,119.0,10.818181818181818,2,21.0,10.5,0.31818181818181834,0.09069192540219284,8.39999999999997
125,11,170.0,15.454545454545455,1,26.0,26.0,10.545454545454545,0.10119047619047619,10.399999999999963
130,12,230.0,19.166666666666668,1,31.0,31.0,11.833333333333332,0.1021393265369169,10.849999999999989
135,8,109.0,13.625,1,2.0,2.0,11.625,0.05611444872666818,0.8999999999999986
140,2,5.0,2.5,2,7.0,3.5,1.0,0.04006410256410257,3.149999999999995
145,5,23.0,4.6,2,12.0,6.0,1.4000000000000004,0.058311287477954145,6.0
150,5,46.0,9.2,3,20.0,6.666666666666667,2.5333333333333323,0.0650196656833825,10.0
155,8,82.0,10.25,3,33.0,11.0,0.75,0.07499107780157031,15.0
160,10,126.0,12.6,4,48.0,12.0,0.5999999999999996,0.08293630892678035,19.29999999999999
165,10,171.0,17.1,4,63.0,15.75,1.3500000000000014,0.08612858758659692,24.29999999999999
170,10,220.0,22.0,5,80.0,16.0,6.0,0.08955002960331557,28.59999999999998
175,13,278.0,21.384615384615383,5,102.0,20.4,0.9846153846153847,0.09687625350982752,33.59999999999998
180,8,147.0,18.375,1,7.0,7.0,11.375,0.07204152664426308,2.4499999999999975
185,2,5.0,2.5,2,12.0,6.0,3.5,0.030637254901960783,4.199999999999996
190,5,24.0,4.8,1,17.0,17.0,12.2,0.049586776859504134,5.099999999999982
195,6,37.0,6.166666666666667,4,22.0,5.5,0.666666666666667,0.04519941891178024,7.699999999999992
200,9,76.0,8.444444444444445,3,36.0,12.0,3.5555555555555554,0.07713675213675214,11.599999999999977
205,12,129.0,10.75,3,51.0,17.0,6.25,0.10092794759825327,17.699999999999992
210,17,202.0,11.882352941176471,3,66.0,22.0,10.117647058823529,0.12556622353520433,21.599999999999977
215,17,285.0,16.764705882352942,5,81.0,16.2,0.5647058823529427,0.13832972288073245,26.599999999999977
220,18,371.0,20.61111111111111,5,101.0,20.2,0.4111111111111114,0.14361300312181766,31.599999999999977
225,11,215.0,19.545454545454547,1,7.0,7.0,12.545454545454547,0.11985324621447832,2.4499999999999975
230,6,10.0,1.6666666666666667,2,12.0,6.0,4.333333333333333,0.08680555555555555,3.599999999999987
235,7,39.0,5.571428571428571,1,17.0,17.0,11.428571428571429,0.06375754527162977,5.949999999999994
240,7,40.0,5.714285714285714,2,22.0,11.0,5.285714285714286,0.08771929824561403,6.5999999999999766
245,6,53.0,8.833333333333334,2,31.0,15.5,6.666666666666666,0.07689991239597022,10.899999999999975
250,9,87.0,9.666666666666666,2,41.0,20.5,10.833333333333334,0.08883802816901408,14.75
255,11,133.0,12.090909090909092,3,51.0,17.0,4.909090909090908,0.10666304872165944,19.75
260,13,194.0,14.923076923076923,2,61.0,30.5,15.576923076923077,0.12040591728091728,23.599999999999984
265,15,265.0,17.666666666666668,3,71.0,23.666666666666668,6.0,0.12340960213693238,28.599999999999984
270,11,134.0,12.181818181818182,0,0,0,12.181818181818182,0.08860334754460761,0.0
275,5,14.0,2.8,0,0,0,2.8,0.07040229885057471,0.0
280,7,48.0,6.857142857142857,0,0,0,6.857142857142857,0.07339449541284404,0.0
285,5,49.0,9.8,1,1.0,1.0,8.8,0.058641070730754204,0.34999999999999964
290,6,74.0,12.333333333333334,2,6.0,3.0,9.333333333333334,0.06609694862881421,1.7999999999999936
295,8,77.0,9.625,1,11.0,11.0,1.375,0.07339324618736383,3.849999999999996
300,10,120.0,12.0,2,16.0,8.0,4.0,0.08121277747698971,4.799999999999983
305,13,181.0,13.923076923076923,2,23.0,11.5,2.4230769230769234,0.0946762149165395,7.69999999999998
310,16,258.0,16.125,2,27.0,13.5,2.625,0.10365899237554194,7.25
315,11,144.0,13.090909090909092,1,2.0,2.0,11.090909090909092,0.059833795013850416,0.5999999999999979
320,1,3.0,3.0,2,0.0,0.0,3.0,0.020833333333333332,0.0
325,1,8.0,8.0,1,0.0,0.0,8.0,0.020833333333333332,0.0
330,3,17.0,5.666666666666667,2,5.0,2.5,3.166666666666667,0.032545045045045046,1.4999999999999947
335,5,36.0,7.2,3,14.0,4.666666666666667,2.533333333333333,0.06164383561643835,6.099999999999998
340,9,69.0,7.666666666666667,2,24.0,12.0,4.333333333333333,0.09869402985074627,10.799999999999994
345,10,118.0,11.8,4,34.0,8.5,3.3000000000000007,0.12167925055928412,16.099999999999998
350,11,173.0,15.727272727272727,3,44.0,14.666666666666666,1.0606060606060606,0.12701585523188702,20.799999999999994
355,14,233.0,16.642857142857142,3,56.0,18.666666666666668,2.0238095238095255,0.12980842801943457,25.799999999999994
360,10,101.0,10.1,1,0.0,0.0,10.1,0.08370257319154523,0.0
365,0,0.0,0,0,0,0,0,1.0,0.0
370,2,2.0,1.0,3,0.0,0.0,1.0,0.020833333333333332,0.0
375,5,18.0,3.6,0,0,0,3.6,0.075,0.0
380,9,48.0,5.333333333333333,2,0.0,0.0,5.333333333333333,0.08664259927797834,0.0
385,10,95.0,9.5,2,5.0,2.5,7.0,0.08542518552173255,0.9999999999999964
390,13,150.0,11.538461538461538,3,12.0,4.0,7.538461538461538,0.0860091743119266,3.1999999999999886
395,17,222.0,13.058823529411764,4,24.0,6.0,7.0588235294117645,0.09125044436544615,8.199999999999989
400,17,307.0,18.058823529411764,5,40.0,8.0,10.058823529411764,0.09784825002906929,12.799999999999983
405,14,213.0,15.214285714285714,1,0.0,0.0,15.214285714285714,0.0704155181405051,0.0
410,4,15.0,3.75,1,5.0,5.0,1.25,0.06793478260869565,0.9999999999999964
415,5,23.0,4.6,2,10.0,5.0,0.40000000000000036,0.06761247443762781,2.5
420,6,48.0,8.0,4,20.0,5.0,3.0,0.08480565371024736,5.3999999999999915
