step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time,cross_modal_fairness,intra_lane_fairness,p95_ped_wait_time
0,1,0.0,0.0,0,0,0,0.0,1.0,0.0
5,0,0.0,0,0,0,0,0,1.0,0.0
10,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0
15,1,0.0,0.0,0,0,0,0.0,1.0,0.0
20,0,0.0,0,0,0,0,0,1.0,0.0
25,2,6.0,3.0,0,0,0,3.0,0.0375,0.0
30,6,26.0,4.333333333333333,0,0,0,4.333333333333333,0.03806306306306306,0.0
35,6,52.0,8.666666666666666,0,0,0,8.666666666666666,0.04064454064454064,0.0
40,6,82.0,13.666666666666666,0,0,0,13.666666666666666,0.045393173471592135,0.0
45,9,120.0,13.333333333333334,0,0,0,13.333333333333334,0.05436752446538601,0.0
50,5,42.0,8.4,0,0,0,8.4,0.06706204379562043,0.0
55,7,73.0,10.428571428571429,0,0,0,10.428571428571429,0.07280054644808744,0.0
60,12,114.0,9.5,0,0,0,9.5,0.08361642989499692,0.0
65,12,172.0,14.333333333333334,0,0,0,14.333333333333334,0.10485425881819213,0.0
70,13,234.0,18.0,0,0,0,18.0,0.11767588198885909,0.0
75,10,175.0,17.5,1,1.0,1.0,16.5,0.1223903382569218,0.6499999999999995
80,13,232.0,17.846153846153847,2,2.0,1.0,16.846153846153847,0.13164279564843076,1.1999999999999993
85,6,153.0,25.5,1,7.0,7.0,18.5,0.07581027514378984,4.1999999999999975
90,11,195.0,17.727272727272727,1,12.0,12.0,5.727272727272727,0.08468065205772314,6.599999999999987
95,8,81.0,10.125,0,0,0,10.125,0.08442711550339715,0.0
100,6,45.0,7.5,0,0,0,7.5,0.06643700787401575,0.0
105,6,68.0,11.333333333333334,0,0,0,11.333333333333334,0.0695045695045695,0.0
110,8,102.0,12.75,2,0.0,0.0,12.75,0.07249163879598662,0.0
115,10,151.0,15.1,2,8.0,4.0,11.1,0.08191426682761396,3.8999999999999986
120,8,68.0,8.5,2,8.0,4.0,4.5,0.06535504296698326,3.5999999999999943
125,9,95.0,10.555555555555555,3,16.0,5.333333333333333,5.222222222222222,0.06195085118066996,7.5
130,10,134.0,13.4,5,28.0,5.6,7.800000000000001,0.06118471268127794,11.949999999999992
135,13,191.0,14.692307692307692,4,45.0,11.25,3.4423076923076916,0.06686204216885136,16.949999999999992
140,8,107.0,13.375,1,0.0,0.0,13.375,0.06382682187137632,0.0
145,7,92.0,13.142857142857142,6,6.0,1.0,12.142857142857142,0.05513862830936002,2.3999999999999986
150,10,121.0,12.1,4,23.0,5.75,6.35,0.06256837606837606,7.35
155,12,167.0,13.916666666666666,5,46.0,9.2,4.716666666666667,0.07376169015276543,12.35
160,10,140.0,14.0,5,63.0,12.6,1.4000000000000004,0.05738242458309912,17.299999999999997
165,8,120.0,15.0,3,23.0,7.666666666666667,7.333333333333333,0.0335195530726257,6.8999999999999755
170,4,39.0,9.75,2,3.0,1.5,8.25,0.04808421851289833,1.25
175,7,69.0,9.857142857142858,2,13.0,6.5,3.3571428571428577,0.06697332883187036,6.25
180,10,109.0,10.9,4,23.0,5.75,5.15,0.08080993579279573,11.2
185,10,114.0,11.4,3,38.0,12.666666666666666,1.2666666666666657,0.08842259960809928,16.2
190,9,113.0,12.555555555555555,5,53.0,10.6,1.9555555555555557,0.07088218314237499,21.15
195,9,136.0,15.11111111111111,6,71.0,11.833333333333334,3.277777777777777,0.06463155540646316,26.15
200,7,85.0,12.142857142857142,6,69.0,11.5,0.6428571428571423,0.07083333333333333,21.099999999999977
205,8,98.0,12.25,9,99.0,11.0,1.25,0.05816375968992248,26.649999999999984
210,10,142.0,14.2,9,139.0,15.444444444444445,1.2444444444444454,0.06051330068184001,31.649999999999984
215,9,145.0,16.11111111111111,6,109.0,18.166666666666668,2.055555555555557,0.07643008782644099,25.39999999999999
220,7,110.0,15.714285714285714,7,136.0,19.428571428571427,3.7142857142857135,0.08857460763644882,29.799999999999983
225,11,150.0,13.636363636363637,8,167.0,20.875,7.238636363636363,0.09981899488926746,34.79999999999998
230,11,201.0,18.272727272727273,10,207.0,20.7,2.427272727272726,0.10295871559633027,39.199999999999974
235,9,154.0,17.11111111111111,9,171.0,19.0,1.8888888888888893,0.06281252648529537,41.49999999999997
240,4,6.0,1.5,7,105.0,15.0,13.5,0.020833333333333332,23.900000000000027
245,5,26.0,5.2,10,132.0,13.2,7.999999999999999,0.030749636098981077,32.699999999999946
250,8,55.0,6.875,7,165.0,23.571428571428573,16.696428571428573,0.04232426684575778,35.79999999999992
255,10,93.0,9.3,7,200.0,28.571428571428573,19.271428571428572,0.05422434547095997,40.79999999999992
260,8,114.0,14.25,7,235.0,33.57142857142857,19.32142857142857,0.04703787352328006,47.699999999999946
265,8,154.0,19.25,7,270.0,38.57142857142857,19.32142857142857,0.05236152324431256,54.59999999999997
270,8,117.0,14.625,5,238.0,47.6,32.975,0.051899454049135575,57.699999999999946
275,12,134.0,11.166666666666666,6,263.0,43.833333333333336,32.66666666666667,0.04477894820844306,64.59999999999997
280,12,189.0,15.75,5,288.0,57.6,41.85,0.0512914397959887,67.69999999999995
285,15,247.0,16.466666666666665,5,313.0,62.6,46.13333333333334,0.05586168124349902,76.5
290,16,324.0,20.25,6,338.0,56.333333333333336,36.083333333333336,0.06502735490009515,79.59999999999997
295,15,333.0,22.2,6,365.0,60.833333333333336,38.63333333333334,0.05651558333537197,84.59999999999997
300,11,278.0,25.272727272727273,2,64.0,32.0,6.727272727272727,0.033425022489793094,14.499999999999929
305,9,318.0,35.333333333333336,5,74.0,14.8,20.533333333333335,0.03365200306689668,21.999999999999964
310,12,373.0,31.083333333333332,3,85.0,28.333333333333332,2.75,0.03475653016767592,24.49999999999993
315,15,437.0,29.133333333333333,6,101.0,16.833333333333332,12.3,0.036195682499825625,29.49999999999993
320,10,200.0,20.0,3,44.0,14.666666666666666,5.333333333333334,0.035102499297950014,12.599999999999966
325,4,34.0,8.5,6,59.0,9.833333333333334,1.333333333333334,0.03705128205128205,17.599999999999966
330,2,5.0,2.5,4,20.0,5.0,2.5,0.04006410256410257,4.6000000000000085
335,4,18.0,4.5,6,34.0,5.666666666666667,1.166666666666667,0.057203389830508475,9.600000000000009
340,7,47.0,6.714285714285714,3,49.0,16.333333333333332,9.619047619047617,0.08322031344183244,14.600000000000009
345,12,93.0,7.75,3,64.0,21.333333333333332,13.583333333333332,0.10117209432902864,20.799999999999983
350,13,154.0,11.846153846153847,4,79.0,19.75,7.903846153846153,0.11028645833333334,25.199999999999974
355,10,120.0,12.0,3,72.0,24.0,12.0,0.09946949602122016,30.199999999999974
360,8,96.0,12.0,4,82.0,20.5,8.5,0.07823960880195599,34.60000000000001
365,9,119.0,13.222222222222221,4,97.0,24.25,11.027777777777779,0.07593843843843844,40.199999999999974
370,10,167.0,16.7,4,112.0,28.0,11.3,0.09023463788372936,45.199999999999974
375,13,185.0,14.23076923076923,5,132.0,26.4,12.169230769230769,0.12766711429424052,50.79999999999998
380,12,197.0,16.416666666666668,5,152.0,30.4,13.98333333333333,0.1345964430386771,55.79999999999998
385,11,126.0,11.454545454545455,4,106.0,26.5,15.045454545454545,0.08174740484429066,31.799999999999955
390,13,181.0,13.923076923076923,4,126.0,31.5,17.576923076923077,0.09671543620990979,36.799999999999955
395,13,243.0,18.692307692307693,5,146.0,29.2,10.507692307692306,0.1064820825759543,41.799999999999955
400,13,258.0,19.846153846153847,2,50.0,25.0,5.153846153846153,0.09308296415626259,20.99999999999998
405,14,254.0,18.142857142857142,5,38.0,7.6,10.542857142857143,0.07067427349528517,7.7999999999999545
410,14,320.0,22.857142857142858,3,48.0,16.0,6.857142857142858,0.07494847292486416,11.199999999999932
