step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time
5,1,0.0,0.0,0,0,0
10,0,0.0,0,1,0.0,0.0
15,0,0.0,0,1,0.0,0.0
20,0,0.0,0,2,0.0,0.0
25,1,0.0,0.0,0,0,0
30,0,0.0,0,0,0,0
35,1,4.0,4.0,0,0,0
40,0,0.0,0,1,2.0,2.0
45,1,1.0,1.0,0,0,0
50,0,0.0,0,1,0.0,0.0
55,1,3.0,3.0,2,1.0,0.5
60,1,3.0,3.0,1,6.0,6.0
65,1,0.0,0.0,0,0,0
70,1,3.0,3.0,1,0.0,0.0
75,0,0.0,0,0,0,0
80,1,3.0,3.0,0,0,0
85,2,8.0,4.0,1,0.0,0.0
90,0,0.0,0,2,1.0,0.5
95,1,5.0,5.0,2,0.0,0.0
100,1,0.0,0.0,4,1.0,0.25
105,2,2.0,1.0,2,6.0,3.0
110,0,0.0,0,0,0,0
115,0,0.0,0,4,0.0,0.0
120,0,0.0,0,0,0,0
125,2,4.0,2.0,2,0.0,0.0
130,0,0.0,0,1,0.0,0.0
135,0,0.0,0,2,0.0,0.0
140,0,0.0,0,3,0.0,0.0
145,2,2.0,1.0,1,0.0,0.0
150,0,0.0,0,1,0.0,0.0
155,1,1.0,1.0,1,0.0,0.0
160,0,0.0,0,0,0,0
165,3,5.0,1.6666666666666667,1,0.0,0.0
170,2,13.0,6.5,2,0.0,0.0
175,3,10.0,3.3333333333333335,0,0,0
180,2,10.0,5.0,0,0,0
185,2,13.0,6.5,2,2.0,1.0
190,1,1.0,1.0,0,0,0
195,2,10.0,5.0,1,1.0,1.0
200,3,22.0,7.333333333333333,3,8.0,2.6666666666666665
205,2,14.0,7.0,2,18.0,9.0
210,2,6.0,3.0,3,0.0,0.0
215,1,1.0,1.0,5,3.0,0.6
220,2,9.0,4.5,3,9.0,3.0
225,1,0.0,0.0,1,0.0,0.0
230,1,4.0,4.0,4,0.0,0.0
235,0,0.0,0,1,0.0,0.0
240,1,4.0,4.0,3,6.0,2.0
245,1,0.0,0.0,2,8.0,4.0
250,1,1.0,1.0,6,18.0,3.0
255,1,3.0,3.0,0,0,0
260,2,7.0,3.5,4,1.0,0.25
265,2,2.0,1.0,2,7.0,3.5
270,1,7.0,7.0,1,6.0,6.0
275,2,4.0,2.0,2,11.0,5.5
280,2,10.0,5.0,1,16.0,16.0
285,1,0.0,0.0,1,0.0,0.0
290,1,4.0,4.0,2,0.0,0.0
295,0,0.0,0,0,0,0
300,2,5.0,2.5,2,0.0,0.0
305,2,7.0,3.5,1,2.0,2.0
310,0,0.0,0,1,0.0,0.0
315,0,0.0,0,1,0.0,0.0
320,1,2.0,2.0,0,0,0
325,2,1.0,0.5,2,0.0,0.0
330,0,0.0,0,2,4.0,2.0
335,2,3.0,1.5,5,9.0,1.8
340,0,0.0,0,3,0.0,0.0
345,1,0.0,0.0,3,0.0,0.0
350,1,5.0,5.0,1,1.0,1.0
355,3,10.0,3.3333333333333335,1,6.0,6.0
360,0,0.0,0,1,0.0,0.0
365,2,4.0,2.0,2,2.0,1.0
370,1,4.0,4.0,1,3.0,3.0
375,1,1.0,1.0,3,9.0,3.0
380,0,0.0,0,1,6.0,6.0
385,2,1.0,0.5,5,11.0,2.2
390,1,1.0,1.0,4,4.0,1.0
395,2,6.0,3.0,1,0.0,0.0
400,0,0.0,0,3,0.0,0.0
405,2,4.0,2.0,1,0.0,0.0
410,1,5.0,5.0,0,0,0
415,0,0.0,0,1,1.0,1.0
420,1,3.0,3.0,2,0.0,0.0
425,1,0.0,0.0,2,1.0,0.5
430,0,0.0,0,4,6.0,1.5
435,1,5.0,5.0,3,17.0,5.666666666666667
440,2,4.0,2.0,1,6.0,6.0
445,3,14.0,4.666666666666667,4,11.0,2.75
450,0,0.0,0,0,0,0
455,1,5.0,5.0,3,0.0,0.0
460,0,0.0,0,2,0.0,0.0
465,2,5.0,2.5,5,6.0,1.2
470,0,0.0,0,3,16.0,5.333333333333333
475,1,2.0,2.0,7,28.0,4.0
480,2,4.0,2.0,4,29.0,7.25
485,2,8.0,4.0,8,47.0,5.875
490,1,1.0,1.0,6,55.0,9.166666666666666
495,1,2.0,2.0,6,72.0,12.0
500,0,0.0,0,1,1.0,1.0
505,2,3.0,1.5,7,4.0,0.5714285714285714
510,0,0.0,0,4,13.0,3.25
515,3,9.0,3.0,5,30.0,6.0
520,1,2.0,2.0,3,32.0,10.666666666666666
525,1,7.0,7.0,2,0.0,0.0
530,1,5.0,5.0,4,0.0,0.0
535,1,5.0,5.0,2,4.0,2.0
540,0,0.0,0,0,0,0
545,2,2.0,1.0,2,0.0,0.0
550,0,0.0,0,4,2.0,0.5
555,1,1.0,1.0,6,12.0,2.0
560,1,2.0,2.0,2,19.0,9.5
565,0,0.0,0,5,12.0,2.4
570,1,1.0,1.0,2,21.0,10.5
575,0,0.0,0,2,10.0,5.0
580,1,2.0,2.0,3,6.0,2.0
585,3,9.0,3.0,2,0.0,0.0
590,2,9.0,4.5,5,0.0,0.0
595,2,11.0,5.5,2,5.0,2.5
600,0,0.0,0,0,0,0
605,3,8.0,2.6666666666666665,2,0.0,0.0
610,1,2.0,2.0,0,0,0
615,2,3.0,1.5,1,1.0,1.0
620,2,7.0,3.5,1,6.0,6.0
625,2,1.0,0.5,1,1.0,1.0
630,1,6.0,6.0,6,4.0,0.6666666666666666
635,1,1.0,1.0,2,0.0,0.0
640,2,10.0,5.0,4,0.0,0.0
645,3,13.0,4.333333333333333,1,0.0,0.0
650,1,4.0,4.0,0,0,0
655,1,1.0,1.0,0,0,0
660,1,6.0,6.0,1,0.0,0.0
665,2,4.0,2.0,1,0.0,0.0
670,0,0.0,0,1,0.0,0.0
675,0,0.0,0,2,0.0,0.0
680,0,0.0,0,4,5.0,1.25
685,1,0.0,0.0,2,0.0,0.0
690,1,5.0,5.0,4,3.0,0.75
695,0,0.0,0,3,0.0,0.0
700,0,0.0,0,3,2.0,0.6666666666666666
705,1,0.0,0.0,1,0.0,0.0
710,1,4.0,4.0,3,1.0,0.3333333333333333
715,0,0.0,0,6,8.0,1.3333333333333333
720,0,0.0,0,4,21.0,5.25
725,1,0.0,0.0,4,28.0,7.0
730,0,0.0,0,2,19.0,9.5
735,1,4.0,4.0,6,25.0,4.166666666666667
740,1,2.0,2.0,2,8.0,4.0
745,2,2.0,1.0,3,7.0,2.3333333333333335
750,2,5.0,2.5,2,0.0,0.0
755,1,6.0,6.0,3,0.0,0.0
760,0,0.0,0,3,2.0,0.6666666666666666
765,1,0.0,0.0,3,9.0,3.0
770,0,0.0,0,5,19.0,3.8
775,1,1.0,1.0,2,18.0,9.0
780,1,4.0,4.0,3,6.0,2.0
