step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time
5,1,0.0,0.0,0,0,0
10,0,0.0,0,0,0,0
15,0,0.0,0,0,0,0
20,0,0.0,0,2,0.0,0.0
25,1,0.0,0.0,0,0,0
30,0,0.0,0,0,0,0
35,0,0.0,0,0,0,0
40,1,3.0,3.0,1,1.0,1.0
45,1,0.0,0.0,0,0,0
50,1,5.0,5.0,1,0.0,0.0
55,1,1.0,1.0,2,1.0,0.5
60,1,3.0,3.0,1,6.0,6.0
65,2,1.0,0.5,0,0,0
70,2,7.0,3.5,1,0.0,0.0
75,0,0.0,0,1,0.0,0.0
80,1,1.0,1.0,0,0,0
85,1,0.0,0.0,1,0.0,0.0
90,2,6.0,3.0,3,0.0,0.0
95,0,0.0,0,2,2.0,1.0
100,0,0.0,0,5,0.0,0.0
105,1,0.0,0.0,3,1.0,0.3333333333333333
110,0,0.0,0,4,6.0,1.5
115,0,0.0,0,2,11.0,5.5
120,0,0.0,0,3,16.0,5.333333333333333
125,2,5.0,2.5,1,0.0,0.0
130,0,0.0,0,2,0.0,0.0
135,1,3.0,3.0,0,0,0
140,1,3.0,3.0,0,0,0
145,1,0.0,0.0,2,0.0,0.0
150,0,0.0,0,1,5.0,5.0
155,1,2.0,2.0,4,10.0,2.5
160,1,1.0,1.0,1,0.0,0.0
165,2,2.0,1.0,2,0.0,0.0
170,1,1.0,1.0,0,0,0
175,0,0.0,0,1,0.0,0.0
180,0,0.0,0,3,3.0,1.0
185,1,0.0,0.0,2,0.0,0.0
190,0,0.0,0,2,0.0,0.0
195,2,6.0,3.0,2,0.0,0.0
200,0,0.0,0,1,0.0,0.0
205,2,4.0,2.0,2,0.0,0.0
210,1,2.0,2.0,2,0.0,0.0
215,1,7.0,7.0,2,0.0,0.0
220,0,0.0,0,1,0.0,0.0
225,3,6.0,2.0,3,3.0,1.0
230,0,0.0,0,2,10.0,5.0
235,1,1.0,1.0,2,16.0,8.0
240,1,2.0,2.0,2,26.0,13.0
245,0,0.0,0,1,1.0,1.0
250,0,0.0,0,1,0.0,0.0
255,1,1.0,1.0,3,0.0,0.0
260,0,0.0,0,1,0.0,0.0
265,2,2.0,1.0,3,0.0,0.0
270,0,0.0,0,0,0,0
275,1,5.0,5.0,1,0.0,0.0
280,0,0.0,0,0,0,0
285,1,0.0,0.0,0,0,0
290,0,0.0,0,0,0,0
295,0,0.0,0,2,0.0,0.0
300,1,1.0,1.0,1,0.0,0.0
305,1,0.0,0.0,3,0.0,0.0
310,1,3.0,3.0,0,0,0
315,0,0.0,0,1,0.0,0.0
320,0,0.0,0,1,0.0,0.0
325,1,0.0,0.0,0,0,0
330,0,0.0,0,2,1.0,0.5
335,1,1.0,1.0,0,0,0
340,1,2.0,2.0,3,0.0,0.0
345,2,7.0,3.5,2,0.0,0.0
350,1,2.0,2.0,1,0.0,0.0
355,2,10.0,5.0,3,0.0,0.0
360,2,13.0,6.5,1,0.0,0.0
365,3,7.0,2.3333333333333335,2,0.0,0.0
370,3,11.0,3.6666666666666665,1,0.0,0.0
375,3,17.0,5.666666666666667,4,2.0,0.5
380,0,0.0,0,5,16.0,3.2
385,1,0.0,0.0,0,0,0
390,2,4.0,2.0,1,0.0,0.0
395,1,2.0,2.0,3,0.0,0.0
400,1,7.0,7.0,0,0,0
405,1,0.0,0.0,3,0.0,0.0
410,0,0.0,0,0,0,0
415,0,0.0,0,1,0.0,0.0
420,0,0.0,0,3,1.0,0.3333333333333333
425,1,0.0,0.0,5,6.0,1.2
430,0,0.0,0,2,11.0,5.5
435,0,0.0,0,4,16.0,4.0
440,0,0.0,0,3,21.0,7.0
445,1,0.0,0.0,3,26.0,8.666666666666666
450,0,0.0,0,2,31.0,15.5
455,1,2.0,2.0,3,36.0,12.0
460,0,0.0,0,2,0.0,0.0
465,1,0.0,0.0,3,0.0,0.0
470,0,0.0,0,6,3.0,0.5
475,2,8.0,4.0,4,23.0,5.75
480,1,3.0,3.0,1,10.0,10.0
485,4,15.0,3.75,4,15.0,3.75
490,0,0.0,0,0,0,0
495,0,0.0,0,3,1.0,0.3333333333333333
500,0,0.0,0,2,4.0,2.0
505,2,1.0,0.5,4,9.0,2.25
510,1,1.0,1.0,4,1.0,0.25
515,2,9.0,4.5,4,6.0,1.5
520,0,0.0,0,4,0.0,0.0
525,0,0.0,0,4,5.0,1.25
530,1,5.0,5.0,1,0.0,0.0
535,0,0.0,0,3,0.0,0.0
540,2,6.0,3.0,2,0.0,0.0
545,2,3.0,1.5,1,0.0,0.0
550,0,0.0,0,3,2.0,0.6666666666666666
555,1,2.0,2.0,1,7.0,7.0
560,0,0.0,0,3,12.0,4.0
565,1,0.0,0.0,1,5.0,5.0
570,0,0.0,0,2,0.0,0.0
575,0,0.0,0,2,4.0,2.0
580,0,0.0,0,1,0.0,0.0
585,2,4.0,2.0,2,0.0,0.0
590,0,0.0,0,2,1.0,0.5
595,1,5.0,5.0,2,7.0,3.5
600,0,0.0,0,5,18.0,3.6
605,1,0.0,0.0,6,30.0,5.0
610,0,0.0,0,6,43.0,7.166666666666667
615,0,0.0,0,5,19.0,3.8
620,2,5.0,2.5,5,20.0,4.0
625,1,0.0,0.0,2,3.0,1.5
630,1,1.0,1.0,3,13.0,4.333333333333333
635,0,0.0,0,2,12.0,6.0
640,2,5.0,2.5,7,23.0,3.2857142857142856
645,3,5.0,1.6666666666666667,3,13.0,4.333333333333333
650,2,7.0,3.5,2,0.0,0.0
655,1,3.0,3.0,2,0.0,0.0
660,1,3.0,3.0,0,0,0
665,3,5.0,1.6666666666666667,1,0.0,0.0
670,2,9.0,4.5,1,0.0,0.0
675,2,19.0,9.5,0,0,0
680,0,0.0,0,3,3.0,1.0
685,3,7.0,2.3333333333333335,0,0,0
690,0,0.0,0,4,0.0,0.0
695,2,6.0,3.0,1,0.0,0.0
700,0,0.0,0,4,3.0,0.75
705,2,4.0,2.0,5,16.0,3.2
710,1,3.0,3.0,2,15.0,7.5
715,0,0.0,0,5,15.0,3.0
720,0,0.0,0,5,21.0,4.2
725,1,0.0,0.0,7,25.0,3.5714285714285716
730,0,0.0,0,5,36.0,7.2
735,1,2.0,2.0,4,44.0,11.0
740,0,0.0,0,2,0.0,0.0
745,2,3.0,1.5,4,0.0,0.0
750,0,0.0,0,0,0,0
755,1,2.0,2.0,1,0.0,0.0
760,0,0.0,0,2,1.0,0.5
765,1,0.0,0.0,3,8.0,2.6666666666666665
770,0,0.0,0,3,11.0,3.6666666666666665
775,0,0.0,0,4,16.0,4.0
780,0,0.0,0,3,3.0,1.0
785,2,3.0,1.5,5,4.0,0.8
790,0,0.0,0,5,7.0,1.4
795,0,0.0,0,4,17.0,4.25
800,1,3.0,3.0,3,21.0,7.0
805,1,0.0,0.0,2,0.0,0.0
810,0,0.0,0,3,1.0,0.3333333333333333
815,0,0.0,0,1,0.0,0.0
820,0,0.0,0,1,2.0,2.0
825,1,0.0,0.0,2,7.0,3.5
830,0,0.0,0,3,0.0,0.0
835,1,5.0,5.0,2,5.0,2.5
840,0,0.0,0,2,0.0,0.0
845,1,0.0,0.0,1,0.0,0.0
850,1,1.0,1.0,1,1.0,1.0
855,2,5.0,2.5,2,6.0,3.0
860,1,4.0,4.0,1,0.0,0.0
865,2,9.0,4.5,3,3.0,1.0
870,0,0.0,0,3,0.0,0.0
875,0,0.0,0,4,9.0,2.25
880,0,0.0,0,2,3.0,1.5
885,1,0.0,0.0,3,4.0,1.3333333333333333
890,0,0.0,0,1,9.0,9.0
895,0,0.0,0,2,14.0,7.0
900,0,0.0,0,0,0,0
905,3,9.0,3.0,1,0.0,0.0
910,0,0.0,0,0,0,0
915,1,1.0,1.0,2,0.0,0.0
920,0,0.0,0,2,0.0,0.0
925,1,0.0,0.0,2,1.0,0.5
930,0,0.0,0,2,0.0,0.0
935,2,2.0,1.0,1,2.0,2.0
940,0,0.0,0,4,8.0,2.0
945,3,4.0,1.3333333333333333,0,0,0
950,0,0.0,0,3,0.0,0.0
955,0,0.0,0,4,0.0,0.0
960,1,1.0,1.0,4,1.0,0.25
965,2,1.0,0.5,0,0,0
970,1,4.0,4.0,4,0.0,0.0
975,1,2.0,2.0,3,7.0,2.3333333333333335
980,0,0.0,0,3,7.0,2.3333333333333335
985,4,14.0,3.5,4,18.0,4.5
990,1,1.0,1.0,1,0.0,0.0
