step,vehicle_total_stopped,vehicle_total_waiting_time,vehicle_average_waiting_time,pedestrian_total_stopped,pedestrian_total_waiting_time,pedestrian_average_waiting_time
5,1,0.0,0.0,0,0,0
10,0,0.0,0,0,0,0
15,1,3.0,3.0,2,0.0,0.0
20,1,8.0,8.0,2,3.0,1.5
25,2,13.0,6.5,1,8.0,8.0
30,1,18.0,18.0,1,13.0,13.0
35,0,0.0,0,1,18.0,18.0
40,1,4.0,4.0,2,25.0,12.5
45,1,0.0,0.0,3,35.0,11.666666666666666
50,0,0.0,0,4,49.0,12.25
55,2,5.0,2.5,5,70.0,14.0
60,0,0.0,0,3,27.0,9.0
65,2,1.0,0.5,4,42.0,10.5
70,1,2.0,2.0,3,57.0,19.0
75,0,0.0,0,3,72.0,24.0
80,0,0.0,0,5,88.0,17.6
85,1,0.0,0.0,5,110.0,22.0
90,0,0.0,0,6,136.0,22.666666666666668
95,1,5.0,5.0,9,167.0,18.555555555555557
100,0,0.0,0,8,184.0,23.0
105,1,0.0,0.0,9,221.0,24.555555555555557
110,0,0.0,0,11,263.0,23.90909090909091
115,1,2.0,2.0,12,315.0,26.25
120,0,0.0,0,10,350.0,35.0
125,2,3.0,1.5,9,368.0,40.888888888888886
130,0,0.0,0,12,412.0,34.333333333333336
135,1,2.0,2.0,10,462.0,46.2
140,1,3.0,3.0,10,512.0,51.2
145,1,0.0,0.0,13,564.0,43.38461538461539
150,0,0.0,0,14,628.0,44.857142857142854
155,1,3.0,3.0,14,698.0,49.857142857142854
160,2,12.0,6.0,15,769.0,51.266666666666666
165,2,9.0,4.5,13,489.0,37.61538461538461
170,1,5.0,5.0,15,516.0,34.4
175,1,3.0,3.0,12,467.0,38.916666666666664
180,3,17.0,5.666666666666667,15,527.0,35.13333333333333
185,1,0.0,0.0,7,472.0,67.42857142857143
190,1,4.0,4.0,10,507.0,50.7
195,1,4.0,4.0,9,545.0,60.55555555555556
200,2,10.0,5.0,11,591.0,53.72727272727273
205,2,14.0,7.0,12,647.0,53.916666666666664
210,1,5.0,5.0,16,707.0,44.1875
215,2,8.0,4.0,17,782.0,46.0
220,2,5.0,2.5,18,864.0,48.0
225,2,6.0,3.0,15,890.0,59.333333333333336
230,0,0.0,0,12,410.0,34.166666666666664
235,2,5.0,2.5,16,459.0,28.6875
240,0,0.0,0,12,515.0,42.916666666666664
245,2,4.0,2.0,14,575.0,41.07142857142857
250,4,17.0,4.25,16,643.0,40.1875
255,1,7.0,7.0,19,716.0,37.68421052631579
260,1,12.0,12.0,18,801.0,44.5
265,3,22.0,7.333333333333333,18,889.0,49.388888888888886
270,1,5.0,5.0,14,887.0,63.357142857142854
275,2,6.0,3.0,15,566.0,37.733333333333334
280,0,0.0,0,15,619.0,41.266666666666666
285,2,3.0,1.5,14,685.0,48.92857142857143
290,3,17.0,5.666666666666667,14,755.0,53.92857142857143
295,0,0.0,0,16,826.0,51.625
300,3,4.0,1.3333333333333333,16,901.0,56.3125
305,2,6.0,3.0,17,976.0,57.411764705882355
310,3,16.0,5.333333333333333,18,1058.0,58.77777777777778
315,4,32.0,8.0,19,1141.0,60.05263157894737
320,1,2.0,2.0,14,940.0,67.14285714285714
325,2,7.0,3.5,16,1010.0,63.125
330,0,0.0,0,14,766.0,54.714285714285715
335,2,4.0,2.0,19,817.0,43.0
340,4,21.0,5.25,13,877.0,67.46153846153847
345,4,34.0,8.5,12,937.0,78.08333333333333
350,3,22.0,7.333333333333333,7,430.0,61.42857142857143
355,2,10.0,5.0,11,186.0,16.90909090909091
360,2,20.0,10.0,8,211.0,26.375
365,2,3.0,1.5,7,228.0,32.57142857142857
370,4,18.0,4.5,8,262.0,32.75
375,3,16.0,5.333333333333333,8,298.0,37.25
380,2,13.0,6.5,9,307.0,34.111111111111114
385,2,1.0,0.5,10,342.0,34.2
390,1,6.0,6.0,11,383.0,34.81818181818182
395,2,15.0,7.5,11,431.0,39.18181818181818
400,1,9.0,9.0,11,485.0,44.09090909090909
405,3,15.0,5.0,11,540.0,49.09090909090909
410,1,6.0,6.0,13,596.0,45.84615384615385
415,1,11.0,11.0,16,660.0,41.25
420,0,0.0,0,18,732.0,40.666666666666664
425,1,0.0,0.0,24,810.0,33.75
430,0,0.0,0,18,843.0,46.833333333333336
435,1,3.0,3.0,21,933.0,44.42857142857143
440,0,0.0,0,21,1025.0,48.80952380952381
445,2,1.0,0.5,22,1121.0,50.95454545454545
450,1,6.0,6.0,24,1229.0,51.208333333333336
455,1,11.0,11.0,26,1344.0,51.69230769230769
460,1,16.0,16.0,26,1467.0,56.42307692307692
465,2,21.0,10.5,27,1598.0,59.18518518518518
470,2,29.0,14.5,30,1730.0,57.666666666666664
475,1,3.0,3.0,31,1873.0,60.41935483870968
480,2,9.0,4.5,33,2023.0,61.303030303030305
485,1,4.0,4.0,19,858.0,45.1578947368421
490,2,5.0,2.5,27,864.0,32.0
495,1,1.0,1.0,18,852.0,47.333333333333336
500,1,6.0,6.0,23,939.0,40.82608695652174
505,1,0.0,0.0,15,794.0,52.93333333333333
510,1,2.0,2.0,18,812.0,45.111111111111114
515,2,10.0,5.0,16,776.0,48.5
520,1,8.0,8.0,11,598.0,54.36363636363637
525,1,13.0,13.0,13,643.0,49.46153846153846
530,1,1.0,1.0,12,690.0,57.5
535,1,1.0,1.0,9,714.0,79.33333333333333
540,1,6.0,6.0,12,755.0,62.916666666666664
545,3,15.0,5.0,9,800.0,88.88888888888889
550,1,2.0,2.0,12,845.0,70.41666666666667
555,2,8.0,4.0,12,890.0,74.16666666666667
560,1,6.0,6.0,11,938.0,85.27272727272727
565,3,14.0,4.666666666666667,10,988.0,98.8
570,1,16.0,16.0,14,1038.0,74.14285714285714
575,2,25.0,12.5,13,1093.0,84.07692307692308
580,0,0.0,0,6,15.0,2.5
585,2,4.0,2.0,9,29.0,3.2222222222222223
590,0,0.0,0,6,44.0,7.333333333333333
595,0,0.0,0,4,48.0,12.0
600,1,2.0,2.0,6,63.0,10.5
605,3,4.0,1.3333333333333333,6,74.0,12.333333333333334
610,2,14.0,7.0,5,94.0,18.8
615,2,12.0,6.0,6,114.0,19.0
620,0,0.0,0,7,134.0,19.142857142857142
625,2,5.0,2.5,7,160.0,22.857142857142858
630,2,6.0,3.0,10,193.0,19.3
635,0,0.0,0,3,30.0,10.0
640,0,0.0,0,10,46.0,4.6
645,3,8.0,2.6666666666666665,6,66.0,11.0
650,3,15.0,5.0,7,88.0,12.571428571428571
655,0,0.0,0,6,117.0,19.5
660,1,5.0,5.0,6,147.0,24.5
665,3,11.0,3.6666666666666665,7,177.0,25.285714285714285
670,0,0.0,0,6,207.0,34.5
675,0,0.0,0,9,237.0,26.333333333333332
680,0,0.0,0,11,271.0,24.636363636363637
685,3,6.0,2.0,10,319.0,31.9
690,1,6.0,6.0,13,353.0,27.153846153846153
695,2,4.0,2.0,12,404.0,33.666666666666664
700,1,6.0,6.0,12,388.0,32.333333333333336
705,3,16.0,5.333333333333333,12,433.0,36.083333333333336
710,3,17.0,5.666666666666667,11,483.0,43.90909090909091
715,0,0.0,0,10,289.0,28.9
720,0,0.0,0,15,333.0,22.2
725,2,3.0,1.5,10,381.0,38.1
730,0,0.0,0,11,431.0,39.18181818181818
735,0,0.0,0,14,484.0,34.57142857142857
740,1,1.0,1.0,8,175.0,21.875
745,3,10.0,3.3333333333333335,14,215.0,15.357142857142858
750,1,2.0,2.0,9,259.0,28.77777777777778
755,1,1.0,1.0,9,304.0,33.77777777777778
760,1,6.0,6.0,11,349.0,31.727272727272727
765,2,3.0,1.5,9,372.0,41.333333333333336
770,0,0.0,0,12,418.0,34.833333333333336
775,1,3.0,3.0,14,474.0,33.857142857142854
780,2,11.0,5.5,14,537.0,38.357142857142854
785,2,2.0,1.0,16,602.0,37.625
790,2,8.0,4.0,16,675.0,42.1875
795,1,12.0,12.0,16,751.0,46.9375
800,1,0.0,0.0,18,831.0,46.166666666666664
805,1,0.0,0.0,16,809.0,50.5625
810,1,4.0,4.0,21,886.0,42.19047619047619
815,2,12.0,6.0,17,966.0,56.8235294117647
820,2,10.0,5.0,17,1015.0,59.705882352941174
825,1,0.0,0.0,21,1089.0,51.857142857142854
830,1,5.0,5.0,22,1176.0,53.45454545454545
835,1,0.0,0.0,22,1274.0,57.90909090909091
840,0,0.0,0,16,1099.0,68.6875
845,0,0.0,0,21,1179.0,56.142857142857146
850,1,4.0,4.0,17,1259.0,74.05882352941177
